Martinečka	martinečka	Ncfsn
/	/	Z
2014	2014	Mdc
–	–	Z
Plašć	Plašć	Npmsn
Franjo	Franjo	Npmsn
,	,	Z
Batušića	Batušić	Npmsg
S.	S.	Y
10	10	Mdc
,	,	Z
49250	49250	Mdc
Zlatar	zlatar	Ncmsn

U-I-5396	U-I-5396	X
/	/	Z
2014	2014	Mdc
–	–	Z
Počekal	Počeka	Npmsg
Vesna	Vesn	Npmsg
,	,	Z
Loborsko	loborski	Agpnsny
Završje	završje	Ncnsn
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5397	U-I-5397	X
/	/	Z
2014	2014	Mdc
–	–	Z
Posarić	Posarić	Npfsn
Vesna	Vesna	Npfsn
,	,	Z
Završje	Završje	Npmsn
110	110	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5398	U-I-5398	X
/	/	Z
2014	2014	Mdc
–	–	Z
Pozaić	Pozaić	Npfsn
Marina	Marina	Npfsn
Štefica	Štefica	Npfsn
,	,	Z
Zagrebačka	zagrebački	Agpfsny
17	17	Mdc

U-I-5399	U-I-5399	X
/	/	Z
2014	2014	Mdc
–	–	Z
Požgaj	požga	Aspfsny
Barica	barica	Ncfsn
,	,	Z
Markuš	Markuš	Npfsn
breg	bregti	Vmr3s
133	133	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5400	U-I-5400	X
/	/	Z
2014	2014	Mdc
–	–	Z
Novosel	Novosel	Npmsn
Danica	Danica	Npfsn
,	,	Z
Gustava	Gustava	Npfsn
Krkleca	Krkleca	Npfsn
14	14	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5401	U-I-5401	X
/	/	Z
2014	2014	Mdc
–	–	Z
Parlaj	Parlaj	Npmsn
Sanjica	Sanjica	Npmsn
,	,	Z
Batušićeva	batušićev	Aspfsny
6	6	Mdc
,	,	Z
49250	49250	Mdc
Zlatar	zlatar	Ncmsn

U-I-5402	U-I-5402	X
/	/	Z
2014	2014	Mdc
–	–	Z
Pavlek	Pavlek	Npmsn
Ana	Ana	Npfsn
,	,	Z
Ratkovec	Ratkovec	Npmsn
4	4	Mdc
,	,	Z
49250	49250	Mdc
Zlatar	zlatar	Ncmsn

U-I-5403	U-I-5403	X
/	/	Z
2014	2014	Mdc
–	–	Z
Petrinec	Petrinec	Npmsn
Ana	Ana	Npfsn
,	,	Z
Petrova	Petrova	Npfsn
Gora	Gora	Npfsn
108	108	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5404	U-I-5404	X
/	/	Z
2014	2014	Mdc
–	–	Z
Petrinec	Petrinec	Npmsn
Anka	Anka	Npfsn
,	,	Z
Petrova	Petrov	Aspfsny
Gora	Gora	Npfsn
108/1	108/1	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5405	U-I-5405	X
/	/	Z
2014	2014	Mdc
–	–	Z
Petrinec	Petrinec	Npmsn
Katica	Katica	Npmsn
,	,	Z
Petrova	Petrov	Aspfsny
Gora	Gora	Npfsn
108	108	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5406	U-I-5406	X
/	/	Z
2014	2014	Mdc
–	–	Z
Petrinec	Petrinec	Npmsn
Milan	Milan	Npmsn
,	,	Z
Vojnovec	Vojnovec	Npmsn
39	39	Mdc

U-I-5407	U-I-5407	X
/	/	Z
2014	2014	Mdc
–	–	Z
Martić	Martić	Npmsn
Bojana	Bojan	Npmsay
,	,	Z
Jarnovićeva	jarnovićev	Aspfsny
ulica	ulica	Ncfsn
17	17	Mdc
E	e	Y
,	,	Z
10000	10000	Mdc
Zagreb	Zagreb	Npmsn

U-I-5408	U-I-5408	X
/	/	Z
2014	2014	Mdc
–	–	Z
Miholić	Miholić	Npfsn
Antonija	Antonija	Npfsn
,	,	Z
Sajmišna	sajmišni	Agpfsny
59	59	Mdc
a	a	Cc
,	,	Z
49250	49250	Mdc
Zlatar	zlatar	Ncmsn

U-I-5409	U-I-5409	X
/	/	Z
2014	2014	Mdc
–	–	Z
Mikulčić	Mikulčić	Npfsn
Smiljana	Smiljana	Npfsn
,	,	Z
Kosovečka	Kosovečk	Npmsg
28	28	Mdc
,	,	Z
49282	49282	Mdc
Konjščina	Konjščin	Npmsg

U-I-5410	U-I-5410	X
/	/	Z
2014	2014	Mdc
–	–	Z
Mojčec	Mojčec	Npfsn
Zdenka	Zdenka	Npfsn
,	,	Z
Trg	trg	Ncmsn
slobode	sloboda	Ncfsg
8	8	Mdc
,	,	Z
49250	49250	Mdc
Zlatar	zlatar	Ncmsn

U-I-5411	U-I-5411	X
/	/	Z
2014	2014	Mdc
–	–	Z
Mrkoci	Mrkoc	Npmpn
Silva	Silv	Npmsg
,	,	Z
Mače	mače	Ncnsn
12	12	Mdc
,	,	Z
49251	49251	Mdc
Mače	mače	Ncnsn

U-I-5412	U-I-5412	X
/	/	Z
2014	2014	Mdc
–	–	Z
Markuš	markuti	Vmr2s
Draga	drag	Agpfsny
,	,	Z
Markuš	Markuš	Npfsn
Breg	Breg	Npfsn
103	103	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5413	U-I-5413	X
/	/	Z
2014	2014	Mdc
–	–	Z
Markuš	marku	Aspfsny
Barica	barica	Ncfsn
,	,	Z
Markuš	Markuš	Npfsn
Breg	Breg	Npfsn
75	75	Mdc
a	a	Cc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5414	U-I-5414	X
/	/	Z
2014	2014	Mdc
–	–	Z
Markuš	Markuš	Npfsn
Verica	Verica	Npfsn
,	,	Z
Zagrebačka	zagrebački	Agpfsny
52	52	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5415	U-I-5415	X
/	/	Z
2014	2014	Mdc
–	–	Z
Marković	Marković	Npmsn
Željko	Željko	Npmsn
,	,	Z
Mače	mače	Ncnsn
165	165	Mdc
,	,	Z
49251	49251	Mdc
Mače	mače	Ncnsn

U-I-5416	U-I-5416	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lesičar	Lesičar	Npmsn
Zlatko	Zlatko	Npmsn
,	,	Z
Vinipotok	Vinipotok	Npmsn
102	102	Mdc
a	a	Cc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5417	U-I-5417	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lesičar	Lesičar	Npmsn
Štefanija	Štefanija	Npfsn
,	,	Z
Šipki	Šipki	Npmsn
46	46	Mdc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5418	U-I-5418	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lesičar	lesičar	Ncmsn
Andreja	Andrej	Npmsg
,	,	Z
Vinipotok	Vinipotok	Npmsn
102	102	Mdc
a	a	Cc
,	,	Z
49253	49253	Mdc
Lobor	Lobor	Npmsn

U-I-5419	U-I-5419	X
/	/	Z
2014	2014	Mdc
–	–	Z
Lenartić	Lenartić	Npmsn
Ana	Ana	Npfsn
,	,	Z
Vinipotok	Vinipotok	Npfsn
6	6	Mdc
b	b	Y
,	,	Z

