pravovremene	pravovremen	Agpfpny
u	u	Sa
infrastrukturu	infrastruktura	Ncfsa
vezano	vezano	Rgp
uz	uz	Sa
razvoj	razvoj	Ncmsan
,	,	Z
modernizaciju	modernizacija	Ncfsa
ili	ili	Cc
prilagodbu	prilagodba	Ncfsa
poljoprivrede	poljoprivreda	Ncfsg
i	i	Cc
šumarstva	šumarstvo	Ncnsg
«	«	Z
,	,	Z
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
4.3.3.	4.3.3.	Mds

»	»	Z
Ulaganje	ulaganje	Ncnsn
u	u	Sa
šumsku	šumski	Agpfsay
infrastrukturu	infrastruktura	Ncfsa
«	«	Z
kojeg	koji	Pi-msay
raspisuje	raspisivati	Vmr3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Natječaj	natječaj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
i	i	Cc
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
i	i	Cc
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
(	(	Z
www.mps.hr	www.mps.hr	X
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Natječajem	natječaj	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
određuju	određivati	Vmr3p
se	sebe	Px--sa
rokovi	rok	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
dodjelu	dodjela	Ncfsa
sredstava	sredstvo	Ncnpg
iz	iz	Sg
EPFRR-a	EPFRR	Npmsg
,	,	Z
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
4.3.3.	4.3.3.	Mds

(	(	Z
4	4	Mdc
)	)	Z
Nakon	nakon	Sg
objave	objava	Ncfsg
natječaja	natječaj	Ncmsg
,	,	Z
korisnici	korisnik	Ncmpn
dostavljaju	dostavljati	Vmr3p
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
zajedno	zajedno	Rgp
s	sa	Si
propisanom	propisati	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
u	u	Sl
izvorniku	izvornik	Ncmsl
neposredno	neposredno	Rgp
ili	ili	Cc
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
na	na	Sa
adresu	adresa	Ncfsa
objavljenu	objaviti	Appfsay
u	u	Sl
natječaju	natječaj	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
korisnici	korisnik	Ncmpn
moraju	morati	Vmr3p
dostaviti	dostaviti	Vmn
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
dokumentacija	dokumentacija	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
upućeni	uputiti	Appmpny
poštom	pošta	Ncfsi
preporučeno	preporučiti	Appnsny
ili	ili	Cc
predani	predati	Appmpny
ovlaštenom	ovlastiti	Appmsly
pružatelju	pružatelj	Ncmsl
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
vrijeme	vrijeme	Ncnsn
predaje	predavati	Vmr3s
pošti	pošta	Ncfsd
odnosno	odnosno	Rgp
ovlaštenom	ovlašten	Agpmsly
pružatelju	pružatelj	Ncmsl
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
(	(	Z
datum	datum	Ncmsn
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Kad	kad	Cs
se	sebe	Px--sa
zahtjev	zahtjev	Ncmsn
i	i	Cc
dokumentacija	dokumentacija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
predaju	predati	Vmr3p
neposredno	neposredno	Rgp
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
,	,	Z
vremenom	vrijeme	Ncnsi
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
vrijeme	vrijeme	Ncnsn
zaprimanja	zaprimanje	Ncnsg
u	u	Sl
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

Administrativna	administrativan	Agpfsny
kontrola	kontrola	Ncfsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
pristigli	pristići	Vmp-pm
po	po	Sl
objavljenom	objavljen	Agpmsly
natječaju	natječaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obrađuju	obrađivati	Vmr3p
se	sebe	Px--sa
po	po	Sl
redoslijedu	redoslijed	Ncmsl
zaprimanja	zaprimanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prilikom	prilikom	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
pravovremenost	pravovremenost	Ncfsn
,	,	Z
potpunost	potpunost	Ncfsn
,	,	Z
udovoljavanje	udovoljavanje	Ncnsa
propisanim	propisati	Agpmpiy
uvjetima	uvjet	Ncmpi
i	i	Cc
kriterijima	kriterij	Ncmpi
,	,	Z
broj	broj	Ncmsn
bodova	bod	Ncmpg
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
te	te	Cc
iznos	iznos	Ncmsan
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Po	po	Sl
zaprimanju	zaprimanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
Agencija	agencija	Ncfpg
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
najprije	najprije	Rgp
provjeriti	provjeriti	Vmn
pravovremenost	pravovremenost	Ncfsa
,	,	Z
potpunost	potpunost	Ncfsa
,	,	Z
prihvatljivost	prihvatljivost	Ncfsa
te	te	Cc
broj	broj	Ncmsan
bodova	bod	Ncmpg
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
iz	iz	Sg
Priloga	prilog	Ncmsg
V.	V.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
na	na	Sl
temelju	temelj	Ncmsl
traženih	tražen	Agpmpgy
iznosa	iznos	Ncmpg
potpore	potpora	Ncfsg
formirati	formirati	Vmn
rang	rang	Ncmsan
listu	lista	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
isti	isti	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
,	,	Z
prednost	prednost	Ncfsn
na	na	Sa
rang	rang	Ncmsan
listi	lista	Ncfsl
imaju	imati	Vmr3p
ranije	rano	Rgc
podneseni	podnijeti	Appmpny
zahtjevi	zahtjev	Ncmpn
za	za	Sa
potporu	potpora	Ncfsa
(	(	Z
datum	datum	Ncmsan
,	,	Z
sat	sat	Ncmsn
,	,	Z
minuta	minuta	Ncfsn
,	,	Z
sekunda	sekunda	Ncfsn
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
imaju	imati	Vmr3p
jednaki	jednak	Agpmsayn
broj	broj	Ncmsan
bodova	bod	Ncmpg
i	i	Cc
jednako	jednak	Agpnsay
vrijeme	vrijeme	Ncnsa
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
a	a	Cc
navedeno	navedeno	Rgp
uvjetuje	uvjetovati	Vmr3s
dodjelu	dodjela	Ncfsa
potpore	potpora	Ncfsg
,	,	Z
provest	provesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
izvlačenja	izvlačenje	Ncnsg
slučajnim	slučajan	Agpmsiy
odabirom	odabir	Ncmsi
,	,	Z
u	u	Sl
prisutnosti	prisutnost	Ncfsl
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Korisniku	korisnik	Ncmsd
će	htjeti	Var3p
nakon	nakon	Sg
završene	završen	Agpfsgy
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
biti	biti	Van
dodijeljen	dodijeliti	Appmsnn
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
temeljem	temelj	Ncmsi
odabranih	odabrati	Agpfpgy
ponuda	ponuda	Ncfpg
,	,	Z
ali	ali	Cc
taj	taj	Pd-msn
iznos	iznos	Ncmsn
neće	htjeti	Var3s
moći	moći	Vmn
biti	biti	Van
veći	velik	Agcmpny
od	od	Sg
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
kojeg	koji	Pi-msay
je	biti	Var3s
korisnik	korisnik	Ncmsn
naveo	navesti	Vmp-sm
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Za	za	Sa
nepravovremene	nepravovremen	Agpmpay
zahtjeve	zahtjev	Ncmpa
za	za	Sa
potporu	potpora	Ncfsa
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsn
za	za	Sa
potporu	potpora	Ncfsa
nepotpun	nepotpun	Agpmsnn
ili	ili	Cc
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
tražiti	tražiti	Vmn
dodatna	dodatan	Agpnpay
obrazloženja	obrazloženje	Ncnpa
/	/	Z
ispravke	ispravka	Ncfsg
vezane	vezan	Agpfsgy
uz	uz	Sa
dostavljenu	dostaviti	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
uputiti	uputiti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
neposredno	neposredno	Rgp
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
deset	deset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Danom	dan	Agpnsly
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
dan	dan	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
naznačen	naznačiti	Appmsnn
na	na	Sl
povratnici	povratnica	Ncfsl
o	o	Sl
zaprimanju	zaprimanje	Ncnsl
preporučene	preporučiti	Agpfsgy
pošiljke	pošiljka	Ncfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
preuzeo	preuzeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
prilikom	prilikom	Sg
prve	prvi	Mlofsg
dostave	dostava	Ncfsg
,	,	Z
dostava	dostava	Ncfsn

