tercijarnoj	tercijaran	Agpfsly
One	onaj	Pd-fpn
će	htjeti	Var3s
se	sebe	Px--sa
organizirati	organizirati	Vmn
suradnjom	suradnja	Ncfsi
i	i	Cc
dogovorom	dogovor	Ncmsi
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
i	i	Cc
sanacijskih	sanacijski	Agpmpgy
upravitelja	upravitelj	Ncmpg
/	/	Z
ravnatelja	ravnatelj	Ncmsg
zdravstvenih	zdravstven	Agpfpgy
ustanova	ustanova	Ncfpg
gdje	gdje	Cs
su	biti	Var3p
one	onaj	Pd-fpn
ugovorene	ugovoriti	Appfpny
,	,	Z
stručnih	stručan	Agpnpgy
društava	društvo	Ncnpg
,	,	Z
udruga	udruga	Ncfsn
pacijenata	pacijent	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
zainteresiranih	zainteresiran	Agpfpgy
strana	strana	Ncfpg
ovisno	ovisno	Rgp
o	o	Sl
epidemiološkim	epidemiološki	Agpfply
karakteristikama	karakteristika	Ncfpl
gravitirajućeg	gravitirajući	Agpnsgy
stanovništva	stanovništvo	Ncnsg
.	.	Z

To	taj	Pd-nsn
je	biti	Var3s
učinjeno	učiniti	Appnsny
s	sa	Si
namjerom	namjera	Ncfsi
,	,	Z
jer	jer	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
uvrštavanjem	uvrštavanje	Ncnsi
svih	sav	Agpmpgy
poddjelatnosti	poddjelatnost	Ncmpg
u	u	Sa
Nacionalni	nacionalan	Agpmsayn
plan	plan	Ncmsan
ograničilo	ograničiti	Vmp-sn
razvijanje	razvijanje	Ncnsa
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
ovisno	ovisno	Rgp
o	o	Sl
potrebama	potreba	Ncfpl
lokalne	lokalan	Agpfsgy
zajednice	zajednica	Ncfsg
.	.	Z

Međutim	međutim	Rgp
,	,	Z
sve	sav	Agpfpny
zdravstvene	zdravstven	Agpfpny
ustanove	ustanova	Ncfpn
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
bolničku	bolnički	Agpfsay
zdravstvenu	zdravstven	Agpfsay
djelatnost	djelatnost	Ncfsa
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
osnivaču	osnivač	Ncmsl
bit	biti	Van
će	htjeti	Var3p
uključene	uključiti	Appfpny
u	u	Sa
Nacionalni	nacionalan	Agpmsayn
registar	registar	Ncmsan
pružatelja	pružatelj	Ncmpg
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

Više	mnogo	Rgc
podataka	podatak	Ncmpg
o	o	Sl
Nacionalnom	nacionalan	Agpmsly
registru	registar	Ncmsl
,	,	Z
kao	kao	Cs
i	i	Qo
njegova	njegov	Ps3fsn
uloga	uloga	Ncfsn
na	na	Sl
razini	razina	Ncfsl
pojedinačnih	pojedinačan	Agpfpgy
bolnica	bolnica	Ncfpg
i	i	Cc
funkcionalno	funkcionalno	Rgp
integriranih	integrirati	Agpfpgy
bolnica	bolnica	Ncfpg
navedeno	navesti	Appnsny
je	biti	Var3s
u	u	Sl
poglavlju	poglavlje	Ncnsl
5.	5.	Mdo
Za	za	Sa
uspostavu	uspostava	Ncfsa
i	i	Cc
ažuriranje	ažuriranje	Ncnsa
Nacionalnog	nacionalan	Agpmsgy
registra	registar	Ncmsg
odgovorno	odgovoran	Agpnsny
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
zdravlja	zdravlje	Ncnsg
,	,	Z
uz	uz	Sa
pridržavanje	pridržavanje	Ncnsa
Pravilnika	pravilnik	Ncmsg
o	o	Sl
minimalnim	minimalan	Agpmply
uvjetima	uvjet	Ncmpl
u	u	Sl
pogledu	pogled	Ncmsl
prostora	prostor	Ncmsg
,	,	Z
radnika	radnik	Ncmpg
i	i	Cc
medicinsko-tehničke	medicinsko-tehnički	Agpfsgy
opreme	oprema	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
zdravstvene	zdravstven	Agpfsgy
djelatnosti	djelatnost	Ncfsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
61/2011	61/2011	Mdc
i	i	Cc
128/2012	128/2012	Mds
)	)	Z
,	,	Z
Pravilnika	pravilnik	Ncmsg
o	o	Sl
uvjetima	uvjet	Ncmpl
za	za	Sa
unutarnji	unutarnji	Agpmsayn
ustroj	ustroj	Ncmsan
kliničkih	klinički	Agpfpgy
zdravstvenih	zdravstven	Agpfpgy
ustanova	ustanova	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
145/2013	145/2013	Mdc
)	)	Z
,	,	Z
te	te	Cc
Pravilnika	pravilnik	Ncmsg
o	o	Sl
uvjetima	uvjet	Ncmpl
za	za	Sa
unutarnji	unutarnji	Agpmsayn
ustroj	ustroj	Ncmsan
općih	opći	Agpmpgy
i	i	Cc
specijalnih	specijalan	Agpfpgy
bolnica	bolnica	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
145/2013	145/2013	Mdc
)	)	Z
,	,	Z
kao	kao	Cs
i	i	Cc
uz	uz	Sa
druge	drugi	Agpfpay
relevantne	relevantan	Agpfpay
zakonske	zakonski	Agpfpay
i	i	Cc
podzakonske	podzakonski	Agpmpay
akte	akt	Ncmpa
.	.	Z

Podaci	podatak	Ncmpn
u	u	Sl
Nacionalnom	nacionalan	Agpmsly
registru	registar	Ncmsl
ažuriraju	ažurirati	Vmr3p
se	sebe	Px--sa
minimalno	minimalno	Rgp
jednom	jednom	Rgp
godišnje	godišnje	Rgp
jer	jer	Cs
,	,	Z
između	između	Sg
ostaloga	ostali	Agpnsgy
,	,	Z
predstavljaju	predstavljati	Vmr3p
osnovu	osnova	Ncfsa
za	za	Sa
ugovaranje	ugovaranje	Ncnsa
s	sa	Si
Hrvatskim	hrvatski	Agpmsiy
zavodom	zavod	Ncmsi
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
HZZO	HZZO	Npmsn
)	)	Z
.	.	Z

U	u	Sl
dugoročnom	dugoročan	Agpnsly
razdoblju	razdoblje	Ncnsl
planiranja	planiranje	Ncnsg
do	do	Sg
2020.	2020.	Mdo
godine	godina	Ncfsg
,	,	Z
nakon	nakon	Cs
što	što	Cs
promjene	promjena	Ncfpn
koje	koji	Pi-fpa
navodi	navoditi	Vmr3s
ovaj	ovaj	Pd-msn
Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
postanu	postati	Ncmsl
operativne	operativan	Agpfsgy
;	;	Z
bit	biti	Van
će	htjeti	Var3s
potrebno	potreban	Agpnsny
procijeniti	procijeniti	Vmn
i	i	Qo
sve	sav	Agpfpay
ostale	ostali	Agpfpay
zdravstvene	zdravstven	Agpfpay
ustanove	ustanova	Ncfpa
.	.	Z

Tu	tu	Rgp
se	sebe	Px--sa
neće	htjeti	Var3s
činiti	činiti	Vmn
razlika	razlika	Ncfsn
između	između	Sg
ustanova	ustanova	Ncfpg
čiji	čiji	Pi-msn
je	biti	Var3s
osnivač	osnivač	Ncmsn
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
,	,	Z
jedinice	jedinica	Ncfpa
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
ili	ili	Cc
privatne	privatan	Agpfsgy
fizičke	fizički	Agpfsgy
odnosno	odnosno	Rgp
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
.	.	Z

Uključit	uključiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Qo
specijalne	specijalan	Agpfpny
bolnice	bolnica	Ncfpn
i	i	Cc
lječilišta	lječilište	Ncnsg
jer	jer	Cs
će	htjeti	Var3s
se	sebe	Px--sa
do	do	Sg
tada	tada	Rgp
već	već	Rgp
sve	sav	Agpfpny
one	onaj	Pd-fpn
nalaziti	nalaziti	Vmn
u	u	Sl
Nacionalnom	nacionalan	Agpmsly
registru	registar	Ncmsl
,	,	Z
te	te	Cc
kroz	kroz	Sa
prilagodbe	prilagodba	Ncfpa
istih	isti	Agpfpgy
sustavu	sustav	Ncfpg
ali	ali	Cc
i	i	Qo
sustava	sustav	Ncmsg
njima	oni	Pp3-pi
,	,	Z
osigurati	osigurati	Vmn
učinkovitiji	učinkovit	Agcmsayn
zdravstveni	zdravstven	Agpmsayn
sustav	sustav	Ncmsan
po	po	Sl
mjeri	mjera	Ncfsl
pacijenata	pacijent	Ncmpg
.	.	Z

Do	do	Sg
tada	tada	Rgp
,	,	Z
razvoj	razvoj	Ncmsan
svih	sav	Agpfpgy
bolničkih	bolnički	Agpfpgy
ustanova	ustanova	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
koje	koji	Pi-fpn
nisu	biti	Var3p
obuhvaćene	obuhvatiti	Appfpny
ovim	ovaj	Pd-msi
Nacionalnim	nacionalan	Agpmsiy
planom	plan	Ncmsi
potrebno	potreban	Agpnsny
je	biti	Var3s
definirati	definirati	Vmn
zasebnim	zaseban	Agpmsiy
planskim	planski	Agpmsiy
i	i	Cc
operativnim	operativan	Agpmply
dokumentima	dokument	Ncmpl
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
.	.	Z

1.3.	1.3.	Mdo

Regije	regija	Ncfpn
zdravstvenog	zdravstven	Agpnsgy
planiranja	planiranje	Ncnsg

Nacionalni	nacionalan	Agpmsny
plan	plan	Ncmsn
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
2015.	2015.	Mdo
do	do	Sg
2016.	2016.	Mdo
i	i	Cc
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sa
četiri	četiri	Mlc
regije	regija	Ncfsg
zdravstvenog	zdravstven	Agpnsgy
planiranja	planiranje	Ncnsg
:	:	Z

1.	1.	Mdo
Središnja	središnji	Agpfsny
i	i	Cc
sjeverna	sjeverni	Agpfsny
regija	regija	Ncfsn
,	,	Z
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
Grad	grad	Ncmsan
Zagreb	Zagreb	Npmsn
i	i	Cc
sljedeće	sljedeći	Agpfsgy
županije	županija	Ncfsg
:	:	Z
Bjelovarsko-bilogorsku	bjelovarsko-bilogorski	Agpfsay
,	,	Z
Karlovačku	Karlovačka	Npfsa
,	,	Z
Koprivničko	koprivnički	Agpnsny
-	-	Z
-	-	Z
križevačku	križevački	Agpfsay
,	,	Z
Krapinsko-zagorsku	krapinsko-zagorski	Agpfsay
,	,	Z
Međimursku	Međimurska	Npfsa
,	,	Z
Sisačko-moslavačku	sisačko-moslavački	Agpfsay
,	,	Z
Varaždinsku	varaždinski	Agpfsay
i	i	Cc
Zagrebačku	Zagrebačka	Npfsa
.	.	Z

Zbog	zbog	Sg
veličine	veličina	Ncfsg
i	i	Cc
broja	broj	Ncmsg
bolnica	bolnica	Ncfpg
u	u	Sl
Gradu	grad	Ncmsl
Zagrebu	Zagreb	Npmsl
,	,	Z
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
se	sebe	Px--sa
u	u	Sl
određenim	određen	Agpfply
analizama	analiza	Ncfpl
prikazuje	prikazivati	Vmr3s
zasebno	zaseban	Agpnsny
od	od	Sg
ostatka	ostatak	Ncmsg
Sjeverne	sjeverni	Agpfsgy
i	i	Cc
središnje	središnji	Agpfsgy
regije	regija	Ncfsg
.	.	Z

2.	2.	Mdo
Istočna	istočni	Agpfsny
regija	regija	Ncfsn
,	,	Z
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
sljedeće	sljedeći	Agpfsgy
županije	županija	Ncfsg
:	:	Z
Brodsko-posavsku	brodsko-posavski	Agpfsay
,	,	Z
Osječko-baranjsku	osječko-baranjski	Agpfsay
,	,	Z
Požeško-slavonsku	požeško-slavonski	Agpfsay
,	,	Z
Virovitičko-podravsku	virovitičko-podravski	Agpfsay
i	i	Cc
Vukovarsko-srijemsku	vukovarsko-srijemski	Agpfsay
.	.	Z

3.	3.	Mdo
Južna	južan	Agpfsny
regija	regija	Ncfsn
,	,	Z
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
sljedeće	sljedeći	Agpfsgy
županije	županija	Ncfsg
:	:	Z
Dubrovačko	dubrovački	Agpnsny
-	-	Z
-	-	Z
neretvansku	neretvanski	Agpfsay
,	,	Z
Splitsko-dalmatinsku	splitsko-dalmatinski	Agpfsay
,	,	Z
Šibensko-kninsku	šibensko-kninski	Agpfsay
i	i	Cc
Zadarsku	Zadarska	Npfsa
.	.	Z

4.	4.	Mdo
Zapadna	zapadni	Agpfsny
regija	regija	Ncfsn
,	,	Z
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
sljedeće	sljedeći	Agpfsgy
županije	županija	Ncfsg
:	:	Z
Istarsku	istarski	Agpfsay
,	,	Z
Ličko-senjsku	ličko-senjski	Agpfsay
i	i	Cc
Primorsko-goransku	primorsko-goranski	Agpfsay
.	.	Z

Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa

