LH074	LH074	Mdm
vrijeme	vrijeme	Ncnsn
zgrušavanja	zgrušavanje	Ncnsg
–	–	Z
kapilarna	kapilaran	Agpfsny
krv	krv	Ncfsn
0,87	0,87	Mdc
191,40	191,40	Mdc
LK008	LK008	Mdc
Protrombinsko	protrombinski	Agpnsay
vrijeme	vrijeme	Ncnsa
–	–	Z
udjel	udjel	Ncmsn
–	–	Z
kapilarna	kapilaran	Agpfsny
krv	krv	Ncfsn
0,57	0,57	Mdc
125,40	125,40	Mdc
LK009	LK009	Mdc
Protrobinsko	protrobinski	Agpnsay
vrijeme	vrijeme	Ncnsa
–	–	Z
INR	INR	Npmsn
–	–	Z
kapilarna	kapilaran	Agpfsny
krv	krv	Ncfsn
0,57	0,57	Mdc
125,40	125,40	Mdc
LK010	LK010	Mdc
Aktivirano	aktivirati	Appnsny
parcijalno	parcijalan	Agpnsay
tromboplastinsko	tromboplastinski	Agpnsay
vrijeme	vrijeme	Ncnsa
–	–	Z
kapilarna	kapilaran	Agpfsny
krv	krv	Ncfsn
0,25	0,25	Mdc
55,00	55,00	Mdc
LK011	LK011	Mdc
Trombinsko	trombinski	Agpnsay
vrijeme	vrijeme	Ncnsa
0,26	0,26	Mdc
57,20	57,20	Mdc
LK012	lk01i	Agpnsny
Vrijeme	vrijeme	Ncnsn
krvarenja	krvarenje	Ncnsg
(	(	Z
Ivy	Ivy	Npmsn
)	)	Z
0,57	0,57	Mdc
125,40	125,40	Mdc
LK013	lk013	Agpmsny
Protein	protein	Ncmsn
C	C	X
–	–	Z
aktivnost	aktivnost	Ncfsn
1,24	1,24	Mdc
272,80	272,80	Mdc
LK014	lk014	Agpmsny
Protein	protein	Ncmsn
S	sa	Si
–	–	Sa
aktivnost	aktivnost	Ncfsa
2,36	2,36	Mdc
519,20	519,20	Mdc
LK015	LK015	Mdc
Antitrombin	Antitrombin	Npmsn
–	–	Z
aktivnost	aktivnost	Ncfsn
0,70	0,70	Mdc
154,00	154,00	Mdc
LK016	LK016	Mdc
Fibrin	fibrin	Agpmpny
monomeri	monomer	Ncmpn
0,33	0,33	Mdc
72,60	72,60	Mdc
LK017	LK017	Mdc
Topljivi	topljiv	Agpmsny
fibrin	fibrin	Ncmsn
1,01	1,01	Mdc
222,20	222,20	Mdc
LK018	LK018	Mdc
D-dimeri	d-dimera	Ncfsl
1,67	1,67	Mdc
367,40	367,40	Mdc
LK019	LK019	Mdc
Razgradni	razgradan	Agpmpny
produkti	produkt	Ncmpn
fibrina	fibrin	Ncmsg
/	/	Z
fibrinogena	fibrinogen	Ncmsg
0,32	0,32	Mdc
70,40	70,40	Mdc
LK020	lk02i	Agpnsny
Vrijeme	vrijeme	Ncnsn
reptilaze	reptilaza	Ncfsg
0,32	0,32	Mdc
70,40	70,40	Mdc
LK021	lk0i	Agpmsgy
Agregacija	Agregaci	Npmsg
trombocita	trombocit	Ncmsg
s	sa	Si
adenozin-difosfatom	adenozin-difosfat	Ncmsi
0,90	0,90	Mdc
198,00	198,00	Mdc
LK022	lk0i	Agpmsgy
Agregacija	Agregaci	Npmsg
trombocita	trombocit	Ncmsg
s	sa	Si
adrenalinom	adrenalin	Ncmsi
0,90	0,90	Mdc
198,00	198,00	Mdc
LK023	lk0i	Agpmsgy
Agregacija	Agregaci	Npmsg
trombocita	trombocit	Ncmsg
s	sa	Si
arahidonskom	arahidonski	Agpfsiy
kiselinom	kiselina	Ncfsi
0,73	0,73	Mdc
160,60	160,60	Mdc
LK024	lk0i	Agpmsgy
Agregacija	Agregaci	Npmsg
trombocita	trombocit	Ncmsg
s	sa	Si
kolagenom	kolagen	Ncmsi
0,90	0,90	Mdc
198,00	198,00	Mdc
LK025	lk0i	Agpmsgy
Agregacija	Agregaci	Npmsg
trombocita	trombocit	Ncmsg
s	sa	Si
ristocetinom	ristocetin	Ncmsi
0,74	0,74	Mdc
162,80	162,80	Mdc
LK026	lk026	Agpmsny
Fibrinogen	fibrinogen	Ncmsn
–	–	Z
koncentracija	koncentracija	Ncfsn
0,73	0,73	Mdc
160,60	160,60	Mdc
LK027	lk027	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
II	ii	Mrc
–	–	Z
aktivnost	aktivnost	Ncfsn
1,47	1,47	Mdc
323,40	323,40	Mdc
LK028	lk028	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
V	V	X
–	–	Z
aktivnost	aktivnost	Ncfsn
1,43	1,43	Mdc
314,60	314,60	Mdc
LK029	lk029	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
VII	vii	Mrc
–	–	Z
aktivnost	aktivnost	Ncfsn
1,47	1,47	Mdc
323,40	323,40	Mdc
LK030	lk030	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
VIII	viii	Mrc
–	–	Z
aktivnost	aktivnost	Ncfsn
1,47	1,47	Mdc
323,40	323,40	Mdc
LK031	lk031	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
VIII	viii	Mrc
–	–	Z
koncentracija	koncentracija	Ncfsn
2,00	2,00	Mdc
440,00	440,00	Mdc
LK032	lk032	Agpmpny
Inhibitori	inhibitor	Ncmpn
prema	prema	Sl
pojedinačnim	pojedinačan	Agpmply
faktorima	faktor	Ncmpl
zgrušavanja	zgrušavanje	Ncnsg
–	–	Z
probiranje	probiranje	Ncnsa
1,46	1,46	Mdc
321,20	321,20	Mdc
LK033	lk033	Agpmpny
Inhibitori	inhibitor	Ncmpn
prema	prema	Sl
pojedinačnim	pojedinačan	Agpmply
faktorima	faktor	Ncmpl
zgrušavanja	zgrušavanje	Ncnsg
–	–	Z
kvantitativno	kvantitativno	Rgp
3,65	3,65	Mdc
803,00	803,00	Mdc
LK034	lk034	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
IX	IX	Mrc
–	–	Z
aktivnost	aktivnost	Ncfsn
1,47	1,47	Mdc
323,40	323,40	Mdc
LK035	LK035	Mdc
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
X	X	X
–	–	Z
aktivnost	aktivnost	Ncfsn
1,47	1,47	Mdc
323,40	323,40	Mdc
LK036	lk036	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
XI	xi	Mrc
–	–	Z
aktivnost	aktivnost	Ncfsn
1,54	1,54	Mdc
338,80	338,80	Mdc
LK037	lk037	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
XII	xii	Mrc
–	–	Z
aktivnost	aktivnost	Ncfsn
1,54	1,54	Mdc
338,80	338,80	Mdc
LK038	lk038	Agpmsny
Koagulacijski	koagulacijski	Agpmsny
faktor	faktor	Ncmsn
XIII	x	Agcmsny
–	–	Z
aktivnost	aktivnost	Ncfsn
1,29	1,29	Mdc
283,80	283,80	Mdc
LK039	LK039	Mdc
Prekalikrein	Prekalikrein	Npmsn
1,09	1,09	Mdc
239,80	239,80	Mdc
LK040	LK040	Mdc
Visokomolekularni	visokomolekularan	Agpmsny
kininogen	kininogen	Ncmsn
1,09	1,09	Mdc
239,80	239,80	Mdc
LK041	LK041	Mdc
von	von	Ncmpg
Willebrandov	willebrandov	Aspmsnn
faktor	faktor	Ncmsn
–	–	Z
Ristocetin	ristocetin	Aspmsnn
kofaktor	kofaktor	Ncmsn
1,73	1,73	Mdc
380,60	380,60	Mdc
LK042	LK042	Mdc
von	von	Ncmpg
Willebrandov	willebrandov	Aspmsnn
faktor	faktor	Ncmsn
–	–	Z
koncentracija	koncentracija	Ncfsn
2,08	2,08	Mdc
457,60	457,60	Mdc
LK043	lk043	Agpmsny
Lupus	lupus	Ncmsn
antikoagulant	antikoagulant	Xf
2,61	2,61	Mdc
574,20	574,20	Mdc
LK044	lk044	Agpmsny
Protein	protein	Ncmsn
C	C	X
–	–	Z
koncentracija	koncentracija	Ncfsn
2,10	2,10	Mdc

