plaćene	platiti	Appfpny
LIJEKU	lijek	Ncmsl

Protiv	protiv	Sg
ove	ovaj	Pd-fsg
presude	presuda	Ncfsg
dopuštena	dopustiti	Appfsny
je	biti	Var3s
žalba	žalba	Ncfsn
Visokom	visok	Agpmsdy
upravnom	upravan	Agpmsdy
sudu	sud	Ncmsd
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Žalba	žalba	Ncfsn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
putem	put	Sg
ovog	ovaj	Pd-msg
suda	sud	Ncmsg
u	u	Sl
dovoljnom	dovoljan	Agpmsly
broju	broj	Ncmsl
primjeraka	primjerak	Ncmpg
za	za	Sa
sud	sud	Ncmsan
i	i	Cc
sve	sav	Agpfpay
stranke	stranka	Ncfpa
u	u	Sl
sporu	spor	Ncmsl
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
presude	presuda	Ncfsg
.	.	Z

Žalba	žalba	Ncfsn
odgađa	odgađati	Vmr3s
izvršenje	izvršenje	Ncnsa
pobijane	pobijati	Agpfsgy
presude	presuda	Ncfsg
(	(	Z
članak	članak	Ncmsn
66.	66.	Mdo
stavak	stavak	Ncmsn
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
)	)	Z
.	.	Z

Broj	broj	Ncmsn
:	:	Z
UsI-1284	UsI-1284	Mds
/	/	Z
14	14	Mdc
-	-	Z
10	10	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
10.	10.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo

Sutkinja	sutkinja	Ncfsn
Željka	Željko	Npmsg
Zrilić	Zrilić	Npmsn
Ježek	Ježek	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

