normirno	normiran	Agpnsny
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
proizvođač	proizvođač	Ncmsn
primijenio	primijeniti	Vmp-sm
usklađene	uskladiti	Agpfpay
norme	norma	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
provodi	provoditi	Vmr3s
se	sebe	Px--sa
primjenom	primjena	Ncfsi
jednog	jedan	Mlcmsg
od	od	Sg
postupaka	postupak	Ncmpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
,	,	Z
Dodatka	dodatak	Ncmsg
2.	2.	Mdo
i	i	Cc
Dodatka	dodatak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
prema	prema	Sl
izboru	izbor	Ncmsl
proizvođača	proizvođač	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ocjenjivanje	ocjenjivanje	Ncnsn
sukladnosti	sukladnost	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
za	za	Sa
koju	koji	Pi-fsa
proizvođač	proizvođač	Ncmsn
nije	biti	Var3s
primijenio	primijeniti	Vmp-sm
usklađene	uskladiti	Agpfpay
norme	norma	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ili	ili	Cc
ih	oni	Pp3-pg
je	biti	Var3s
primijenio	primijeniti	Vmp-sm
djelomično	djelomično	Rgp
,	,	Z
provodi	provoditi	Vmr3s
se	sebe	Px--sa
primjenom	primjena	Ncfsi
jednog	jedan	Mlcmsg
od	od	Sg
postupaka	postupak	Ncmpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
Dodatka	dodatak	Ncmsg
2.	2.	Mdo
i	i	Cc
Dodatka	dodatak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
prema	prema	Sl
izboru	izbor	Ncmsl
proizvođača	proizvođač	Ncmsg
.	.	Z

EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
je	biti	Var3s
dokument	dokument	Ncmsn
kojim	koji	Pi-msi
se	sebe	Px--sa
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
udovoljava	udovoljavati	Vmr3s
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
sastavljena	sastaviti	Appfsny
je	biti	Var3s
prema	prema	Sl
predlošku	predložak	Ncmsl
i	i	Cc
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
iz	iz	Sg
Dodatka	dodatak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
te	te	Cc
se	sebe	Px--sa
redovito	redovito	Rgp
usklađuje	usklađivati	Vmr3s
i	i	Cc
dopunjuje	dopunjivati	Vmr3s
.	.	Z

EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
sastavljena	sastaviti	Appfsny
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
i	i	Cc
latiničnom	latinični	Agpnsly
pismu	pismo	Ncnsl
,	,	Z
ili	ili	Cc
na	na	Sl
jeziku	jezik	Ncmsl
koji	koji	Pi-mpn
mogu	moći	Vmr3p
lako	lako	Rgp
razumjeti	razumjeti	Vmn
potrošači	potrošač	Ncmpn
i	i	Cc
drugi	drugi	Mlompn
korisnici	korisnik	Ncmpn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pojednostavljena	pojednostaviti	Appfsny
EU	E	Npmsg
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
sadržava	sadržavati	Vmr3s
podatke	podatak	Ncmpa
iz	iz	Sg
Dodatka	dodatak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
te	te	Cc
se	sebe	Px--sa
redovito	redovito	Rgp
usklađuje	usklađivati	Vmr3s
i	i	Cc
dopunjuje	dopunjivati	Vmr3s
.	.	Z

Pojednostavljena	pojednostaviti	Appfsny
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
sastavljena	sastaviti	Appfsny
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
i	i	Cc
latiničnom	latinični	Agpnsly
pismu	pismo	Ncnsl
te	te	Cc
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
poveznicu	poveznica	Ncfsa
na	na	Sa
internetsku	internetski	Agpfsay
stranicu	stranica	Ncfsa
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
cjeloviti	cjelovit	Agpmsny
tekst	tekst	Ncmsn
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
radijska	radijski	Agpfsny
oprema	oprema	Ncfsn
mora	morati	Vmr3s
udovoljavati	udovoljavati	Vmn
i	i	Cc
drugim	drugi	Mlompi
propisima	propis	Ncmpi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
koji	koji	Pi-mpn
zahtijevaju	zahtijevati	Vmr3p
sastavljanje	sastavljanje	Ncnsa
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
,	,	Z
sastavlja	sastavljati	Vmr3s
se	sebe	Px--sa
jedinstvena	jedinstven	Agpfsny
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
navode	navoditi	Vmr3p
svi	sav	Agpmpny
mjerodavni	mjerodavan	Agpmpny
propisi	propis	Ncmpn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
uz	uz	Sa
upućivanje	upućivanje	Ncnsa
na	na	Sa
njihovu	njihov	Ps3fsa
objavu	objava	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sastavljanjem	sastavljanje	Ncnsi
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
proizvođač	proizvođač	Ncmsn
preuzima	preuzimati	Vmr3s
odgovornost	odgovornost	Ncfsa
za	za	Sa
sukladnost	sukladnost	Ncfsa
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Opća	opći	Agpnpny
načela	načelo	Ncnpn
za	za	Sa
oznaku	oznaka	Ncfsa
CE	CE	Npmsn

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Opća	opći	Agpnpny
načela	načelo	Ncnpn
za	za	Sa
oznaku	oznaka	Ncfsa
CE	C	Npmsg
utvrđena	utvrditi	Appfsny
su	biti	Var3p
člankom	članak	Ncmsi
30.	30.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008.	765/2008.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
zbog	zbog	Sg
prirode	priroda	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
,	,	Z
oznaka	oznaka	Ncfsn
CE	C	Npmsg
koja	koji	Pi-fsn
se	sebe	Px--sa
stavlja	stavljati	Vmr3s
na	na	Sa
radijsku	radijski	Agpfsay
opremu	oprema	Ncfsa
može	moći	Vmr3s
imati	imati	Vmn
visinu	visina	Ncfsa
manju	mali	Agcfsay
od	od	Sg
5	5	Mdc
mm	mm	Y
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
je	biti	Var3s
oznaka	oznaka	Ncfsn
uočljiva	uočljiv	Agpfsny
i	i	Cc
čitljiva	čitljiv	Agpfsny
.	.	Z

Pravila	pravilo	Ncnpn
i	i	Cc
uvjeti	uvjet	Ncmpn
za	za	Sa
stavljanje	stavljanje	Ncnsa
oznake	oznaka	Ncfsg
CE	CE	Npfsg
i	i	Cc
identifikacijskog	identifikacijski	Agpmsgy
broja	broj	Ncmsg
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Proizvođač	proizvođač	Ncmsn
ili	ili	Cc
njegov	njegov	Ps3msn
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
obvezni	obvezan	Agpmpny
su	biti	Var3p
radijsku	radijski	Agpfsay
opremu	oprema	Ncfsa
,	,	Z
koja	koji	Pi-fsn
udovoljava	udovoljavati	Vmr3s
bitnim	bitan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
prije	prije	Sg
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
označiti	označiti	Vmn
oznakom	oznaka	Ncfsi
CE	C	Npmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Oznaka	oznaka	Ncfsn
CE	CE	Npmsn
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
na	na	Sa
radijsku	radijski	Agpfsay
opremu	oprema	Ncfsa
ili	ili	Cc
na	na	Sa
njezinu	njezin	Ps3fsa
pločicu	pločica	Ncfsa
s	sa	Si
podacima	podatak	Ncmpi
na	na	Sa
način	način	Ncmsan
da	da	Cs
je	biti	Var3s
vidljiva	vidljiv	Agpfsny
,	,	Z
čitljiva	čitljiv	Agpfsny
i	i	Cc
neizbrisiva	neizbrisiv	Agpfsny
,	,	Z
osim	osim	Cs
ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
zbog	zbog	Sg
prirode	priroda	Ncfsg
radijske	radijski	Agpfsgy
opreme	oprema	Ncfsg
.	.	Z

Oznaka	oznaka	Ncfsn
CE	CE	Npmsn
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
i	i	Qo
na	na	Sa
pakiranje	pakiranje	Ncnsa
na	na	Sa
način	način	Ncmsan
da	da	Cs
je	biti	Var3s
vidljiva	vidljiv	Agpfsny
i	i	Cc
čitljiva	čitljiv	Agpfsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
u	u	Sl
postupku	postupak	Ncmsl
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
primjenjuje	primjenjivati	Vmr3s
postupak	postupak	Ncmsan
iz	iz	Sg
Dodatka	dodatak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
uz	uz	Sa
oznaku	oznaka	Ncfsa
CE	CE	Npmsn
mora	morati	Vmr3s
se	sebe	Px--sa
navesti	navesti	Vmn
i	i	Cc
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
obvezno	obvezan	Agpnsny
je	biti	Var3s
staviti	staviti	Vmn
svoj	svoj	Px-msan
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
,	,	Z
ili	ili	Cc
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
prema	prema	Sl
njegovoj	njegov	Ps3fsl
uputi	uputa	Ncfsl
,	,	Z
stavlja	stavljati	Vmr3s
proizvođač	proizvođač	Ncmsn
ili	ili	Cc
njegov	njegov	Ps3msn
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

Identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
iste	isti	Agpfsgy
visine	visina	Ncfsg
kao	kao	Cs
oznaka	oznaka	Ncfsn
CE	CE	Npmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nadležni	nadležan	Agpmsny
inspektor	inspektor	Ncmsn

