krajnjem	krajnji	Agpmsly
hranom	hrana	Ncfsi
koji	koji	Pi-msn
koristi	koristiti	Vmr3s
vodu	voda	Ncfsa
iz	iz	Sg
izvora	izvor	Ncmsg
mora	morati	Vmr3s
odmah	odmah	Rgp
obustaviti	obustaviti	Vmn
sve	sav	Agpfpay
aktivnosti	aktivnost	Ncfpa
,	,	Z
posebno	posebno	Rgp
postupak	postupak	Ncmsan
punjenja	punjenje	Ncnsg
vode	voda	Ncfsg
u	u	Sa
ambalažu	ambalaža	Ncfsa
,	,	Z
sve	sve	Qo
dok	dok	Cs
se	sebe	Px--sa
ne	ne	Qz
ukloni	ukloniti	Vmr3s
uzrok	uzrok	Ncmsn
onečišćenja	onečišćenje	Ncnsg
i	i	Cc
voda	voda	Ncfsn
ne	ne	Qz
udovolji	udovoljiti	Vmr3s
odredbama	odredba	Ncfpi
članaka	članak	Ncmpg
13.	13.	Mdo
,	,	Z
14.	14.	Mdo
i	i	Cc
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Službena	služben	Agpfsny
kontrola	kontrola	Ncfsn
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Službena	služben	Agpfsny
kontrola	kontrola	Ncfsn
provodi	provoditi	Vmr3s
se	sebe	Px--sa
periodično	periodičan	Agpnsny
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
utvrdilo	utvrditi	Vmp-sn
:	:	Z

–	–	Z
udovoljava	udovoljavati	Vmr3s
li	li	Qq
prirodna	prirodan	Agpfsny
mineralna	mineralan	Agpfsny
voda	voda	Ncfsn
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
izdano	izdan	Agpnsny
rješenje	rješenje	Ncnsn
o	o	Sl
priznavanju	priznavanje	Ncnsl
odredbama	odredba	Ncfpl
članaka	članak	Ncmpg
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

–	–	Z
primjenjuje	primjenjivati	Vmr3s
li	li	Qq
subjekt	subjekt	Ncmsan
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
kojemu	koji	Pi-msd
je	biti	Var3s
izdano	izdan	Agpnsny
rješenje	rješenje	Ncnsn
o	o	Sl
priznavanju	priznavanje	Ncnsl
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
odredbe	odredba	Ncfsg
članaka	članak	Ncmpg
16.	16.	Mdo
i	i	Cc
17.	17.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Fizikalna	fizikalan	Agpfsny
,	,	Z
kemijska	kemijski	Agpfsny
i	i	Cc
fizikalno-kemijska	fizikalno-kemijska	Ncfsn
ispitivanja	ispitivanje	Ncnsg
parametara	parametar	Ncmpg
iz	iz	Sg
Tablice	tablica	Ncfsg
1.	1.	Mdo
Dodatka	dodatak	Ncmsg
2.	2.	Mdo
prema	prema	Sl
Tablici	tablica	Ncfsl
2.	2.	Mdo
Dodatka	dodatak	Ncmsg
2.	2.	Mdo
te	te	Cc
mikrobiološka	mikrobiološki	Agpnpny
ispitivanja	ispitivanje	Ncnpn
sukladno	sukladno	Rgp
člancima	članak	Ncmpd
13.	13.	Mdo
,	,	Z
14.	14.	Mdo
i	i	Cc
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
provode	provoditi	Vmr3p
službeni	služben	Agpmpny
laboratoriji	laboratorij	Ncmpn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Planovi	plan	Ncmpn
službenih	služben	Agpfpgy
kontrola	kontrola	Ncfpg
zdravstvene	zdravstven	Agpfsgy
ispravnosti	ispravnost	Ncfsg
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
stavlja	stavljati	Vmr3s
na	na	Sa
tržište	tržište	Ncnsa
u	u	Sl
bocama	boca	Ncfpl
ili	ili	Cc
drugoj	drugi	Mlofsl
ambalaži	ambalaža	Ncfsl
,	,	Z
temelje	temeljiti	Vmr3p
se	sebe	Px--sa
na	na	Sl
procjeni	procjena	Ncfsl
rizika	rizik	Ncmsg
.	.	Z

Postupak	postupak	Ncmsn
priznavanja	priznavanje	Ncnsg
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Subjekt	subjekt	Ncmsn
u	u	Sl
poslovanju	poslovanje	Ncnsl
s	sa	Si
hranom	hrana	Ncfsi
sa	sa	Si
sjedištem	sjedište	Ncnsi
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
pokreće	pokretati	Vmr3s
postupak	postupak	Ncmsan
priznavanja	priznavanje	Ncnsg
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
crpi	crpiti	Vmr3s
iz	iz	Sg
tla	tlo	Ncnsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
treće	treći	Mlonsn
zemlje	zemlja	Ncfsg
podnošenjem	podnošenje	Ncnsi
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
pokretanje	pokretanje	Ncnsa
postupka	postupak	Ncmsg
priznavanja	priznavanje	Ncnsg
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
/	/	Z
prirodne	prirodan	Agpfsgy
izvorske	izvorski	Agpfsgy
vode	voda	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
zahtjev	zahtjev	Ncmsn
za	za	Sa
priznavanje	priznavanje	Ncnsa
)	)	Z
Ministarstvu	ministarstvo	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanje	priznavanje	Ncnsa
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
iz	iz	Sg
Dodatka	dodatak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
priznavanje	priznavanje	Ncnsa
provodi	provoditi	Vmr3s
postupak	postupak	Ncmsan
priznavanja	priznavanje	Ncnsg
i	i	Cc
predlaže	predlagati	Vmr3s
ministru	ministar	Ncmsd
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
priznavanju	priznavanje	Ncnsl
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
priznavanja	priznavanje	Ncnsg
i	i	Cc
prijedloga	prijedlog	Ncmsg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
priznavanje	priznavanje	Ncnsa
,	,	Z
ministar	ministar	Ncmsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
o	o	Sl
priznavanju	priznavanje	Ncnsl
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Danom	dan	Agpfsiy
pravomoćnosti	pravomoćnost	Ncfsi
rješenja	rješenje	Ncnsg
o	o	Sl
priznavanju	priznavanje	Ncnsl
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
,	,	Z
prirodna	prirodan	Agpfsny
mineralna	mineralan	Agpfsny
voda	voda	Ncfsn
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
u	u	Sa
evidenciju	evidencija	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
23.	23.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
postoji	postojati	Vmr3s
opravdana	opravdati	Appfsny
sumnja	sumnja	Ncfsn
ili	ili	Cc
se	sebe	Px--sa
dokaže	dokazati	Vmr3s
da	da	Cs
prirodna	prirodan	Agpfsny
mineralna	mineralan	Agpfsny
voda	voda	Ncfsn
priznata	priznati	Vmr3s
u	u	Sl
jednoj	jedan	Mlcfsl
od	od	Sg
država	država	Ncfpg
članica	članica	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
ili	ili	Cc
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
predstavlja	predstavljati	Vmr3s
opasnost	opasnost	Ncfsn
za	za	Sa
zdravlje	zdravlje	Ncnsa
potrošača	potrošač	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
službenu	služben	Agpfsay
kontrolu	kontrola	Ncfsa
će	htjeti	Var3s
zabraniti	zabraniti	Vmn
stavljanje	stavljanje	Ncnsa
iste	isti	Agpfsgy
na	na	Sa
tržište	tržište	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
odmah	odmah	Rgp
o	o	Sl
tome	taj	Pd-nsl
i	i	Cc
o	o	Sl
razlozima	razlog	Ncmpl
zabrane	zabrana	Ncfsg
obavijestiti	obavijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
koje	koji	Pi-nsn
obavještava	obavještavati	Vmr3s
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
i	i	Cc
ostale	ostali	Agpfpny
države	država	Ncfpn
članice	članica	Ncfpn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
.	.	Z

Priznavanje	priznavanje	Ncnsn
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanje	priznavanje	Ncnsa
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
prilaže	prilagati	Vmr3s
se	sebe	Px--sa
sljedeća	sljedeći	Agpfsny
dokumentacija	dokumentacija	Ncfsn
:	:	Z

–	–	Z
geološki	geološki	Agpmsayn
i	i	Cc
hidrogeološki	hidrogeološki	Agpmsayn
izvještaj	izvještaj	Ncmsan
i	i	Cc
analitička	analitički	Agpnpay
izvješća	izvješće	Ncnpa
o	o	Sl
provedenim	provesti	Pi-npl
ispitivanjima	ispitivanje	Ncnpl
prirodne	prirodan	Agpfsgy
mineralne	mineralan	Agpfsgy
vode	voda	Ncfsg
na	na	Sl
izvoru	izvor	Ncmsl
iz	iz	Sg
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

–	–	Z
izjava	izjava	Ncfsn
o	o	Sl
planiranoj	planiran	Agpfsly
provedbi	provedba	Ncfsl
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
postupaka	postupak	Ncmpg
obrade	obrada	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Od	od	Sg
datuma	datum	Ncmsg
izdavanja	izdavanje	Ncnsg
analitičkih	analitički	Agpnpgy
izvješća	izvješće	Ncnpg
o	o	Sl
fizikalnim	fizikalan	Agpfply
,	,	Z
kemijskim	kemijski	Agpfply
i	i	Cc
fizikalno-kemijskim	fizikalno-kemijskii	Agpfpny
te	te	Cc
mikrobiološkim	mikrobiološki	Agpnply
ispitivanjima	ispitivanje	Ncnpl
iz	iz	Sg
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
do	do	Sg
datuma	datum	Ncmsg
dostave	dostava	Ncfsg
Ministarstvu	ministarstvo	Ncnsl
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
proteći	proteći	Vmn
više	mnogo	Rgc
od	od	Sg
dvije	dva	Mlcf-n
godine	godina	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Neovisne	neovisan	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
ili	ili	Cc
posebne	poseban	Agpfsgy
organizacijske	organizacijski	Agpfsgy
cjeline	cjelina	Ncfsg
unutar	unutar	Sg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
fizikalna	fizikalan	Agpfsny
,	,	Z
kemijska	kemijski	Agpfsny
i	i	Cc
fizikalno-kemijska	fizikalno-kemijska	Ncfsn
te	te	Cc
mikrobiološka	mikrobiološki	Agpnpay
ispitivanja	ispitivanje	Ncnpa
,	,	Z
uključivši	uključiti	Rr
i	i	Cc
uzimanje	uzimanje	Ncnsa
uzoraka	uzorak	Ncmpg
navedena	navesti	Appfsny
u	u	Sl
točkama	točka	Ncfpl
b	b	Agpfply
)	)	Z
i	i	Cc
c	C	Npmsn
)	)	Z
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
akreditirane	akreditirati	Appfpny
prema	prema	Sl
normi	norma	Ncfsl
ISO	ISO	Npmsn
/	/	Z
IEC	IEC	Npmsn
17025.	17025.	Mdo

Uzorci	uzorak	Ncmpn
za	za	Sa
fizikalna	fizikalan	Agpfsny
,	,	Z
kemijska	kemijski	Agpfsny
i	i	Cc
fizikalno-kemijska	fizikalno-kemijska	Ncfsn
te	te	Cc
mikrobiološka	mikrobiološki	Agpnpny
ispitivanja	ispitivanje	Ncnpn
navedena	navesti	Appfsny
u	u	Sl
točkama	točka	Ncfpl
b	b	Agpfply
)	)	Z
i	i	Cc
c	C	Npmsn
)	)	Z
Dodatka	dodatak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
moraju	morati	Vmr3p
se	sebe	Px--sa
uzeti	uzeti	Vmn
isti	isti	Agpmsayn
dan	dan	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z

