zatražen	zatražiti	Appmsnn
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
financijsko	financijski	Agpnsny
osiguranje	osiguranje	Ncnsn
ili	ili	Cc
stečajnim	stečajni	Agpmsiy
razlogom	razlog	Ncmsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
se	sebe	Px--sa
te	taj	Pd-fpn
ugovorne	ugovoran	Agpfpny
obveze	obveza	Ncfpn
i	i	Cc
nadalje	nadalje	Rgp
u	u	Sl
značajnoj	značajan	Agpfsly
mjeri	mjera	Ncfsl
izvršavaju	izvršavati	Vmr3p
,	,	Z
uključujući	uključivati	Rr
plaćanja	plaćanje	Ncnpa
odnosno	odnosno	Rgp
isporuku	isporuka	Ncfsa
,	,	Z
stjecanje	stjecanje	Ncnsa
,	,	Z
korištenje	korištenje	Ncnsa
i	i	Cc
raspolaganje	raspolaganje	Ncnsa
instrumentom	instrument	Ncmsi
financijskog	financijski	Agpnsgy
osiguranja	osiguranje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stavak	stavak	Ncmsn
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
na	na	Sa
ugovore	ugovor	Ncmpa
koje	koji	Pi-mpa
je	biti	Var3s
zaključilo	zaključiti	Vmp-sn
:	:	Z

a	a	Cc
)	)	Z
društvo	društvo	Ncnsn
kćer	kći	Agpfsgy
institucije	institucija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
za	za	Sa
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
jamči	jamčiti	Vmr3s
ili	ili	Cc
ih	oni	Pp3-pa
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
osigurava	osiguravati	Vmr3s
ta	taj	Pd-fsn
institucija	institucija	Ncfsn
ili	ili	Cc
bilo	bilo	Qo
koja	koji	Pi-fsn
članica	članica	Ncfsn
grupe	grupa	Ncfsg

b	b	I
)	)	Z
bilo	bilo	Qo
koja	koji	Pi-fsn
članica	članica	Ncfsn
grupe	grupa	Ncfsg
kojoj	koji	Pi-fsl
pripada	pripadati	Vmr3s
institucija	institucija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
ugovor	ugovor	Ncmsn
uključuje	uključivati	Vmr3s
odredbe	odredba	Ncfpa
o	o	Sl
unakrsnom	unakrstan	Agpmsly
statusu	status	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveza	obveza	Ncfpg
(	(	Z
engl	engl	Agpfsny
.	.	Z
cross-default	cross-default	Xf
provisions	provisions	Xf
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
sanacijski	sanacijski	Agpmpny
postupci	postupak	Ncmpn
trećih	treći	Mlofpg
zemalja	zemlja	Ncfpg
priznaju	priznati	Vmr3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
101.	101.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
odnosno	odnosno	Rgp
kada	kada	Cs
sanacijsko	sanacijski	Agpnsny
tijelo	tijelo	Ncnsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
donese	donijeti	Vmr3s
takvu	takav	Pd-fsa
odluku	odluka	Ncfsa
,	,	Z
taj	taj	Pd-msan
postupak	postupak	Ncmsan
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
mjerom	mjera	Ncfsi
za	za	Sa
upravljanje	upravljanje	Ncnsa
krizom	kriza	Ncfsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovim	ovaj	Pd-msi
člankom	članak	Ncmsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
i	i	Qo
nadalje	nadalje	Rgp
u	u	Sl
značajnoj	značajan	Agpfsly
mjeri	mjera	Ncfsl
izvršavaju	izvršavati	Vmr3p
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
,	,	Z
odnosno	odnosno	Rgp
isporuka	isporuka	Ncfpg
,	,	Z
stjecanje	stjecanje	Ncnsn
,	,	Z
korištenje	korištenje	Ncnsa
i	i	Cc
raspolaganje	raspolaganje	Ncnsa
instrumentom	instrument	Ncmsi
financijskog	financijski	Agpnsgy
osiguranja	osiguranje	Ncnsg
,	,	Z
primjena	primjena	Ncfsn
mjere	mjera	Ncfsg
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
krize	kriza	Ncfsg
ili	ili	Cc
mjere	mjera	Ncfsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
krizom	kriza	Ncfsi
,	,	Z
uključujući	uključivati	Rr
nastup	nastup	Ncmsan
događaja	događaj	Ncmsg
izravno	izravno	Rgp
povezanog	povezan	Agpmsgy
s	sa	Si
primjenom	primjena	Ncfsi
tih	taj	Pd-fpg
mjera	mjera	Ncfpg
,	,	Z
onemogućuje	onemogućivati	Vmr3s
bilo	biti	Vap-sn
kome	koma	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
raskid	raskid	Ncmsan
ugovora	ugovor	Ncmsg
,	,	Z
odgodu	odgoda	Ncfsa
,	,	Z
izmjenu	izmjena	Ncfsa
,	,	Z
netiranje	netiranje	Ncnsa
ili	ili	Cc
prijeboj	prijeboj	Ncmsan
uključujući	uključivati	Rr
:	:	Z

–	i	Agpfpny
ugovorne	ugovoran	Agpfpny
obveze	obveza	Ncfpn
društva	društvo	Ncnsg
kćeri	kći	Ncfsg
institucije	institucija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
za	za	Sa
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
jamči	jamčiti	Vmr3s
ili	ili	Cc
ih	oni	Pp3-pa
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
osigurava	osiguravati	Vmr3s
ta	taj	Pd-fsn
institucija	institucija	Ncfsn
ili	ili	Cc
bilo	bilo	Qo
koja	koji	Pi-fsn
članica	članica	Ncfsn
grupe	grupa	Ncfsg

–	i	Agpfpny
ugovorne	ugovoran	Agpfpny
obveze	obveza	Ncfpn
bilo	bilo	Qo
koje	koji	Pi-fpn
članice	članica	Ncfpn
grupe	grupa	Ncfsg
kojoj	koji	Pi-fsl
pripada	pripadati	Vmr3s
institucija	institucija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
ugovor	ugovor	Ncmsn
uključuje	uključivati	Vmr3s
odredbe	odredba	Ncfpa
o	o	Sl
unakrsnom	unakrstan	Agpmsly
statusu	status	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveza	obveza	Ncfpg
(	(	Z
engl	engl	Agpfsny
.	.	Z
cross-default	cross-default	Xf
provisions	provisions	Xf
)	)	Z

b	b	Npmsn
)	)	Z
stjecanje	stjecanje	Ncnsn
posjeda	posjed	Ncmsg
,	,	Z
kontrolu	kontrola	Ncfsa
ili	ili	Cc
prisilnu	prisilan	Agpfsay
naplatu	naplata	Ncfsa
bilo	bilo	Qo
kojeg	koji	Pi-nsg
založnog	založni	Agpnsgy
prava	pravo	Ncnsg
nad	nad	Sa
bilo	biti	Vap-sn
kojom	koji	Agpfsiy
imovinom	imovina	Ncfsi
institucije	institucija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uključujući	uključivati	Rr
i	i	Cc
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
bilo	bilo	Qo
koje	koji	Pi-fpn
članice	članica	Ncfpn
grupe	grupa	Ncfsg
kojoj	koji	Pi-fsl
pripada	pripadati	Vmr3s
institucija	institucija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
ugovor	ugovor	Ncmsn
uključuje	uključivati	Vmr3s
odredbe	odredba	Ncfpa
o	o	Sl
unakrsnom	unakrstan	Agpmsly
statusu	status	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveza	obveza	Ncfpg
(	(	Z
engl	engl	Agpfsny
.	.	Z
cross-default	cross-default	Xf
provisions	provisions	Xf
)	)	Z

c	C	Npmsn
)	)	Z
utjecaj	utjecaj	Ncmsan
na	na	Sa
prava	pravo	Ncnpa
iz	iz	Sg
ugovora	ugovor	Ncmsg
institucije	institucija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uključujući	uključivati	Rr
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
bilo	bilo	Qo
koje	koji	Pi-fpn
članice	članica	Ncfpn
grupe	grupa	Ncfsg
kojoj	koji	Pi-fsl
pripada	pripadati	Vmr3s
institucija	institucija	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
ugovor	ugovor	Ncmsn
uključuje	uključivati	Vmr3s
odredbe	odredba	Ncfpa
o	o	Sl
unakrsnom	unakrstan	Agpmsly
statusu	status	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveza	obveza	Ncfpg
(	(	Z
engl	engl	Agpfsny
.	.	Z
cross-default	cross-default	Xf
provisions	provisions	Xf
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
utječu	utjecati	Vmr3p
na	na	Sa
pravo	pravo	Ncnsa
pojedine	pojedini	Agpfsgy
osobe	osoba	Ncfsg
da	da	Cs
poduzme	poduzeti	Vmr3s
radnje	radnja	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
to	taj	Pd-nsn
pravo	pravo	Ncnsn
nastaje	nastajati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
događaja	događaj	Ncmsg
koji	koji	Pi-msn
nije	biti	Var3s
posljedica	posljedica	Ncfsn
primjene	primjena	Ncfsg
mjere	mjera	Ncfsg
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
krize	kriza	Ncfsg
ili	ili	Cc
mjere	mjera	Ncfsg
za	za	Sa
upravljanje	upravljanje	Ncnsa
krizom	kriza	Ncfsi
uključujući	uključivati	Rr
nastup	nastup	Ncmsan
događaja	događaj	Ncmsg
izravno	izravno	Rgp
povezanog	povezan	Agpmsgy
s	sa	Si
primjenom	primjena	Ncfsi
tih	taj	Pd-fpg
mjera	mjera	Ncfpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Odgoda	odgoda	Ncfsn
ili	ili	Cc
ograničenje	ograničenje	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
90.	90.	Mdo
,	,	Z
91.	91.	Mdo
ili	ili	Cc
92.	92.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
neizvršenje	neizvršenje	Ncnsa
ugovorne	ugovoran	Agpfsgy
obveze	obveza	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
stavaka	stavak	Ncmpg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
prevladavajućim	prevladavajući	Agpfpiy
obveznim	obvezan	Agpfpiy
odredbama	odredba	Ncfpi
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
9.	9.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
593/2008	593/2008	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
17.	17.	Mdo
lipnja	lipanj	Ncmsg
2008.	2008.	Mdo
o	o	Sl
pravu	pravo	Ncnsl
koje	koji	Pi-nsn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
(	(	Z
Rim	Rim	Npmsn
I	i	Mro
)	)	Z
.	.	Z

Ovlast	ovlast	Ncfsn
odgode	odgoda	Ncfsg
plaćanja	plaćanje	Ncnsg
ili	ili	Cc
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg

Članak	članak	Ncmsn
90.	90.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
može	moći	Vmr3s
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
o	o	Sl
odgodi	odgoda	Ncfsl
bilo	bilo	Qo
koje	koji	Pi-fpa
obveze	obveza	Ncfpa
plaćanja	plaćanje	Ncnsg
ili	ili	Cc
ispunjenja	ispunjenje	Ncnsg
obveza	obveza	Ncfpg
iz	iz	Sg
bilo	bilo	Qo
kojeg	koji	Pi-msg
ugovora	ugovor	Ncmsg
u	u	Sl
kojemu	koji	Pi-nsl
je	biti	Var3s
institucija	institucija	Ncfsn
u	u	Sl
sanaciji	sanacija	Ncfsl
jedna	jedan	Mlcfsn
od	od	Sg
ugovornih	ugovoran	Agpfpgy
strana	strana	Ncfpg
i	i	Cc
istu	isti	Agpfsay
odmah	odmah	Rgp
objaviti	objaviti	Vmn
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
32.	32.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
dužna	dužan	Agpfsny
je	biti	Var3s
u	u	Sl
izrijeci	izrijeka	Ncfsl

