alternativnim	alternativan	Agpmpiy
godine	godina	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
naknadu	naknada	Ncfsa
izračunavaju	izračunavati	Vmr3p
primjenom	primjena	Ncfsi
sljedeće	sljedeći	Agpfsgy
formule	formula	Ncfsg
:	:	Z

Zaračunatu	zaračunati	Agpfsay
bruto	bruto	Agpfsay
premiju	premija	Ncfsa
pomnožiti	pomnožiti	Vmn
sa	sa	Si
0,6	0,6	Mdc
‰	‰	Z
(	(	Z
tisućinki	tisućinka	Ncfsl
)	)	Z

(	(	Z
4	4	Mdc
)	)	Z
Izračunata	izračunati	Agpfsny
naknada	naknada	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mjesečni	mjesečan	Agpmsny
je	biti	Var3s
iznos	iznos	Ncmsn
obveze	obveza	Ncfsg
plaćanja	plaćanje	Ncnsg
naknade	naknada	Ncfsg
Agenciji	agencija	Ncfsl
,	,	Z
a	a	Cc
društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
i	i	Cc
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
dužna	dužan	Agpfsny
su	biti	Var3p
je	on	Pp3fsa
uplatiti	uplatiti	Vmn
do	do	Sg
15.	15.	Mdo
dana	dan	Ncmsg
u	u	Sl
mjesecu	mjesec	Ncmsl
za	za	Sa
prethodni	prethodan	Agpmsayn
mjesec	mjesec	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
ili	ili	Cc
države	država	Ncfsg
potpisnice	potpisnica	Ncfsg
Ugovora	ugovor	Ncmsg
o	o	Sl
Europskom	europski	Agpmsly
gospodarskom	gospodarski	Agpmsly
prostoru	prostor	Ncmsl
(	(	Z
dalje	daleko	Rgc
u	u	Sl
tekstu	tekst	Ncmsl
:	:	Z
država	država	Ncfsn
članica	članica	Ncfpg
)	)	Z
iz	iz	Sg
članka	članak	Ncmsg
83.	83.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZOS-a	zos-a	Ncfsg
koja	koji	Pi-fsn
putem	put	Sg
slobode	sloboda	Ncfsg
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
osiguranja	osiguranje	Ncnsg
odnosno	odnosno	Rgp
poslove	posao	Ncmpa
reosiguranja	reosiguranje	Ncnsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
dužna	dužan	Agpfsny
su	biti	Var3p
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
statističkog	statistički	Agpnsgy
izvješća	izvješće	Ncnsg
dostavljenog	dostaviti	Appnsgy
preko	preko	Sg
svog	svoj	Px-msg
nadležnog	nadležan	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
za	za	Sa
godinu	godina	Ncfsa
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvješće	izvješće	Ncnsn
odnosi	odnositi	Vmr3s
,	,	Z
platiti	platiti	Vmn
godišnju	godišnji	Agpfsay
paušalnu	paušalan	Agpfsay
naknadu	naknada	Ncfsa
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
5.000,00	5.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Društva	društvo	Ncnsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društva	društvo	Ncnsg
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
iz	iz	Sg
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
83.	83.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZOS-a	ZOS	Npmsg
koja	koji	Pi-fsn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
obavljaju	obavljati	Vmr3p
poslove	posao	Ncmpa
osiguranja	osiguranje	Ncnsg
odnosno	odnosno	Rgp
poslove	posao	Ncmpa
reosiguranja	reosiguranje	Ncnsg
putem	put	Sg
poslovnog	poslovan	Agpmsgy
nastana	nastan	Ncmsg
odnosno	odnosno	Rgp
podružnice	podružnica	Ncfsg
osnovane	osnovati	Appfpny
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
dužna	dužan	Agpfsny
su	biti	Var3p
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
mjesec	mjesec	Ncmsan
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
statističkog	statistički	Agpnsgy
izvješća	izvješće	Ncnsg
dostavljenog	dostaviti	Appnsgy
preko	preko	Sg
svog	svoj	Px-msg
nadležnog	nadležan	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
za	za	Sa
godinu	godina	Ncfsa
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
izvješće	izvješće	Ncnsn
odnosi	odnositi	Vmr3s
,	,	Z
platiti	platiti	Vmn
godišnju	godišnji	Agpfsay
paušalnu	paušalan	Agpfsay
naknadu	naknada	Ncfsa
u	u	Sa

