464,20	464,20	Mdc
ELISA	elisa	Ncfsn
1,13	1,13	Mdc
248,60	248,60	Mdc
LM158	LM158	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Entamoeba	Entamoeba	Npfsn
histolytica	histolytica	Npfsn
IFA	IFA	Npfsn
1,85	1,85	Mdc
407,00	407,00	Mdc
LM159	LM159	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Fasciola	Fasciol	Npmsg
hepatica	hepatica	Ncfpg
IgG	igi	Agpfsny
ELISA	elisa	Ncfsn
2,59	2,59	Mdc
569,80	569,80	Mdc
LM160	LM160	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
IgG	IgG	Npmsn
Aviditet	Aviditet	Npmsn
na	na	Sa
Toxoplasma	Toxoplasm	Npmsay
ELFA	ELF	Npmsay
2,64	2,64	Mdc
580,80	580,80	Mdc
LM161	LM161	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Leishmania	Leishmania	Npfsn
ELISA	ELISA	Npfsn
1,13	1,13	Mdc
248,60	248,60	Mdc
LM162	LM162	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Leishmania	Leishmania	Npfsn
IFA	IFA	Npfsn
1,12	1,12	Mdc
246,40	246,40	Mdc
LM163	LM163	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
malarija	malarija	Ncfsn
IFA	IFA	Npfsn
1,91	1,91	Mdc
420,20	420,20	Mdc
LM164	LM164	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
/	/	Z
Plodna	plodan	Agpfsny
voda	voda	Ncfsn
–	–	Z
Toxoplasma	Toxoplasm	Npmsg
IgM	Ig	Npmsg
ELFA	elf	Ncmsg
1,80	1,80	Mdc
396,00	396,00	Mdc
LM165	LM165	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Strongyloides	strongyloidei	Agpfsny
ELISA	elisa	Ncfsn
2,26	2,26	Mdc
497,20	497,20	Mdc
LM166	LM166	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
likvor	likvor	Ncmsan
–	–	Z
Taenia	Taenia	Npfsn
solium	solium	Xf
(	(	Z
Cysticercus	Cysticercus	Npmsn
)	)	Z
IgG	igi	Agpfsny
ELISA	elisa	Ncfsn
1,13	1,13	Mdc
248,60	248,60	Mdc
LM167	LM167	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Toxocara	Toxocara	Npfsn
IgG	igi	Agpfsny
ELISA	elisa	Ncfsn
1,13	1,13	Mdc
248,60	248,60	Mdc
LM168	LM168	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Toxoplasma	toxoplasma	Ncfsn
gondii	gondi	Ncfpg
IgA	igi	Agpfsny
ELISA	elisa	Ncfsn
1,23	1,23	Mdc
270,60	270,60	Mdc
LM169	LM169	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Toxoplasma	Toxoplasm	Npmsg
IgG	Ig	Npmsg
+	+	Z
IgM	IgM	Sg
ELFA	elf	Ncmsg
3,49	3,49	Mdc
767,80	767,80	Mdc
LM170	LM170	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
Trichinella	Trichinell	Npmsg
IgG	Ig	Npmsg
+	+	Z
IgM	igi	Agpfsny
ELISA	elisa	Ncfsn
2,37	2,37	Mdc
521,40	521,40	Mdc
LM171	LM171	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Likvor	likvor	Ncmsn
–	–	Z
trihineloza	trihineloza	Ncfsn
IFA	IFA	Npfsn
1,73	1,73	Mdc
380,60	380,60	Mdc
LM172	LM172	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
/	/	Z
Ostalo	ostali	Agpnsny
-	-	Z
Trichin	Trichin	Npmsn
./	./	Z

Toxopl	Toxopl	Npmsn
./	./	Z

Toxoc	Toxoc	Npmsn
./	./	Z

Echin	Echin	Npmsn
./	./	Z

Leish	Leish	I
./	./	Z

Cystic	Cystic	Npmsn
./	./	Z

Fasc	Fasc	Npmsn
.	.	Z

Western	western	Ncmsn
blot	bloa	Ncfsg
10,81	10,81	Mdc
2.378,20	2.378,20	Mdc
LM173	LM173	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsan
-	-	Z
Plasmodium	Plasmodium	Npmsn
falciparum	falciparum	Xf
ICT	ICT	Xf
1,51	1,51	Mdc
332,20	332,20	Mdc
LM174	LM174	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
–	–	Z
Toxoplasma	Toxoplasm	Npmsg
ISAGA	ISAG	Npmsg
IgA	Ig	Npmsg
AGL	AG	Npmsg
.	.	Z
3,37	3,37	Mdc
741,40	741,40	Mdc
LM175	LM175	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsn
–	–	Z
Toxoplasma	Toxoplasm	Npmsg
ISAGA	ISAG	Npmsg
IgM	IgM	Npmsn
AGL	AGL	Npmsn
.	.	Z
2,20	2,20	Mdc
484,00	484,00	Mdc
LM176	LM176	Sa
Krv	krv	Ncfsa
/	/	Z
Serum	serum	Ncmsan
-	-	Z
Trichinela	Trichinela	Npfsn
spiralis	spiralis	Agpfsny
IgM	igi	Agpfsny
ELISA	elisa	Ncfsn
1,29	1,29	Mdc
283,80	283,80	Mdc
LM177	LM177	Mdo
Detekcija	detekcija	Ncfsn
parazita	parazit	Ncmpg
metodama	metoda	Ncfpd
molekularne	molekularan	Agpfsgy
biologije	biologija	Ncfsg
3,93	3,93	Mdc
864,60	864,60	Mdc
LM178	LM178	Mdo
Identifikacija	identifikacija	Ncfsn
parazita	parazit	Ncmsg
1,65	1,65	Mdc
363,00	363,00	Mdc
LM179	LM179	Mdc
Gusta	gust	Agpfsny
kap	kap	Ncfsn
i	i	Cc
krvni	krvni	Agpmsny
razmaz	razmaz	Ncmsn
–	–	Z
parazitološki	parazitološki	Agpmsny
1,00	1,00	Mdc
220,00	220,00	Mdc
LM180	LM180	Mdo
Identifikacija	identifikacija	Ncfsn
helminta	helmint	Ncmsg
1,94	1,94	Mdc
426,80	426,80	Mdc
LM181	LM181	Mdc
Umjentna	Umjentn	Npmsg
digestija	digest	Agcnpay
tkiva	tkivo	Ncnpa
na	na	Sa
parazite	parazit	Ncmpa
1,92	1,92	Mdc
422,40	422,40	Mdc
LM182	LM182	Mdc
Gusta	gust	Agpfsny
kap	kap	Ncfsn
na	na	Sa
malariju	malarija	Ncfsa
0,96	0,96	Mdc
211,20	211,20	Mdc
LM183	LM183	Mdc
Krvni	krvni	Agpmsny
razmaz	razmaz	Ncmsn
na	na	Sa
mikrofilarije	mikrofilarije	Ncnsa
0,96	0,96	Mdc
211,20	211,20	Mdc
LM184	LM184	Mdc
Gusta	gust	Agpfsny
kap	kap	Ncfsn
na	na	Sl
mikrofilarije	mikrofilarij	Ncmsl
0,96	0,96	Mdc
211,20	211,20	Mdc
LM185	LM185	Mdc
Miracidijski	miracidijski	Agpmsny
test	test	Ncmsn
0,96	0,96	Mdc
211,20	211,20	Mdc
LM186	LM186	Mdo
Detekcija	detekcija	Ncfsn
virusa	virus	Ncmpg
metodom	metoda	Sg
imunofluorescencije	imunofluorescencija	Ncfsg
-	-	Z
DFA	DFA	Npfsn
/	/	Z
IFA	IFA	Npfsg
RSV	RSV	Npfsg
ili	ili	Cc
HMPV	HMPV	Npmsn
ili	ili	Cc
Parainfluenca	Parainfluenc	Npmsay
ili	ili	Cc
Influenca	Influenc	Npmsay
ili	ili	Cc
Adeno	Adeno	Npmsn
ili	ili	Cc
VZV	VZV	Npmsn
ili	ili	Cc
HSV	HSV	Npmsn
ili	ili	Cc
drugi	drugi	Mlomsan
virus	virus	Ncmsan
2,13	2,13	Mdc
468,60	468,60	Mdc
LM187	LM187	Mdc
Respiratorni	respiratoran	Agpmsny
sincicijski	sincicijski	Agpmsny
virus	virus	Ncmsn
DFA	DF	Npmsg
1,72	1,72	Mdc
378,40	378,40	Mdc
LM188	lm188	Agpmsny
Virus	virus	Ncmsn
Parainfluence	Parainfluenca	Npmsg
DFA	DF	Npmsg
2,02	2,02	Mdc
444,40	444,40	Mdc
LM189	LM189	Mdc
hMPV	hMPV	Npfsn
DFA	DFA	Npfsn
1,75	1,75	Mdc
385,00	385,00	Mdc
LM190	lm190	Agpmsny
Herpes	herpes	Ncmsn
simplex	simplex	Agpmsny
virus	virus	Ncmsn
tip	tip	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
DFA	df	Ncmpg
2,45	2,45	Mdc
539,00	539,00	Mdc
LM191	LM191	Mdc
Adeno	adeno	Agpmpny
virusi	virus	Ncmpn
DFA	DF	Npmsg
1,73	1,73	Mdc
380,60	380,60	Mdc
LM192	LM192	Mdc
Virus	virus	Ncmsn
influence	influenca	Ncfpg
A	a	Cc
i	i	Qo
B	B	Npfsn
DFA	DFA	Npfsn
3,22	3,22	Mdc
708,40	708,40	Mdc
LM193	LM193	Mdo
Izolacija	izolacija	Ncfsn
virusa	virus	Ncmpg
na	na	Sl
staničnoj	stanični	Agpfsly
kulturi	kultura	Ncfsl
s	sa	Si
identifikacijskom	identifikacijski	Agpfsiy
metodom	metoda	Ncfsi
imunofluorescencije	imunofluorescencija	Ncfsg
influenca	influenc	Ncmpg
ili	ili	Cc
mumps	mump	Ncmsay
ili	ili	Cc
CMV	CMV	Npmsn
ili	ili	Cc
drugi	drugi	Mlomsn
9,62	9,62	Mdc
2.116,40	2.116,40	Mdc
LM194	LM194	Mdc
Cytomegalovirus	Cytomegalovirus	Xf
izolacija	izolacija	Ncfsn
8,44	8,44	Mdc
1.856,80	1.856,80	Mdc
LM195	lm195	Agpmpny
Enterovirusi	enterovirus	Ncmpn
–	–	Z
izolacija	izolacija	Ncfsn
7,30	7,30	Mdc
1.606,00	1.606,00	Mdc
LM196	LM196	Mdo
Izolacija	izolacija	Ncfsn
RSV	RSV	Npfsg
ili	ili	Cc
Parainfluenca	Parainfluenc	Npmsg
tip	tip	Ncmsn
2	2	Mdc
,	,	Z
3	3	Mdc
ili	ili	Cc
Adenovirusi	adenovirus	Ncmpn
7,08	7,08	Mdc
1.557,60	1.557,60	Mdc
LM197	lm197	Agpmsny
Virus	virus	Ncmsn
influence	influenca	Ncfsg
–	–	Z
A	a	Cc
,	,	Z
B	b	Aspfsny
Izolacija	izolacija	Ncfsn
13,00	13,00	Mdc
2.860,00	2.860,00	Mdc
LM198	lm198	Agpmsny
Virus	virus	Ncmsn
morbila	morbilo	Ncnsg
–	–	Z
izolacija	izolacija	Ncfsn
9,01	9,01	Mdc
1.982,20	1.982,20	Mdc
LM199	lm199	Agpmsny
Virus	virus	Ncmsn
parotitisa	parotitis	Ncmpg
–	–	Z
izolacija	izolacija	Ncfsn
11,58	11,58	Mdc
2.547,60	2.547,60	Mdc
LM200	lm200	Agpmsny
Virus	virus	Ncmsn
Varicelle	Varicella	Npfsg
zoster	zoster	Vaa3s
–	–	Z
izolacija	izolacija	Ncfsn
8,09	8,09	Mdc
1.779,80	1.779,80	Mdc
LM201	LM201	Mdc
HSV	hsv	Ncmsn
–	–	Z
izolacija	izolacija	Ncfsn
7,20	7,20	Mdc
1.584,00	1.584,00	Mdc
LM202	LM202	Mdo
Izolacija	izolacija	Ncfsn
virusa	virus	Ncmpg
na	na	Sl
staničnoj	stanični	Agpfsly
kulturi	kultura	Ncfsl
s	sa	Si
identifikacijom	identifikacija	Ncfsi
testom	test	Ncmsi
neutralizacije	neutralizacija	Ncfsg
enterovirusi	enterovirus	Ncmpn
ili	ili	Cc
drugi	drugi	Mlompn
7,11	7,11	Mdc
1.564,20	1.564,20	Mdc
LM203	LM203	Mdc
Neutralizacijski	neutralizacijski	Agpmsny
test	test	Ncmsn
na	na	Sa
stan	stan	Ncmsan
.	.	Z
kulturi	kultura	Ncfsl
za	za	Sa
dokaz	dokaz	Ncmsan
protutijela	protutijelo	Ncnsg
-	-	Z
DV15	DV15	Mdc
7,11	7,11	Mdc
1.564,20	1.564,20	Mdc
LM204	LM204	Mdo
Izolacija	izolacija	Ncfsn
influenca	influenc	Ncmpg
virusa	virus	Ncmpg
u	u	Sl
oplođenom	oploditi	Agpnsly
kokošjem	kokošji	Agpnsly
jajetu	jaje	Ncnsl
s	sa	Si
identifikacijom	identifikacija	Ncfsi
inhibicijom	inhibicija	Ncfsi
hemaglutinacije	hemaglutinacija	Ncfsg
13,00	13,00	Mdc
2.860,00	2.860,00	Mdc
LM205	LM205	Mdo
Detekcija	detekcija	Ncfsn
i	i	Cc
/	/	Z
ili	ili	Cc
kvantifikacija	kvantifikacija	Ncfsn
virusa	virus	Ncmpg
molekularnim	molekularan	Agpfpdy
metodama	metoda	Ncfpd
dijagnostike	dijagnostika	Ncfsg
influenca	influenc	Ncmpg
ili	ili	Cc
mumps	mump	Ncmsay
ili	ili	Cc
rubela	rubeti	Vmp-sf
ili	ili	Cc
ospice	ospice	Ncfpn
ili	ili	Cc
enterovirusi	enterovirus	Ncmpn
ili	ili	Cc
CMV	cmv	Agpmpny
ili	ili	Cc
virusi	virus	Ncmpn
hepatitisa	hepatitis	Ncmsg
ili	ili	Cc
v.	vi	Agpfsgy
dengue	dengua	Ncfsg
ili	ili	Cc
v	V	Ncfsn
Zapadnog	zapadni	Agpmsgy
Nila	Nil	Npmsg
ili	ili	Cc
drugi	drugi	Mlompn
3,86	3,86	Mdc
849,20	849,20	Mdc
LM206	LM206	Mdc
Norovirus	norovirus	Ncmsn
I	i	Cc
/	/	Z
II	ii	Mrc
/	/	Z
RSV	RSV	Npfsg
A	a	Cc
/	/	Z
B	b	X
RT-PCR	RT-PCR	Y
5,20	5,20	Mdc
1.144,00	1.144,00	Mdc
LM207	lm207	Agpmsny
Virus	virus	Ncmsn
dengue	dengua	Ncfsg
/	/	Z
CHIK	CHIK	Npmsn
RT-PCR	RT-PCR	Npmsn
4,05	4,05	Mdc
891,00	891,00	Mdc
LM208	LM208	Mdc
Virus	virus	Xf
influence	influence	Xf
A	a	Xf
/	/	Z
B	b	X
/	/	Z
AH1	AH1	X
/	/	Z
H3	H3	X
RT-PCR	RT-PCR	Npmsn
5,59	5,59	Mdc
1.229,80	1.229,80	Mdc
LM209	LM209	Mdc
Virus	virus	Xf
influence	influence	Xf
A	a	Xf
/	/	Z
B	b	X
/	/	Z
H1	H1	X
/	/	Z
H3	H3	X
/	/	Z
H1N1	H1N	Npmsg
/	/	Z
H5	H5	X
RT-PCR	RT-PCR	Npmsn

