identifikacijski	identifikacijski	Agpmsny
PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
34.	34.	Mdo

Prijelazne	prijelazan	Agpfpny
odredbe	odredba	Ncfpn

(	(	Z
1	1	Mdc
)	)	Z
Ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
spriječiti	spriječiti	Vmn
stavljanje	stavljanje	Ncnsa
u	u	Sa
uporabu	uporaba	Ncfsa
ili	ili	Cc
stavljanje	stavljanje	Ncnsa
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
posuda	posuda	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
obuhvaćene	obuhvatiti	Appfpny
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
jednostavnim	jednostavan	Agpfply
tlačnim	tlačni	Agpfply
posudama	posuda	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
58/10	58/10	Mdc
i	i	Cc
140/12	140/12	Mdc
)	)	Z
kojim	koji	Pi-msi
je	biti	Var3s
prenesena	prenijeti	Appfsny
Direktiva	direktiva	Ncfsn
2009/105	2009/105	Mdc
/	/	Z
EZ	EZ	Npmsn
,	,	Z
a	a	Cc
u	u	Sl
skladu	sklad	Ncmsl
su	biti	Var3p
s	sa	Si
tim	taj	Pd-nsi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
stavljene	stavljen	Agpfpny
na	na	Sa
tržište	tržište	Ncnsa
prije	prije	Sg
20.	20.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
Potvrde	potvrda	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
izdala	izdati	Vmp-pn
prijavljena	prijaviti	Appnpny
tijela	tijelo	Ncnpn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
jednostavnim	jednostavan	Agpfply
tlačnim	tlačni	Agpfply
posudama	posuda	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
58/10	58/10	Mdc
i	i	Cc
140/12	140/12	Mdc
)	)	Z
vrijede	vrijediti	Vmr3p
prema	prema	Sl
ovom	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
.	.	Z

Članak	članak	Ncmsn
35.	35.	Mdo

Stavljanje	stavljanje	Ncnsn
izvan	izvan	Sg
snage	snaga	Ncfsg

Danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
jednostavnim	jednostavan	Agpfply
tlačnim	tlačni	Agpfply
posudama	posuda	Ncfpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
58/10	58/10	Mdc
i	i	Cc
140/12	140/12	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
36.	36.	Mdo

Stupanje	stupanje	Ncnsn
na	na	Sa
snagu	snaga	Ncfsa
i	i	Cc
primjena	primjena	Ncfpg

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
20.	20.	Mdo
travnja	travanj	Ncmsg
2016.	2016.	Mdo

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/16	01/16	Mdc
-	-	Z
01/09	01/09	Mdc

Broj	broj	Ncmsn
:	:	Z
526	526	Mdc
-	-	Z
03	03	Mdc
-	-	Z
01	01	Mdc
-	-	Z
01/1	01/1	Mdc
-	-	Z
16	16	Mdc
-	-	Z
08	08	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
22.	22.	Mdo
ožujka	ožujak	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
Tomislav	Tomislav	Npmsn
Panenić	Panenić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

DODATAK	dodatak	Ncmsn
I.	I.	Mro

BITNI	bitan	Agpmpny
SIGURNOSNI	sigurnosni	Agpmpny
ZAHTJEVI	zahtjev	Ncmpn

1.	1.	Mdo
MATERIJALI	materijal	Ncmpn

Materijali	materijal	Ncmpn
se	sebe	Px--sa
biraju	birati	Vmr3p
prema	prema	Sl
namjeni	namjena	Ncfsl
posuda	posuda	Ncfpg
i	i	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkama	točka	Ncfpi
1.1.	1.	Agpfpiy
do	do	Sg
1.4.	1.4.	Mds

1.1.	1.1.	Mdo

Dijelovi	dio	Ncmpn
pod	pod	Si
tlakom	tlak	Ncmsi

Materijali	materijal	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
dijelova	dio	Ncmpg
pod	pod	Si
tlakom	tlak	Ncmsi
su	biti	Var3p
:	:	Z

–	–	Z
zavarljivi	zavarljiv	Agpmpny
;	;	Z

–	–	Z
plastični	plastičan	Agpmpny
i	i	Cc
žilavi	žilav	Agpmpny
,	,	Z
tako	tako	Cs
da	da	Cs
pri	pri	Sl
najnižoj	nizak	Agpfsly
radnoj	radni	Agpfsly
temperaturi	temperatura	Ncfsl
ne	ne	Qz
dolazi	dolaziti	Vmr3s
do	do	Sg
drobljenja	drobljenje	Ncnsg
ili	ili	Cc
krtog	krt	Agpmsgy
loma	lom	Ncmsg
;	;	Z

–	–	Z
otporni	otporan	Agpmpny
na	na	Sa
starenje	starenje	Ncnsa
.	.	Z

Materijali	materijal	Ncmpn
za	za	Sa
čelične	čeličan	Agpfpay
posude	posuda	Ncfpa
zadovoljavat	zadovoljavati	Vmn
će	htjeti	Var3s
osim	osim	Sg
toga	taj	Pd-nsg
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
točke	točka	Ncfsg
1.1.1.	1.1.1a	Ncfsg
,	,	Z
a	a	Cc
materijali	materijal	Ncmpn
za	za	Sa
aluminijske	aluminijski	Agpfpay
posude	posuda	Ncfpa
ili	ili	Cc
posude	posuda	Ncfsg
od	od	Sg
aluminijskih	aluminijski	Agpfpgy
legura	legura	Ncfpg
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
točke	točka	Ncfsg
1.1.2.	1.1.2.	Mds

Uz	uz	Sa
njih	oni	Pp3-pa
se	sebe	Px--sa
prilaže	prilagati	Vmr3s
zapisnik	zapisnik	Ncmsn
o	o	Sl
kontroli	kontrola	Ncfsl
kako	kako	Cs
je	biti	Var3s
određeno	odrediti	Appnsny
u	u	Sl
točki	točka	Ncfsl
3.1.9	3.1.9	Mdc
Dodatka	dodatak	Ncmsg
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
koji	koji	Pi-msn
sastavlja	sastavljati	Vmr3s
proizvođač	proizvođač	Ncmsn
materijala	materijal	Ncmsg
.	.	Z

1.1.1.	1.1.1.	Mdo

Čelične	čeličan	Agpfpny
posude	posuda	Ncfpn

Nelegirani	nelegiran	Agpmpny
kvalitetni	kvalitetan	Agpmpny
čelici	čelik	Ncmpn
moraju	morati	Vmr3p
zadovoljavati	zadovoljavati	Vmn
sljedeće	sljedeći	Agpmpay
zahtjeve	zahtjev	Ncmpa
:	:	Z

–		Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
umireni	umiriti	Appmpny
i	i	Cc
dostavljeni	dostaviti	Appmpny
nakon	nakon	Sg
postupka	postupak	Ncmsg
normalizacije	normalizacija	Ncfsg
ili	ili	Cc
u	u	Sl
istovjetnom	istovjetan	Agpnsly
stanju	stanje	Ncnsl
;	;	Z

–	–	Z
sadržaj	sadržaj	Ncmsan
ugljika	ugljik	Ncmsg
u	u	Sl
proizvodu	proizvod	Ncmsl
manji	mali	Agcmsny
je	biti	Var3s
od	od	Sg
0,25	0,25	Mdc
%	%	Z
,	,	Z
a	a	Cc
sadržaj	sadržaj	Ncmsn
sumpora	sumpor	Ncmsg
i	i	Cc
fosfora	fosfor	Ncmsg
manji	mali	Agcmsny
je	biti	Var3s
od	od	Sg
0,05	0,05	Mdc
%	%	Z
za	za	Sa
svaki	svaki	Pi-msan
element	element	Ncmsan
;	;	Z

–	–	Z
svaki	svaki	Pi-msn
proizvod	proizvod	Ncmsn
im	oni	Pp3-pd
sljedeća	sljedeći	Agpnpay
mehanička	mehanički	Agpnpay
svojstva	svojstvo	Ncnpa
:	:	Z

o	o	Sl
najveću	velik	Ncmsl
vlačnu	vlačni	Agpfsay
čvrstoću	čvrstoća	Ncfsa
Rm	Rm	I
,	,	Z
max	max	Rgp
manju	mali	Agcfsay
od	od	Sg
580	580	Mdc
N	N	Y
/	/	Z
mm2	mm2	Y
;	;	Z

o	o	Sa
istezanje	istezanje	Ncnsa
nakon	nakon	Sg
loma	lom	Ncmsg
iznosi	iznositi	Vmr3s
:	:	Z

za	za	Sa
uzorke	uzorak	Ncmpa
uzete	uzet	Agpfsgy
usporedno	usporedno	Rgp
sa	sa	Si
smjerom	smjer	Ncmsi
valjanja	valjanje	Ncnsg
:	:	Z

debljina	debljina	Ncfsn
≥	≥	Z
3	3	Mdc
mm	mm	Y
:	:	Z
A	a	Cc
≥	≥	Z
22	22	Mdc
%	%	Z
,	,	Z
debljina	debljina	Ncfsn
<	<	Z
3	3	Mdc
mm	mm	Y
:	:	Z
A80	A80	Mdc
mm	mm	Y
≥	≥	Z
17	17	Mdc
%	%	Z
,	,	Z

za	za	Sa
uzorke	uzorak	Ncmpa
uzete	uzeti	Appmpay
okomito	okomito	Rgp
na	na	Sa
smjer	smjer	Ncmsan
valjanja	valjanje	Ncnsg
:	:	Z

debljina	debljina	Ncfsn
≥	≥	Z
3	3	Mdc
mm	mm	Y
:	:	Z
A	a	Cc
≥	≥	Z
20	20	Mdc
%	%	Z
,	,	Z
debljina	debljina	Ncfsn
<	<	Z
3	3	Mdc
mm	mm	Y
:	:	Z
A80	A80	Mdc
mm	mm	Y
≥	≥	Z
15	15	Mdc
%	%	Z
;	;	Z

–	–	Sa
udarni	udarni	Agpmsayn
rad	rad	Ncmsan
loma	lom	Ncmsg
po	po	Sl
površini	površina	Ncfsl
poprečnog	poprečan	Agpmsgy
presjeka	presjek	Ncmsg
KCV	KCV	Npmsn
za	za	Sa
tri	tri	Mlc
uzdužna	uzdužan	Agpmsgn
ispitna	ispitan	Agpmsgn
uzorka	uzorak	Ncmsg
pri	pri	Sl
najvišoj	visok	Agpfsly
radnoj	radni	Agpfsly
temperaturi	temperatura	Ncfsl
nije	biti	Var3s
manja	mali	Agcfsny
od	od	Sg
35	35	Mdc
J	j	Y
/	/	Z
cm2	cm2	Y
.	.	Z

Samo	samo	Rgp
jedan	jedan	Mlcmsn
od	od	Sg
tri	tri	Mlc
rezultata	rezultat	Ncmsg
smije	smjeti	Vmr3s
biti	biti	Van
manji	mali	Agcmsny
od	od	Sg
35	35	Mdc
J	j	Y
/	/	Z
cm2	cm2	Y
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
najmanja	mali	Agsfsny
vrijednost	vrijednost	Ncfsn
25	25	Mdc
J	j	Y
/	/	Z
cm2	cm2	Y
.	.	Z

Za	za	Sa
čelike	čelik	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
namjeravaju	namjeravati	Vmr3p
koristiti	koristiti	Vmn
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
posuda	posuda	Ncfpg
gdje	gdje	Cs
je	biti	Var3s
najniža	nizak	Agsfsny
radna	radni	Agpfsny
temperatura	temperatura	Ncfsn
manja	mali	Agcfsny
od	od	Sg
–	–	Z
10	10	Mdc
°	°	Z
C	C	X
,	,	Z
a	a	Cc
debljina	debljina	Ncfsn
stijenke	stijenka	Ncfsg
posude	posuda	Ncfsg
veća	velik	Agcfsny
od	od	Sg
5	5	Mdc
mm	mm	Ncmpg
,	,	Z
to	taj	Pd-nsn
se	sebe	Px--sa
svojstvo	svojstvo	Ncnsn
provjerava	provjeravati	Vmr3s
.	.	Z

1.1.2.	1.1.2.	Mdo

Aluminijske	aluminijski	Agpfpny
posude	posuda	Ncfpn

Nelegirani	nelegiran	Agpmsny
aluminij	aluminij	Ncmsn
sadrži	sadržati	Vmr3s
najmanje	malo	Rgs
99,5	99,5	Mdc
%	%	Z
aluminija	aluminij	Ncmsg
,	,	Z
a	a	Cc
legure	legura	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
1.	1.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
pokazuju	pokazivati	Vmr3p
dovoljnu	dovoljan	Agpfsay
otpornost	otpornost	Ncfsa
na	na	Sa
interkristalnu	interkristalan	Agpfsay
koroziju	korozija	Ncfsa
pri	pri	Sl
najvišoj	visok	Agsfsly
radnoj	radni	Agpfsly
temperaturi	temperatura	Ncfsl
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
ovi	ovaj	Pd-mpn
materijali	materijal	Ncmpn
zadovoljavaju	zadovoljavati	Vmr3p
sljedeće	sljedeći	Agpmpay
zahtjeve	zahtjev	Ncmpa
:	:	Z

–		Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
isporučeni	isporučiti	Appmpny
u	u	Sl
žarenom	žariti	Agpnsly
stanju	stanje	Ncnsl
;	;	Z

–		Ncmpn
moraju	morati	Vmr3p
imati	imati	Vmn
sljedeća	sljedeći	Agpnpay
mehanička	mehanički	Agpnpay
svojstva	svojstvo	Ncnpa
za	za	Sa
svaki	svaki	Pi-msan
proizvod	proizvod	Ncmsan
:	:	Z

•	•	Z

