oznaku	oznaka	Ncfsa
prakse	praksa	Ncfsg
,	,	Z
koje	koji	Pi-fpn
podatke	podatak	Ncmpa
unose	unositi	Vmr3p
u	u	Sa
Upisnik	upisnik	Ncmsan
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
.	.	Z

Podatak	podatak	Ncmsn
da	da	Cs
je	biti	Var3s
pas	pas	Ncmsn
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
evidentiran	evidentirati	Appmsnn
u	u	Sl
Upisniku	upisnik	Ncmsl
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
,	,	Z
cijepljen	cijepiti	Appmsnn
u	u	Sa
EU	E	Npmsl
ili	ili	Cc
trećim	treći	Mlofpi
zemljama	zemlja	Ncfpi
posjednik	posjednik	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
prijaviti	prijaviti	Vmn
najkasnije	kasan	Agsfsgy
prije	prije	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
za	za	Sa
redovno	redovan	Agpnsay
cijepljenje	cijepljenje	Ncnsa
protiv	protiv	Sg
bjesnoće	bjesnoća	Ncfsg
ovlaštenoj	ovlašten	Agpfsly
veterinarskoj	veterinarski	Agpfsly
organizaciji	organizacija	Ncfsl
ili	ili	Cc
ambulanti	ambulanta	Ncfsl
veterinarske	veterinarski	Agpfsgy
prakse	praksa	Ncfsg
,	,	Z
koje	koji	Pi-fpn
podatke	podatak	Ncmpa
unose	unositi	Vmr3p
u	u	Sa
Upisnik	upisnik	Ncmsan
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
.	.	Z

Za	za	Sa
troškove	trošak	Ncmpa
označavanja	označavanje	Ncnsg
i	i	Cc
izdavanja	izdavanje	Ncnsg
Putovnice	putovnica	Ncfsg
posjednik	posjednik	Ncmsn
plaća	plaćati	Vmr3s
propisanu	propisati	Agpfsay
naknadu	naknada	Ncfsa
.	.	Z

Za	za	Sa
troškove	trošak	Ncmpa
upisa	upis	Ncmsg
podataka	podatak	Ncmpg
u	u	Sa
Upisnik	upisnik	Ncmsan
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
posjednik	posjednik	Ncmsn
plaća	plaćati	Vmr3s
propisanu	propisati	Agpfsay
naknadu	naknada	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

•	i	Agpfpny
prijave	prijava	Ncfpn
nabave	nabava	Ncfsg
kućnog	kućni	Agpmsgy
ljubimca	ljubimac	Ncmsg
,	,	Z

•	i	Agpfpay
prijave	prijava	Ncfpa
posjednika	posjednik	Ncmpg
da	da	Cs
je	biti	Var3s
kućni	kućni	Agpmsny
ljubimac	ljubimac	Ncmsn
,	,	Z
registriran	registrirati	Appmsnn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
cijepljen	cijepiti	Appmsnn
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Ovlaštene	ovlastiti	Appfpny
veterinarske	veterinarski	Agpfsgy
organizacije	organizacija	Ncfsg
i	i	Cc
ambulante	ambulanta	Ncfsg
veterinarske	veterinarski	Agpfsgy
prakse	praksa	Ncfsg
dužne	dužan	Agpfsgy
su	biti	Var3p
posjedniku	posjednik	Ncmsd
,	,	Z
uz	uz	Sa
račun	račun	Ncmsan
o	o	Sl
izvršenoj	izvršen	Agpfsly
usluzi	usluga	Ncfsl
,	,	Z
izdati	izdati	Vmn
i	i	Cc
dokaz	dokaz	Ncmsan
o	o	Sl
obavljenom	obaviti	Agpmsly
upisu	upis	Ncmsl
podataka	podatak	Ncmpg
(	(	Z
ispis	ispis	Ncmsn
iz	iz	Sg
Upisnika	upisnik	Ncmsg
)	)	Z
.	.	Z

Posjedniku	posjednik	Ncmsd
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
ispis	ispis	Ncmsn
iz	iz	Sg
Upisnika	upisnik	Ncmsg
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
odjave	odjava	Ncfsg
kućnog	kućni	Agpmsgy
ljubimca	ljubimac	Ncmsg
.	.	Z

Kućni	kućni	Agpmpny
ljubimci	ljubimac	Ncmpn
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
Putovnica	putovnica	Ncfsn
za	za	Sa
kućne	kućni	Agpmpay
ljubimce	ljubimac	Ncmpa
moraju	morati	Vmr3p
biti	biti	Van
označeni	označiti	Appmpny
mikročipom	mikročip	Ncmsi
i	i	Cc
upisani	upisati	Appmpny
u	u	Sa
Upisnik	upisnik	Ncmsan
kućnih	kućni	Agpmpgy
ljubimaca	ljubimac	Ncmpg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
dana	dan	Ncmsg
od	od	Sg
nastalog	nastao	Agpmsgy
događaja	događaj	Ncmsg
.	.	Z

Prilikom	prilikom	Sg
cijepljenja	cijepljenje	Ncnsg
psa	pas	Ncmsg
protiv	protiv	Sg
bjesnoće	bjesnoća	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
obaviti	obaviti	Vmn
dehelmintizacija	dehelmintizacija	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Dijelom	dio	Ncmsi
V.	i	Agpfsiy
točkom	točka	Ncfsi
1.	1.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
Naredbe	naredba	Ncfsg
.	.	Z

Troškovi	trošak	Ncmpn
provedbe	provedba	Ncfsg
dehelmintizacije	dehelmintizacija	Ncfsg
uključeni	uključiti	Appmpny
su	biti	Var3p
u	u	Sa
cijenu	cijena	Ncfsa
cijepljenja	cijepljenje	Ncnsg
protiv	protiv	Sg
bjesnoće	bjesnoća	Ncfsg
.	.	Z

Veterinar	veterinar	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
upozoriti	upozoriti	Vmn
posjednika	posjednik	Ncmsay
psa	pas	Ncmsay
o	o	Sl
obveznom	obvezan	Agpnsly
neškodljivom	neškodljiv	Agpnsly
uklanjanju	uklanjanje	Ncnsl
izmeta	izmet	Ncmsg
tijekom	tijekom	Sg
48	48	Mdc
sati	sat	Ncmpg
nakon	nakon	Sg
dehelmintizacije	dehelmintizacija	Ncfsg
.	.	Z

Kontrola	kontrola	Ncfsn
provedbe	provedba	Ncfsg
i	i	Cc
učinkovitosti	učinkovitost	Ncfsg
oralnog	oralan	Agpnsgy
cijepljenja	cijepljenje	Ncnsg
lisica	lisica	Ncfpg

Radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
učinkovitosti	učinkovitost	Ncfsg
provedbe	provedba	Ncfsg
oralnog	oralan	Agpnsgy
cijepljenja	cijepljenje	Ncnsg
lisica	lisica	Ncfpg
propisanog	propisati	Appnsgy
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
oralnom	oralan	Agpnsly
cijepljenju	cijepljenje	Ncnsl
lisica	lisica	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
137/13	137/13	Mds
)	)	Z
i	i	Cc
Dijelom	dio	Ncmsi
IV	IV	Mrc
,	,	Z
točkom	točka	Ncfsi
7.	7.	Mdo
,	,	Z
stavkom	stavak	Ncmsi
2.	2.	Mdo
Naredbe	naredba	Ncfpn
lovoovlaštenici	lovoovlaštenik	Ncmpn
moraju	morati	Vmr3p
dostaviti	dostaviti	Vmn
svaku	svaki	Pi-fsa
odstrijeljenu	odstrijeliti	Agpfsay
lisicu	lisica	Ncfsa
najbližoj	blizak	Sl
ovlaštenoj	ovlašten	Agpfsly
veterinarskoj	veterinarski	Agpfsly
organizaciji	organizacija	Ncfsl
.	.	Z

Odstrel	odstrel	Ncmsn
lisica	lisica	Ncfpg
mogu	moći	Vmr3p
obavljati	obavljati	Vmn
osobe	osoba	Ncfpa
s	sa	Si
položenim	položiti	Agpmsiy
lovačkim	lovački	Agpmsiy
ispitom	ispit	Ncmsi
te	te	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
.	.	Z

Ovlaštena	ovlastiti	Appfsny
veterinarska	veterinarski	Agpfsny
organizacija	organizacija	Ncfsn
lešine	lešina	Ncfsg
s	sa	Si
popratnim	popratni	Agpmsiy
Obrascem	obrazac	Ncmsi
za	za	Sa
dostavu	dostava	Ncfsa
uzoraka	uzorak	Ncmpg
na	na	Sa
laboratorijsko	laboratorijski	Agpnsay
pretraživanje	pretraživanje	Ncnsa
mora	morati	Vmr3s
dostaviti	dostaviti	Vmn
u	u	Sa
najbliži	blizak	Agpmsayn
laboratorij	laboratorij	Ncmsan
Hrvatskog	hrvatski	Agpmsgy
veterinarskog	veterinarski	Agpmsgy
instituta	institut	Ncmsg
,	,	Z
i	i	Cc
to	taj	Pd-nsa
:	:	Z
Hrvatski	hrvatski	Agpmsny
veterinarski	veterinarski	Agpmsny
institut	institut	Ncmsn
Zagreb	Zagreb	Npmsn
i	i	Cc
Veterinarske	veterinarski	Agpmpay
zavode	zavod	Ncmpa
Rijeka	Rijeka	Npfsn
,	,	Z
Križevci	Križevca	Npfsl
,	,	Z
Vinkovci	Vinkovca	Npfsl
i	i	Cc
Split	Split	Npmsn
.	.	Z

Na	na	Sl
obrascu	obrazac	Ncmsl
se	sebe	Px--sa
mora	morati	Vmr3s
naznačiti	naznačiti	Vmn
da	da	Cs
se	sebe	Px--sa
uzorak	uzorak	Ncmsn
lisice	lisica	Ncfsg
šalje	slati	Vmr3s
u	u	Sa
svrhu	svrha	Ncfsa
kontrole	kontrola	Ncfsg
učinkovitosti	učinkovitost	Ncfsg
oralnog	oralan	Agpnsgy
cijepljenja	cijepljenje	Ncnsg
lisica	lisica	Ncfpg
.	.	Z

Veterinarski	veterinarski	Rgp
zavodi	zavoditi	Vmr3s
Rijeka	Rijeka	Npfsn
,	,	Z
Križevci	Križevca	Npfsl
,	,	Z
Vinkovci	Vinkovca	Npfsl
i	i	Cc
Split	Split	Npmsn
dostavljaju	dostavljati	Vmr3p
uzorke	uzorak	Ncmpa
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
veterinarski	veterinarski	Agpmsayn
institut	institut	Ncmsan
Zagreb	Zagreb	Npmsn
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
dijagnostičko	dijagnostički	Agpnsay
pretraživanje	pretraživanje	Ncnsa
u	u	Sa
svrhu	svrha	Ncfsa
kontrole	kontrola	Ncfsg
učinkovitosti	učinkovitost	Ncfsg
oralne	oralan	Agpfsgy
vakcinacije	vakcinacija	Ncfsg
.	.	Z

Za	za	Sa
potrebe	potreba	Ncfpa
utvrđivanja	utvrđivanje	Ncnsg
učinkovitosti	učinkovitost	Ncfsg
provedbe	provedba	Ncfsg
oralne	oralan	Agpfsgy
vakcinacije	vakcinacija	Ncfsg
lisica	lisica	Ncfpg
uzorkom	uzorak	Ncmsi
se	sebe	Px--sa
smatra	smatrati	Vmr3s
cijela	cijel	Agpfsny
lešina	lešina	Ncfsn
lisice	lisica	Ncfsg
.	.	Z

Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
provele	provesti	Vmp-pf
odgovarajuće	odgovarajući	Agpfpny
laboratorijske	laboratorijski	Agpfpny
pretrage	pretraga	Ncfpn
potrebno	potreban	Agpnsny
je	biti	Var3s
odstrijeliti	odstrijeliti	Vmn
naizgled	naizgled	Rgp
zdrave	zdrav	Agpfpay
lisice	lisica	Ncfpa
starije	star	Agcfpny
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
,	,	Z
koje	koji	Pi-fpn
ne	ne	Qz
pokazuju	pokazivati	Vmr3p
znakove	znak	Ncmpa
bolesti	bolest	Ncfsg
.	.	Z

Uzorkovanje	uzorkovanje	Ncnsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
lešina	lešina	Ncfsn
lisice	lisica	Ncfsg
prikupi	prikupiti	Vmr3s
neposredno	neposredno	Rgp
nakon	nakon	Sg
odstrela	odstrel	Ncmsg
,	,	Z
zapakira	zapakirati	Vmr3s
u	u	Sa
nepropusnu	nepropustan	Agpfsay
PVC	pvc	Agpfsay
vreću	vreća	Ncfsa
te	te	Cc
što	što	Cs
je	biti	Var3s
prije	prije	Rgp
moguće	moguć	Agpnsny
dostavi	dostaviti	Vmr3s
ovlaštenoj	ovlašten	Agpfsdy
veterinarskoj	veterinarski	Agpfsly
organizaciji	organizacija	Ncfsl
.	.	Z

Pri	pri	Sl
zaprimanju	zaprimanje	Ncnsl
uzorka	uzorak	Ncmsg
ovlaštena	ovlašten	Agpfsny
veterinarska	veterinarski	Agpfsny
organizacija	organizacija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
provjeriti	provjeriti	Vmn
kvalitetu	kvaliteta	Ncfsa
istoga	isti	Ncmsg
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
stupanj	stupanj	Ncmsn
autolitičkih	autolitički	Agpfpgy
promjena	promjena	Ncfpg
.	.	Z

Ukoliko	ukoliko	Cs
je	biti	Var3s
uzorak	uzorak	Ncmsn
ispravan	ispravan	Agpmsnn
,	,	Z
ovlaštena	ovlašten	Agpfsny
veterinarska	veterinarski	Agpfsny
organizacija	organizacija	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
ispuniti	ispuniti	Vmn
Obrazac	obrazac	Ncmsan
za	za	Sa
dostavu	dostava	Ncfsa
uzoraka	uzorak	Ncmpg
na	na	Sa
laboratorijsko	laboratorijski	Agpnsay
pretraživanje	pretraživanje	Ncnsa
sa	sa	Si
svim	sav	Agpmsiy

