primjene	primjena	Ncfpa
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
financija	financije	Ncfpg
,	,	Z
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
automatskom	automatski	Agpfsiy
razmjenom	razmjena	Ncfsi
dostavlja	dostavljati	Vmr3s
informacije	informacija	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
,	,	Z
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
porezno	porezni	Agpnsay
razdoblje	razdoblje	Ncnsa
,	,	Z
do	do	Sg
30.	30.	Mdo
rujna	rujan	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
prethodnu	prethodan	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Automatska	automatski	Agpfsny
razmjena	razmjena	Ncfsn
informacija	informacija	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odvija	odvijati	Vmr3s
se	sebe	Px--sa
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
u	u	Sl
propisanom	propisati	Agpmsly
formatu	format	Ncmsl
objavljenom	objaviti	Appmsly
na	na	Sl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
,	,	Z
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
mogu	moći	Vmr3p
koristiti	koristiti	Vmn
vanjske	vanjski	Agpmpay
pružatelje	pružatelj	Ncmpa
usluga	usluga	Ncfpg
radi	radi	Sg
izvršavanja	izvršavanje	Ncnsg
obveza	obveza	Ncfpg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ali	ali	Cc
su	biti	Var3p
te	taj	Pd-fpn
obveze	obveza	Ncfpn
i	i	Cc
nadalje	nadalje	Rgp
odgovornost	odgovornost	Ncfsa
izvještajnih	izvještajni	Agpfpgy
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ministar	ministar	Ncmsn
financija	financije	Ncfpg
utvrdit	utvrditi	Vmn
će	htjeti	Var3s
Popis	popis	Ncmsn
subjekata	subjekt	Ncmpg
i	i	Cc
računa	račun	Ncmpg
koje	koji	Pi-mpa
treba	trebati	Vmr3s
tretirati	tretirati	Vmn
kao	kao	Cs
neizvještajne	neizvještajan	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
i	i	Cc
kao	kao	Cs
isključene	isključiti	Appmpay
račune	račun	Ncmpa
sukladno	sukladno	Rgp
pravilima	pravilo	Ncnpd
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
financija	financije	Ncfpg
,	,	Z
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
osigurava	osiguravati	Vmr3s
da	da	Cs
neizvještajne	neizvještajan	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
i	i	Cc
isključeni	isključiti	Appmpny
računi	račun	Ncmpn
udovoljavaju	udovoljavati	Vmr3p
svim	sav	Agpmpdy
zahtjevima	zahtjev	Ncmpd
sukladno	sukladno	Rgp
pravilima	pravilo	Ncnpi
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
i	i	Cc
po	po	Sl
potrebi	potreba	Ncfsl
ažurira	ažurirati	Vmr3s
Popis	popis	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ministar	ministar	Ncmsn
financija	financije	Ncfpg
pravilnikom	pravilnik	Ncmsi
će	htjeti	Var3s
urediti	urediti	Vmn
definicije	definicija	Ncfpa
pojmova	pojam	Ncmpg
,	,	Z
pravila	pravilo	Ncnpg
izvješćivanja	izvješćivanje	Ncnsg
i	i	Cc
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
potrebne	potreban	Agpfpny
za	za	Sa
provedbu	provedba	Ncfsa
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

U	u	Sl
članku	članak	Ncmsl
182.	182.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
stavci	stavak	Ncmpn
6.	6.	Mdo
,	,	Z

