dužan	dužan	Agpmsnn
1.	1.	Mdo
Troškovi	trošak	Ncmpn
članova	član	Ncmpg
povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
grla	grlo	Ncnsg
:	:	Z

1.	1.	Mdo
a.	a.	Agpmpny
1.1.	1.1.	Agpmpny
troškovi	trošak	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
navode	navoditi	Vmr3p
u	u	Sl
putnom	putni	Agpmsly
nalogu	nalog	Ncmsl
:	:	Z

–	–	Sa
obračun	obračun	Ncmsan
dnevnica	dnevnica	Ncfpg

–	–	Sa
obračun	obračun	Ncmsan
prijevoznih	prijevozni	Agpmpgy
troškova	trošak	Ncmpg

–	–	Z
obračun	obračun	Ncmsan
troškova	trošak	Ncmpg
smještaja	smještaj	Ncmsg

1.	1.	Mdo
a.	a.	Agpmpny
1.2.	1.2.	Agpmpny
troškovi	trošak	Ncmpn
intelektualnog	intelektualan	Agpmsgy
rada	rad	Ncmsg
sukladno	sukladno	Rgp
iznosu	iznos	Appmpny
navedenom	navesti	Appmsly
u	u	Sl
ugovoru	ugovor	Ncmsl
o	o	Sl
djelu	djelo	Ncnsl
ili	ili	Cc
računu	račun	Ncmsl

1.	1.	Mdo
a.	a.	Y
2.	2.	Mdo
Troškovi	trošak	Ncmpn
najma	najam	Ncmsg
prostora	prostor	Ncmsg
i	i	Cc
kupovine	kupovina	Ncfsg
/	/	Z
najma	najam	Ncmsg
opreme	oprema	Ncfsg
neophodne	neophodan	Agpfpny
za	za	Sa
provođenje	provođenje	Ncnsa
testiranja	testiranje	Ncnsg
/	/	Z
ocjene	ocjena	Ncfsg
grla	grlo	Ncnsg

1.	1.	Mdo
a.	a.	Y
2.1.	2.1.	Mdo
najam	najam	Ncmsn
dvorane	dvorana	Ncfsg
za	za	Sa
jahanje	jahanje	Ncnsa
/	/	Z
jahaonice	jahaonica	Ncfsg

1.	1.	Mdo
a.	a.	Y
2.2.	2.2.	Mds
kupovina	kupovina	Ncfpg
/	/	Z
najam	najam	Ncmsn
opreme	oprema	Ncfsg
:	:	Z

–	i	Agpfpay
motke	motka	Ncfpa

–	–	Z
kavalete	kavivati	Vmr2p

–	–	Pd-fsg
prepone	prepona	Ncfsg

–	–	Agpmpny
čunjevi	čunj	Ncmpn

–	–	Z
traka	traka	Ncfsn
za	za	Sa
ograđivanje	ograđivanje	Ncnsa
prostora	prostor	Ncmsg

–	i	Agpfpay
zastavice	zastavica	Ncfpa

–	–	Z
obilježivači	obilježivač	Ncmpn
ulaza	ulaz	Ncmsg
/	/	Z
izlaza	izlaz	Ncmsg
,	,	Z
skretanja	skretanje	Ncnsg
/	/	Z
smjera	smjer	Ncmsg
prolazaka	prolazak	Ncmpg
na	na	Sl
utrci	utrka	Ncfsl
/	/	Z
natjecanju	natjecanje	Ncnsl

–	–	Pd-mpn
znakovi	znak	Ncmpn
za	za	Sa
start	start	Ncmsan
i	i	Cc
cilj	cilj	Ncmsan

–	i	Agpnsny
vapno	vapno	Ncnsn

–		Agpfpgy
boja	boja	Ncfpg

1.	1.	Mdo
b.	b.	Y
Podmjera	podmjer	Agpfsny
Potpora	potpora	Ncfsn
organizaciji	organizacija	Ncfsd
konjičkih	konjički	Agpnpgy
sportskih	sportski	Agpnpgy
natjecanja	natjecanje	Ncnpg
(	(	Z
Nacionalnog	nacionalan	Agpmsgy
kupa	kup	Ncmsg
/	/	Z
prvenstva	prvenstvo	Ncnsg
u	u	Sl
preponskom	preponski	Agpnsly
jahanju	jahanje	Ncnsl
,	,	Z
prvenstvenih	prvenstven	Agpnpgy
natjecanja	natjecanje	Ncnpg
u	u	Sl
zaprežnom	zaprežni	Agpmsly
sportu	sport	Ncmsl
i	i	Cc
daljinskom	daljinski	Agpnsly
jahanju	jahanje	Ncnsl
)	)	Z

1.	1.	Mdo
b.	b.	Y
1.	1.	Mdo
Troškovi	trošak	Ncmpn
službenog	služben	Agpnsgy
osoblja	osoblje	Ncnsg
na	na	Sl
natjecanju	natjecanje	Ncnsl
/	/	Z
turniru	turnir	Ncmsl
(	(	Z
uključujući	uključivati	Rr
troškove	trošak	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
sukladni	sukladan	Agpmpny
troškovima	trošak	Ncmpi
iz	iz	Sg
točaka	točka	Ncfpg
1.	1.	Mdo
a.	a.	Y
1.1.	1.1.	Mdo
i	i	Cc
1.	1.	Mdo
a.	a.	Y
1.2.	1.2.	Mds

1.	1.	Mdo
b.	b.	Y
1.1.	1.1.	Agpmpny
suci	sudac	Ncmpn

1.	1.	Mdo
b.	b.	Y
1.2.	1.2.	Agpmsny
dežurni	dežuran	Agpmsny
liječnik	liječnik	Ncmsn

1.	1.	Mdo
b.	b.	Y
1.3.	1.3.	Agpmsny
dežurni	dežuran	Agpmsny
potkivač	potkivač	Ncmsn

1.	1.	Mdo
b.	b.	Y
1.4.	1.4.	Agpmsny
dežurni	dežuran	Agpmsny
veterinar	veterinar	Ncmsn

1.	1.	Mdo
b.	b.	Y
1.5.	1.5.	Mdo
steward	stewara	Ncfsg

1.	1.	Mdo
b.	b.	Y
1.6.	1.6.	Agpmsny
službeni	služben	Agpmsny
komentator	komentator	Ncmsn
/	/	Z
najavljivač	najavljivač	Ncmsn

1.	1.	Mdo
b.	b.	Y
1.7.	1.7.	Agpmsny
službeni	služben	Agpmsny
fotograf	fotograf	Ncmsn

1.	1.	Mdo
b.	b.	Y
1.8.	1.8.	Mds
redarska	redarski	Agpfsny
služba	služba	Ncfsn

1.	1.	Mdo
b.	b.	Y
1.9.	1.9.	Agpmsny
dizajner	dizajner	Ncmsn
/	/	Z
postavljač	postavljač	Ncmsn
parkura	parkur	Ncmpg
(	(	Z
borilišta	borilište	Ncnsg
)	)	Z

1.	1.	Mdo
b.	b.	Y
1.10.	1.10.	Mdo
pomoćnici	pomoćnik	Ncmpn
dizajnera	dizajner	Ncmsg
/	/	Z
postavljača	postavljač	Ncmpg
parkura	parkura	Ncfpg
(	(	Z
borilišta	borilište	Ncnsg
)	)	Z

1.	1.	Mdo
b.	b.	Y
1.11.	1.11.	Mdo
pomoćno	pomoćan	Agpnsny
osoblje	osoblje	Ncnsn
koje	koji	Pi-nsn
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
smještaju	smještaj	Ncmsl
,	,	Z
hranidbi	hranidba	Ncfsl
,	,	Z
držanju	držanje	Ncnsl
i	i	Cc
opremanju	opremanje	Ncnsl
konja	konj	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.12.	1.12.	Mdo
šefa	šef	Ncmsg
padoka	padok	Ncmsg
/	/	Z
zagrijavališta	zagrijavališt	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.13.	1.13.	Mds
zapisničara	zapisničar	Ncmpg
natjecanja	natjecanje	Ncnsg

1.	1.	Mdo
b.	b.	Y
1.14.	1.14.	Mds
vozača	vozač	Ncmpg
start	start	Ncmsn
mašine	Mašin	Ncfsg

1.	1.	Mdo
b.	b.	Y
1.15.	1.15.	Mds
handicapera	handicaper	Ncmpg

1.	1.	Mdo
b.	b.	Y
1.16.	1.16.	Mdo
vozača	vozač	Ncmsg
autostarta	autostart	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.17.	1.17.	Mdo
tajnika	tajnik	Ncmpg
utrka	utrka	Ncfpg

1.	1.	Mdo
b.	b.	Y
1.18.	1.18.	Mdo
starter	starter	Ncmsan

1.	1.	Mdo
b.	b.	Y
1.19.	1.19.	Mdo
informatičar	informatičar	Ncmsn
/	/	Z
informatička	informatički	Agpfsny
podrška	podrška	Ncfsn

1.	1.	Mdo
b.	b.	Y
1.19.1.	1.19.1.	Sa
mjerenje	mjerenje	Ncnsa
vremena	vrijeme	Ncnsg
:	:	Z

1.	1.	Mdo
b.	b.	Y
1.19.2.	1.19.2.	Mdo
obrada	obrada	Ncfsn
podataka	podatak	Ncmpg

1.	1.	Mdo
b.	b.	Y
1.19.2.1.	1.19.2.1i	Agpnsny
vođenje	vođenje	Ncnsn
prijemnog	prijemni	Agpmsgy
ureda	ured	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.19.2.2.	1.19.2.2.	Mdo
izrada	izrada	Ncfsn
startnih	startni	Agpfpgy
lista	lista	Ncfpg

1.	1.	Mdo
b.	b.	Y
1.19.2.3.	1.19.2.3.	Mdo
izrada	izrada	Ncfsn
rezultatskih	rezultatski	Agpfpgy
lista	lista	Ncfpg

1.	1.	Mdo
b.	b.	Y
1.19.2.4.	1.19.2.4.	Mdo
izrada	izrada	Ncfsn
ocjenskih	ocjenski	Agpfpgy
lista	lista	Ncfpg

1.	1.	Mdo
b.	b.	Y
1.19.2.5.	1.19.2.5.	Mdo
vođenje	vođenje	Ncnsn
blagajne	blagajna	Ncfsg

1.	1.	Mdo
b.	b.	Y
1.19.2.6.	1.19.2.6.	Y
priprema	pripremati	Vmr3s
podataka	podatak	Ncmpg
za	za	Sa
dostavu	dostava	Ncfsa
medijima	medij	Ncmpi

1.	1.	Mdo
b.	b.	Y
1.19.2.7.	1.19.2.7	Agpfpgy
izrada	izrada	Ncfpg
akreditacija	akreditacija	Ncfpg

1.	1.	Mdo
b.	b.	Y
1.19.2.8.	1.19.2.8i	Agpnsay
opsluživanje	opsluživanje	Ncnsa
videozida	videozid	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.19.3.	1.19.3.	Mds

Izrada	izrada	Ncfsn
i	i	Cc
održavanje	održavanje	Ncnsn
web-stranice	web-stranica	Ncfsg
,	,	Z
objava	objava	Ncfsn
vijesti	vijest	Ncfpg
na	na	Sa
web	web	Ncmsan
-	-	Z
-	-	Z
stranici	stranica	Ncfsl

1.	1.	Mdo
b.	b.	Y
1.19.4.	1.19.4.	Mds

Podrška	podrška	Ncfsn
natjecanjima	natjecanje	Ncnpd
na	na	Sl
društvenim	društven	Agpfply
mrežama	mreža	Ncfpl

1.	1.	Mdo
b.	b.	Y
1.19.5.	1.19.5.	Mds

Videosnimanje	videosnimanje	Ncnsn

1.	1.	Mdo
b.	b.	Y
1.19.6.	1.19.6.	Mds

Live	live	Agpmsny
streaming	streaming	Ncmsn
natjecanja	natjecanje	Ncnsg

1.	1.	Mdo
b.	b.	Y
1.19.7.	1.19.7.	Mds

Izrada	izrada	Ncfsn
promotivnih	promotivan	Agpmpgy
videoclipova	videoclip	Ncmpg

1.	1.	Mdo
b.	b.	Y
1.20.	1.20.	Mds

Najam	najam	Ncmsn
prezentacijske	prezentacijski	Agpfsgy
opreme	oprema	Ncfsg

1.	1.	Mdo
b.	b.	Y
1.20.1.	1.20.1.	Mdo
najam	najam	Ncmsn
razglasa	razglas	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.20.2.	1.20.2.	Mdo
najam	najam	Ncmsn
videozida	videozid	Ncmsg

1.	1.	Mdo
b.	b.	Y
1.21.	1.21.	Mds

Troškovi	trošak	Ncmpn
hitnih	hitan	Agpfpgy
službi	služba	Ncfpg

1.	1.	Mdo
b.	b.	Y
1.21.1.	1.21.1.	Mdo
hitna	hitan	Agpfsny
pomoć	pomoć	Ncfsn

1.	1.	Mdo
b.	b.	Y
1.21.2.	1.21.2.	Agpmpny
vatrogasci	vatrogasac	Ncmpn

1.	1.	Mdo
b.	b.	Y
1.21.3.	1.21.3.	Mdo
policija	policija	Ncfsn

1.	1.	Mdo
b.	b.	Y
22.	22.	Mdo

Troškovi	trošak	Ncmpn
osiguranja	osiguranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg

1.	1.	Mdo
b.	b.	Y
22.1.	22.1.	Mds
police	polica	Ncfsg
osiguranja	osiguranje	Ncnsg
od	od	Sg
slučaja	slučaj	Ncmsg
nezgode	nezgoda	Ncfsg
prema	prema	Sl
trećoj	treći	Mlofsl
osobi	osoba	Ncfsl

1.	1.	Mdo
b.	b.	Y
22.2.	22.2.	Mdo
police	polica	Ncfsg
osiguranja	osiguranje	Ncnsg
grla	grlo	Ncnsg

1.	1.	Mdo
b.	b.	Y
22.3.	22.3.	Mds
tiskani	tiskati	Appmpny
letci	letak	Ncmpn
s	sa	Si
programom	program	Ncmsi
natjecanja	natjecanje	Ncnsg
,	,	Z
plakati	plakati	Vmn
,	,	Z
obavijesti	obavijest	Ncfpn
u	u	Sl
tiskanim	tiskati	Agpmply
medijima	medij	Ncmpl
,	,	Z
radiju	radio	Ncmsl
,	,	Z
TV-u	TV	Npmsl

1.	1.	Mdo
b.	b.	Y
1.23.	1.23.	Mds

Troškovi	trošak	Ncmpn
uređenja	uređenje	Ncnsg
mjesta	mjesto	Ncnsg
odvijanja	odvijanje	Ncnsg
natjecanja	natjecanje	Ncnsg
(	(	Z
obilježavanja	obilježavanje	Ncnsg
staze	staza	Ncfsg
,	,	Z
terena	teren	Ncmsg
,	,	Z
veterinarskih	veterinarski	Agpmpgy

