posebnim	poseban	Agpmpiy
osobe	osoba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
17.	17.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
carinski	carinski	Agpmsny
ured	ured	Ncmsn
zaključkom	zaključak	Ncmsi
će	htjeti	Var3s
pozvati	pozvati	Vmn
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
da	da	Cs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
zaključka	zaključak	Ncmsg
dostavi	dostaviti	Vmr3s
odgovarajući	odgovarajući	Agpmsayn
oblik	oblik	Ncmsan
osiguranja	osiguranje	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
jamči	jamčiti	Vmr3s
plaćanje	plaćanje	Ncnsa
očekivanog	očekivati	Agpmsgy
iznosa	iznos	Ncmsg
troškova	trošak	Ncmpg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
22.	22.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfsl
2.	2.	Mdo
podtočki	podtočka	Ncfsl
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmsg
ne	ne	Qz
dostavi	dostaviti	Vmr3s
oblik	oblik	Ncmsan
osiguranja	osiguranje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
carinski	carinski	Agpmsny
ured	ured	Ncmsn
donijet	donijeti	Vmn
će	htjeti	Var3s
rješenje	rješenje	Ncnsn
o	o	Sl
obustavi	obustava	Ncfsl
postupka	postupak	Ncmsg
.	.	Z

Naknadna	naknadan	Agpfsny
provjera	provjera	Ncfsn

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
carinskim	carinski	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
donesenim	donesen	Agpnsiy
na	na	Sl
razini	razina	Ncfsl
Unije	unija	Ncfsg
nije	biti	Var3s
drukčije	drugačije	Rgp
propisano	propisati	Appnsny
,	,	Z
postupak	postupak	Ncmsn
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
48.	48.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
952/2013	952/2013	Mdc
koji	koji	Pi-msn
se	sebe	Px--sa
vodi	voditi	Vmr3s
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
smatra	smatrati	Vmr3s
se	sebe	Px--sa
pokrenutim	pokrenuti	Cs
kada	kada	Cs
carinski	carinski	Agpmsny
ured	ured	Ncmsn
poduzme	poduzeti	Vmr3s
bilo	bilo	Qo
koju	koji	Pi-fsa
radnju	radnja	Ncfsa
sa	sa	Si
svrhom	svrha	Ncfsi
vođenja	vođenje	Ncnsg
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Carinski	carinski	Agpmsny
ured	ured	Ncmsn
o	o	Sl
pokrenutom	pokrenuti	Agpmsly
postupku	postupak	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obavještava	obavještavati	Vmr3s
osobe	osoba	Ncfpa
na	na	Sa
koje	koji	Pi-fpa
se	sebe	Px--sa
ta	taj	Pd-fsn
provjera	provjera	Ncfsn
odnosi	odnositi	Vmr3s
dostavom	dostava	Ncfsi
obavijesti	obavijest	Ncfsg
o	o	Sl
provođenju	provođenje	Ncnsl
postupka	postupak	Ncmsg
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

1.	1.	Mdo
kada	kada	Cs
se	sebe	Px--sa
naknadna	naknadan	Agpfsny
provjera	provjera	Ncfsn
mora	morati	Vmr3s
provesti	provesti	Vmn
u	u	Sl
poslovnim	poslovan	Agpmply
prostorima	prostor	Ncmpl
posjednika	posjednik	Ncmpg
robe	roba	Ncfsg
ili	ili	Cc
posjednikova	posjednikov	Ncmpg
zastupnika	zastupnik	Ncmpg
,	,	Z
prostorima	prostor	Ncmpl
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
uključena	uključiti	Appfsny
u	u	Sa
te	taj	Agpfpay
radnje	radnja	Ncfpa
u	u	Sl
poslovnom	poslovan	Agpnsly
svojstvu	svojstvo	Ncnsl
ili	ili	Cc
bilo	bilo	Qo
koje	koji	Pi-fpa
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
u	u	Sl
posjedu	posjed	Ncmsl
tih	taj	Pd-fpg
isprava	isprava	Ncfpg
i	i	Cc
podataka	podatak	Ncmpg
u	u	Sa
poslovne	poslovan	Agpfpay
svrhe	svrha	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc

2.	2.	Mdo
kada	kada	Cs
su	biti	Var3p
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
započetom	započeti	Agpfsiy
naknadnom	naknadan	Agpfsiy
provjerom	provjera	Ncfsi
potrebne	potreban	Agpfsgy
aktivnosti	aktivnost	Ncfsg
osobe	osoba	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
naknadna	naknadan	Agpfsny
provjera	provjera	Ncfsn
odnosi	odnositi	Vmr3s
(	(	Z
dostava	dostava	Ncfsn
isprava	isprava	Ncfpg
,	,	Z
davanje	davanje	Ncnsn
izjava	izjava	Ncfpg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obavijest	obavijest	Ncfsn
o	o	Sl
provođenju	provođenje	Ncnsl
postupka	postupak	Ncmsg
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
predaje	predavati	Vmr3s
se	sebe	Px--sa
osobi	osoba	Ncfsd
:	:	Z

1.	1.	Mdo
najkasnije	kasno	Rgs
osam	osam	Mlc
dana	dan	Ncmpg
prije	prije	Sg
predviđenog	predvidjeti	Agpnsgy
postupanja	postupanje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ili	ili	Cc

2.	2.	Mdo
neposredno	neposredno	Rgp
prije	prije	Sg
početka	početak	Ncmsg
radnje	radnja	Ncfsg
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
ako	ako	Cs
bi	biti	Vaa3s
obavještavanje	obavještavanje	Ncnsn
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
umanjilo	umanjiti	Vmp-sn
učinkovitost	učinkovitost	Ncfsa
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
ili	ili	Cc
bi	biti	Vaa3s
se	sebe	Px--sa
ugrozila	ugroziti	Vmp-sf
svrha	svrha	Ncfsn
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ako	ako	Cs
to	taj	Pd-nsn
okolnosti	okolnost	Ncfpn
slučaja	slučaj	Ncmpg
zahtijevaju	zahtijevati	Vmr3p
,	,	Z
obavijest	obavijest	Ncfsn
se	sebe	Px--sa
može	moći	Vmr3s
izreći	izreći	Vmn
usmeno	usmeno	Rgp
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
unosi	unositi	Vmr3s
zabilješka	zabilješka	Ncfsn
u	u	Sl
zapisniku	zapisnik	Ncmsl
o	o	Sl
izvršenoj	izvršen	Agpfsly
službenoj	služben	Agpfsly
radnji	radnja	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
carinski	carinski	Agpmsny
ured	ured	Ncmsn
to	taj	Pd-nsn
smatra	smatrati	Vmr3s
opravdanim	opravdati	Agpnsiy
,	,	Z
dostava	dostava	Ncfsn
obavijesti	obavijest	Ncfpg
o	o	Sl
provođenju	provođenje	Ncnsl
naknadne	naknadan	Agpfsgy
provjere	provjera	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
dostaviti	dostaviti	Vmn
osobi	osoba	Ncfsd
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
naknadna	naknadan	Agpfsny
provjera	provjera	Ncfsn
odnosi	odnositi	Vmr3s
i	i	Qo
u	u	Sl
drugim	drugi	Agpmply
slučajevima	slučaj	Ncmpl
od	od	Sg
onih	onaj	Pd-mpg
opisanih	opisati	Ncmpg
u	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Zlouporaba	zlouporaba	Ncfsn
prava	pravo	Ncnpg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Zlouporabom	zlouporaba	Ncfsi
prava	pravo	Ncnsg
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
smatra	smatrati	Vmr3s
se	sebe	Px--sa
svako	svaki	Agpnsny
postupanje	postupanje	Ncnsn
deklaranta	deklarant	Ncmsg
,	,	Z
posjednika	posjednik	Ncmpg
robe	roba	Ncfsg
ili	ili	Cc
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
na	na	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
način	način	Ncmsan
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
povezana	povezati	Appfsny
s	sa	Si
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
,	,	Z
usmjereno	usmjeriti	Appnsny
na	na	Sl
:	:	Z

1.	1.	Mdo
prikrivanje	prikrivanje	Ncnsa
stvarne	stvaran	Agpfsgy
namjere	namjera	Ncfsg
,	,	Z
cilja	cilj	Ncmsg
ili	ili	Cc
osnove	osnova	Ncfsg
raspolaganja	raspolaganje	Ncnsg
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
na	na	Sl
carinskom	carinski	Agpnsly
području	područje	Ncnsl
Unije	unija	Ncfsg

2.	2.	Mdo
prijevarno	prijevaran	Agpnsny
izbjegavanje	izbjegavanje	Ncnsn
plaćanja	plaćanje	Ncnsg
carine	carina	Ncfsg
i	i	Cc
drugih	drugi	Mlompg
javnih	javan	Agpnpgy
davanja	davanje	Ncnpg
na	na	Sl
carinskom	carinski	Agpnsly
području	područje	Ncnsl
Unije	unija	Ncfsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
stvaranje	stvaranje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
prijevarno	prijevaran	Agpnsay
izbjegavanje	izbjegavanje	Ncnsa
plaćanja	plaćanje	Ncnsg
carine	carina	Ncfsg
i	i	Cc
drugih	drugi	Mlofpg
javnih	javan	Agpnpgy
davanja	davanje	Ncnpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
smislu	smisao	Ncmsl
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
osobito	osobito	Rgp
se	sebe	Px--sa
smatra	smatrati	Vmr3s
da	da	Cs
deklarant	deklarant	Ncmsn
,	,	Z
posjednik	posjednik	Ncmsn
robe	roba	Ncfsg
ili	ili	Cc
druga	drugi	Mlofsn
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
na	na	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
način	način	Ncmsan
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
povezana	povezati	Appfsny
s	sa	Si
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
zloupotrebljava	zloupotrebljavati	Vmr3s
pravo	pravo	Ncnsa
u	u	Sl
carinskom	carinski	Agpnsly
postupanju	postupanje	Ncnsl
ako	ako	Cs
:	:	Z

1.	1.	Mdo
sklapa	sklapati	Vmr3s
fiktivne	fiktivan	Agpfpay
ili	ili	Cc
prividne	prividan	Agpmpay
pravne	pravni	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
ili	ili	Cc
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
sklapanju	sklapanje	Ncnsl
ili	ili	Cc
izvršavanju	izvršavanje	Ncnsl
takvih	takav	Pd-mpg
pravnih	pravni	Agpmpgy
poslova	posao	Ncmpg

2.	2.	Mdo
organizira	organizirati	Vmr3s
ili	ili	Cc
planira	planirati	Vmr3s
provedbu	provedba	Ncfsa
fiktivnih	fiktivan	Agpfpgy
isporuka	isporuka	Ncfpg
,	,	Z
primitaka	primitak	Ncmpg
ili	ili	Cc
kretanja	kretanje	Ncnsg
deklarirane	deklarirati	Ncfsg
robe	roba	Ncfsg
ili	ili	Cc
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
njima	oni	Pp3-pl

3.	3.	Mdo
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravno	Rgp
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
krivotvorenju	krivotvorenje	Ncnsl
carinske	carinski	Agpfsgy
,	,	Z
poslovne	poslovan	Agpfpny
,	,	Z
prijevozne	prijevozni	Agpfpay
ili	ili	Cc
druge	drugi	Mlofsg
dokumentacije	dokumentacija	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
deklariranom	deklarirati	Agpfsiy
robom	roba	Ncfsi
ili	ili	Cc
u	u	Sl
korištenju	korištenje	Ncnsl
takve	takav	Pd-fsg

