Vrhovni	vrhovni	Agpmsny
optuženikovog	optuženikov	Aspmsgy
sina	sin	Ncmsg
)	)	Z
,	,	Z
na	na	Sl
putu	put	Ncmsl
prema	prema	Sl
Belišću	Belišć	Npmsl
gdje	gdje	Cs
se	sebe	Px--sa
nalazila	nalaziti	Vmp-sf
njegova	njegov	Ps3fsn
supruga	supruga	Ncfsn
ošt	oša	Ncfsg
.	.	Z

Jasmina	Jasmina	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Špernoga	Npfsn
(	(	Z
u	u	Sl
kući	kuća	Ncfsl
svoga	svoj	Px-msg
brata	brat	Ncmsg
pok	pok	Ncfpg
.	.	Z

Miloša	Miloš	Npmsay
Ognjenovića	Ognjenović	Npmsay
)	)	Z
'	'	Z
usput	usput	Rgp
su	biti	Var3p
stali	stati	Vmp-pm
u	u	Sa
dvije	dva	Ncnsa
gostionice	gostionica	Ncfsg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
,	,	Z
u	u	Sl
svakoj	svaki	Pi-fsl
,	,	Z
optuženik	optuženik	Ncmsn
popio	popiti	Vmp-sm
po	po	Sa
jedno	jedan	Agpnsay
pivo	pivo	Ncnsa
'	'	Z
,	,	Z
iako	iako	Cs
je	biti	Var3s
toga	toga	Ncfsn
dana	dan	Ncmsg
već	već	Rgp
popio	popiti	Vmp-sm
znatnu	znatan	Agpfsay
količinu	količina	Ncfsa
alkohola	alkohol	Ncmsg
pa	pa	Cc
i	i	Qo
kod	kod	Sg
kuće	kuća	Ncfsg
neposredno	neposredno	Rgp
prije	prije	Sg
odlaska	odlazak	Ncmsg
za	za	Sa
Belišće	Belišće	Npnsa
.	.	Z

Potpuno	potpuno	Rgp
neosnovano	neosnovano	Rgp
žalitelj	žalitelj	Ncmsn
dovodi	dovoditi	Vmr3s
smanjenu	smanjiti	Agpfsay
ubrojivost	ubrojivost	Ncfsa
u	u	Sl
znatnom	znatan	Agpmsly
stupnju	stupanj	Ncmsl
dijelom	dio	Ncmsi
uzrokovanu	uzrokovati	Ncmsl
konzumacijom	konzumacija	Ncfsi
alkohola	alkohol	Ncmsg
i	i	Cc
lijekova	lijek	Ncmpg
,	,	Z
u	u	Sa
kontekst	kontekst	Ncmsan
optuženikove	optuženikov	Agpfsgy
namjere	namjera	Ncfsg
za	za	Sa
počinjenje	počinjenje	Ncnsa
inkriminiranih	inkriminiran	Agpnpgy
djela	djelo	Ncnpg
.	.	Z

Naime	naime	Qo
,	,	Z
prema	prema	Sl
nalazu	nalaz	Ncmsl
i	i	Cc
mišljenju	mišljenje	Ncnsl
vještaka	vještak	Ncmpg
psihijatra	psihijatar	Ncmsg
dr.	dr.	Y
Ivana	Ivana	Npfsn
Požgaina	Požgaina	Npfsn
optuženik	optuženik	Ncmsn
je	biti	Var3s
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
mu	on	Pp3msd
bila	biti	Vap-sf
stavljana	stavljati	Appfsny
na	na	Sa
teret	teret	Ncmsan
mogao	moći	Vmp-sm
shvatiti	shvatiti	Vmn
značenje	značenje	Ncnsa
svojih	svoj	Px-mpg
djelovanja	djelovanje	Ncnsg
i	i	Cc
upravljati	upravljati	Vmn
svojim	svoj	Px-mpd
postupcima	postupak	Ncmpd
,	,	Z
no	no	Cc
te	taj	Pd-fpn
su	biti	Var3p
sposobnosti	sposobnost	Ncfpn
zbog	zbog	Sg
utvrđenih	utvrditi	Appfpgy
subjektivnih	subjektivan	Agpfpgy
okolnosti	okolnost	Ncfpg
kod	kod	Sg
optuženika	optuženik	Ncmpg
(	(	Z
strukture	struktura	Ncfsg
ličnosti	ličnost	Ncfsg
optuženika	optuženik	Ncmpg
,	,	Z
srednje	srednji	Agpfsgy
teškog	težak	Agpmsgy
odnosno	odnosno	Rgp
težeg	težak	Agpnsgy
pijanog	pijan	Agpnsgy
stanja	stanje	Ncnsg
od	od	Sg
1,53	1,53	Mdc
g	g	Y
/	/	Z
kg	kg	Ncmsan
uz	uz	Sa
konzumaciju	konzumacija	Ncfsa
lijekova	lijek	Ncmpg
čije	čiji	Pi-fpn
su	biti	Var3p
aktivne	aktivan	Agpfpny
supstance	supstanca	Ncfpn
mogle	moći	Vmp-pf
sinergistički	sinergistički	Rgp
djelovati	djelovati	Vmn
na	na	Sa
učinke	učinak	Ncmpa
alkohola	alkohol	Ncmsg
,	,	Z
poremećenog	poremetiti	Agpmsgy
odnosa	odnos	Ncmsg
s	sa	Si
oštećenicom	oštećenica	Ncfsi
,	,	Z
afektivnog	afektivan	Agpnsgy
stanja	stanje	Ncnsg
kritične	kritičan	Agpfsgy
zgode	zgoda	Ncfsg
koje	koji	Pi-fpa
je	biti	Var3s
karakterizirala	karakterizirati	Vmp-sf
mješavina	mješavina	Ncfsn
raznih	razni	Agpfpgy
negativnih	negativan	Agpfpgy
emocija	emocija	Ncfpg
,	,	Z
od	od	Sg
straha	strah	Ncmsg
do	do	Sg
bijesa	bijes	Ncmsg
te	te	Cc
osjećaja	osjećaj	Ncmsg
poniženosti	poniženost	Ncfsg
i	i	Cc
prevarenosti	prevarenost	Ncfsl
)	)	Z
bile	biti	Vap-pf
umanjene	umanjiti	Appfpny
u	u	Sl
znatnom	znatan	Agpmsly
stupnju	stupanj	Ncmsl
.	.	Z

Smanjena	smanjiti	Appfsny
ubrojivost	ubrojivost	Ncfsn
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
stupnju	stupanj	Ncmsl
,	,	Z
za	za	Sa
razliku	razlika	Ncfsa
od	od	Sg
neubrojivosti	neubrojivost	Ncfsg
,	,	Z
ne	ne	Qz
predstavlja	predstavljati	Vmr3s
osnovu	osnova	Ncfsa
za	za	Sa
isključenje	isključenje	Ncnsa
krivnje	krivnja	Ncfsg
,	,	Z
već	već	Rgp
može	moći	Vmr3s
biti	biti	Van
osnova	osnova	Ncfsn
za	za	Sa
blaže	blag	Agcnsay
kažnjavanje	kažnjavanje	Ncnsa
ako	ako	Cs
je	biti	Var3s
neskrivljena	neskriviti	Appfsny
,	,	Z
dakle	dakle	Cc
ako	ako	Cs
nije	biti	Var3s
rezultat	rezultat	Ncmsn
počiniteljevih	počiniteljev	Aspmpgy
postupaka	postupak	Ncmpg
,	,	Z
što	što	Pi3n-n
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
nije	biti	Var3s
slučaj	slučaj	Ncmsn
,	,	Z
kako	kako	Cs
su	biti	Var3p
to	taj	Pd-nsa
pravilno	pravilno	Rgp
zaključili	zaključiti	Vmp-pm
prvostupanjski	prvostupanjski	Agpmsayn
i	i	Cc
drugostupanjski	drugostupanjski	Agpmpny
sudovi	sud	Ncmpn
.	.	Z

Navodi	navoditi	Vmr3s
žalbe	žalba	Ncfpa
kako	kako	Cs
su	biti	Var3p
nalaz	nalaz	Ncmsn
i	i	Cc
mišljenje	mišljenje	Ncnsa
vještaka	vještak	Ncmpg
psihijatra	psihijatar	Ncmsg
tendenciozni	tendenciozan	Agpmpny
,	,	Z
pristrani	pristran	Agpmpny
i	i	Cc
diskriminirajući	diskriminirajući	Agpmpny
predstavljaju	predstavljati	Vmr3p
subjektivnu	subjektivan	Agpfsay
ocjenu	ocjena	Ncfsa
optuženika	optuženik	Ncmpg
,	,	Z
koji	koji	Pi-mpn
u	u	Sl
stvari	stvar	Ncfsl
ne	ne	Qz
osporava	osporavati	Vmr3s
anamnestičke	anamnestički	Agpmpay
podatke	podatak	Ncmpa
koje	koji	Pi-mpa
je	biti	Var3s
vještak	vještak	Ncmsn
prikupio	prikupiti	Vmp-sm
u	u	Sl
neposrednom	neposredan	Agpmsly
kontaktu	kontakt	Ncmsl
s	sa	Si
optuženikom	optuženik	Ncmsi
.	.	Z

Optuženik	optuženik	Ncmsn
u	u	Sl
žalbi	žalba	Ncfsl
osporava	osporavati	Vmr3s
navod	navod	Ncmsan
o	o	Sl
prometnoj	prometan	Agpfsly
nesreći	nesreća	Ncfsl
zbog	zbog	Sg
koje	koji	Pi-fsg
je	biti	Var3s
bio	biti	Vap-sm
u	u	Sl
zatvoru	zatvor	Ncmsl
dvije	dva	Mlcf-a
godine	godina	Ncfsg
,	,	Z
tvrdeći	tvrditi	Rr
da	da	Cs
nije	biti	Var3s
točno	točan	Agpnsny
da	da	Cs
bi	biti	Vaa3s
vozio	voziti	Vmp-sm
bez	bez	Sg
prometne	prometan	Agpfsgy
i	i	Cc
vozačke	vozački	Agpfsgy
dozvole	dozvola	Ncfsg
koju	koji	Pi-fsa
inače	inače	Rgp
posjeduje	posjedovati	Vmr3s
,	,	Z
prema	prema	Sl
priloženoj	priložen	Agpfsly
fotokopiji	fotokopija	Ncfsl
od	od	Sg
1981.	1981.	Mdo

Međutim	međutim	Rgp
,	,	Z
u	u	Sl
žalbi	žalba	Ncfsl
protiv	protiv	Sg
prvostupanjske	prvostupanjski	Agpfsgy
presude	presuda	Ncfsg
(	(	Z
koju	koji	Pi-fsa
je	biti	Var3s
sastavio	sastaviti	Vmp-sm
branitelj	branitelj	Ncmsn
Stjepan	Stjepan	Npmsn
Šmider	Šmider	Npmsn
,	,	Z
odvjetnik	odvjetnik	Ncmsn
iz	iz	Sg
Đakova	Đakovo	Npnsg
)	)	Z
je	biti	Var3s
navedeno	navesti	Appnsny
da	da	Cs
je	biti	Var3s
'	'	Z
1978.	1978.	Mdo
u	u	Sl
23.	23.	Mdo
godini	godina	Ncfsl
života	život	Ncmsg
(	(	Z
osuđenik	osuđenik	Ncmsn
)	)	Z
imao	imati	Vmp-sm
prometnu	prometan	Agpfsay
nesreću	nesreća	Ncfsa
zbog	zbog	Sg
neregistriranog	neregistriran	Agpmsgy
automobila	automobil	Ncmsg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
smrtna	smrtan	Agpfsny
stradala	stradati	Vmp-sf
pa	pa	Cc
je	biti	Var3s
osuđen	osuditi	Appmsnn
na	na	Sa
tri	tri	Mlc
godine	godina	Ncfsg
zatvora	zatvor	Ncmsg
'	'	Z
.	.	Z

Činjenicu	činjenica	Ncfsa
da	da	Cs
je	biti	Var3s
njegov	njegov	Ps3msn
brat	brat	Ncmsn
bio	biti	Vap-sm
u	u	Sl
psihijatrijskom	psihijatrijski	Agpmsly
tretmanu	tretman	Ncmsl
te	te	Cc
da	da	Cs
je	biti	Var3s
preminuo	preminuti	Vmp-sm
u	u	Sl
psihijatrijskog	psihijatrijski	Agpnsgy
bolnici	bolnica	Ncfsl
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
navedeno	navesti	Appnsny
u	u	Sl
psihijatrijskom	psihijatrijski	Agpmsly
nalazu	nalaz	Ncmsl
i	i	Cc
mišljenju	mišljenje	Ncnsl
,	,	Z
optuženik	optuženik	Ncmsn
ne	ne	Qz
osporava	osporavati	Vmr3s
jer	jer	Cs
i	i	Cc
sam	sam	Agpmsnn
u	u	Sl
žalbi	žalba	Ncfsl
navodi	navoditi	Vmr3s
da	da	Cs
je	biti	Var3s
od	od	Sg
strujnog	strujni	Agpmsgy
udara	udar	Ncmsg
visokonaponske	visokonaponski	Agpfsgy
mreže	mreža	Ncfsg
'	'	Z
obolio	oboljeti	Vmp-sm
na	na	Sa
živce	živac	Ncmpa
'	'	Z
,	,	Z
već	već	Cc
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
takav	takav	Pd-msn
navod	navod	Ncmsn
diskriminirajući	diskriminirajući	Agpmsny
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
u	u	Sl
žalbi	žalba	Ncfsl
optuženik	optuženik	Ncmsn
ocjeni	ocjena	Ncfsl
vještaka	vještak	Ncmpg
o	o	Sl
njegovoj	njegov	Ncfsl
primarnoj	primaran	Agpfsly
obitelji	obitelj	Ncfsl
,	,	Z
načinu	način	Ncmsl
uspostavljanja	uspostavljanje	Ncnsg
i	i	Cc
održavanja	održavanje	Ncnsg
veza	veza	Ncfpg
i	i	Cc
prirodi	prirod	Ncmpn
pijenja	pijenje	Ncnsg
alkohola	alkohol	Ncmsg
suprotstavlja	suprotstavljati	Vmr3s
svoje	svoj	Px-nsa
subjektivno	subjektivan	Agpnsay
viđenje	viđenje	Ncnsa
i	i	Cc
ocjenu	ocjena	Ncfsa
ovih	ovaj	Pd-fpg
okolnosti	okolnost	Ncfpg
,	,	Z
smatrajući	smatrati	Rr
navode	navod	Ncmpa
vještaka	vještak	Ncmpg
tendencioznim	tendenciozan	Agpmsiy
i	i	Cc
diskriminirajućim	diskriminirajući	Agpnsiy
.	.	Z

Nalazu	nalaz	Ncmsd
i	i	Cc
mišljenju	mišljenje	Ncnsl
vještaka	vještak	Ncmsg
psihijatra	psihijatar	Ncmsg
stranke	stranka	Ncfsg
,	,	Z
dakle	dakle	Cc
ni	ni	Qo
optuženik	optuženik	Ncmsn
,	,	Z
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
nisu	biti	Var3p
prigovarale	prigovarati	Vmp-pf
,	,	Z
odnosno	odnosno	Rgp
prihvaćeno	prihvatiti	Appnsny
je	biti	Var3s
mišljenje	mišljenje	Ncnsn
vještaka	vještak	Ncmpg
da	da	Cs
je	biti	Var3s
optuženik	optuženik	Ncmsn
kritične	kritičan	Agpfsgy
zgode	zgoda	Ncfsg
bio	biti	Vap-sm
smanjeno	smanjiti	Appnsny
ubrojiv	ubrojiv	Agpmsnn
u	u	Sl
znatnom	znatan	Agpmsly
stupnju	stupanj	Ncmsl
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
u	u	Sl
postupku	postupak	Ncmsl
a	a	Cc
niti	niti	Qo
u	u	Sl
žalbi	žalba	Ncfsl
nisu	biti	Var3p
predočene	predočiti	Appfpny
kakve	kakav	Pi-fpa
nove	nov	Agpfpay
okolnosti	okolnost	Ncfpa
koje	koji	Pi-fpn
bi	biti	Vaa3p
utjecale	utjecati	Vmp-pf
na	na	Sa
dani	dan	Agpmsayn
nalaz	nalaz	Ncmsan
i	i	Cc
mišljenje	mišljenje	Ncnsa
,	,	Z
niti	niti	Qo
je	biti	Var3s
bilo	biti	Vap-sn
predloženo	predložiti	Appnsny
provođenje	provođenje	Ncnsn
dodatnog	dodatan	Agpmsgy
ili	ili	Cc
novog	nov	Agpnsgy
vještačenja	vještačenje	Ncnsg
.	.	Z

