prethodni	prethodan	Agpmsayn
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
2799/98	2799/98	Mdc
,	,	Z
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
814/2000	814/2000	Mdc
,	,	Z
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1290/2005	1290/2005	Mdc
i	i	Cc
(	(	Z
EZ	EZ	Npmsn
)	)	Z
485/2008	485/2008	Mdc
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
347	347	Mdc
,	,	Z
20.	20.	Mdo
12.	12.	Mdo
2013.	2013.	Mdo
)	)	Z
.	.	Z

Izvješćivanje	izvješćivanje	Ncnsn

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
izvješćuje	izvješćivati	Vmr3s
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
o	o	Sl
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
sukladno	sukladno	Rgp
članku	članak	Ncmsl
1.	1.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1097/2014.	1097/2014.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
izvješćuje	izvješćivati	Vmr3s
:	:	Z

–	i	Agpfsay
poljoprivrednu	poljoprivredni	Agpfsay
inspekciju	inspekcija	Ncfsa
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
jednom	jednom	Rgp
u	u	Sa
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
o	o	Sl
dostavljenim	dostaviti	Ncfsl
izvješćima	izvješće	Ncnpl
sukladno	sukladno	Rgp
ovome	ovaj	Pd-nsd
Pravilniku	Pravilnik	Npmsl
,	,	Z
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđenih	utvrditi	Appfpgy
nepravilnosti	nepravilnost	Ncfpg
i	i	Cc
ranije	rano	Rgc
i	i	Cc

–	i	Agpnsny
Ministarstvo	ministarstvo	Ncnsn
poljoprivrede	poljoprivreda	Ncfsg
i	i	Cc
Hrvatsku	hrvatski	Agpfsay
poljoprivrednu	poljoprivredni	Agpfsay
agenciju	agencija	Ncfsa
:	:	Z

a	a	Cc
)	)	Z
jednom	jednom	Rgp
mjesečno	mjesečno	Rgp
o	o	Sl
ukupnim	ukupan	Agpfply
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc

b	b	Qz
)	)	Z
jednom	jednom	Rgp
godišnje	godišnje	Rgp
o	o	Sl
ukupnim	ukupan	Agpfply
količinama	količina	Ncfpl
mlijeka	mlijeko	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Kontrola	kontrola	Ncfsn

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
provodi	provoditi	Vmr3s
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
svake	svaki	Pi-fsg
godine	godina	Ncfsg
na	na	Sl
uzorku	uzorak	Ncmsl
od	od	Sg
najmanje	malo	Rgs
5	5	Mdc
%	%	Z
obveznika	obveznik	Ncmpg
,	,	Z
utvrđenom	utvrditi	Appnsly
na	na	Sl
temelju	temelj	Ncmsl
analize	analiza	Ncfsg
rizika	rizik	Ncmsg
i	i	Cc
slučajnim	slučajan	Agpmsiy
odabirom	odabir	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Analiza	analiza	Ncfsn
rizika	rizik	Ncmsg
uzima	uzimati	Vmr3s
u	u	Sa
obzir	obzir	Ncmsan
:	:	Z

–	–	Sa
pravovremenost	pravovremenost	Ncfsa
dostave	dostava	Ncfsg
podataka	podatak	Ncmpg

–	–	Sa
ispravnost	ispravnost	Ncfsa
dostavljenih	dostaviti	Appmpgy
podataka	podatak	Ncmpg

–	–	Sa
potpunost	potpunost	Ncfsa
dostavljenih	dostaviti	Appmpgy
podataka	podatak	Ncmpg

–	–	Agpmsny
udio	udjel	Ncmsn
u	u	Sl
reprezentativnosti	reprezentativnost	Ncfsl
primljenih	primljen	Agpmpgy
podataka	podatak	Ncmpg

–	i	Agpfpny
kontrole	kontrola	Ncfpn
provedene	provesti	Appfpny
u	u	Sl
prethodnim	prethodan	Agpfply
godinama	godina	Ncfpl
i	i	Cc

–	i	Agpfsay
primjenu	primjena	Ncfsa
drugih	drugi	Mlompg
kriterija	kriterij	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
mogu	moći	Vmr3p
odrediti	odrediti	Vmn
naknadno	naknadno	Rgp
,	,	Z
ukoliko	ukoliko	Cs
se	sebe	Px--sa
prema	prema	Sl
prikupljenim	prikupiti	Agpmply
podacima	podatak	Ncmpl
ili	ili	Cc
iskustvu	iskustvo	Ncnsl
iz	iz	Sg
obavljenih	obaviti	Agpfpgy
kontrola	kontrola	Ncfpg
utvrdi	utvrda	Ncfpg

