neko	neki	Agpnsay
i	i	Cc
poslodavci	poslodavac	Ncmpn
mogu	moći	Vmr3p
ugovoriti	ugovoriti	Vmn
da	da	Cs
se	sebe	Px--sa
individualni	individualan	Agpmpny
radni	radni	Agpmpny
sporovi	spor	Ncmpn
mogu	moći	Vmr3p
rješavati	rješavati	Vmn
mirenjem	mirenje	Ncnsi
i	i	Cc
arbitražom	arbitraža	Ncfsi
.	.	Z

Predmet	predmet	Ncmsn
mirenja	mirenje	Ncnsg
i	i	Cc
arbitraže	arbitraža	Ncfsg
mogu	moći	Vmr3p
biti	biti	Van
svi	sav	Agpmpny
individualni	individualan	Agpmpny
radni	radni	Agpmpny
sporovi	spor	Ncmpn
,	,	Z
uključivo	uključivo	Rgp
i	i	Cc
sporovi	spor	Ncmpn
radi	radi	Sg
otkaza	otkaz	Ncmsg
ugovora	ugovor	Ncmsg
o	o	Sl
radu	rad	Ncmsl
,	,	Z
radi	radi	Sg
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
zbog	zbog	Sg
nesreće	nesreća	Ncfsg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
dr.	dr.	Y

Članak	članak	Ncmsn
75.	75.	Mdo

Stručne	stručan	Agpfpny
i	i	Cc
organizacijsko-administrativne	organizacijsko-administrativan	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
postupku	postupak	Ncmsl
mirenja	mirenje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
74.	74.	Mdo
obavljat	obavljati	Vmn
će	htjeti	Var3s
tajnik	tajnik	Ncmsn
kojeg	koji	Pi-nsg
imenuje	imenovati	Vmr3s
poslodavac	poslodavac	Ncmsn
iz	iz	Sg
redova	red	Ncmpg
radnika	radnik	Ncmpg
uz	uz	Sa
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
Sindikata	sindikat	Ncmsg
,	,	Z
ako	ako	Cs
kolektivnim	kolektivan	Agpmsiy
ugovorom	ugovor	Ncmsi
na	na	Sl
razini	razina	Ncfsl
poslodavca	poslodavac	Ncmsg
nije	biti	Var3s
drugačije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z

XIII	xiii	Mrc
.	.	Z

UVJETI	uvjet	Ncmpn
ZA	za	Sa
RAD	rad	Ncmsan
SINDIKATA	sindikat	Ncmsg

Članak	članak	Ncmsn
76.	76.	Mdo

Sindikat	sindikat	Ncmsn
kod	kod	Sg
poslodavca	poslodavac	Ncmsg
djeluje	djelovati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
sindikalnim	sindikalni	Agpnpiy
pravilima	pravilo	Ncnpi
.	.	Z

Sindikat	sindikat	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
odluku	odluka	Ncfsa
o	o	Sl
izboru	izbor	Ncmsl
odnosno	odnosno	Rgp
imenovanju	imenovanje	Ncnsd
sindikalnog	sindikalni	Agpmsgy
povjerenika	povjerenik	Ncmsg
dostaviti	dostaviti	Vmn
poslodavcu	poslodavac	Ncmsd
.	.	Z

Sindikalnom	sindikalni	Agpmsly
povjereniku	povjerenik	Ncmsl
za	za	Sa
vrijeme	vrijeme	Ncnsa
obavljanja	obavljanje	Ncnsg
njegove	njegov	Ps3fsg
funkcije	funkcija	Ncfsg
i	i	Cc
6	6	Mdc
mjeseci	mjesec	Ncmpg
nakon	nakon	Sg
prestanka	prestanak	Ncmsg
njenog	njen	Agpnsgy
obavljanja	obavljanje	Ncnsg
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
bez	bez	Sg
prethodne	prethodan	Agpfsgy
suglasnosti	suglasnost	Ncfsg
sindikata	sindikat	Ncmpg
otkazati	otkazati	Vmn
ugovor	ugovor	Ncmsan
o	o	Sl
radu	rad	Ncmsl
,	,	Z
rasporediti	rasporediti	Vmn
na	na	Sa
drugo	drugi	Agpnsay
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
,	,	Z
niti	niti	Cc
ga	on	Pp3msa
na	na	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
način	način	Ncmsan
dovesti	dovesti	Vmn
u	u	Sa
manje	mali	Ncnsa
povoljan	povoljan	Agpmsnn
ili	ili	Cc
podređen	podrediti	Agpmsayn
položaj	položaj	Ncmsan
.	.	Z

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
omogućiti	omogućiti	Vmn
sindikalnom	sindikalni	Agpmsdy
povjereniku	povjerenik	Ncmsd
izostanak	izostanak	Ncmsan
s	sa	Sg
rada	rad	Ncmsg
uz	uz	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
kao	kao	Cs
da	da	Cs
radi	raditi	Vmr3s
,	,	Z
radi	raditi	Vmr3s
prisustvovanja	prisustvovanje	Ncnsg
sindikalnim	sindikalni	Agpmpdy
sastancima	sastanak	Ncmpd
,	,	Z
tečajevima	tečaj	Ncmpi
osposobljavanja	osposobljavanje	Ncnsg
,	,	Z
seminarima	seminar	Ncmpi
,	,	Z
kongresima	kongres	Ncmpi
,	,	Z
skupštinama	skupština	Ncfpl
ili	ili	Cc
konferencijama	konferencija	Ncfpl
,	,	Z
sjednicama	sjednica	Ncfpl
radničkog	radnički	Agpnsgy
vijeća	vijeće	Ncnsg
te	te	Cc
za	za	Sa
ostale	ostali	Agpfpay
potrebe	potreba	Ncfpa
sindikalnog	sindikalni	Agpmsgy
rada	rad	Ncmsg
,	,	Z
i	i	Qo
to	to	Qo
tako	tako	Cs
da	da	Cs
za	za	Sa
svakog	svaki	Pi-msg
člana	član	Ncmsg
sindikata	sindikat	Ncmsg
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
jedan	jedan	Mlcmsan
sat	sat	Ncmsan
aktivnosti	aktivnost	Ncfsg
godišnje	godišnji	Agpnsny
,	,	Z
ali	ali	Cc
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
56	56	Mdc
sati	sat	Ncmpg
,	,	Z
niti	niti	Qo
više	mnogo	Rgc
od	od	Sg
750	750	Mdc
sati	sat	Ncmpg
.	.	Z

Na	na	Sa
pisani	pisan	Agpmsayn
prijedlog	prijedlog	Ncmsan
Sindikata	sindikat	Ncmsg
poslodavci	poslodavac	Ncmpn
mogu	moći	Vmr3p
odobriti	odobriti	Vmn
članovima	član	Ncmpd
Sindikata	sindikat	Ncmsg
jedan	jedan	Mlcmsan
dan	dan	Ncmsan
plaćenog	platiti	Appmsgy
dopusta	dopust	Ncmsg
za	za	Sa
sindikalne	sindikalni	Agpfpay
aktivnosti	aktivnost	Ncfpa
koje	koji	Pi-fpn
nemaju	nemati	Vmr3p
obilježje	obilježje	Ncnsa
industrijskih	industrijski	Agpfpgy
akcija	akcija	Ncfpg
(	(	Z
sportske	sportski	Agpfpny
,	,	Z
kulturne	kulturan	Agpfsgy
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

Članak	članak	Ncmsn
77.	77.	Mdo

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
primiti	primiti	Vmn
i	i	Cc
saslušati	saslušati	Vmn
sindikalnog	sindikalni	Agpmsgy
povjerenika	povjerenik	Ncmsg
odnosno	odnosno	Rgp
predstavnika	predstavnik	Ncmpg
sindikata	sindikat	Ncmpg
kada	kada	Cs
on	on	Pp3msn
to	taj	Pd-nsa
traži	tražiti	Vmr3s
ili	ili	Cc
po	po	Sl
dogovoru	dogovor	Ncmsl
.	.	Z

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
sindikalnom	sindikalni	Agpmsdy
povjereniku	povjerenik	Ncmsd
omogućiti	omogućiti	Vmn
rad	rad	Ncmsan
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
zaštitu	zaštita	Ncfsa
i	i	Cc
promicanje	promicanje	Ncnsa
prava	pravo	Ncnsg
i	i	Cc
interesa	interes	Ncmsg
članova	član	Ncmpg
sindikata	sindikat	Ncmpg
.	.	Z

Stavove	stav	Ncmpa
i	i	Cc
prijedloge	prijedlog	Ncmpa
sindikata	sindikat	Ncmpg
poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
razmotriti	razmotriti	Vmn
i	i	Cc
o	o	Sl
njima	oni	Pp3-pl
se	sebe	Px--sa
izjasniti	izjasniti	Vmn
.	.	Z

Članak	članak	Ncmsn
78.	78.	Mdo

Poslodavac	poslodavac	Ncmsn
će	htjeti	Var3s
za	za	Sa
potrebe	potreba	Ncfpa
sindikata	sindikat	Ncmpg
osigurati	osigurati	Vmn
:	:	Z

–	–	Sa
odgovarajući	odgovarajući	Agpmsayn
prostor	prostor	Ncmsan
za	za	Sa
rad	rad	Ncmsan
i	i	Cc
održavanje	održavanje	Ncnsa
sastanaka	sastanak	Ncmpg
sindikata	sindikat	Ncmpg

–	i	Agpfpny
stručne	stručan	Agpfpny
,	,	Z
tehničke	tehnički	Agpfsgy
i	i	Cc
administrativne	administrativan	Agpfpay
usluge	usluga	Ncfpa
za	za	Sa
rad	rad	Ncmsan
sindikata	sindikat	Ncmpg
u	u	Sl
mjeri	mjera	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
to	taj	Pd-nsn
nužno	nužan	Agpnsny
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa

