dužničke	dužnički	Agpmpay
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
30	30	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

7.	7.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
5	5	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

8.	8.	Mdo
ulaganja	ulaganje	Ncnsg
u	u	Sa
imovinu	imovina	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
prelaziti	prelaziti	Vmn
30	30	Mdc
%	%	Z
traženog	tražen	Agpnsgy
pokrića	pokriće	Ncnsg
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg

(	(	Z
2	2	Mdc
)	)	Z
Ulaganje	ulaganje	Ncnsn
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
podliježe	podlijegati	Vmr3s
i	i	Cc
sljedećim	sljedeći	Agpnply
ograničenjima	ograničenje	Ncnpl
:	:	Z

1.	1.	Mdo
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
,	,	Z
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
i	i	Cc
udjele	udjel	Ncmpa
ili	ili	Cc
dionice	dionica	Ncfpa
investicijskih	investicijski	Agpmpgy
fondova	fond	Ncmpg
jednog	jedan	Mlcmsg
izdavatelja	izdavatelj	Ncmsg
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
u	u	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
,	,	Z
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
i	i	Cc
udjele	udjel	Ncmpa
ili	ili	Cc
dionice	dionica	Ncfpa
investicijskih	investicijski	Agpmpgy
fondova	fond	Ncmpg
više	mnogo	Rgc
izdavatelja	izdavatelj	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
međusobno	međusobno	Rgp
povezane	povezati	Appfpny
osobe	osoba	Ncfpn

2.	2.	Mdo
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
depozit	depozit	Ncmsan
kod	kod	Sg
jedne	jedan	Mlcfsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
u	u	Sa
depozit	depozit	Ncmsan
kod	kod	Sg
više	mnogo	Rgc
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
međusobno	međusobno	Rgp
povezane	povezan	Agpfpny
osobe	osoba	Ncfpn

3.	3.	Mdo
najviše	mnogo	Rgs
5	5	Mdc
%	%	Z
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
zajmove	zajam	Ncmpa
jednog	jedan	Mlcmsg
zajmoprimca	zajmoprimac	Ncmsg
,	,	Z
a	a	Cc
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
u	u	Sa
zajmove	zajam	Ncmpa
više	mnogo	Rgc
zajmoprimaca	zajmoprimac	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
međusobno	međusobno	Rgp
povezane	povezati	Appfpny
osobe	osoba	Ncfpn

4.	4.	Mdo
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
može	moći	Vmr3s
biti	biti	Van
uloženo	uložiti	Appnsny
u	u	Sa
jednu	jedan	Mlcfsa
nekretninu	nekretnina	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
u	u	Sa
više	mnogo	Rgc
nekretnina	nekretnina	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
međusobno	međusobno	Rgp
povezane	povezati	Appfpny

5.	5.	Mdo
izloženost	izloženost	Ncfsn
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
riziku	rizik	Ncmsl
druge	drugi	Agpfsgy
ugovorne	ugovoran	Agpfsgy
strane	strana	Ncfsg
kod	kod	Sg
transakcija	transakcija	Ncfpg
s	sa	Si
neuvrštenim	neuvršten	Agpmpiy
(	(	Z
OTC	o	Agpfpiy
)	)	Z
izvedenicama	izvedenica	Ncfpi
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veća	velik	Agcfsny
od	od	Sg
5	5	Mdc
%	%	Z
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
10	10	Mdc
%	%	Z
imovine	imovina	Ncfsg
za	za	Sa
pokriće	pokriće	Ncnsa
matematičke	matematički	Agpfsgy
pričuve	pričuva	Ncfsg
ako	ako	Cs
su	biti	Var3p
druge	drugi	Agpfpny
ugovorne	ugovoran	Agpfpny
strane	strana	Ncfpn
međusobno	međusobno	Rgp
povezane	povezan	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ograničenja	ograničenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
prenosive	prenosiv	Agpmpay
dužničke	dužnički	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
i	i	Cc
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
30.	30.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Oblik	oblik	Ncmsn
i	i	Cc
sadržaj	sadržaj	Ncmsan
izvještaja	izvještaj	Ncmsg
o	o	Sl
ulaganjima	ulaganje	Ncnpl

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
o	o	Sl
ulaganjima	ulaganje	Ncnpl
izvještavati	izvještavati	Vmn
Agenciju	agencija	Ncfsa
na	na	Sl
sljedećem	sljedeći	Agpmsly
obrascu	obrazac	Ncmsl
:	:	Z

1.	1.	Mdo
Posebni	poseban	Agpmsny
izvještaj	izvještaj	Ncmsn
o	o	Sl
pregledu	pregled	Ncmsl
ulaganja	ulaganje	Ncnsg
(	(	Z
Obrazac	obrazac	Ncmsn
:	:	Z
PIPU	pipa	Ncfsa
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Oblik	oblik	Ncmsan
i	i	Cc
sadržaj	sadržaj	Ncmsan
izvještaja	izvještaj	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
propisani	propisati	Appmpny
su	biti	Var3p
obrascem	obrazac	Ncmsi
iz	iz	Sg
Priloga	prilog	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

V.	v.	Agpmsny
SADRŽAJ	sadržaj	Ncmsn
POSLOVNOG	poslovan	Agpmsgy
PLANA	plan	Ncmsg

Poslovni	poslovan	Agpmsny
plan	plan	Ncmsn

Članak	članak	Ncmsn
34.	34.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
osiguranja	osiguranje	Ncnsg
odnosno	odnosno	Rgp
poslova	posao	Ncmpg
reosiguranje	reosiguranje	Ncnsn
priložiti	priložiti	Vmn
poslovni	poslovan	Agpmsayn
plan	plan	Ncmsan
koji	koji	Pi-msn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
najmanje	malo	Rgs
:	:	Z

1.	1.	Mdo
temeljne	temeljan	Agpfsgy
poslovne	poslovan	Agpfsgy
politike	politika	Ncfsg

2.	2.	Mdo
prirodu	priroda	Ncfsa
rizika	rizik	Ncmpg
koje	koji	Pi-mpa
malo	mali	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
namjerava	namjeravati	Vmr3s
pokriti	pokriti	Vmn

3.	3.	Mdo
nabrojene	nabrojiti	Appfpny
pojedine	pojedini	Agpfpny
vrste	vrsta	Ncfpn
osiguranja	osiguranje	Ncnsg
unutar	unutar	Sg
kojih	koji	Pi-npg
će	htjeti	Var3s
malo	mali	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
osiguranja	osiguranje	Ncnsg

4.	4.	Mdo
program	program	Ncmsan
predviđenog	predvidjeti	Agpnsgy
reosiguranja	reosiguranje	Ncnsg
s	sa	Si
tablicama	tablica	Ncfpi
maksimalnog	maksimalan	Agpnsgy
pokrića	pokriće	Ncnsg
za	za	Sa
sve	sav	Agpfpay
vrste	vrsta	Ncfpa
osiguranja	osiguranje	Ncnsg
s	sa	Si
vodećim	vodeći	Agpnpiy
načelima	načelo	Ncnpi
reosiguranja	reosiguranje	Ncnsg

5.	5.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
vrsti	vrsta	Ncfsl
ugovora	ugovor	Ncmsg
o	o	Sl
reosiguranju	reosiguranje	Ncnsl
koje	koji	Pi-nsa
malo	mali	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
osiguranje	osiguranje	Ncnsa
koje	koji	Pi-nsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
reosiguranja	reosiguranje	Ncnsg
namjerava	namjeravati	Vmr3s
sklopiti	sklopiti	Vmn
s	sa	Si
društvima	društvo	Ncnpi
cedentima	cedent	Ncmpi
s	sa	Si
vodećim	vodeći	Agpmpiy
načelima	načelo	Ncmpi
retrocesije	retrocesija	Ncfsg

6.	6.	Mdo
stavke	stavka	Ncfpa
osnovnog	osnovan	Agpmsgy
kapitala	kapital	Ncmsg
koje	koji	Pi-fpn
čine	činiti	Vmr3p
apsolutni	apsolutan	Agpmsayn
prag	prag	Ncmsan
minimalnog	minimalan	Agpmsgy
potrebnog	potreban	Agpmsgy
kapitala	kapital	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
158.	158.	Mdo

