U-I-7202	U-I-7202	X
ostalo	ostali	Agpnsay
,	,	Z
smatra	smatrati	Vmr3s
da	da	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
»	i	Agpnsly
protuustavnom	protuustavan	Agpnsly
ograničavanju	ograničavanje	Ncnsl
mogućnosti	mogućnost	Ncfsg
sudjelovanja	sudjelovanje	Ncnsg
jedne	jedan	Mlcfsg
od	od	Sg
stranaka	stranka	Ncfpg
u	u	Sl
postupku	postupak	Ncmsl
pred	pred	Si
sudom	sud	Ncmsi
«	«	Z
odnosno	odnosno	Rgp
da	da	Cs
se	sebe	Px--sa
»	»	Z
vjerovnicima	vjerovnik	Ncmpi
nameće	nametati	Vmr3s
neosnovano	neosnovano	Rgp
velika	velik	Agpnpay
ograničenja	ograničenje	Ncnpa
pri	pri	Sl
ostvarenju	ostvarenje	Ncnsl
njihovih	njihov	Ps3npg
prava	pravo	Ncnpg
i	i	Cc
time	taj	Pd-nsi
ih	oni	Pp3-pa
se	sebe	Px--sa
stavlja	stavljati	Vmr3s
u	u	Sa
podređeni	podrediti	Agpmsayn
položaj	položaj	Ncmsan
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dužnike	dužnik	Ncmpa
«	«	Z
,	,	Z
što	što	Pi3n-n
pojašnjava	pojašnjavati	Vmr3s
ovako	ovako	Rgp
:	:	Z

»	»	Z
Ovršni	ovršni	Agpmsny
zakon	zakon	Ncmsn
bi	biti	Vaa3s
trebao	trebati	Vmp-sm
biti	biti	Van
učinkovito	učinkovit	Agpnsny
pravno	pravni	Agpnsny
oruđe	oruđe	Ncnsn
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
prava	pravo	Ncnpg
koja	koji	Pi-npn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
pravomoćnih	pravomoćan	Agpfpgy
presuda	presuda	Ncfpg
sudova	sud	Ncmpg
i	i	Cc
drugih	drugi	Mlonpg
tijela	tijelo	Ncnpg
državne	državni	Agpfsgy
vlasti	vlast	Ncfsg
.	.	Z

Time	taj	Pd-nsi
bi	biti	Vaa3s
taj	taj	Pd-msn
Zakon	zakon	Ncmsn
bio	biti	Vap-sm
doprinos	doprinos	Ncmsn
stvaranju	stvaranje	Ncnsd
pravnog	pravni	Agpmsgy
reda	red	Ncmsg
i	i	Cc
sigurnosti	sigurnost	Ncfsg
.	.	Z

Zato	zato	Rgp
taj	taj	Pd-msn
Zakon	zakon	Ncmsn
ne	ne	Qz
smije	smjeti	Vmr3s
sadržavati	sadržavati	Vmn
odredbe	odredba	Ncfpa
koje	koji	Pi-fpn
tako	tako	Rgp
stečena	steći	Appfsny
prava	prav	Agpfsny
...	...	Z
bez	bez	Sg
ikakvog	ikakav	Pi-msg
razumnog	razuman	Agpmsgy
razloga	razlog	Ncmsg
ograničavaju	ograničavati	Vmr3p
.	.	Z
(...)	(...)	Z

Stječe	stjecati	Vmr3s
se	sebe	Px--sa
dojam	dojam	Ncmsn
da	da	Cs
je	biti	Var3s
OZ	OZ	Npmsn
donesen	donijeti	Appmsnn
s	sa	Si
ciljem	cilj	Ncmsi
da	da	Cs
se	sebe	Px--sa
pod	pod	Sa
svaku	svaki	Pi-fsa
cijenu	cijena	Ncfsa
popravi	popraviti	Vmr3s
formalna	formalan	Agpfsny
statistika	statistika	Ncfsn
redovnih	redovan	Agpmpgy
sudova	sud	Ncmpg
formalnim	formalan	Agpnsiy
dovršavanjem	dovršavanje	Ncnsi
ovršnih	ovršni	Agpmpgy
postupaka	postupak	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
tijeku	tijek	Ncmsl
,	,	Z
a	a	Cc
da	da	Cs
je	biti	Var3s
iz	iz	Sg
vidokruga	vidokrug	Ncmsg
predlagatelja	predlagatelj	Ncmpg
tog	taj	Pd-msg
Zakona	zakon	Ncmsg
...	...	Z
i	i	Cc
zakonodavca	zakonodavac	Ncmsg
(	(	Z
Hrvatskog	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
)	)	Z
potpuno	potpuno	Rgp
ispušteno	ispustiti	Appnsny
ono	onaj	Pd-nsn
što	što	Pi3n-n
bi	biti	Vaa3s
trebalo	trebati	Vmp-sn
biti	biti	Van
stvarni	stvaran	Agpmsny
cilj	cilj	Ncmsn
takvog	takav	Pd-msg
propisa	propis	Ncmsg
–	–	Z
učinkovito	učinkovit	Agpnsny
ostvarenje	ostvarenje	Ncnsn
vjerovničkih	vjerovnički	Agpnpgy
prava	pravo	Ncnpg
(...)	(...)	Z
«	«	Z

8.1.	8.1.	Mdo

Komentirajući	komentirati	Rr
izmjenu	izmjena	Ncfsa
članka	članak	Ncmsg
39.	39.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
učinjenu	učiniti	Appfsay
člankom	članak	Ncmsi
20.	20.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
ZID-a	zid-	Ncmsg
OvrZ-a	OvrZ	Npmsg
:	:	Z
93/14	93/14	Mdc
,	,	Z
ističe	isticati	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
radnike	radnik	Ncmpa
–	i	Agpmpay
ovrhovoditelje	ovrhovoditelj	Ncmpa
otklonjena	otkloniti	Appfsny
neustavnost	neustavnost	Ncfsn
na	na	Sa
koju	koji	Pi-fsa
je	biti	Var3s
ranije	rano	Rgc
ukazivao	ukazivati	Vmp-sm
,	,	Z
no	no	Cc
da	da	Cs
je	biti	Var3s
»	»	Z
zakonodavac	zakonodavac	Ncmsn
stvorio	stvoriti	Vmp-sm
dvije	dva	Mlcf-a
vrste	vrsta	Ncfsg
vjerovnika-ovrhovoditelja	vjerovnika-ovrhovoditelj	Ncmpg
,	,	Z
jedne	jedan	Mlcfsg
koji	koji	Pi-mpn
imaju	imati	Vmr3p
status	status	Ncmsan
radnika	radnik	Ncmpg
i	i	Cc
druge	drugi	Mlompa
,	,	Z
koji	koji	Pi-msn
taj	taj	Pd-msan
status	status	Ncmsan
nemaju	nemati	Vmr3p
«	«	Ncmsan
te	te	Cc
da	da	Cs
je	biti	Var3s
time	taj	Pd-nsi
»	»	Z
zakonodavac	zakonodavac	Ncmsn
ovrhovoditelje	ovrhovoditelj	Ncmpa
doveo	dovesti	Vmp-sm
u	u	Sa
nejednak	nejednak	Agpmsann
položaj	položaj	Ncmsan
pred	pred	Si
zakonom	zakon	Ncmsi
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
suprotno	suprotan	Agpnsny
čl.	čli	Agpnsny
14.	14.	Mdo
st.	st.	Y
2.	2.	Mdo
i	i	Cc
čl.	čl.	Y
29.	29.	Mdo
st.	st.	Y
1.	1.	Mdo
Ustava	ustav	Ncmsg
,	,	Z
jer	jer	Cs
ovrhovoditelji	ovrhovoditelj	Ncmpn
u	u	Sl
pravnom	pravni	Agpmsly
statusu	status	Ncmsl
radnika	radnik	Ncmpg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
da	da	Cs
ih	oni	Pp3-pa
sud	sud	Ncmsn
pozove	pozvati	Vmr3s
da	da	Cs
otklone	otkloniti	Vmr3p
(	(	Z
isprave	isprava	Ncfpa
)	)	Z
tehničke	tehnički	Agpfpny
i	i	Cc
/	/	Z
ili	ili	Cc
formalne	formalan	Agpmpay
propuste	propust	Ncmpa
u	u	Sl
sastavljanju	sastavljanje	Ncnsl
ovršnog	ovršni	Agpmsgy
prijedloga	prijedlog	Ncmsg
,	,	Z
a	a	Cc
ostali	ostali	Agpmpny
ovrhovoditelji	ovrhovoditelj	Ncmpn
(...)	(...)	Sg
toga	taj	Pd-nsg
prava	pravo	Ncnsg
nemaju	nemati	Vmr3p
«	«	Z
.	.	Z

Stoga	stoga	Rgp
predlaže	predlagati	Vmr3s
pokretanje	pokretanje	Ncnsa
postupka	postupak	Ncmsg
za	za	Sa
ocjenu	ocjena	Ncfsa
suglasnosti	suglasnost	Ncfsg
s	sa	Si
Ustavom	ustav	Ncmsi
članka	članak	Ncmsg
39.	39.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
i	i	Cc
njegovo	njegov	Agpnsay
ukidanje	ukidanje	Ncnsa
.	.	Z

IV	IV	Mrc
.	.	Z

OČITOVANJE	očitovanje	Ncnsn
MINISTARSTVA	ministarstvo	Ncnsg
PRAVOSUĐA	pravosuđe	Ncnsg

9.	9.	Mdo
Ministarstvo	ministarstvo	Ncnsn
pravosuđa	pravosuđe	Ncnsg
u	u	Sl
svom	svoj	Px-msl
očitovanju	očitovanje	Ncnsl
od	od	Sg
6.	6.	Mdo
studenoga	studeni	Ncmsg
2015.	2015.	Mdo
na	na	Sa
navode	navod	Ncmpa
sva	sav	Agpmsgn
tri	tri	Mlc
prijedloga	prijedlog	Ncmsg
navodi	navoditi	Vmr3s
:	:	Z

»	»	Z
Člankom	članak	Ncmsi
39.	39.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
OZ-a	OZ	Npmsg
propisano	propisati	Appnsny
je	biti	Var3s
ovlaštenje	ovlaštenje	Ncnsn
suda	sud	Ncmsg
da	da	Cs
rješenjem	rješenje	Ncnsi
odbaci	odbaciti	Vmr3s
prijedlog	prijedlog	Ncmsan
za	za	Sa
ovrhu	ovrha	Ncfsa
ako	ako	Cs
isti	isti	Agpmsayn
ne	ne	Qz
sadrži	sadržati	Vmr3s
sve	sav	Agpmpay
podatke	podatak	Ncmpa
propisane	propisati	Agpmpay
stavkom	stavka	Ncfsi
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
toga	toga	Ncfsn
članka	članak	Ncmsg
,	,	Z
ne	ne	Qz
pozivajući	pozivati	Rr
predlagatelja	predlagatelj	Ncmsay
da	da	Cs
ga	on	Pp3msa
dopuni	dopuniti	Vmr3s
ili	ili	Cc
ispravi	isprava	Ncfsl
.	.	Z

Uvodno	uvodno	Rgp
ističemo	isticati	Vmr1p
kako	kako	Cs
je	biti	Var3s
u	u	Sl
domaćem	domaći	Agpnsly
ovršnom	ovršni	Agpnsly
zakonodavstvu	zakonodavstvo	Ncnsl
prihvaćeno	prihvatiti	Appnsny
načelo	načelo	Ncnsn
strogog	strog	Agpmsgy
formalnog	formalan	Agpmsgy
legaliteta	legalitet	Ncmsg
.	.	Z

U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tim	taj	Pd-nsi
načelom	načelo	Ncnsi
,	,	Z
u	u	Sl
ovršnom	ovršni	Agpmsly
postupku	postupak	Ncmsl
postojanje	postojanje	Ncnsn
tražbine	tražbina	Ncfsg
i	i	Cc
ostalih	ostali	Agpfpgy
pretpostavki	pretpostavka	Ncfpg
za	za	Sa

