svojstava	svojstvo	Ncnpg
na	na	Sa
isti	isti	Agpmsayn
način	način	Ncmsan
kao	kao	Cs
i	i	Qo
kod	kod	Sg
utega	uteg	Ncmsg
razreda	razred	Ncmsg
točnosti	točnost	Ncfsg
M2	ma	Ncfsg
.	.	Z

2.5.	2.5.	Mdo

Oznake	oznaka	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
nazivnu	nazivni	Agpfsay
masu	masa	Ncfsa
i	i	Cc
slovo	slovo	Ncnsa
M	m	Pi-npn
mogu	moći	Vmr3p
biti	biti	Van
urezane	urezati	Appfpny
ili	ili	Cc
ispupčene	ispupčen	Agpfpny
.	.	Z

Kod	kod	Sg
paralelopipednih	paralelopipedan	Agpmpgy
utega	uteg	Ncmpg
nije	biti	Var3s
obavezno	obavezan	Agpnsny
da	da	Cs
slovo	slovo	Ncnsn
M	m	Pi-nsn
bude	biti	Var3s
urezano	urezati	Appnsny
ili	ili	Cc
ispupčeno	ispupčiti	Appnsny
,	,	Z
već	već	Cc
je	biti	Var3s
dopušten	dopustiti	Appmsnn
i	i	Cc
neki	neki	Pi-msan
drugi	drugi	Mlomsan
način	način	Ncmsan
.	.	Z

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
M1	M1	Xf
moraju	morati	Vmr3p
biti	biti	Van
označeni	označiti	Appmpny
oznakom	oznaka	Ncfsi
M1	ti	Appmpny
ili	ili	Cc
M	m	Pq3n-n
zajedno	zajedno	Rgp
s	sa	Si
oznakom	oznaka	Ncfsi
nazivne	nazivni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
.	.	Z

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
M1	ma	Ncfsg
paralelopipednog	paralelopipedan	Agpmsgy
oblika	oblik	Ncmsg
mogu	moći	Vmr3p
biti	biti	Van
označeni	označiti	Appmpny
i	i	Cc
oznakom	oznaka	Ncfsi
proizvođača	proizvođač	Ncmsg
prema	prema	Sl
slikama	slika	Ncfpl
u	u	Sl
Dodacima	dodatak	Ncmpl
IV	IV	Mrc
.	.	Z
i	i	Cc
V.	va	Ncfpn

Na	na	Sa
utege	uteg	Ncmpa
izrađene	izraditi	Appmpay
od	od	Sg
pločica	pločica	Ncfpg
i	i	Cc
žice	žica	Ncfpn
ne	ne	Qz
stavljaju	stavljati	Vmr3p
se	sebe	Px--sa
oznake	oznaka	Ncfpn
.	.	Z

Radi	radi	Sg
lakšeg	lak	Agcnsgy
razlikovanja	razlikovanje	Ncnsg
utega	uteg	Ncmpg
istih	isti	Agpfpgy
nazivnih	nazivni	Agpfpgy
masa	masa	Ncfpg
u	u	Sl
jednoj	jedan	Agpfsly
garnituri	garnitura	Ncfsl
,	,	Z
utezi	uteg	Ncmpn
dvojnici	dvojnik	Ncmpn
ili	ili	Cc
trojnici	trojnik	Ncmpn
moraju	morati	Vmr3p
se	sebe	Px--sa
obilježiti	obilježiti	Vmn
jednom	jednom	Rgp
ili	ili	Cc
dvjema	dva	Agpfpiy
zvjezdicama	zvjezdica	Ncfpi
ili	ili	Cc
točkama	točka	Ncfpl
u	u	Sl
središtu	središte	Ncnsl
površine	površina	Ncfsg
,	,	Z
osim	osim	Cs
za	za	Sa
žičane	žičan	Agpmpay
utege	uteg	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
moraju	morati	Vmr3p
obilježiti	obilježiti	Vmn
jednom	jednom	Rgp
ili	ili	Cc
dvjema	dva	Agpfpiy
kukicama	kukica	Ncfpi
.	.	Z

2.6.	2.6.	Mdo

Pojedinačni	pojedinačan	Agpmpny
utezi	uteg	Ncmpn
ili	ili	Cc
garniture	garnitura	Ncfpn
utega	uteg	Ncmpg
do	do	Sg
500	500	Mdc
g	g	Cc
moraju	morati	Vmr3p
se	sebe	Px--sa
držati	držati	Vmn
u	u	Sl
kovčežiću	kovčežić	Ncmsl
.	.	Z

Pojedinačni	pojedinačan	Agpmpny
utezi	uteg	Ncmpn
ili	ili	Cc
garniture	garnitura	Ncfpn
utega	uteg	Ncmpg
mase	masa	Ncfsg
veće	veliko	Rgc
od	od	Sg
500	500	Mdc
g	g	Y
mogu	moći	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
u	u	Sl
kovčegu	kovčeg	Ncmsl
ili	ili	Cc
na	na	Sl
postolju	postolje	Ncnsl
,	,	Z
a	a	Cc
i	i	Cc
pojedinačno	pojedinačno	Rgp
,	,	Z
nezaštićeni	nezaštićen	Agpmpny
.	.	Z

Na	na	Sl
poklopcu	poklopac	Ncmsl
kovčega	kovčeg	Ncmpg
mora	morati	Vmr3s
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
slovo	slovo	Ncnsa
M	m	Ncmpg
ili	ili	Cc
oznaka	oznaka	Ncfsn
M1	M1	Xf
.	.	Z

3.	3.	Mdo
UTEZI	uteg	Ncmpn
RAZREDA	razred	Ncmsg
TOČNOSTI	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	F2	X

3.1.	3.1.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	fa	Ncfpn
mogu	moći	Vmr3p
biti	biti	Van
cilindričnog	cilindričan	Agpmsgy
oblika	oblik	Ncmsg
ili	ili	Cc
oblika	oblik	Ncmsg
krnjeg	krnj	Agpmsgy
stošca	stožac	Ncmsg
,	,	Z
s	sa	Si
glavom	glava	Ncfsi
za	za	Sa
dizanje	dizanje	Ncnsa
(	(	Z
za	za	Sa
utege	uteg	Ncmpa
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
glava	glava	Ncfsn
nije	biti	Var3s
obvezna	obvezan	Agpfsny
)	)	Z
,	,	Z
a	a	Cc
upotrebljavaju	upotrebljavati	Vmr3p
se	sebe	Px--sa
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
utega	uteg	Ncmpg
i	i	Cc
vaga	vaga	Ncfpg
i	i	Cc
sl.	sl.	Y

3.2.	3.2.	Mdo

Nazivne	nazivni	Agpfpny
mase	masa	Ncfpn
utega	uteg	Ncmpg
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	F2	Pp1-pn
od	od	Sg
1	1	Mdc
mg	mg	Ncmpg
do	do	Sg
50	50	Mdc
kg	kg	Ncfpg
moraju	morati	Vmr3p
biti	biti	Van
iskazane	iskazati	Appfpny
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
člankom	članak	Ncmsi
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Utezi	uteg	Ncmpn
mogu	moći	Vmr3p
biti	biti	Van
cilindrični	cilindričan	Agpmpny
,	,	Z
izmjera	izmjera	Ncfsn
i	i	Cc
oblika	oblik	Ncmpg
prema	prema	Sl
Dodatku	dodatak	Ncmsl
III	III	Npfsl
.	.	Z
ili	ili	Cc
u	u	Sl
obliku	oblik	Ncmsl
krnjeg	krnj	Agpmsgy
stošca	stožac	Ncmsg
,	,	Z
čija	čiji	Pi-fsn
visina	visina	Ncfsn
treba	trebati	Vmr3s
odgovarati	odgovarati	Vmn
srednjem	srednji	Agpmsly
promjeru	promjer	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
biti	biti	Van
između	između	Sg
3/4	3/4	Mdc
i	i	Cc
5/4	5/4	Mdc
tog	taj	Pd-msg
promjera	promjer	Ncmsg
.	.	Z

Oblici	oblik	Ncmpn
miligramskih	miligramski	Agpmpgy
utega	uteg	Ncmpg
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	fa	Ncfpn
moraju	morati	Vmr3p
odgovarati	odgovarati	Vmn
obliku	oblik	Ncmsl
razreda	razred	Ncmsg
točnosti	točnost	Ncfsg
M1	ma	Ncfsg
kako	kako	Cs
je	biti	Var3s
određeno	odrediti	Appnsny
točkom	točka	Ncfsi
2.2	2.2	Mdc
ovoga	ovaj	Pd-msg
Dodatka	dodatak	Ncmsg
.	.	Z

3.3	3.3	Sa
Susceptibilnost	susceptibilnost	Ncfsa
utega	uteg	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
prelaziti	prelaziti	Vmn
vrijednosti	vrijednost	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
tablici	tablica	Ncfsl
:	:	Z

Nazivna	nazivni	Agpfsny
masa	masa	Ncfsn
/	/	Z
Razred	razred	Ncmsn
točnosti	točnost	Ncfsg
utega	uteg	Ncmsg
F1	F1	Xf
F2	F2	Xf
m	m	Xf
≤	≤	Z
1	1	Mdc
g	g	Y
10,0	10,0	Mdc
–	–	Z
2	2	Mdc
g	g	Y
≤	≤	Z
m	m	Cc
≤	≤	Z
10	10	Mdc
g	g	Y
0,7	0,7	Mdc
4,0	4,0	Mdc
20	20	Mdc
g	g	Y
≤	≤	Z
m	m	Y
0,2	0,2	Mdc
0,8	0,8	Mdc

3.4.	3.4.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmsg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
,	,	Z
bez	bez	Sg
glave	glava	Ncfsg
za	za	Sa
dizanje	dizanje	Ncnsa
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
cilindričnog	cilindričan	Agpmsgy
oblika	oblik	Ncmsg
.	.	Z

3.5.	3.5.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	F2	Qr
,	,	Z
nazivne	nazivni	Agpfsgy
mase	masa	Ncfsg
od	od	Sg
20	20	Mdc
kg	kg	Ncmpg
i	i	Cc
50	50	Mdc
kg	k	Npmpg
,	,	Z
mogu	moći	Vmr3p
imati	imati	Vmn
i	i	Qo
posebne	poseban	Agpmpay
oblike	oblik	Ncmpa
koji	koji	Pi-mpn
omogućavaju	omogućavati	Vmr3p
lakše	lak	Agcnsay
rukovanje	rukovanje	Ncnsa
.	.	Z

3.6.	3.6.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	f	Ncmpn
mogu	moći	Vmr3p
imati	imati	Vmn
šupljinu	šupljina	Ncfsa
za	za	Sa
namještanje	namještanje	Ncnsa
mase	masa	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
zatvara	zatvarati	Vmr3s
glavom	glava	Ncfsi
za	za	Sa
dizanje	dizanje	Ncnsa
ili	ili	Cc
na	na	Sa
neki	neki	Pi-msan
drugi	drugi	Mlomsan
način	način	Ncmsan
.	.	Z

3.7.	3.7.	Mdo

Površina	površina	Ncfsn
osnovice	osnovica	Ncfsg
i	i	Cc
plašta	plašt	Ncmpg
utega	uteg	Ncmpg
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	fo	Rgc
mora	morati	Vmr3s
biti	biti	Van
glatka	gladak	Agpfsny
i	i	Cc
bez	bez	Sg
neravnina	neravnina	Ncfpg
.	.	Z

Površina	površina	Ncfsn
utega	uteg	Ncmpg
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	fi	Agpfsgy
nazivne	nazivni	Agpfsgy
mase	masa	Ncfsg
od	od	Sg
1	1	Mdc
g	g	Y
do	do	Sg
50	50	Mdc
kg	kg	Ncfpg
,	,	Z
može	moći	Vmr3s
biti	biti	Van
zaštićena	zaštititi	Appfsny
kovinskom	kovinski	Agpfsiy
prevlakom	prevlaka	Ncfsi
otpornom	otporan	Agpfsiy
na	na	Sa
koroziju	korozija	Ncfsa
.	.	Z

3.8.	3.8.	Mdo

Ako	ako	Cs
utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	fa	Ncfpn
imaju	imati	Vmr3p
šupljinu	šupljina	Ncfsa
za	za	Sa
namještanje	namještanje	Ncnsa
mase	masa	Ncfsg
,	,	Z
namještaju	namještati	Vmr3p
se	sebe	Px--sa
istim	isti	Agpnsiy
gradivom	gradivo	Ncnsi
od	od	Sg
kojeg	koji	Pi-msg
su	biti	Var3p
izrađeni	izraditi	Appmpny
.	.	Z

Obujam	obujam	Ncmsn
šupljine	šupljina	Ncfsg
za	za	Sa
namještanje	namještanje	Ncnsa
mase	masa	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
1/4	1/4	Mdc
ukupnog	ukupan	Agpmsgy
obujma	obujam	Ncmsg
utega	uteg	Ncmpg
.	.	Z

Pri	pri	Sl
prvom	prvi	Mlonsl
namještanju	namještanje	Ncnsl
mase	masa	Ncfsg
novih	nov	Agpmpgy
utega	uteg	Ncmpg
približno	približno	Rgp
1/2	1/2	Mdc
ukupnog	ukupan	Agpmsgy
obujma	obujam	Ncmsg
šupljine	šupljina	Ncfsg
za	za	Sa
namještanje	namještanje	Ncnsa
mase	masa	Ncfsg
mora	morati	Vmr3s
ostati	ostati	Vmn
prazna	prazan	Agpfsny
.	.	Z

3.9.	3.9.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	F	Npmsg
ne	ne	Qz
obilježavaju	obilježavati	Vmr3p
se	sebe	Px--sa
oznakom	oznaka	Ncfsi
razreda	razred	Ncmsg
točnosti	točnost	Ncfsg
,	,	Z
a	a	Cc
na	na	Sa
utege	uteg	Ncmpa
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F2	fa	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
upisati	upisati	Vmn
slovo	slovo	Ncnsa
F	F	Pq3n-n
zajedno	zajedno	Rgp
s	sa	Si
oznakom	oznaka	Ncfsi
nazivne	nazivni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
.	.	Z

3.10.	3.10.	Mdo

Utezi	uteg	Ncmpn
razreda	razred	Ncmpg
točnosti	točnost	Ncfsg
F1	fa	Ncfsg
i	i	Cc
F2	fa	Ncfpn
pohranjuju	pohranjivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
kovčeg	kovčeg	Ncmsan
na	na	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
moraju	morati	Vmr3p
nalaziti	nalaziti	Vmn
sljedeći	sljedeći	Agpmpny
natpisi	natpis	Ncmpn
:	:	Z

1	1	Mdc
)	)	Z
razred	razred	Ncmsan
točnosti	točnost	Ncfsg
F1	fi	Agpnsny
,	,	Z
odnosno	odnosno	Rgp
F2	fi	Agpnsny

2	2	Mdc
)	)	Z
tvrtka	tvrtka	Ncfsn
,	,	Z
odnosno	odnosni	Agpnsay
ime	ime	Ncnsa
ili	ili	Cc
znak	znak	Ncmsn
proizvođača	proizvođač	Ncmsg

3	3	Mdc
)	)	Z
tvornički	tvornički	Agpmsny
broj	broj	Ncmsn
i	i	Cc
godina	godina	Ncfsn
proizvodnje	proizvodnja	Ncfsg
.	.	Z

Natpisi	natpis	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

4.	4.	Mdo
UTEZI	uteg	Ncmpn
RAZREDA	razred	Ncmsg
TOČNOSTI	točnost	Ncfsg
E1	ea	Ncfsg
i	i	Cc
E2	E2	X

4.1.	4.1.	Mdo

Nazivne	nazivni	Agpfpny
mase	masa	Ncfpn

