magnetskim	magnetski	Agpnply
usporedivi	usporediv	Agpmpny
.	.	Z

Napomena	napomena	Ncfsn
B2	B2	X
–	–	Z
3	3	Mdc
:	:	Z
Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
predstavljaju	predstavljati	Vmr3p
najviše	mnogo	Rgs
vrijednosti	vrijednost	Ncfpg
proračunane	proračunati	Appfpny
ili	ili	Cc
izmjerene	izmjeriti	Appfsgy
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
položaj	položaj	Ncmsan
tijela	tijelo	Ncnsg
radnika	radnik	Ncmpg
.	.	Z

To	taj	Pd-nsn
omogućuje	omogućivati	Vmr3s
konzervativnu	konzervativan	Agpfsay
procjenu	procjena	Ncfsa
izloženosti	izloženost	Ncfsg
i	i	Cc
automatsku	automatski	Agpfsay
sukladnost	sukladnost	Ncfsa
s	sa	Si
graničnim	graničan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
izloženosti	izloženost	Ncfsg
u	u	Sl
svim	sav	Agpmply
nejednakim	nejednak	Agpmply
uvjetima	uvjet	Ncmpl
izloženosti	izloženost	Ncfsg
.	.	Z

Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pojednostavnila	pojednostavniti	Vmp-sf
procjena	procjena	Ncfsn
sukladnosti	sukladnost	Ncfsg
s	sa	Si
graničnim	graničan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
izloženosti	izloženost	Ncfsg
,	,	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
u	u	Sl
posebnim	poseban	Agpmply
nejednakim	nejednak	Agpmply
uvjetima	uvjet	Ncmpl
,	,	Z
u	u	Sl
praktičnim	praktičan	Agpfply
smjernicama	smjernica	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
utvrdit	utvrditi	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
kriteriji	kriterij	Ncmpn
za	za	Sa
prostorno	prostoran	Agpnsay
usrednjavanje	usrednjavanje	Ncnsa
izmjerenih	izmjeriti	Agpnpgy
polja	polje	Ncnpg
na	na	Sl
temelju	temelj	Ncmsl
priznate	priznati	Vmr2p
dozimetrije	dozimetrije	Ncmsan
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
vrlo	vrlo	Rgp
lokaliziranog	lokaliziran	Agpmsgy
izvora	izvor	Ncmsg
udaljenom	udaljen	Agpmsdy
nekoliko	nekoliko	Rgp
centimetara	centimetar	Ncmpg
od	od	Sg
tijela	tijelo	Ncnsg
,	,	Z
inducirano	inducirati	Agpnsny
električno	električan	Agpnsny
polje	polje	Ncnsn
određuje	određivati	Vmr3s
pomoću	pomoć	Sg
dozimetrije	dozimetrija	Ncfsg
,	,	Z
posebno	poseban	Agpnsny
za	za	Sa
svaki	svaki	Pi-msan
pojedinačni	pojedinačan	Agpmsayn
slučaj	slučaj	Ncmsan
.	.	Z

Tablica	tablica	Ncfsn
B3	B3	Qr
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
za	za	Sa
dodirnu	dodirni	Agpfsay
struju	struja	Ncfsa
(	(	Z
Ic	Ic	Npmsn
)	)	Z

Frekvencija	frekvencija	Ncfsn
Vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
za	za	Sa
stalnu	stalan	Agpfsay
dodirnu	dodirni	Agpfsay
struju	struja	Ncfsa
(	(	Z
IC	IC	Npmsn
)	)	Z
[	[	Z
mA	mA	I
]	]	Z
(	(	Z
RMS	RMS	Npmsn
)	)	Z
do	do	Sg
2,5	2,5	Mdc
kHz	kHz	Y
1,0	1,0	Mdc
2,5	2,5	Mdc
≤	≤	Z
f	f	X
<	<	Z
100	100	Mdc
kHz	kHz	Y
0,4	0,4	Mdc
f	f	Y
100	100	Mdc
≤	≤	Z
f	f	Cc
≤	≤	Z
10	10	Mdc
000	000	Mdc
kHz	kHz	Y
40	40	Mdc

Napomena	napomena	Ncfsn
B3-1	b3-a	Ncfsg
:	:	Z
f	f	Ncfsn
je	biti	Var3s
frekvencija	frekvencija	Ncfsn
izražena	izraziti	Appfsny
u	u	Sl
kilohercima	kiloherc	Ncmpl
/	/	Z
(	(	Z
kHz	kHz	Npmsn
)	)	Z
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
)	)	Z
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
statičkih	statički	Agpnpgy
magnetskih	magnetski	Agpnpgy
polja	polje	Ncnpg

Tablica	tablica	Ncfsn
B4	B4	Qr
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
statičkih	statički	Agpnpgy
magnetskih	magnetski	Agpnpgy
polja	polje	Ncnpg

Opasnosti	opasnost	Ncfpn
Vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
B0	B0	Xf
)	)	Z
Interferencija	interferencija	Ncfsn
s	sa	Si
aktivnim	aktivan	Agpmsiy
ugrađenim	ugraditi	Appnply
pomagalima	pomagalo	Ncnpl
,	,	Z
npr.	npr.	Y
elektroničkim	elektronički	Agpmpiy
srčanim	srčan	Agpmpiy
stimulatorima	stimulator	Ncmpi
(	(	Z
pacemakerima	pacemaker	Ncmpi
)	)	Z
0,5	0,5	Mdc
mT	mi	Agpnsny
Privlačenje	privlačenje	Ncnsn
i	i	Cc
rizik	rizik	Ncmsan
od	od	Sg
projektila	projektil	Ncmsg
u	u	Sl
graničnom	graničan	Agpnsly
polju	polje	Ncnsl
izvora	izvor	Ncmpg
polja	polje	Ncnsg
visoke	visok	Agpfsgy
jakosti	jakost	Ncfsg
(	(	Z
>	>	Z
100	100	Mdc
mT	mT	Y
)	)	Z
3	3	Mdc
mT	ma	Ncfsg

PRILOG	prilog	Ncmsn
III	III	Mrc
.	.	Z

TOPLINSKI	toplinski	Agpmpny
UČINCI	učinak	Ncmpn
GRANIČNE	graničan	Agpfsgy
VRIJEDNOSTI	vrijednost	Ncfsg
IZLOŽENOSTI	izloženost	Ncfsg
I	i	Cc
VRIJEDNOSTI	vrijednost	Ncfsl
UPOZORENJA	upozorenje	Ncnsg
U	u	Sl
RASPONU	raspon	Ncmsl
FREKVENCIJA	frekvencija	Ncfsn
OD	od	Sg
100	100	Mdc
kHz	kHz	Y
do	do	Sg
300	300	Mdc
GHz	GHz	Y

A.	A.	Y
GRANIČNE	graničan	Agpfsgy
VRIJEDNOSTI	vrijednost	Ncfsg
IZLOŽENOSTI	izloženost	Ncfsg
(	(	Z
ELVs	ELVs	Npmsn
)	)	Z

Granične	graničan	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
frekvencije	frekvencija	Ncfpa
od	od	Sg
100	100	Mdc
kHz	kHz	Y
do	do	Sg
6	6	Mdc
GHz	GHz	Y
(	(	Z
tablica	tablica	Ncfsn
A1	A1	Xf
)	)	Z
ograničenja	ograničenje	Ncnsg
za	za	Sa
energiju	energija	Ncfsa
i	i	Cc
snagu	snaga	Ncfsa
koje	koji	Pi-fpn
se	sebe	Px--sa
apsorbiraju	apsorbirati	Vmr3p
po	po	Sl
jedinici	jedinica	Ncfsl
mase	masa	Ncfsg
tjelesnog	tjelesni	Agpnsgy
tkiva	tkivo	Ncnsg
kao	kao	Cs
posljedica	posljedica	Ncfsn
izloženosti	izloženost	Ncfsg
električnim	električan	Agpfpiy
i	i	Cc
magnetskim	magnetski	Agpnply
poljima	polje	Ncnpl
.	.	Z

Granične	graničan	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
frekvencije	frekvencija	Ncfpa
iznad	iznad	Sg
6	6	Mdc
GHz	GHz	Y
(	(	Z
tablica	tablica	Ncfsn
A3	A3	Xf
)	)	Z
ograničenja	ograničenje	Ncnsg
za	za	Sa
energiju	energija	Ncfsa
i	i	Cc
gustoću	gustoća	Ncfsa
snage	snaga	Ncfsg
elektromagnetskih	elektromagnetski	Agpmpgy
valova	val	Ncmpg
na	na	Sl
površini	površina	Ncfsl
tijela	tijelo	Ncnsg
.	.	Z

Tablica	tablica	Ncfsn
A1	A1	Xf
.	.	Z

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
za	za	Sa
elektromagnetska	elektromagnetski	Agpnpay
polja	polje	Ncnpa
od	od	Sg
100	100	Mdc
kHz	kHz	Y
do	do	Sg
6	6	Mdc
GHz	GHz	Y

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
Vrijednosti	vrijednost	Ncfsg
specifične	specifičan	Agpfsgy
apsorbirane	apsorbirati	Ncfsg
snage	snaga	Ncfsg
(	(	Z
SAR	SAR	Npmsn
)	)	Z
uprosječene	uprosječen	Agpfpny
kroz	kroz	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
6-minutni	6-minutan	Agpmsayn
interval	interval	Ncmsan
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
toplinsko	toplinski	Agpnsay
opterećenje	opterećenje	Ncnsa
cijelog	cijel	Agpnsgy
tijela	tijelo	Ncnsg
izražene	izraziti	Appmpay
kao	kao	Cs
specifična	specifičan	Agpfsny
apsorbirana	apsorbirati	Agpfsny
snaga	snaga	Ncfsn
(	(	Z
SAR	SAR	Npmsn
)	)	Z
uprosječena	uprosječen	Agpfsny
u	u	Sl
tijelu	tijelo	Ncnsl
0,4	0,4	Mdc
Wkg	Wi	Npmsg
–	–	Z
1	1	Mdc
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
toplinsko	toplinski	Agpnsay
opterećenje	opterećenje	Ncnsa
glave	glava	Ncfsg
i	i	Cc
trupa	trup	Ncmsg
izražene	izraziti	Appmpay
kao	kao	Cs
specifična	specifičan	Agpfsny
apsorbirana	apsorbirati	Agpfsny
snaga	snaga	Ncfsn
(	(	Z
SAR	SAR	Npmsn
)	)	Z
uprosječena	uprosječen	Agpfsny
u	u	Sl
tijelu	tijelo	Ncnsl
10	10	Mdc
Wkg	Wk	Npmpg
–	–	Z
1	1	Mdc
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
toplinsko	toplinski	Agpnsay
opterećenje	opterećenje	Ncnsa
ekstremiteta	ekstremitet	Ncmsg
izražene	izraziti	Appfpny
kao	kao	Cs
specifična	specifičan	Agpfsny
apsorbirana	apsorbirati	Agpfsny
snaga	snaga	Ncfsn
(	(	Z
SAR	SAR	Npfsn
)	)	Z
lokalizirana	lokalizirati	Appfsny
u	u	Sl
ekstremitetima	ekstremitet	Ncmpl
20	20	Mdc
Wkg	Wk	Npmpg
–	–	Z
1	1	Mdc

