sadržanom	sadržan	Agpnsly
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
člankom	članak	Ncmsi
42.	42.	Mdo

Zakona	zakon	Ncmsg
podnijeti	podnijeti	Vmn
godišnju	godišnji	Agpfsay
poreznu	porezni	Agpfsay
prijavu	prijava	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
će	htjeti	Var3s
za	za	Sa
te	taj	Pd-mpa
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
podataka	podatak	Ncmpg
kojima	koji	Pi-mpi
raspolaže	raspolagati	Vmr3s
,	,	Z
donijeti	donijeti	Vmn
privremeno	privremen	Agpnsay
porezno	porezni	Agpnsay
rješenje	rješenje	Ncnsa
kojim	koji	Pi-nsi
će	htjeti	Var3s
utvrditi	utvrditi	Vmn
razliku	razlika	Ncfsa
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
i	i	Cc
prireza	prirez	Ncmsg
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
za	za	Sa
uplatu	uplata	Ncfsa
ili	ili	Cc
povrat	povrat	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sukladno	sukladno	Rgp
članku	članak	Ncmsl
43.	43.	Mdo
a	a	Cc
stavku	stavak	Ncmsl
1.	1.	Mdo
Zakona	zakon	Ncmsg
,	,	Z
poseban	poseban	Agpmsann
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
godišnjeg	godišnji	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
i	i	Cc
prireza	prirez	Ncmsg
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
:	:	Z

1.	1.	Mdo
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
koji	koji	Pi-mpn
prema	prema	Sl
članku	članak	Ncmsl
39.	39.	Mdo

Zakona	zakon	Ncmsg
i	i	Cc
članku	članak	Ncmsl
85.	85.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
imaju	imati	Vmr3p
obvezu	obveza	Ncfsa
podnošenja	podnošenje	Ncnsg
godišnje	godišnji	Agpfsgy
porezne	porezni	Agpfsgy
prijave	prijava	Ncfsg
,	,	Z

2.	2.	Mdo
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
koji	koji	Pi-mpn
prema	prema	Sl
članku	članak	Ncmsl
40.	40.	Mdo

Zakona	zakon	Ncmsg
i	i	Cc
članku	članak	Ncmsl
86.	86.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nemaju	nemati	Vmr3p
obvezu	obveza	Ncfsa
podnošenja	podnošenje	Ncnsg
godišnje	godišnji	Agpfsgy
porezne	porezni	Agpfsgy
prijave	prijava	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
od	od	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
poseban	poseban	Agpmsann
postupak	postupak	Ncmsan
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
:	:	Z

1.	1.	Mdo
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
koji	koji	Pi-mpn
ostvare	ostvariti	Vmr3p
dohodak	dohodak	Ncmsan
od	od	Sg
samostalne	samostalan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
18.	18.	Mdo

Zakona	zakon	Ncmsg
i	i	Cc
djelatnosti	djelatnost	Ncfpg
po	po	Sl
osnovi	osnova	Ncfsl
kojih	koji	Pi-mpg
se	sebe	Px--sa
dohodak	dohodak	Ncmsn
utvrđuje	utvrđivati	Vmr3s
i	i	Cc
oporezuje	oporezivati	Vmr3s
kao	kao	Cs
dohodak	dohodak	Ncmsan
od	od	Sg
samostalne	samostalan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
prema	prema	Sl
člancima	članak	Ncmpl
19.	19.	Mdo
–	–	Z
24.	24.	Mdo

Zakona	zakon	Ncmsg
,	,	Z

2.	2.	Mdo
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
–	–	Z
članove	član	Ncmpa
posade	posada	Ncfsg
broda	brod	Ncmsg
u	u	Sl
međunarodnoj	međunarodni	Agpfsly
plovidbi	plovidba	Ncfsl
koji	koji	Pi-mpn
ostvare	ostvariti	Vmr3p
dohodak	dohodak	Ncmsan
od	od	Sg
nesamostalnog	nesamostalan	Agpmsgy
rada	rad	Ncmsg
po	po	Sl
osnovi	osnova	Ncfsl
rada	rad	Ncmsg
na	na	Sl
brodu	brod	Ncmsl
u	u	Sl
međunarodnoj	međunarodni	Agpfsly
plovidbi	plovidba	Ncfsl
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
su	biti	Var3p
rezidenti	rezident	Ncmpn
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
85.	85.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
točkom	točka	Ncfsi
6.	6.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

3.	3.	Mdo
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
ne	ne	Qz
raspolaže	raspolagati	Vmr3s
podacima	podatak	Ncmpi
o	o	Sl
njihovom	njihov	Ps3msl
ostvarenom	ostvariti	Agpmsly
dohotku	dohodak	Ncmsl
u	u	Sl
poreznom	porezni	Agpnsly
razdoblju	razdoblje	Ncnsl
odnosno	odnosno	Rgp
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
poreznom	porezni	Agpnsly
razdoblju	razdoblje	Ncnsl
ostvarili	ostvariti	Vmp-pm
oporeziv	oporeziv	Agpmsann
dohodak	dohodak	Ncmsan
o	o	Sl
kojem	koji	Pi-msl
poslodavac	poslodavac	Ncmsn
,	,	Z
isplatitelj	isplatitelj	Ncmsn
primitka	primitak	Ncmsg
ili	ili	Cc
sam	sam	Agpmsny
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
nije	biti	Var3s
izvijestio	izvijestiti	Vmp-sm
Poreznu	porezni	Agpfsay
upravu	uprava	Ncfsa
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
na	na	Sl
propisanom	propisati	Agpnsly
izvješću	izvješće	Ncnsl
,	,	Z

4.	4.	Mdo
porezne	porezni	Agpmpay
obveznike	obveznik	Ncmpa
koji	koji	Pi-mpn
prema	prema	Sl
članku	članak	Ncmsl
40.	40.	Mdo

Zakona	zakon	Ncmsg
i	i	Cc
članku	članak	Ncmsl
86.	86.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nemaju	nemati	Vmr3p
obvezu	obveza	Ncfsa
podnošenja	podnošenje	Ncnsg
porezne	porezni	Agpfsgy
prijave	prijava	Ncfsg
,	,	Z
a	a	Cc
ostvaruju	ostvarivati	Vmr3p
razliku	razlika	Ncfsa
godišnjeg	godišnji	Agpmsgy
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
i	i	Cc
prireza	prirez	Ncmsg
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
za	za	Sa
uplatu	uplata	Ncfsa
ili	ili	Cc
razlike	razlika	Ncfpa
nema	nemati	Vmr3s
,	,	Z
a	a	Cc
nisu	biti	Var3p
predali	predati	Vmp-pm
zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanjem	priznavanje	Agpnpay
prava	pravo	Ncnpa
na	na	Sa
porezne	porezni	Agpfpay
olakšice	olakšica	Ncfpa
u	u	Sl
posebnom	poseban	Agpmsly
postupku	postupak	Ncmsl
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
42.	42.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
čijom	čiji	Pi-fsi
bi	biti	Vaa3s
primjenom	primjena	Ncfsi
ostvarili	ostvariti	Vmp-pm
pravo	pravo	Ncnsa
na	na	Sa
povrat	povrat	Ncmsan
poreza	porez	Ncmsg
na	na	Sa
dohodak	dohodak	Ncmsan
i	i	Cc
prireza	prirez	Ncmsg
porezu	porez	Ncmsl
na	na	Sa
dohodak	dohodak	Ncmsan
,	,	Z

(	(	Z
4	4	Mdc
)	)	Z
Porezni	porezni	Agpmpny
obveznici	obveznik	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
obvezni	obvezan	Agpmpny
su	biti	Var3p
podnijeti	podnijeti	Vmn
godišnju	godišnji	Agpfsay
poreznu	porezni	Agpfsay
prijavu	prijava	Ncfsa
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
člankom	članak	Ncmsi
42.	42.	Mdo
stavkom	stavak	Ncmsi
2.	2.	Mdo
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prethodno	prethodno	Rgp
i	i	Cc
propisano	propisati	Agpnsny
izvješće	izvješće	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
76.	76.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Porezni	porezni	Agpmpny
obveznici	obveznik	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
39.	39.	Mdo
i	i	Cc
40.	40.	Mdo

Zakona	zakon	Ncmsg
,	,	Z
osim	osim	Sg
poreznih	porezni	Agpmpgy
obveznika	obveznik	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
a	a	Cc
za	za	Sa
koje	koji	Pi-mpa
Porezna	porezni	Agpfsny
uprava	uprava	Ncfsn
ne	ne	Qz
raspolaže	raspolagati	Vmr3s
podacima	podatak	Ncmpi
bitnim	bitan	Agpmsiy
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
umanjenje	umanjenje	Ncnsa
dohotka	dohodak	Ncmsg
(	(	Z
porezni	porezni	Agpmpny
obveznici	obveznik	Ncmpn
koji	koji	Pi-mpn
na	na	Sl
poreznoj	porezni	Agpfsly
kartici	kartica	Ncfsl
nemaju	nemati	Vmr3p
upisane	upisati	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
uzdržavanim	uzdržavati	Agpmply
članovima	član	Ncmpl
uže	uzak	Agcfsgy
obitelji	obitelj	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
djeci	dijete	Ncnpd
,	,	Z
stupnju	stupanj	Ncmsl
i	i	Cc
vrsti	vrsta	Ncfsl
utvrđene	utvrditi	Agpfsgy
invalidnosti	invalidnost	Ncfsg
,	,	Z
prebivalištu	prebivalište	Ncnsl
na	na	Sl
području	područje	Ncnsl
jedinica	jedinica	Ncfpg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
razvrstanih	razvrstati	Agpfpgy
u	u	Sa
potpomognuta	potpomoći	Agpnpay
područja	područje	Ncnpa
prema	prema	Sl
posebnom	poseban	Agpmsly
propisu	propis	Ncmsl
i	i	Cc
području	područje	Ncnsl
Grada	grad	Ncmsg
Vukovara	Vukovar	Npmsg
,	,	Z
te	te	Cc
podatke	podatak	Ncmpa
o	o	Sl
uvećanju	uvećanje	Ncnsl
osobnog	osoban	Agpmsgy
odbitka	odbitak	Ncmsg
za	za	Sa
plaćene	platiti	Agpmpay
doprinose	doprinos	Ncmpa
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
u	u	Sl
tuzemstvu	tuzemstvo	Ncnsl
ili	ili	Cc
dana	dan	Ncmpg
darovanja	darovanje	Ncnsg
)	)	Z
,	,	Z
mogu	moći	Vmr3p
u	u	Sl
roku	rok	Ncmsl

