izmijenjena	izmijeniti	Appfsny
koje	koji	Pi-fpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
njihovu	njihov	Ps3fsa
proizvodnju	proizvodnja	Ncfsa
;	;	Z

i.	i.	Mro
»	»	Z
Biokatalizatori	biokatalizator	Ncmpn
«	«	Z
za	za	Sa
dekontaminaciju	dekontaminacija	Ncfsa
ili	ili	Cc
razgradnju	razgradnja	Ncfsa
agensa	agens	Ncmsg
za	za	Sa
kemijsko	kemijski	Agpnsay
ratovanje	ratovanje	Ncnsa
i	i	Cc
njihovi	njihov	Ps3mpn
biološki	biološki	Agpmpny
sustavi	sustav	Ncmpn
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

1.	1.	Mdo
»	»	Z
Biokatalizatori	Biokatalizatora	Npfsl
«	«	Z
posebno	posebno	Rgp
namijenjeni	namijeniti	Appmpny
za	za	Sa
dekontaminaciju	dekontaminacija	Ncfsa
ili	ili	Cc
razgradnju	razgradnja	Ncfsa
agensa	agens	Ncmsg
za	za	Sa
kemijsko	kemijski	Agpnsay
ratovanje	ratovanje	Ncnsa
navedenih	navesti	Appmpgy
u	u	Sl
ML7	mla	Ncfsl
.	.	Z
b.	b.	Y
i	i	Cc
koji	koji	Pi-mpn
su	biti	Var3p
rezultat	rezultat	Ncmsn
usmjerene	usmjeriti	Appfpny
laboratorijske	laboratorijski	Agpfpny
selekcije	selekcija	Ncfpn
ili	ili	Cc
genetske	genetski	Agpfsgy
manipulacije	manipulacija	Ncfsg
bioloških	biološki	Agpmpgy
sustava	sustav	Ncmpg
;	;	Z

2.	2.	Mdo
Biološki	biološki	Agpmpny
sustavi	sustav	Ncmpn
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
genetske	genetski	Agpfpay
informacije	informacija	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
specifične	specifičan	Agpfpny
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
»	»	Z
biokatalilzatora	biokatalilzator	Ncmpg
«	«	Z
navedenih	navesti	Appmpgy
u	u	Sl
ML7	mla	Ncfsl
.	.	Z
i.	i.	Mro
1.	1.	Mdo
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

a.	a.	Mro
»	»	Z
Ekspresijski	ekspresijski	Agpmpny
vektori	vektor	Ncmpn
«	«	Z
;	;	Z

b.	b.	Y
Virusi	virus	Ncmpn
;	;	Z

c.	c.	Mdo
Kulture	kultura	Ncfsg
stanica	stanica	Ncfpg
.	.	Z

Napomena	napomena	Ncfsn
1.	1.	Mdo
ML7	ML7	Qr
.	.	Z
b.	b.	Y
i	i	Cc
ML7	mli	Agpfpny
.	.	Z
d.	d.	Pi-fpn
ne	ne	Qz
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
sljedeće	sljedeći	Agpnsay
:	:	Z

a.	a.	Npfsn
Cijanogen	Cijanogen	Npfsn
klorid	klorid	Ncmsan
(	(	Z
CAS	CAS	Npmsn
506	506	Mdc
-	-	Z
77	77	Mdc
-	-	Z
4	4	Mdc
)	)	Z
.	.	Z

Vidi	vidjeti	Vmr3s
stavku	stavka	Ncfsa
1	1	Mdc
C450	C450	X
.	.	Z
a.	a.	Y
5.	5.	Mdo
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
;	;	Z

b.	b.	Y
Cijanovodičnu	cijanovodičan	Agpfsay
kiselinu	kiselina	Ncfsa
(	(	Z
CAS	CAS	Npmsn
74	74	Mdc
-	-	Z
90	90	Mdc
-	-	Z
8	8	Mdc
)	)	Z
;	;	Z

c.	c.	Agpmsny
Klor	klor	Ncmsn
(	(	Z
CAS	CAS	Npmsn
7782	7782	Mdc
-	-	Z
50	50	Mdc
-	-	Z
5	5	Mdc
)	)	Z
;	;	Z

d.	d.	Y
Karbonil	karbonil	Agpmsayn
klorid	klorid	Ncmsan
(	(	Z
fosgen	fosgen	Ncmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
75	75	Mdc
-	-	Z
44	44	Mdc
-	-	Z
5	5	Mdc
)	)	Z
.	.	Z

Vidi	vidjeti	Vmr3s
stavku	stavka	Ncfsa
1	1	Mdc
C450	C450	X
.	.	Z
a.	a.	Y
4.	4.	Mdo
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
;	;	Z

e.	e.	Npfsn
Difosgen	Difosgen	Npfsn
(	(	Z
triklorometil-kloroformat	triklorometil-kloroformat	Ncmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
503	503	Mdc
-	-	Z
38	38	Mdc
-	-	Z
8	8	Mdc
)	)	Z
;	;	Z

f.	f.	Y
Ne	ne	Qz
upotrebljava	upotrebljavati	Vmr3s
se	sebe	Px--sa
od	od	Sg
2004.	2004.	Mdo
;	;	Z

g.	g.	Y
Ksilil	Ksilil	Npmsn
bromid	bromid	Ncmsan
,	,	Z
orto	ortti	Vmp-sm
CAS	CAS	Npmsn
89	89	Mdc
-	-	Z
92	92	Mdc
-	-	Z
9	9	Mdc
)	)	Z
,	,	Z
meta	meta	Ncfsn
CAS	CAS	Npmsn
620	620	Mdc
-	-	Z
13	13	Mdc
-	-	Z
3	3	Mdc
)	)	Z
,	,	Z
para	parati	Vmr3s
CAS	CAS	Npmsn
104	104	Mdc
-	-	Z
81	81	Mdc
-	-	Z
4	4	Mdc
)	)	Z
;	;	Z

h.	h.	Y
Benzil	benzil	Agpmsayn
bromid	bromid	Ncmsan
(	(	Z
CAS	CAS	Npmsn
100	100	Mdc
-	-	Z
39	39	Mdc
-	-	Z
0	0	Mdc
)	)	Z
;	;	Z

i.	i.	Mro
Benzil	benzil	Agpmsayn
jodid	jodid	Ncmsan
(	(	Z
CAS	CAS	Npmsn
620	620	Mdc
-	-	Z
05	05	Mdc
-	-	Z
3	3	Mdc
)	)	Z
;	;	Z

j.	j.	Agpmsny
Bromo	bromo	Agpmsny
aceton	aceton	Ncmsn
(	(	Z
CAS	CAS	Npmsn
598	598	Mdc
-	-	Z
31	31	Mdc
-	-	Z
2	2	Mdc
)	)	Z
;	;	Z

k.	k.	Y
Cijan	Cijan	Npmsn
bromid	bromid	Ncmsan
(	(	Z
CAS	CAS	Npmsn
506	506	Mdc
-	-	Z
68	68	Mdc
-	-	Z
3	3	Mdc
)	)	Z
;	;	Z

l.	l.	Y
Bromo	Bromo	Xf
metiletilketon	metiletilketon	Xf
(	(	Z
CAS	CAS	Npmsn
816	816	Mdc
-	-	Z
40	40	Mdc
-	-	Z
0	0	Mdc
)	)	Z
;	;	Z

m.	m.	Agpmsny
Kloro	kloro	Agpmsny
aceton	aceton	Ncmsn
(	(	Z
CAS	CAS	Npmsn
78	78	Mdc
-	-	Z
95	95	Mdc
-	-	Z
5	5	Mdc
)	)	Z
;	;	Z

n.	n.	Agpmsny
Etil	etil	Ncmsn
jodoacetat	jodoacetat	Ncfpg
(	(	Z
CAS	CAS	Npmsn
623	623	Mdc
-	-	Z
48	48	Mdc
-	-	Z
3	3	Mdc
)	)	Z
;	;	Z

o.	o.	Agpmsny
Jodo	jodo	Agpmsny
aceton	aceton	Ncmsn
(	(	Z
CAS	CAS	Npmsn
3019	3019	Mdc
-	-	Z
04	04	Mdc
-	-	Z
3	3	Mdc
)	)	Z
;	;	Z

p.	p.	Y
Kloropikrin	Kloropikrin	Npmsn
(	(	Z
CAS	CAS	Npmsn
76	76	Mdc
-	-	Z
06	06	Mdc
-	-	Z
2	2	Mdc
)	)	Z
.	.	Z

Vidi	vidjeti	Vmr3s
stavku	stavka	Ncfsa
1	1	Mdc
C450	C450	X
.	.	Z
a.	a.	Y
7.	7.	Mdo
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
.	.	Z

Napomena	napomena	Ncfsn
2.	2.	Mdo
Kulture	kultura	Ncfsg
stanica	stanica	Ncfsn
i	i	Cc
biološki	biološki	Agpmpny
sustavi	sustav	Ncmpn
navedeni	navesti	Appmpny
u	u	Sa
ML7	ml7	Ncmsan
.	.	Z
h.	ha	Ncfsl
i	i	Cc
ML7	mli	Agpnsny
.	.	Z
i.	i.	Mro
2.	2.	Mdo
isključivi	isključiv	Agpmpny
su	biti	Var3p
i	i	Cc
te	taj	Pd-fpa
stavke	stavka	Ncfpa
ne	ne	Qz
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
stanice	stanica	Ncfpa
ili	ili	Cc
biološke	biološki	Agpmpay
sustave	sustav	Ncmpa
za	za	Sa
civilne	civilan	Agpfpay
svrhe	svrha	Ncfpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
poljoprivreda	poljoprivreda	Ncfsn
,	,	Z
farmacija	farmacija	Ncfsn
,	,	Z
medicina	medicina	Ncfsn
,	,	Z
veterinarstvo	veterinarstvo	Ncnsn
,	,	Z
okoliš	okoliš	Ncmsan
,	,	Z
zbrinjavanje	zbrinjavanje	Ncnsa
otpada	otpad	Ncmsg
ili	ili	Cc
industrija	industrija	Ncfpg
hrane	hrana	Ncfsg
.	.	Z

ML8	ML8	Qr
.	.	Z

»	»	Z
Energetski	energetski	Agpmpny
materijali	materijal	Ncmpn
«	«	Z
i	i	Cc
odgovarajuće	odgovarajući	Agpfsgy
supstancije	supstancija	Ncfsg
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

POZOR	pozor	Ncmsn
1.	1.	Mdo
Vidi	vidjeti	Vmm2s
također	također	Rgp
stavku	stavka	Ncfsa
1	1	Mdc
C011	C011	X
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
.	.	Z

POZOR	pozor	Ncmsn
2.	2.	Mdo
Za	za	Sa
punjenja	punjenje	Ncnpa
i	i	Cc
uređaje	uređaj	Ncmpa
,	,	Z
vidi	vidjeti	Vmr3s
ML4	mla	Ncfpa
.	.	Z
i	i	Cc
stavku	stavak	Ncmsl
1	1	Mdc
A008	A008	X
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
.	.	Z

Tehničke	tehnički	Agpfpny
napomene	napomena	Ncfpn

1.	1.	Mdo
Za	za	Sa
potrebe	potreba	Ncfpa
ML8	ML8	Qr
.	.	Z
,	,	Z
smjesa	smjesa	Ncfsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
sastav	sastav	Ncmsan
dviju	dva	Mlcf-g
ili	ili	Cc
više	mnogo	Rgc
supstancija	supstancija	Ncfpg
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
barem	barem	Rgp
jedna	jedan	Mlcfsn
supstancija	supstancija	Ncfsn
navedena	navesti	Appfsny
u	u	Sl
podstavkama	podstavka	Ncfpl
ML8	m	Agpfply
.	.	Z

2.	2.	Mdo
Bilo	bilo	Qo
koja	koji	Pi-fsn
supstancija	supstancija	Ncfsn
navedena	navesti	Appfsny
u	u	Sl
podstavkama	podstavka	Ncfpl
ML8	ML8	Qr
.	.	Z
kontrolira	kontrolirati	Vmr3s
se	sebe	Px--sa
po	po	Sl
ovom	ovaj	Pd-msl
popisu	popis	Ncmsl
čak	čak	Qo
i	i	Qo
kada	kada	Rgp
se	sebe	Px--sa
koristi	koristiti	Vmr3s
za	za	Sa
neke	neki	Pi-fpa
druge	drugi	Agpfpay
primjene	primjena	Ncfpa
od	od	Sg
onih	onaj	Pd-mpg
navedenih	naveden	Agpmpgy
.	.	Z
(	(	Z
npr.	npr.	Y
TAGN	TAGN	Npmsn
se	sebe	Px--sa
uglavnom	uglavnom	Rgp
koristi	koristiti	Vmr3s
kao	kao	Cs
eksploziv	eksploziv	Ncmsan
,	,	Z
ali	ali	Cc
se	sebe	Px--sa
može	moći	Vmr3s
koristiti	koristiti	Vmn
ili	ili	Cc
kao	kao	Cs
gorivo	gorivo	Ncnsn
ili	ili	Cc
kao	kao	Cs
oksidator	oksidator	Ncmsn
.	.	Z
)	)	Z

3.	3.	Mdo
Za	za	Sa
potrebe	potreba	Ncfpa
ML8	ML8	Qr
.	.	Z
,	,	Z
veličina	veličina	Ncfsn
čestice	čestica	Ncfsg
je	biti	Var3s
srednji	srednji	Agpmsny
promjer	promjer	Ncmsn
čestice	čestica	Ncfsg
na	na	Sl
bazi	baza	Ncfsl
mase	masa	Ncfsg
ili	ili	Cc
volumena	volumen	Ncmsg
.	.	Z

Pri	pri	Sl
uzorkovanju	uzorkovanje	Ncnsl
i	i	Cc
određivanju	određivanje	Ncnsl
veličine	veličina	Ncfsg
čestice	čestica	Ncfsg
koristit	koristiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
međunarodne	međunarodni	Agpfsgy
ili	ili	Cc
jednakovrijedne	jednakovrijedan	Agpfpay
nacionalne	nacionalan	Agpfpay
norme	norma	Ncfpa
.	.	Z

a.	a.	Mro
»	»	Z
Eksplozivi	eksploziv	Ncmpn
«	«	Z
i	i	Cc
njihove	njihov	Ps3fsg
smjese	smjesa	Ncfsg
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

1.	1.	Mdo
ADNBF	ADNBF	Npmsn
(	(	Z
aminodinitrobenzofuroksan	aminodinitrobenzofuroksan	Ncmsn
ili	ili	Cc
7-amino	7-amino	Rgp
-4,6-dinitrobenzofurazan	-4,6-dinitrobenzofurazan	Agpmsayn
-1-oksid	-1-oksid	Ncmsan
)	)	Z
(	(	Z
CAS	CAS	Npmsn
97096	97096	Mdc
-	-	Z
78	78	Mdc
-	-	Z
1	1	Mdc
)	)	Z
;	;	Z

2.	2.	Mdo
BNCP	BNCP	Npmsan
(	(	Z
cis-bis	cis-bis	Ncmsn
(	(	Z
5-nitrotetrazolato	5-nitrotetrazolat	Agpnsny
)	)	Z
tetra	tetar	Ncmsg
amin-kobalt	amin-kobalt	Npmsn
(	(	Z
III	III	Mrc
.	.	Z
)	)	Z
perklorat	perklorat	Ncmsan
)	)	Z
(	(	Z
CAS	CAS	Npmsn
117412	117412	Mdc
-	-	Z
28	28	Mdc
-	-	Z
9	9	Mdc
)	)	Z
;	;	Z

3.	3.	Mdo
CL-14	CL-14	X
(	(	Z
diamino	diamino	Xf
dinitrobenzofuroksan	dinitrobenzofuroksan	Xf
ili	ili	Cc
5,7-diamino	5,7-diamino	Rgp
-4,6-dinitrobenzofurazan	-4,6-dinitrobenzofurazan	Agpmsayn
-1-oksid	-1-oksid	Ncmsan
)	)	Z
(	(	Z
CAS	CAS	Npmsn
117907	117907	Mdc
-	-	Z
74	74	Mdc
-	-	Z
1	1	Mdc
)	)	Z
;	;	Z

4.	4.	Mdo
CL-20	CL-20	X
(	(	Z
HNIW	HNIW	Npmsn
ili	ili	Cc
heksanitroheksaazaisowurtzitan	heksanitroheksaazaisowurtzitan	Agpmsnn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
135285	135285	Mdc
-	-	Z
90	90	Mdc
-	-	Z
4	4	Mdc
)	)	Z
;	;	Z
klatrati	klatrati	Ncfsn
od	od	Sg
CL-20	CL-20	Mdc
(	(	Z
vidi	vidjeti	Vmr3s
također	također	Rgp
ML8	mli	Agpnsny
.	.	Z
g.	g.	Y
3.	3.	Mdo
i	i	Cc
.	.	Z
g.	g.	Y
4.	4.	Mdo
za	za	Sa
njegove	njegov	Ncmpa
»	»	Z
prekursore	prekursor	Ncmpa
«	«	Z
)	)	Z
;	;	Z

5.	5.	Mdo
CP	CP	Npmsan
(	(	Z
2	2	Mdc
-	-	Z
(	(	Z
5-cijanotetrazolato	5-cijanotetrazolat	Agpnsny
)	)	Z
penta	pent	Agpfsny
amin-kobalt	amin-kobalt	Ncfsn
(	(	Z
III	III	Mrc
.	.	Z
)	)	Z
perklorat	perklorat	Ncmsan
)	)	Z
(	(	Z
CAS	CAS	Npmsn
70247	70247	Mdc
-	-	Z
32	32	Mdc
-	-	Z
4	4	Mdc
)	)	Z
;	;	Z

6.	6.	Mdo
DADE	dada	Ncfsg
(	(	Z
1,1-diamino	1,1-diamin	Agpnsny
-2,2-dinitroetilen	-2,2-dinitroetilen	Ncnsn
,	,	Z
FOX7	FOX7	Mds
)	)	Z
(	(	Z
CAS	CAS	Npmsn
145250	145250	Mdc
-	-	Z
81	81	Mdc
-	-	Z
3	3	Mdc
)	)	Z
;	;	Z

7.	7.	Mdo
DATB	DATB	Npmsn
(	(	Z
diaminotrinitrobenzen	diaminotrinitrobenzen	Ncmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
1630	1630	Mdc
-	-	Z
08	08	Mdc
-	-	Z
6	6	Mdc
)	)	Z
;	;	Z

8.	8.	Mdo
DDFP	DDFP	Npmsan
(	(	Z
1,4-dinitrodifurazanopiperazin	1,4-dinitrodifurazanopiperazin	Npmsn
)	)	Z
;	;	Z

9.	9.	Mdo
DDPO	DDPO	Npmsn
(	(	Z
2,6-diamino	2,6-diamin	Agpnsny
-3,5-dinitropirazin	-3,5-dinitropirazin	Agpmsann
-1-oksid	-1-oksid	Ncmsan
,	,	Z
PZO	PZO	Npmsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
194486	194486	Mdc
-	-	Z
77	77	Mdc
-	-	Z
6	6	Mdc
)	)	Z
;	;	Z

10.	10.	Mdo

DIPAM	dipai	Agpnsny
(	(	Z
3,3	3,3	Mdc
’	’	Z
-	-	Z
diamino-2	diamino-2	Mdm
,	,	Z
2	2	Mdc
’	’	Z
,	,	Z
4,4	4,4	Mdc
’	’	Z
,	,	Z
6,6	6,6	Mdc
’	’	Z
-	-	Z
heksanitrobifenil	heksanitrobifenil	Cc
ili	ili	Cc
dipikramid	dipikramii	Agpfsny
)	)	Z
(	(	Z
CAS	CAS	Npmsn
17215	17215	Mdc
-	-	Z
44	44	Mdc
-	-	Z
0	0	Mdc
)	)	Z
;	;	Z

11.	11.	Mdo

DNGU	DNG	Npmsl
(	(	Z
DINGU	dingo	Ncmsl
ili	ili	Cc
dinitroglikoluril	dinitroglikoluri	Ncmsl
)	)	Z
(	(	Z
CAS	CAS	Npmsn
55510	55510	Mdc
-	-	Z
04	04	Mdc
-	-	Z
8	8	Mdc
)	)	Z
;	;	Z

12.	12.	Mdo

Furazani	furazaniti	Vmm2s
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

a.	a.	Npmsn
DAAOF	DAAOF	Npmsn
(	(	Z
DAAF	DAAF	Npmsn
,	,	Z

