ugrađenim	ugraditi	Appmsiy
Međutim	međutim	Rgp
,	,	Z
ako	ako	Cs
je	biti	Var3s
svjetlo	svjetlo	Ncnsn
bljeskajuće	bljeskajuća	Ncfsg
,	,	Z
mora	morati	Vmr3s
bljeskati	bljeskati	Vmn
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
50	50	Mdc
i	i	Cc
ne	ne	Qz
više	mnogo	Rgc
od	od	Sg
70	70	Mdc
puta	puta	Rgp
u	u	Sl
minuti	minuta	Ncfsl
tijekom	tijekom	Sg
12	12	Mdc
sati	sat	Ncmpg
,	,	Z
uz	uz	Sa
odgovarajuću	odgovarajući	Agpfsay
jačinu	jačina	Ncfsa
svjetlosti	svjetlost	Ncfsg
.	.	Z

6.13.7.11	6.13.7.11	Mds
Unutar	unutar	Sg
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
smješteno	smjestiti	Appnsny
vanjsko	vanjski	Agpnsny
svjetlo	svjetlo	Ncnsn
koje	koji	Pi-nsn
se	sebe	Px--sa
ručno	ručno	Rgp
uključuje	uključivati	Vmr3s
i	i	Cc
isključuje	isključivati	Vmr3s
ili	ili	Cc
drugi	drugi	Mlomsan
izvor	izvor	Ncmsan
svjetlosti	svjetlost	Ncfsg
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
noću	noć	Ncfsi
tijekom	tijekom	Sg
najmanje	malo	Rgs
12	12	Mdc
sati	sat	Ncmpg
,	,	Z
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
mogu	moći	Vmr3p
čitati	čitati	Vmn
upute	uputa	Ncfpa
za	za	Sa
očuvanje	očuvanje	Ncnsa
života	život	Ncmsg
i	i	Cc
obavijest	obavijest	Ncfsa
o	o	Sl
razmještaju	razmještaj	Ncmsl
opreme	oprema	Ncfsg
.	.	Z

Za	za	Sa
tu	taj	Pd-fsa
namjenu	namjena	Ncfsa
ne	ne	Qz
smiju	smjeti	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
svjetiljke	svjetiljka	Ncfpa
na	na	Sa
ulje	ulje	Ncnsa
.	.	Z

6.13.7.12	6.13.7.1	Aspfsny
Brodica	brodica	Ncfsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
tako	tako	Rgp
izrađena	izraditi	Appfsny
da	da	Cs
s	sa	Sg
mjesta	mjesto	Ncnsg
upravljanja	upravljanje	Ncnsg
brodicom	brodica	Ncfsg
i	i	Cc
njezinim	njezin	Agpnsiy
kormilom	kormilo	Ncnsi
postoji	postojati	Vmr3s
dobra	dobar	Agpfsny
preglednost	preglednost	Ncfsn
prema	prema	Sl
pramcu	pramac	Ncmsl
,	,	Z
krmi	krma	Ncfsl
i	i	Cc
oba	oba	Mlsm-n
boka	bok	Ncmsg
,	,	Z
da	da	Cs
se	sebe	Px--sa
omogući	omogućiti	Vmr3s
sigurno	siguran	Agpnsny
spuštanje	spuštanje	Ncnsn
i	i	Cc
manevriranje	manevriranje	Ncnsa
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
.	.	Z

6.13.8	6.13.i	Mlofsn
Oprema	oprema	Ncfsn
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa

6.13.8.1	6.13.8.1	Pd-mpn
Svi	sav	Agpmpny
dijelovi	dio	Ncmpn
opreme	oprema	Ncfsg
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
moraju	morati	Vmr3p
biti	biti	Van
na	na	Sa
pogodan	pogodan	Agpmsann
način	način	Ncmsan
pričvršćeni	pričvršćen	Agpmpny
na	na	Sl
odgovarajućim	odgovarajući	Agpnply
mjestima	mjesto	Ncnpl
,	,	Z
čuvani	čuvati	Appmpny
u	u	Sl
kutijama	kutija	Ncfpl
,	,	Z
ili	ili	Cc
u	u	Sl
određenim	određen	Agpmply
prostorima	prostor	Ncmpl
.	.	Z

Međutim	međutim	Rgp
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
brodica	brodica	Ncfsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
spušta	spuštati	Vmr3s
s	sa	Si
pomoću	pomoć	Ncfsi
užadi	uže	Ncnsg
,	,	Z
čaklje	čaklji	Agpnsny
za	za	Sa
otiskivanje	otiskivanje	Ncnsa
moraju	morati	Vmr3p
biti	biti	Van
slobodne	slobodan	Agpfpny
.	.	Z

Oprema	opremati	Vmr3s
se	sebe	Px--sa
mora	morati	Vmr3s
tako	tako	Rgp
pričvrstiti	pričvrstiti	Vmn
da	da	Cs
ne	ne	Qz
ometa	ometati	Vmr3s
osobe	osoba	Ncfpa
pri	pri	Sl
napuštanju	napuštanje	Ncnsl
broda	brod	Ncmsg
.	.	Z

Sva	sav	Agpfsny
oprema	oprema	Ncfsn
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
kompaktna	kompaktan	Agpfsny
i	i	Cc
malih	mali	Agpfpgy
dimenzija	dimenzija	Ncfpg
zapakirana	zapakirati	Appfsny
u	u	Sa
prikladnu	prikladan	Agpfsay
i	i	Cc
čvrstu	čvrst	Agpfsay
ambalažu	ambalaža	Ncfsa
.	.	Z

Ako	ako	Cs
nije	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
,	,	Z
brodica	brodica	Ncfsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
:	:	Z

.	.	Z
1	1	Mdc
dovoljan	dovoljan	Agpmsann
broj	broj	Ncmsan
plutajućih	plutajući	Agpnpgy
vesala	veslo	Ncnpg
za	za	Sa
plovidbu	plovidba	Ncfsa
prema	prema	Sl
naprijed	naprijed	Rgp
po	po	Sl
mirnom	miran	Agpnsly
moru	more	Ncnsl
.	.	Z

Potrebno	potreban	Agpnsny
je	biti	Var3s
predvidjeti	predvidjeti	Vmn
palce	palac	Ncmpa
,	,	Z
rašlje	rašlje	Ncfpa
ili	ili	Cc
neke	neki	Pi-fpa
druge	drugi	Mlompa
pouzdane	pouzdan	Agpmpay
uređaje	uređaj	Ncmpa
za	za	Sa
svako	svaki	Agpnsay
veslo	veslo	Ncnsa
.	.	Z

Palci	palac	Ncmpn
ili	ili	Cc
rašlje	rašlje	Ncfpn
se	sebe	Px--sa
moraju	morati	Vmr3p
pričvrstiti	pričvrstiti	Vmn
uz	uz	Sa
brodicu	brodica	Ncfsa
uzicom	uzica	Ncfsi
ili	ili	Cc
lancem	lanac	Ncmsi
;	;	Z

.	.	Z
2	2	Mdc
dvije	dva	Mlcf-n
čaklje	čaklja	Ncfsg
;	;	Z

.	.	Z
3	3	Mdc
plutajući	plutajući	Agpmsny
ispolac	ispolac	Ncmsn
i	i	Cc
dva	dva	Mlc
kablića	kablić	Ncmsg
;	;	Z

.	.	Z
4	4	Mdc
upute	uputa	Ncfsg
za	za	Sa
očuvanje	očuvanje	Ncnsa
života	život	Ncmsg
(	(	Z
prema	prema	Sl
IMO	IM	Npmsl
Rezoluciji	rezolucija	Ncfsl
A.	A.	Y
657	657	Mdc
(	(	Z
16	16	Mdc
))	))	Z
;	;	Z

.	.	Z
5	5	Mdc
kompas	kompas	Ncmsan
s	sa	Si
kućištem	kućište	Ncnsi
,	,	Z
svijetleći	svijetleći	Agpmsny
ili	ili	Cc
opremljen	opremiti	Appmsnn
sredstvom	sredstvo	Ncnsi
za	za	Sa
osvjetljenje	osvjetljenje	Ncnsa
.	.	Z

Na	na	Sl
potpuno	potpuno	Rgp
zatvorenoj	zatvoren	Agpfsly
brodici	brodica	Ncfsl
za	za	Sa
spašavanje	spašavanje	Ncnsa
kompas	kompas	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
ugrađen	ugraditi	Appmsnn
pored	pored	Sg
mjesta	mjesto	Ncnsg
upravljanja	upravljanje	Ncnsg
kormilom	kormilo	Ncnsi
,	,	Z
a	a	Cc
na	na	Sl
svim	sav	Agpfply
drugim	drugi	Mlofpl
brodicama	brodica	Ncfpl
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
kućište	kućište	Ncnsa
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
da	da	Cs
ga	on	Pp3msa
zaštiti	zaštititi	Vmr3s
od	od	Sg
djelovanja	djelovanje	Ncnsg
vremenskih	vremenski	Agpfpgy
nepogoda	nepogoda	Ncfpg
,	,	Z
kao	kao	Cs
i	i	Qo
odgovarajuća	odgovarajući	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
pričvršćenje	pričvršćenje	Ncnsa
;	;	Z

.	.	Z
6	6	Mdc
zavlačno	zavlačan	Agpnsny
sidro	sidro	Ncnsn
sa	sa	Si
sidrenim	sidriti	Agpnsiy
užetom	uže	Ncnsi
izdržljivim	izdržljiv	Agpmsiy
na	na	Sa
dinamički	dinamički	Agpmsayn
otpor	otpor	Ncmsan
,	,	Z
trostruko	trostruko	Rgp
duljim	duljiti	Vmr1s
od	od	Sg
brodice	brodica	Ncfsg
i	i	Cc
užetom	uže	Ncnsi
za	za	Sa
vraćanje	vraćanje	Ncnsa
sidra	sidro	Ncnsg
.	.	Z

Čvrstoća	čvrstoća	Ncfsn
zavlačenog	zavlačiti	Agpnsgy
sidra	sidro	Ncnsg
,	,	Z
sidrenog	sidriti	Agpnsgy
užeta	uže	Ncnsg
i	i	Cc
užeta	uže	Ncnsg
za	za	Sa
vraćanje	vraćanje	Ncnsa
sidra	sidro	Ncnsg
mora	morati	Vmr3s
odgovarati	odgovarati	Vmn
svim	sav	Agpmpdy
uvjetima	uvjet	Ncmpd
na	na	Sl
moru	more	Ncnsl
;	;	Z

.	.	Z
7	7	Mdc
dvije	dva	Mlcf-n
privezaljke	privezaljki	Agpfsgy
duljine	duljina	Ncfsg
dvostruke	dvostruk	Agpfsgy
udaljenosti	udaljenost	Ncfsg
između	između	Sg
mjesta	mjesto	Ncnsg
smještanja	smještanje	Ncnsg
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
i	i	Cc
vodne	vodni	Agpfsgy
linije	linija	Ncfsg
kod	kod	Sg
stanja	stanje	Ncnsg
najmanjeg	mali	Agsmsgy
operativnog	operativan	Agpmsgy
gaza	gaz	Ncmsg
broda	brod	Ncmsg
,	,	Z
ili	ili	Cc
15	15	Mdc
m	m	Y
(	(	Z
prema	prema	Sl
tome	taj	Pd-nsl
što	što	Pi3n-n
je	biti	Var3s
veće	velik	Agcnsny
)	)	Z
.	.	Z

Na	na	Sl
brodicama	brodica	Ncfpl
za	za	Sa
spašavanje	spašavanje	Ncnsa
koje	koji	Pi-fpn
se	sebe	Px--sa
spuštaju	spuštati	Vmr3p
slobodnim	slobodan	Agpmsiy
padom	pad	Ncmsi
obje	oba	Mls
vezaljke	vezaljka	Ncfsg
moraju	morati	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
blizu	blizu	Sg
pramca	pramac	Ncmsg
spremne	spreman	Agpfsgy
za	za	Sa
upotrebu	upotreba	Ncfsa
.	.	Z

Na	na	Sl
drugim	drugi	Mlofpl
brodicama	brodica	Ncfpl
za	za	Sa
spašavanje	spašavanje	Ncnsa
jedna	jedan	Mlcfsn
vezaljka	vezaljka	Ncfsn
pričvršćena	pričvrstiti	Appfsny
za	za	Sa
napravu	naprava	Ncfsa
za	za	Sa
otpuštanje	otpuštanje	Ncnsa
koja	koji	Pi-fsn
se	sebe	Px--sa
zahtijeva	zahtijevati	Vmr3s
u	u	Sa
6.13.7.7	6.13.7.7	Mds
mora	morati	Vmr3s
se	sebe	Px--sa
postaviti	postaviti	Vmn
na	na	Sl
pramčanom	pramčani	Agpmsly
dijelu	dio	Ncmsl
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
,	,	Z
a	a	Cc
druga	drugi	Mlofsn
mora	morati	Vmr3s
biti	biti	Van
pričvršćena	pričvrstiti	Appfsny
za	za	Sa
pramac	pramac	Ncmsan
brodice	brodica	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
ili	ili	Cc
blizu	blizu	Sg
njega	on	Pp3msg
,	,	Z
spremna	spreman	Agpfsny
za	za	Sa
upotrebu	upotreba	Ncfsa
;	;	Z

.	.	Z
8	8	Mdc
dvije	dva	Mlcf-n
sjekirice	sjekirica	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
po	po	Sa
jedna	jedan	Mlcfsn
na	na	Sl
svakom	svaki	Pi-msl
kraju	kraj	Ncmsl
brodice	brodica	Ncfsg
;	;	Z

.	.	Z
9	9	Mdc
po	po	Sa
3	3	Mdc
l	l	Ncmsl
pitke	pitak	Agpfsgy
vode	voda	Ncfsg
kako	kako	Cs
je	biti	Var3s
opisano	opisati	Appnsny
u	u	Sl
6.8.5.1.19	6.8.5.1.1e	Ncnsl
po	po	Sl
osobi	osoba	Ncfsl
u	u	Sl
nepropusnim	nepropustan	Agpfply
posudama	posuda	Ncfpl
,	,	Z
ili	ili	Cc
po	po	Sl
1	a	Ncfsl
l	l	Ncmsl
pitke	pitak	Agpfsgy
vode	voda	Ncfsg
po	po	Sl
osobi	osoba	Ncfsl
,	,	Z
ako	ako	Cs
na	na	Sl
brodici	brodica	Ncfsl
postoji	postojati	Vmr3s
aparat	aparat	Ncmsan
za	za	Sa
pretvaranje	pretvaranje	Ncnsa
morske	morski	Agpfsgy
vode	voda	Ncfsg
u	u	Sa
pitku	pitak	Agpfsay
vodu	voda	Ncfsa
,	,	Z
koji	koji	Pi-msn
može	moći	Vmr3s
osigurati	osigurati	Vmn
jednaku	jednak	Agpfsay
količinu	količina	Ncfsa
pitke	pitak	Agpfsgy
vode	voda	Ncfsg
za	za	Sa
dva	dva	Mlc
dana	dan	Ncmsg
ili	ili	Cc
se	sebe	Px--sa
2	2	Mdc
l	l	Y
po	po	Sl
osobi	osoba	Ncfsl
mogu	moći	Vmr3p
nadomjestiti	nadomjestiti	Vmn
sa	sa	Si
desalinizatorom	desalinizator	Ncmsi
na	na	Sa
ručni	ručni	Agpmsayn
pogon	pogon	Ncmsan
,	,	Z
koji	koji	Pi-msn
radi	raditi	Vmr3s
na	na	Sl
principu	princip	Ncmsl
osmoze	osmoza	Ncfsg
kako	kako	Cs
je	biti	Var3s
opisano	opisati	Appnsny
u	u	Sl
6.13.7.5	6.13.7.a	Ncfsl
,	,	Z
i	i	Cc
koji	koji	Pi-msn
može	moći	Vmr3s
proizvesti	proizvesti	Vmn
jednaku	jednak	Agpfsay
količinu	količina	Ncfsa
pitke	pitak	Agpfsgy
vode	voda	Ncfsg
u	u	Sa
dva	dva	Mlc
dana	dan	Ncmsg
;	;	Z

.	.	Z
10	10	Mdc
nehrđajuću	nehrđajući	Agpfsay
posudu	posuda	Ncfsa
za	za	Sa
grabljenje	grabljenje	Ncnsa
,	,	Z
s	sa	Si
uzicom	uzica	Ncfsi
;	;	Z

.	.	Z
11	11	Mdc
nehrđajuću	nehrđajući	Agpfsay
graduiranu	graduirati	Agpfsay
posudu	posuda	Ncfsa
za	za	Sa
pitku	pitak	Agpfsay
vodu	voda	Ncfsa
;	;	Z

.	.	Z
12	12	Mdc
količinu	količina	Ncfsa
hrane	hrana	Ncfsg
opisanu	opisati	Appfsay
u	u	Sl
6.8.5.1.18	6.8.5.1.1a	Ncfsl
koja	koji	Pi-fsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
10.000	10.000	Mdc
kJ	ki	Agpnsny
,	,	Z
upakirane	upakirati	Vmr3s
tako	tako	Cs
da	da	Cs
ne	ne	Qz
propušta	propuštati	Vmr3s
zrak	zrak	Ncmsan
,	,	Z

