jedan	jedan	Mlcmsn
stavci	stavak	Ncmpn
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
,	,	Z
7.	7.	Mdo
,	,	Z
8.	8.	Mdo
i	i	Cc
9.	9.	Mdo
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
5	5	Mdc
)	)	Z
U	u	Sa
tražbine	tražbina	Ncfpa
petog	peti	Agpmsgy
višeg	visok	Ncmsg
isplatnog	isplatan	Agpmsgy
reda	red	Ncmsg
ulaze	ulaziti	Vmr3p
sve	sav	Agpfpay
ostale	ostali	Agpfpay
tražbine	tražbina	Ncfpa
prema	prema	Sl
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
osim	osim	Sg
onih	onaj	Pd-mpg
:	:	Z

–	–	Pd-fpn
koje	koji	Pi-fpn
su	biti	Var3p
razvrstane	razvrstati	Appfpny
u	u	Sa
niže	nizak	Agcmpay
isplatne	isplatan	Agpmpay
redove	red	Ncmpa
i	i	Cc

–	–	Npmsn
kod	kod	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
između	između	Sg
vjerovnika	vjerovnik	Ncmpg
i	i	Cc
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
ugovoreno	ugovoriti	Appnsny
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
vjerovnik	vjerovnik	Ncmsn
u	u	Sl
stečajnom	stečajni	Agpmsly
postupku	postupak	Ncmsl
namirivati	namirivati	Vmn
nakon	nakon	Sg
svih	sav	Agpmpgy
drugih	drugi	Mlompg
vjerovnika	vjerovnik	Ncmpg
viših	visok	Ncfpg
i	i	Cc
nižih	nizak	Agcfpgy
isplatnih	isplatan	Agpmpgy
redova	red	Ncmpg
i	i	Cc
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
je	biti	Var3s
ugovoreno	ugovoriti	Appnsny
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Nakon	nakon	Sg
namirenja	namirenje	Ncnsg
tražbina	tražbina	Ncfpg
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
274.	274.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
provesti	provesti	Vmn
djelomičnu	djelomičan	Agpfsay
diobu	dioba	Ncfsa
u	u	Sa
korist	korist	Ncfsa
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
274.	274.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Djelomična	djelomičan	Agpfsny
dioba	dioba	Ncfsn
za	za	Sa
tražbine	tražbina	Ncfpa
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
274.	274.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
za	za	Sa
iznos	iznos	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
na	na	Sl
ispitnom	ispitan	Agpnsly
ročištu	ročište	Ncnsl
priznao	priznati	Vmp-sm
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
gotovinska	gotovinski	Agpfsny
sredstava	sredstvo	Ncfsn
s	sa	Sg
računa	račun	Ncmsg
stečajnog	stečajni	Agpmsgy
dužnika	dužnik	Ncmsg
uplate	uplata	Ncfsg
u	u	Sa
korist	korist	Ncfsa
Fonda	fond	Ncmsg
osiguranja	osiguranje	Ncnsg
depozita	depozit	Ncmsg
.	.	Z

Isplate	isplata	Ncfpn
u	u	Sa
korist	korist	Ncfsa
tog	taj	Pd-msg
računa	račun	Ncmsg
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
izvršavati	izvršavati	Vmn
najmanje	malo	Rgs
jednom	jednom	Rgp
mjesečno	mjesečno	Rgp
sve	sav	Agpnsny
do	do	Sg
trenutka	trenutak	Ncmsg
isplate	isplata	Ncfsg
cjelokupnog	cjelokupan	Agpmsgy
iznosa	iznos	Ncmsg
njezine	njezin	Ps3fsg
tražbine	tražbina	Ncfsg
ili	ili	Cc
do	do	Sg
trenutka	trenutak	Ncmsg
zaključenja	zaključenje	Ncnsg
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
a	a	Cc
za	za	Sa
sve	sav	Agpfpay
pravne	pravni	Agpfpay
i	i	Cc
druge	drugi	Mlofpn
radnje	radnja	Ncfpn
kojima	koji	Pi-fpi
bi	biti	Vaa3p
se	sebe	Px--sa
odgodila	odgoditi	Vmp-sf
ta	taj	Pd-fsn
isplata	isplata	Ncfsn
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
dobiti	dobiti	Vmn
prethodnu	prethodan	Agpfsay
suglasnost	suglasnost	Ncfsa
Državne	državni	Agpfsgy
agencije	agencija	Ncfsg
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
pri	pri	Sl
prvoj	prvi	Mlofsl
djelomičnoj	djelomičan	Agpfsly
diobi	dioba	Ncfsl
kojom	koji	Pi-fsi
je	biti	Var3s
obuhvaćena	obuhvatiti	Appfsny
tražbina	tražbina	Ncfsn
vjerovnika	vjerovnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
274.	274.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ista	isti	Agpfsny
nije	biti	Var3s
isplaćena	isplatiti	Appfsny
u	u	Sl
cijelosti	cijelost	Ncfsl
,	,	Z
za	za	Sa
kasnije	kasno	Rgc
mjesečne	mjesečan	Agpfsgy
djelomične	djelomičan	Agpfsgy
diobe	dioba	Ncfsg
nije	biti	Var3s
potrebna	potreban	Agpfsny
suglasnost	suglasnost	Ncfsn
odbora	odbor	Ncmsg
vjerovnika	vjerovnik	Ncmpg
odnosno	odnosno	Rgp
suglasnost	suglasnost	Ncfsn
stečajnog	stečajni	Agpmsgy
suca	sudac	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
pri	pri	Sl
diobi	dioba	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
voditi	voditi	Vmn
računa	račun	Ncmsg
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
se	sebe	Px--sa
iz	iz	Sg
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
:	:	Z

–	a	Ncfpn
osiguraju	osigurati	Vmr3p
sredstva	sredstvo	Ncnpn
potrebna	potreban	Agpfsny
za	za	Sa
namirenje	namirenje	Ncnsa
predvidivih	predvidiv	Agpfpgy
obveza	obveza	Ncfpg
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
i	i	Cc
za	za	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
izdvojiti	izdvojiti	Vmn
sredstva	sredstvo	Ncnpa
potrebna	potreban	Agpfsny
za	za	Sa
pokriće	pokriće	Ncnsa
onih	onaj	Pd-fpg
takvih	takav	Pd-fpg
obveza	obveza	Ncfpg
za	za	Sa
koje	koji	Pi-fpa
se	sebe	Px--sa
osnovano	osnovati	Appnsny
može	moći	Vmr3s
pretpostaviti	pretpostaviti	Vmn
da	da	Cs
bi	biti	Vaa3s
ih	oni	Pp3-pa
trebalo	trebati	Vmp-sn
namiriti	namiriti	Vmn
u	u	Sl
budućnosti	budućnost	Ncfsl
i	i	Cc

–	–	Pi-fpn
izdvoje	izdvojiti	Vmr3p
sredstva	sredstvo	Ncnpa
za	za	Sa
osporene	osporiti	Agpfpay
tražbine	tražbina	Ncfpa
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
tražbine	tražbina	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
274.	274.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
stečajnom	stečajni	Agpmsly
upravitelju	upravitelj	Ncmsl
podnio	podnijeti	Vmp-sm
dokaz	dokaz	Ncmsan
o	o	Sl
podnesenoj	podnesen	Agpfsly
tužbi	tužba	Ncfsl
radi	radi	Sg
utvrđenja	utvrđenje	Ncnsg
te	taj	Pd-fsg
tražbine	tražbina	Ncfsg
odnosno	odnosno	Rgp
da	da	Cs
je	biti	Var3s
preuzeo	preuzeti	Vmp-sm
prije	prije	Sg
pokrenutu	pokrenuti	Agpfsay
parnicu	parnica	Ncfsa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
121.	121.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
275.	275.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
naslov	naslov	Ncmsn
iznad	iznad	Sg
članka	članak	Ncmsg
i	i	Cc
članak	članak	Ncmsn
275.	275.	Mdo
a	a	Cc
,	,	Z
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
Zabrana	zabrana	Ncfsn
promjene	promjena	Ncfsg
djelatnosti	djelatnost	Ncfsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
u	u	Sl
stečaju	stečaj	Ncmsl

Članak	članak	Ncmsn
275.	275.	Mdo
a	a	Cc

Kreditna	kreditan	Agpfsny
institucija	institucija	Ncfsn
nad	nad	Si
kojom	koji	Pi-fsi
je	biti	Var3s
otvoren	otvoriti	Appmsnn
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
promijeniti	promijeniti	Vmn
djelatnost	djelatnost	Ncfsa
na	na	Sa
način	način	Ncmsan
da	da	Cs
prestane	prestati	Vmr3s
pružati	pružati	Vmn
bankovne	bankovan	Agpfpay
usluge	usluga	Ncfpa
i	i	Cc
nastavi	nastaviti	Vmr3s
poslovati	poslovati	Vmn
,	,	Z
već	već	Cc
mora	morati	Vmr3s
završiti	završiti	Vmn
stečajni	stečajni	Agpmsayn
postupak	postupak	Ncmsan
i	i	Cc
provesti	provesti	Vmn
brisanje	brisanje	Ncnsa
u	u	Sl
sudskom	sudski	Agpmsly
registru	registar	Ncmsl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
122.	122.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
275.	275.	Mdo
a	a	Cc
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
naslov	naslov	Ncmsn
glave	glava	Ncfsg
i	i	Cc
glava	glava	Ncfsn
XXI	XXI	Npmsn
.	.	Z
1.	1.	Mdo
a	a	Cc
te	ti	Pp2-sa
naslovi	nasloviti	Vmr3s
iznad	iznad	Sg
članaka	članak	Ncmpg
i	i	Cc
članci	članak	Ncmpn
275.	275.	Mdo
b	b	X
,	,	Z
275.	275.	Mdo
c	C	X
,	,	Z
275.	275.	Mdo
d	d	X
i	i	Cc
275.	275.	Mdo
e	e	Agpmpay
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
XXI	XXI	Qr
.	.	Z
1.	1.	Mdo
a	a	Cc
STEČAJ	stečaj	Ncmsn
KREDITNE	kreditan	Agpfsgy
INSTITUCIJE	institucija	Ncfsg
U	u	Sl
SANACIJI	sanacija	Ncfsl

Stečaj	stečaj	Ncmsn
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl

Članak	članak	Ncmsn
275.	275.	Mdo
b	b	X

(	(	Z
1	1	Mdc
)	)	Z
Prijedlog	prijedlog	Ncmsn
za	za	Sa
otvaranje	otvaranje	Ncnsa
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
nad	nad	Si
kreditnom	kreditan	Agpfsiy
institucijom	institucija	Ncfsi
u	u	Sl
sanaciji	sanacija	Ncfsl
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
samo	samo	Rgp
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
kao	kao	Cs
sanacijsko	sanacijski	Agpnsny
tijelo	tijelo	Ncnsn
,	,	Z
iz	iz	Sg
razloga	razlog	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
članku	članak	Ncmsl
266.	266.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z

