skladu	sklad	Ncmsd
uređaje	uređaj	Ncmpa
koji	koji	Pi-mpn
isključuju	isključivati	Vmr3p
pogon	pogon	Ncmsan
prije	prija	Cs
nego	nego	Cs
što	što	Cs
soha	soha	Ncfsn
dođe	doći	Vmr3s
do	do	Sg
oslonca	oslonac	Ncmsg
,	,	Z
da	da	Cs
se	sebe	Px--sa
izbjegne	izbjeći	Vmr3s
preveliko	prevelik	Agpnsny
naprezanje	naprezanje	Ncnsn
užadi	uže	Ncnpg
za	za	Sa
zavješenje	zavješenja	Ncfpa
ili	ili	Cc
sohe	soha	Ncfpa
,	,	Z
osim	osim	Cs
ako	ako	Cs
je	biti	Var3s
motor	motor	Ncmsn
izveden	izvesti	Appmsnn
tako	tako	Cs
da	da	Cs
ne	ne	Qz
dopušta	dopuštati	Vmr3s
prekomjerno	prekomjeran	Agpnsay
opterećenje	opterećenje	Ncnsa
.	.	Z

6.20.2.8	6.20.2.8	Mds
Brzina	brzina	Ncfsn
spuštanja	spuštanje	Ncnsg
na	na	Sa
vodu	voda	Ncfsa
potpuno	potpuno	Rgp
opterećenog	opteretiti	Appnsgy
plovila	plovilo	Ncnpa
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
i	i	Cc
brodice	brodica	Ncfpa
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manja	mali	Agcfsny
od	od	Sg
brzine	brzina	Ncfsg
dobivene	dobivena	Ncfpg
po	po	Sl
izrazu	izraz	Ncmsl
:	:	Z

S	sa	Sg
=	=	Z
0,4	0,4	Mdc
+	+	Z
0,02	0,02	Mdc
H	h	Y
,	,	Z

gdje	gdje	Rgp
je	biti	Var3s
:	:	Z

S	sa	Si
–	–	Z
je	biti	Var3s
brzina	brzina	Ncfsn
spuštanja	spuštanje	Ncnsg
u	u	Sl
metrima	metar	Ncmpl
u	u	Sl
sekundi	sekunda	Ncfsl
,	,	Z

H	h	I
–	–	Z
je	biti	Var3s
visina	visina	Ncfsn
u	u	Sl
metrima	metar	Ncmpl
od	od	Sg
vrha	vrh	Ncmsg
sohe	soha	Ncfsg
do	do	Sg
vodne	vodni	Agpfsgy
linije	linija	Ncfsg
kad	kad	Cs
je	biti	Var3s
brod	brod	Ncmsn
u	u	Sl
stanju	stanje	Ncnsl
najmanjeg	mali	Pi-msan
operativnog	operativan	Agpmsgy
gaza	gaz	Ncmsg
.	.	Z

6.20.2.9	6.20.2.9	Mds
Brzina	brzina	Ncfsn
spuštanja	spuštanje	Ncnsg
potpuno	potpuno	Rgp
opremljene	opremiti	Appfpay
splavi	splavi	Agpnsny
za	za	Sa
spašavanje	spašavanje	Ncnsa
bez	bez	Sg
osoba	osoba	Ncfpg
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
na	na	Sa
zadovoljstvo	zadovoljstvo	Ncnsa
RO	RO	Npmsn
.	.	Z

Brzina	brzina	Ncfsn
spuštanja	spuštanje	Ncnsg
ostalih	ostali	Agpnpgy
sredstava	sredstvo	Ncnpg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
,	,	Z
potpuno	potpuno	Rgp
opremljenih	opremiti	Appfpgy
ali	ali	Cc
bez	bez	Sg
osoba	osoba	Ncfpg
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
ne	ne	Qz
manja	mali	Agcfsny
od	od	Sg
70	70	Mdc
%	%	Z
od	od	Sg
zahtjevane	zahtjevan	Ncfpg
u	u	Sl
6.20.2.8.	6.20.2.8a	Ncfsl

6.20.2.10	6.20.2.10	Mds
Maksimalna	maksimalan	Agpfsny
brzina	brzina	Ncfsn
spuštanja	spuštanje	Ncnsg
mora	morati	Vmr3s
se	sebe	Px--sa
utvrditi	utvrditi	Vmn
od	od	Sg
strane	strana	Ncfsg
RO	RO	Npmsn
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
konstrukciju	konstrukcija	Ncfsa
sredstva	sredstvo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
ili	ili	Cc
brodice	brodica	Ncfpa
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
,	,	Z
zaštitu	zaštita	Ncfsa
osoba	osoba	Ncfpg
od	od	Sg
prekomjernih	prekomjeran	Agpfpgy
sila	sila	Ncfpg
i	i	Cc
naprezanje	naprezanje	Ncnsa
uređaja	uređaj	Ncmpg
za	za	Sa
spuštanje	spuštanje	Ncnsa
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
sile	sila	Ncfsg
inercije	inercija	Ncfsg
za	za	Sa
slučaj	slučaj	Ncmsan
naglog	nagao	Agpnsgy
zaustavljanja	zaustavljanje	Ncnsg
u	u	Sl
nuždi	nužda	Ncfsl
.	.	Z

Uređaj	uređaj	Ncmsn
za	za	Sa
spuštanje	spuštanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
sredstvo	sredstvo	Ncnsa
koje	koji	Pi-nsn
osigurava	osiguravati	Vmr3s
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
prijeđe	prijeći	Vmr3s
maksimalna	maksimalan	Agpfsny
brzina	brzina	Ncfsn
.	.	Z

6.20.2.11	6.20.2.11	Agpmsny
Uređaj	uređaj	Ncmsn
za	za	Sa
spuštanje	spuštanje	Ncnsa
mora	morati	Vmr3s
imati	imati	Vmn
kočnicu	kočnica	Ncfsa
koja	koji	Pi-fsn
omogućava	omogućavati	Vmr3s
zaustavljanje	zaustavljanje	Ncnsa
spuštanja	spuštanje	Ncnsg
plovila	plovilo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
,	,	Z
ili	ili	Cc
brodice	brodica	Ncfpn
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
i	i	Cc
mora	morati	Vmr3s
ih	oni	Pp3-pa
držati	držati	Vmn
čvrsto	čvrsto	Rgp
dok	dok	Cs
su	biti	Var3p
opterećeni	opteretiti	Appmpny
punim	pun	Agpmsiy
brojem	broj	Ncmsi
osoba	osoba	Ncfpg
i	i	Cc
opreme	oprema	Ncfsg
.	.	Z

Podloške	podložak	Ncmpa
kočnica	kočnica	Ncfpg
moraju	morati	Vmr3p
,	,	Z
gdje	gdje	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
biti	biti	Van
zaštićene	zaštititi	Appfpny
od	od	Sg
vode	voda	Ncfsg
i	i	Cc
ulja	ulje	Ncnsg
.	.	Z

6.20.2.12	6.20.2.1i	Agpfpny
Ručne	ručni	Agpfpny
kočnice	kočnica	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
izvedbe	izvedba	Ncfsg
da	da	Cs
kočnica	kočnica	Ncfsn
stalno	stalno	Rgp
djeluje	djelovati	Vmr3s
,	,	Z
osim	osim	Cs
kada	kada	Cs
rukovatelj	rukovatelj	Ncmsn
ili	ili	Cc
mehanizam	mehanizam	Ncmsan
aktiviran	aktivirati	Appmsnn
od	od	Sg
rukovatelja	rukovatelj	Ncmpg
drži	držati	Vmr3s
polugu	poluga	Ncfsa
kočnice	kočnica	Ncfsg
u	u	Sl
položaju	položaj	Ncmsl
»	»	Z
isključeno	isključiti	Appnsny
«	«	Z
.	.	Z

6.20.3	6.20.i	Agpnsny
Spuštanje	spuštanje	Ncnsn
slobodnim	slobodan	Agpnsiy
izranjanjem	izranjanje	Ncnsi

Ako	ako	Cs
se	sebe	Px--sa
plovilo	plovilo	Ncnsn
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
spušta	spuštati	Vmr3s
uređajem	uređaj	Ncmsi
za	za	Sa
spuštanje	spuštanje	Ncnsa
,	,	Z
i	i	Cc
ako	ako	Cs
se	sebe	Px--sa
osim	osim	Sg
toga	taj	Pd-nsg
zahtjeva	zahtjev	Ncmpg
njegovo	njegov	Ps3nsn
slobodno	slobodan	Agpnsny
izranjanje	izranjanje	Ncnsn
,	,	Z
oslobađanje	oslobađanje	Ncnsn
za	za	Sa
slobodno	slobodan	Agpnsay
izranjanje	izranjanje	Ncnsa
s	sa	Sg
mjesta	mjesto	Ncnpg
gdje	gdje	Cs
je	biti	Var3s
plovilo	plovilo	Ncnsn
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
smješteno	smjestiti	Appnsny
mora	morati	Vmr3s
se	sebe	Px--sa
obavljati	obavljati	Vmn
automatski	automatski	Rgp
.	.	Z

6.20.4	6.20.4	Pd-mpn
Uređaji	uređaj	Ncmpn
za	za	Sa
spuštanje	spuštanje	Ncnsa
brodica	brodica	Ncfpg
za	za	Sa
spašavanje	spašavanje	Ncnsa
koje	koji	Pi-fpn
se	sebe	Px--sa
spuštaju	spuštati	Vmr3p
slobodnim	slobodan	Agpmsiy
padom	pad	Ncmsi

6.20.4.1	6.20.4.1	Mdc
Svaki	svaki	Pi-msan
uređaj	uređaj	Ncmsan
za	za	Sa
spuštanje	spuštanje	Ncnsa
mora	morati	Vmr3s
udovoljavati	udovoljavati	Vmn
zahtjevima	zahtjev	Ncmpd
navedenim	navesti	Appmply
u	u	Sl
6.20.1	6.20.a	Ncfsl
i	i	Cc
,	,	Z
dodatno	dodatno	Rgp
,	,	Z
zahtjevima	zahtjev	Ncmpi
ovog	ovaj	Pd-msg
odjeljka	odjeljak	Ncmsg
.	.	Z

6.20.4.2	6.20.4.2	Agpmsny
Uređaj	uređaj	Ncmsn
za	za	Sa

