jedan	jedan	Mlcmsn
ili	ili	Cc
ne	ne	Qz
odobrava	odobravati	Vmr3s
pojedino	pojedini	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
kojom	koji	Pi-fsi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
postojanje	postojanje	Ncnsn
,	,	Z
odnosno	odnosni	Agpnsny
nepostojanje	nepostojanje	Ncnsn
određenih	određen	Agpfpgy
činjenica	činjenica	Ncfpg
o	o	Sl
kojima	koji	Pi-fpl
ovisi	ovisiti	Vmr3s
ispunjenje	ispunjenje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ocjena	ocjena	Ncfsn
obvezno	obvezno	Rgp
mora	morati	Vmr3s
biti	biti	Van
medicinski	medicinski	Agpmsny
obrazložena	obrazložiti	Appfsny
i	i	Cc
iz	iz	Sg
nje	on	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
jasno	jasno	Rgp
vidljiv	vidljiv	Agpmsnn
razlog	razlog	Ncmsn
zbog	zbog	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
osiguranoj	osigurati	Ncnsn
osobi	osoba	Ncfsl
odobreno	odobriti	Appnsny
ili	ili	Cc
djelomice	djelomice	Rgp
odobreno	odobren	Agpnsny
pojedino	pojedini	Agpnsny
pravo	pravo	Ncnsn
,	,	Z
odnosno	odnosno	Rgp
razlog	razlog	Ncmsn
radi	raditi	Vmr3s
kojeg	koji	Pi-msg
je	biti	Var3s
liječničko	liječnički	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
da	da	Cs
ne	ne	Qz
postoje	postojati	Vmr3p
uvjeti	uvjet	Ncmpn
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
ne	ne	Qz
postoje	postojati	Vmr3p
činjenice	činjenica	Ncfpn
o	o	Sl
kojima	koji	Pi-fpl
ovisi	ovisiti	Vmr3s
ispunjenje	ispunjenje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnpg
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kada	kada	Rgp
tijekom	tijekom	Sg
provođenja	provođenje	Ncnsg
stručno-medicinskog	stručno-medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
u	u	Sl
postupku	postupak	Ncmsl
pokrenutom	pokrenuti	Appmsly
na	na	Sl
osnovi	osnova	Ncfsl
zahtjeva	zahtjev	Ncmpg
osigurane	osigurati	Appfpny
osobe	osoba	Ncfsg
za	za	Sa
priznavanjem	priznavanje	Ncnsi
pojedinog	pojedini	Agpnsgy
prava	pravo	Ncnsg
ili	ili	Cc
na	na	Sl
osnovi	osnova	Ncfsl
prijedloga	prijedlog	Ncmsg
izabranog	izabran	Agpmsgy
doktora	doktor	Ncmsg
osigurane	osigurati	Ncfsg
osobe	osoba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
doktora	doktor	Ncmpg
specijalista	specijalist	Ncmpg
ugovorne	ugovoran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
ustanove	ustanova	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
ugovorne	ugovoran	Agpfsgy
ordinacije	ordinacija	Ncfsg
privatne	privatan	Agpfsgy
prakse	praksa	Ncfsg
liječničko	liječnički	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
nije	biti	Var3s
u	u	Sl
mogućnosti	mogućnost	Ncfsl
donijeti	donijeti	Vmn
valjanu	valjan	Agpfsay
ocjenu	ocjena	Ncfsa
jer	jer	Cs
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
osigurane	osigurati	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
nije	biti	Var3s
priložena	priložiti	Appfsny
relevantna	relevantan	Agpfsny
medicinska	medicinski	Agpfsny
dokumentacija	dokumentacija	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
prijedlog	prijedlog	Ncmsn
nije	biti	Var3s
obrazložen	obrazložiti	Appmsnn
ili	ili	Cc
nije	biti	Var3s
dostatno	dostatan	Agpnsny
obrazložen	obrazložiti	Appmsnn
,	,	Z
obvezno	obvezno	Rgp
je	biti	Var3s
od	od	Sg
osigurane	osigurati	Ncfsg
osobe	osoba	Ncfsg
,	,	Z
izabranog	izabran	Agpmsgy
doktora	doktor	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
doktora	doktor	Ncmpg
specijalista	specijalist	Ncmpg
zatražiti	zatražiti	Vmn
medicinsku	medicinski	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
odnosno	odnosni	Agpnsay
obrazloženje	obrazloženje	Ncnsa
ili	ili	Cc
dopunu	dopuna	Ncfsa
obrazloženja	obrazloženje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
liječničko	liječnički	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
dopunu	dopuna	Ncfsa
dokumentacije	dokumentacija	Ncfsg
traži	tražiti	Vmr3s
od	od	Sg
osigurane	osigurati	Ncfsg
osobe	osoba	Ncfsg
,	,	Z
obvezno	obvezno	Rgp
joj	on	Pp3fsd
je	biti	Var3s
naznačiti	naznačiti	Vmn
koju	koji	Pi-fsa
dokumentaciju	dokumentacija	Ncfsa
je	biti	Var3s
obvezna	obvezan	Agpfsny
dostaviti	dostaviti	Vmn
te	te	Cc
joj	on	Pp3fsd
odrediti	odrediti	Vmn
rok	rok	Ncmsan
dostave	dostava	Ncfsg
potonje	potonji	Ncfsg
koji	koji	Pi-mpn
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
duži	dug	Agcmsny
od	od	Sg
8	8	Mdc
dana	dan	Ncmpg
.	.	Z

Pri	pri	Sl
tome	taj	Pd-nsl
je	biti	Var3s
osiguranu	osigurati	Appfsay
osobu	osoba	Ncfsa
potrebno	potreban	Agpnsny
upozoriti	upozoriti	Vmn
da	da	Cs
će	htjeti	Var3s
,	,	Z
ako	ako	Cs
u	u	Sl
ostavljenom	ostaviti	Agpmsly
roku	rok	Ncmsl
ne	ne	Qz
dostavi	dostaviti	Vmr3s
traženo	traženo	Rgp
,	,	Z
nalaz	nalaz	Ncmsn
,	,	Z
mišljenje	mišljenje	Ncnsa
i	i	Cc
ocjena	ocjena	Ncfsn
biti	biti	Van
donijeti	donijeti	Vmn
na	na	Sl
osnovi	osnova	Ncfsl
raspoložive	raspoloživ	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
i	i	Cc
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njom	on	Pp3fsi
utvrđenim	utvrditi	Appmpiy
činjeničnim	činjeničan	Agpnsiy
stanjem	stanje	Ncnsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
stručno-medicinskog	stručno-medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
liječnička	liječnički	Agpnpay
povjerenstva	povjerenstvo	Ncnpa
Zavoda	Zavod	Npmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
i	i	Cc
obvezu	obveza	Ncfsa
tražiti	tražiti	Vmn
usmena	usmen	Agpfsny
i	i	Cc
pisana	pisan	Agpnpny
pojašnjenja	pojašnjenje	Ncnpn
ugovorne	ugovoran	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
ustanove	ustanova	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
ugovorne	ugovoran	Agpfsgy
ordinacije	ordinacija	Ncfsg
privatne	privatan	Agpfsgy
prakse	praksa	Ncfsg
o	o	Sl
činjenicama	činjenica	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnsg
na	na	Sa
ugovorenu	ugovoriti	Agpfsay
zdravstvenu	zdravstven	Agpfsay
zaštitu	zaštita	Ncfsa
iz	iz	Sg
obveznog	obvezan	Agpnsgy
zdravstvenog	zdravstven	Agpnsgy
osiguranja	osiguranje	Ncnsg
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
mogu	moći	Vmr3p
biti	biti	Van
od	od	Sg
utjecaja	utjecaj	Ncmsg
na	na	Sa
donošenje	donošenje	Ncnsa
odluke	odluka	Ncfsg
o	o	Sl
pravu	pravo	Ncnsl
osigurane	osigurati	Ncfsg
osobe	osoba	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Liječničko	liječnički	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
u	u	Sl
postupku	postupak	Ncmsl
stručno-medicinskog	stručno-medicinski	Agpnsgy
vještačenja	vještačenje	Ncnsg
ne	ne	Qz
može	moći	Vmr3s
donijeti	donijeti	Vmn
negativnu	negativan	Agpfsay
ocjenu	ocjena	Ncfsa
samo	samo	Rgp
iz	iz	Sg
razloga	razlog	Ncmsg
jer	jer	Cs
za	za	Sa
donošenje	donošenje	Ncnsa
valjane	valjan	Agpfsgy
ocjene	ocjena	Ncfsg
nije	biti	Var3s
raspolagalo	raspolagati	Vmp-sn
dostatnom	dostatan	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
a	a	Cc
da	da	Cs
prije	prije	Sg
toga	taj	Pd-nsg
nije	biti	Var3s
provelo	provesti	Vmp-sn
postupak	postupak	Ncmsan
utvrđen	utvrditi	Appmsnn
stavcima	stavak	Ncmpi
1.	1.	Mdo
do	do	Sg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pod	pod	Si
medicinskom	medicinski	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
na	na	Sl
osnovi	osnova	Ncfsl
koje	koji	Pi-mpa
liječnička	liječnički	Agpnpny
povjerenstva	povjerenstvo	Ncnpn
Zavoda	zavod	Ncmsg
obavljaju	obavljati	Vmr3p
stručno-medicinsko	stručno-medicinski	Agpnsay
vještačenje	vještačenje	Ncnsa
smatra	smatrati	Vmr3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
dokumentacija	dokumentacija	Ncfsn
koja	koji	Pi-fsn
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
o	o	Sl
dijagnozi	dijagnoza	Ncfsl
,	,	Z
početku	početak	Ncmsl
i	i	Cc
tijeku	tijek	Ncmsl
bolesti	bolest	Ncfsg
,	,	Z

2.	2.	Mdo
o	o	Sl
provedenim	provesti	Ncmsl
dijagnostičkim	dijagnostički	Agpmply
i	i	Cc
terapijskim	terapijski	Agpmply
postupcima	postupak	Ncmpl
te	te	Cc
bolničkom	bolnički	Agpnsly
liječenju	liječenje	Ncnsl
,	,	Z

3.	3.	Mdo
o	o	Sl
uspješnosti	uspješnost	Ncfsl
provedenih	provesti	Agpfpgy
rehabilitacijskih	rehabilitacijski	Agpfpgy
i	i	Cc
drugih	drugi	Mlompg
terapijskih	terapijski	Agpmpgy
postupaka	postupak	Ncmpg
,	,	Z

4.	4.	Mdo
o	o	Sl
ocjeni	ocjena	Ncfsl
i	i	Cc
mišljenju	mišljenje	Ncnsl
izabranog	izabran	Agpmsgy
doktora	doktor	Ncmsg
o	o	Sl
zdravstvenom	zdravstven	Agpnsly
stanju	stanje	Ncnsl

