način	način	Ncmsn
stranke	stranka	Ncfpa
na	na	Sa
pravne	pravni	Agpfpay
posljedice	posljedica	Ncfpa
nepostupanja	nepostupanje	Ncnsg
po	po	Sl
nalogu	nalog	Ncmsl
suda	sud	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
sporazumi	sporazum	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
povučen	povući	Appmsnn
ako	ako	Cs
izvješće	izvješće	Ncnsn
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
i	i	Cc
plan	plan	Ncmsan
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
ne	ne	Qz
budu	biti	Var3p
podneseni	podnijeti	Appmpny
u	u	Sl
određenom	određen	Agpmsly
roku	rok	Ncmsl
,	,	Z
a	a	Cc
ako	ako	Cs
ponovno	ponovno	Rgp
bude	biti	Var3s
podnesen	podnijeti	Appmsnn
prijedlog	prijedlog	Ncmsn
bez	bez	Sg
izvješća	izvješće	Ncnsg
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
i	i	Cc
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
,	,	Z
ili	ili	Cc
plan	plan	Ncmsan
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
bez	bez	Sg
ispravka	ispravak	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
dopune	dopuna	Ncfsg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
odbaciti	odbaciti	Vmn
prijedlog	prijedlog	Ncmsan
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
.	.	Z

Povlačenje	povlačenje	Ncnsn
prijedloga	prijedlog	Ncmsg

Članak	članak	Ncmsn
459.	459.	Mdo

Prijedlog	prijedlog	Ncmsn
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
mogu	moći	Vmr3p
povući	povući	Vmn
dok	dok	Cs
postupak	postupak	Ncmsn
nije	biti	Var3s
pravomoćno	pravomoćan	Agpnsny
okončan	okončati	Appmsnn
.	.	Z

Pravni	pravni	Agpmpny
lijekovi	lijek	Ncmpn

Članak	članak	Ncmsn
460.	460.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
kojim	koji	Pi-nsi
se	sebe	Px--sa
sporazumno	sporazumno	Rgp
razvodi	razvoditi	Vmr3s
brak	brak	Ncmsn
žalba	žalba	Ncfsn
se	sebe	Px--sa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zbog	zbog	Sg
bitnih	bitan	Agpfpgy
povreda	povreda	Ncfpg
odredbi	odredba	Ncfpg
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
354.	354.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
26/91.	26/91.	Mds
,	,	Z
53/91.	53/91.	Mds
,	,	Z
91/92.	91/92.	Mds
,	,	Z
112/99.	112/99.	Mds
,	,	Z
88/01.	88/01.	Mds
,	,	Z
117/03.	117/03.	Mds
,	,	Z
88/05.	88/05.	Mds
,	,	Z
2/07.	2/07.	Mdo
,	,	Z
84/08.	84/08.	Mds
,	,	Z
96/08.	96/08.	Mds
,	,	Z
123/08.	123/08.	Mds
,	,	Z
57/11.	57/11.	Mds
,	,	Z
148/11.	148/11.	Mds
,	,	Z
25/13.	25/13.	Mdo
,	,	Z
43/13.	43/13.	Mds
i	i	Cc
89/14.	89/14.	Mds
)	)	Z
ili	ili	Cc
zbog	zbog	Sg
toga	taj	Pd-nsg
što	što	Pi3n-n
je	biti	Var3s
pristanak	pristanak	Ncmsn
za	za	Sa
razvod	razvod	Ncmsan
dan	dan	Ncmsan
u	u	Sl
bitnoj	bitan	Agpfsly
zabludi	zabluda	Ncfsl
ili	ili	Cc
pod	pod	Si
utjecajem	utjecaj	Ncmsi
prisile	prisila	Ncfsg
ili	ili	Cc
prijevare	prijevara	Ncfsg
ili	ili	Cc
ako	ako	Cs
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
nisu	biti	Var3p
bile	biti	Vap-pf
ispunjene	ispunjen	Agpfpny
pretpostavke	pretpostavka	Ncfpn
određene	određen	Agpfsgy
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Protiv	protiv	Sg
pravomoćnog	pravomoćan	Agpnsgy
rješenja	rješenje	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
brak	brak	Ncmsn
sporazumno	sporazumno	Rgp
razvodi	razvoditi	Vmr3s
,	,	Z
nisu	biti	Var3p
dopušteni	dopustiti	Appmpny
izvanredni	izvanredan	Agpmpny
pravni	pravni	Agpmpny
lijekovi	lijek	Ncmpn
niti	niti	Cc
druga	drugi	Mlofsn
pravna	pravni	Agpnpay
sredstva	sredstvo	Ncnpa
.	.	Z

4.	4.	Mdo
POSTUPAK	postupak	Ncmsan
RADI	radi	Sg
ODOBRAVANJA	odobravanje	Ncnsg
PLANA	plan	Ncmsg
O	o	Sl
ZAJEDNIČKOJ	zajednički	Agpfsly
ODITELJSKOJ	oditeljski	Agpfsly
SKRBI	skrb	Ncfsl

Stranke	stranka	Ncfpn
u	u	Sl
postupku	postupak	Ncmsl

Članak	članak	Ncmsn
461.	461.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
roditelji	roditelj	Ncmpn
postigli	postići	Vmp-pm
plan	plan	Ncmsan
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
106.	106.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
izvanparnični	izvanparnični	Agpmsny
postupak	postupak	Ncmsn
radi	radi	Sg
odobravanja	odobravanje	Ncnsg
plana	plan	Ncmsg
pokreće	pokretati	Vmr3s
se	sebe	Px--sa
prijedlogom	prijedlog	Ncmsi
obaju	oba	Mlcm-g
roditelja	roditelj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
provjere	provjera	Ncfsg
i	i	Cc
odobravanja	odobravanje	Ncnsg
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
dijete	dijete	Ncnsn
zastupaju	zastupati	Vmr3p
oba	oba	Mls
roditelja	roditelj	Ncmsg
.	.	Z

Mjesna	mjesni	Agpfsny
nadležnost	nadležnost	Ncfsn

Članak	članak	Ncmsn
462.	462.	Mdo

Za	za	Sa
odobravanje	odobravanje	Ncnsa
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
nadležan	nadležan	Agpmsnn
je	biti	Var3s
sud	sud	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
opće	opći	Agpnsny
mjesno	mjesno	Rgp
nadležan	nadležan	Agpmsnn
za	za	Sa
dijete	dijete	Ncnsa
.	.	Z

Prilozi	prilog	Ncmpn
uz	uz	Sa
prijedlog	prijedlog	Ncmsan

Članak	članak	Ncmsn
463.	463.	Mdo

Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
odobravanje	odobravanje	Ncnsa
plana	plan	Ncmsg
podnijeti	podnijeti	Vmn
izvješće	izvješće	Ncnsa
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
324.	324.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
plan	plan	Ncmsan
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
106.	106.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Odbacivanje	odbacivanje	Ncnsn
prijedloga	prijedlog	Ncmsg

Članak	članak	Ncmsn
464.	464.	Mdo

Ako	ako	Cs
roditelji	roditelj	Ncmpn
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
odobravanje	odobravanje	Ncnsa
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
podnesu	podnijeti	Vmr3p
izvješće	izvješće	Ncnsa
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
324.	324.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
starije	staro	Rgc
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
odobravanje	odobravanje	Ncnsa
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
odbaciti	odbaciti	Vmn
.	.	Z

Ispravak	ispravak	Ncmsn
i	i	Cc
dopuna	dopuna	Ncfsn
prijedloga	prijedlog	Ncmsg

Članak	članak	Ncmsn
465.	465.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
roditelji	roditelj	Ncmpn
uz	uz	Sa
prijedlog	prijedlog	Ncmsan

