djeteta	dijete	Agpmsny
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
odnositi	odnositi	Vmn
samo	samo	Rgp
na	na	Sa
prisilne	prisilan	Agpfpay
naplate	naplata	Ncfpa
pojedinih	pojedini	Agpfpgy
tražbina	tražbina	Ncfpg
za	za	Sa
uzdržavanje	uzdržavanje	Ncnsa
nastalih	nastao	Agpmpgy
nakon	nakon	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
tužbe	tužba	Ncfsg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
sud	sud	Ncmsn
kao	kao	Cs
dan	dan	Ncmsn
na	na	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
zabrana	zabrana	Ncfsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
i	i	Cc
koji	koji	Pi-msn
drugi	drugi	Mlomsan
dan	dan	Ncmsan
nakon	nakon	Sg
dana	dan	Ncmsg
podnošenja	podnošenje	Ncnsg
tužbe	tužba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
ovrhu	ovrha	Ncfsa
određenu	odrediti	Appfsay
radi	radi	Sg
naplate	naplata	Ncfsg
tražbine	tražbina	Ncfsg
za	za	Sa
uzdržavanje	uzdržavanje	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
ovršne	ovršni	Agpfsgy
isprave	isprava	Ncfsg
odgodit	odgoditi	Vmn
će	htjeti	Var3s
djelomično	djelomično	Rgp
na	na	Sa
prijedlog	prijedlog	Ncmsan
tužitelja	tužitelj	Ncmsg
ovrhu	ovrha	Ncfsa
do	do	Sg
pravomoćnog	pravomoćan	Agpmsgy
dovršetka	dovršetak	Ncmsg
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
pokrenutog	pokrenuti	Agpmsgy
tužbom	tužba	Ncfsi
radi	radi	Sg
smanjenja	smanjenje	Ncnsg
uzdržavanja	uzdržavanje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
do	do	Sg
ukidanja	ukidanje	Ncnsg
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
prije	prije	Sg
toga	taj	Pd-nsg
,	,	Z
i	i	Qo
to	to	Qo
samo	samo	Rgp
radi	raditi	Vmr3s
naplate	naplata	Ncfsg
dijelova	dio	Ncmpg
pojedinih	pojedini	Agpfpgy
tražbina	tražbina	Ncfpg
na	na	Sa
koje	koji	Pi-fpn
se	sebe	Px--sa
zabrana	zabrana	Ncfsn
iz	iz	Sg
privremene	privremen	Agpfsgy
mjere	mjera	Ncfsg
odnosi	odnositi	Vmr3s
.	.	Z

Privremene	privremen	Agpfpay
mjere	mjera	Ncfpa
u	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
povećanja	povećanje	Ncnsg
uzdržavanja	uzdržavanje	Ncnsg

Članak	članak	Ncmsn
543.	543.	Mdo

U	u	Sl
parnici	parnica	Ncfsl
radi	radi	Sg
povećanja	povećanje	Ncnsg
uzdržavanja	uzdržavanje	Ncnsg
sud	sud	Ncmsn
može	moći	Vmr3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmpg
donijeti	donijeti	Vmn
privremenu	privremen	Agpfsay
mjeru	mjera	Ncfsa
radi	radi	Sg
plaćanja	plaćanje	Ncnsg
povećanog	povećan	Agpmsgy
iznosa	iznos	Ncmsg
uzdržavanja	uzdržavanje	Ncnsg
.	.	Z

DEVETI	deveti	Mlomsn
DIO	dio	Ncmsn
CENTAR	centar	Ncmsn
ZA	za	Sa
POSEBNO	poseban	Agpnsay
SKRBNIŠTVO	skrbništvo	Ncnsa

Članak	članak	Ncmsn
544.	544.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
je	biti	Var3s
javna	javan	Agpfsny
ustanova	ustanova	Ncfsn
i	i	Cc
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
osniva	osnivati	Vmr3s
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
rješenjem	rješenje	Ncnsi
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
se	sebe	Px--sa
osniva	osnivati	Vmr3s
za	za	Sa
područje	područje	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
ima	imati	Vmr3s
statut	statut	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
propisuje	propisivati	Vmr3s
ustrojstvo	ustrojstvo	Ncnsa
,	,	Z
ovlasti	ovlast	Ncfsg
i	i	Cc
način	način	Ncmsan
odlučivanja	odlučivanje	Ncnsg
tijela	tijelo	Ncnsg
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
te	te	Cc
uređuju	uređivati	Vmr3p
druga	drugi	Mlonpn
pitanja	pitanje	Ncnpn
važna	važan	Agpnpny
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
i	i	Cc
poslovanje	poslovanje	Ncnsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
ima	imati	Vmr3s
i	i	Qo
druge	drugi	Mlompa
opće	opći	Agpmpay
akte	akt	Ncmpa
sukladno	sukladno	Rgp
zakonu	zakon	Ncmsl
,	,	Z
aktu	akt	Ncmsl
o	o	Sl
osnivanju	osnivanje	Ncnsl
i	i	Cc
statutu	statut	Ncmsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Na	na	Sa
Centar	centar	Ncmsan
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
djelovanje	djelovanje	Ncnsa
ustanova	ustanova	Ncfpg
,	,	Z
ako	ako	Cs
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
nije	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z

Financiranje	financiranje	Ncnsn

Članak	članak	Ncmsn
545.	545.	Mdo

Sredstva	sredstvo	Ncnpn
za	za	Sa
financiranje	financiranje	Ncnsa
djelatnosti	djelatnost	Ncfsg
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
u	u	Sl
državnom	državni	Agpmsly
proračunu	proračun	Ncmsl
.	.	Z

Upis	upis	Ncmsn
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan

Članak	članak	Ncmsn
546.	546.	Mdo

Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
započinje	započinjati	Vmr3s
s	sa	Si
radom	rad	Ncmsi
upisom	upis	Ncmsi
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
.	.	Z

Djelatnost	djelatnost	Ncfsn
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa

Članak	članak	Ncmsn
547.	547.	Mdo

Centar	centar	Ncmsn
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
u	u	Sl
obavljanju	obavljanje	Ncnsl
javnih	javan	Agpfpgy
ovlasti	ovlast	Ncfpg
:	:	Z

–	–	Z
zastupa	zastupati	Vmr3s
djecu	dijete	Ncnpa
u	u	Sl
postupcima	postupak	Ncmpl
pred	pred	Si
sudovima	sud	Ncmpi
i	i	Cc
drugim	drugi	Mlonpl
tijelima	tijelo	Ncnpl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
240.	240.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

–	–	Z
zastupa	zastupati	Vmr3s
osobe	osoba	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
241.	241.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
Centra	centar	Ncmsg
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa

Članak	članak	Ncmsn
548.	548.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Centrom	centar	Ncmsi
za	za	Sa
posebno	poseban	Agpnsay
skrbništvo	skrbništvo	Ncnsa
upravlja	upravljati	Vmr3s
upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
koje	koji	Pi-nsn
se	sebe	Px--sa
imenuje	imenovati	Vmr3s
na	na	Sa
mandat	mandat	Ncmsan
od	od	Sg
četiri	četiri	Mlc
godine	godina	Ncfsg
.	.	Z

Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
statuta	statut	Ncmsg
i	i	Cc
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
djelovanje	djelovanje	Ncnsa
ustanova	ustanova	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
ima	imati	Vmr3s
tri	tri	Mlc

