oštećen	oštetiti	Appmsnn
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
upućenom	upućen	Agpmsly
tuženiku	tuženik	Ncmsl
prigovor	prigovor	Ncmsn
glede	glede	Sg
izmjene	izmjena	Ncfsg
Uvjeta	uvjet	Ncmpg
korištenja	korištenje	Ncnsg
Smart	smari	Agpfsgy
tarife	tarifa	Ncfsg
sa	sa	Si
Zimskom	zimski	Agpfsiy
opcijom	opcija	Ncfsi
za	za	Sa
korisnike	korisnik	Ncmpa
Tele2	Tele	Npmpg
bonova	bon	Ncmpg
,	,	Z
te	te	Cc
da	da	Cs
eventualna	eventualan	Agpfsny
neobaviještenost	neobaviještenost	Ncfsn
tužitelja	tužitelj	Ncmsg
nije	biti	Var3s
bila	biti	Vap-sf
predmet	predmet	Ncmsn
konkretnog	konkretan	Agpmsgy
spora	spor	Ncmsg
,	,	Z
uz	uz	Sa
obrazloženje	obrazloženje	Ncnsa
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
osporavao	osporavati	Vmp-sm
jasnoću	jasnoća	Ncfsa
i	i	Cc
transparentnost	transparentnost	Ncfsa
gore	zlo	Rgp
navedenih	navesti	Appmpgy
Uvjeta	uvjet	Ncmpg
korištenja	korištenje	Ncnsg
koje	koji	Pi-nsn
citira	citirati	Vmr3s
u	u	Sl
svojim	svoj	Px-mpl
prigovorima	prigovor	Ncmpl
.	.	Z

U	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
navedenim	naveden	Agpmsiy
ukazuje	ukazivati	Vmr3s
se	sebe	Px--sa
tuženiku	tuženik	Ncmsd
,	,	Z
da	da	Cs
je	biti	Var3s
sam	sam	Agpmsny
tuženik	tuženik	Ncmsn
u	u	Sl
odgovoru	odgovor	Ncmsl
na	na	Sa
tužbu	tužba	Ncfsa
zaprimljenim	zaprimiti	Appnply
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
6.	6.	Mdo
ožujka	ožujak	Ncmsg
2014.	2014.	Mdo
(	(	Z
na	na	Sl
listu	list	Ncmsl
2	2	Mdc
)	)	Z
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
tuženiku	tuženik	Ncmsd
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
vezano	vezano	Rgp
uz	uz	Sa
prigovor	prigovor	Ncmsan
na	na	Sa
povredu	povreda	Ncfsa
odredaba	odredba	Ncfpg
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
od	od	Sg
strane	strana	Ncfsg
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
prigovor	prigovor	Ncmsn
da	da	Cs
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
isključenje	isključenje	Ncnsa
korištenja	korištenje	Ncnsg
usluge	usluga	Ncfsg
,	,	Z
promjenu	promjena	Ncfsa
tarife	tarifa	Ncfsg
te	te	Cc
izostanak	izostanak	Ncmsn
povrata	povrat	Ncmsg
neiskorištenog	neiskorišten	Agpmsgy
novčanog	novčan	Agpmsgy
iznosa	iznos	Ncmsg
.	.	Z

Da	da	Cs
je	biti	Var3s
tome	taj	Pd-nsd
doista	doista	Rgp
tako	tako	Rgp
i	i	Qo
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
u	u	Sl
svom	svoj	Px-msl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
kojeg	koji	Pi-msay
je	biti	Var3s
uputio	uputiti	Vmp-sm
tuženiku	tuženik	Ncmsd
vezano	vezano	Rgp
uz	uz	Sa
prigovor	prigovor	Ncmsan
na	na	Sa
povredu	povreda	Ncfsa
odredaba	odredba	Ncfpg
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
,	,	Z
doista	doista	Rgp
spomenuo	spomenuti	Vmp-sm
prigovor	prigovor	Ncmsan
u	u	Sl
svezi	sveza	Ncfsl
promjene	promjena	Ncfsg
gore	zlo	Rgp
navedene	naveden	Agpfsgy
Smart	smara	Ncfsg
tarife	tarifa	Ncfsg
s	sa	Si
Zimskom	zimski	Agpfsiy
opcijom	opcija	Ncfsi
za	za	Sa
korisnike	korisnik	Ncmpa
Tele	tele	Ncnsa
2	2	Mdc
bonova	bon	Ncmpg
,	,	Z
razvidno	razvidan	Agpnsny
je	biti	Var3s
i	i	Cc
iz	iz	Sg
same	sam	Agpfsgy
osporavane	osporavati	Agpfsgy
Odluke	odluka	Ncfsg
tuženika	tuženik	Ncmpg
(	(	Z
drugog	drugi	Mlomsg
odlomka	odlomak	Ncmsg
na	na	Sl
listu	list	Ncmsl
1	1	Mdc
Odluke	odluka	Ncfsg
)	)	Z
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
tuženik	tuženik	Ncmsn
utvrdio	utvrditi	Vmp-sm
da	da	Cs
ga	on	Pp3msa
tuženik	tuženik	Ncmsn
između	između	Sg
ostalog	ostali	Agpnsgy
»	»	Z
nije	biti	Var3s
obavijestio	obavijestiti	Vmp-sm
SMS-om	sms	Npmsi
o	o	Sl
izmijenjenim	izmijeniti	Agpmply
Uvjetima	uvjet	Ncmpl
korištenja	korištenje	Ncnsg
koje	koji	Pi-mpa
korisnik	korisnik	Ncmsn
smatra	smatrati	Vmr3s
nelegalnim	nelegalan	Agpmsiy
«	«	Z
.	.	Z

Stoga	stoga	Cs
kako	kako	Cs
je	biti	Var3s
jedan	jedan	Mlcmsn
od	od	Sg
prigovora	prigovor	Ncmpg
tužitelja	tužitelj	Ncmpg
iznesen	iznijeti	Appmsnn
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
,	,	Z
upućenog	uputiti	Appmsgy
tuženiku	tuženik	Ncmsl
,	,	Z
bio	biti	Vap-sm
i	i	Cc
taj	taj	Pd-msn
da	da	Cs
je	biti	Var3s
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
izmijenila	izmijeniti	Vmp-sf
Uvjete	uvjet	Ncmpa
korištenja	korištenje	Ncnsg
Smart	smari	Agpfsgy
tarife	tarifa	Ncfsg
sa	sa	Si
Zimskom	zimski	Agpfsiy
opcijom	opcija	Ncfsi
za	za	Sa
korisnike	korisnik	Ncmpa
Tele2	Tele	Npmpg
bonova	bon	Ncmpg
u	u	Sa
vrijeme	vrijeme	Ncnsa
dok	dok	Cs
se	sebe	Px--sa
koristio	koristiti	Vmp-sm
navedenom	naveden	Agpfsiy
Smart	smai	Agpfsiy
tarifom	tarifa	Ncfsi
s	sa	Si
Zimskom	zimski	Agpfsiy
opcijom	opcija	Ncfsi
,	,	Z
a	a	Cc
da	da	Cs
ga	on	Pp3msa
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
o	o	Sl
tome	taj	Pd-nsl
uopće	uopće	Rgp
nije	biti	Var3s
obavijestila	obavijestiti	Vmp-sf
,	,	Z
tuženik	tuženik	Ncmsn
će	htjeti	Var3s
u	u	Sl
ponovnom	ponovan	Agpmsly
postupku	postupak	Ncmsl
odlučujući	odlučivati	Rr
o	o	Sl
prigovoru	prigovor	Ncmsl
tužitelja	tužitelj	Ncmpg
u	u	Sl
svezi	sveza	Ncfsl
povrede	povreda	Ncfsg
odredaba	odredba	Ncfpg
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
glede	glede	Sg
izmjene	izmjena	Ncfsg
Uvjeta	uvjet	Ncmpg
korištenja	korištenje	Ncnsg
Smart	smari	Agpfsgy
tarife	tarifa	Ncfsg
sa	sa	Si
Zimskom	zimski	Agpfsiy
opcijom	opcija	Ncfsi
za	za	Sa
korisnike	korisnik	Ncmpa
Tele	tele	Ncnsa
2	2	Mdc
bonova	bon	Ncmpg
odlučiti	odlučiti	Vmn
i	i	Cc
o	o	Sl
tom	taj	Pd-msl
prigovoru	prigovor	Ncmsl
tužitelja	tužitelj	Ncmpg
,	,	Z
na	na	Sa
način	način	Ncmsan
da	da	Cs
će	htjeti	Var3s
ponovno	ponovno	Rgp
zatražiti	zatražiti	Vmn
od	od	Sg
ovdje	ovdje	Rgp
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
očitovanje	očitovanje	Ncnsa
u	u	Sl
svezi	sveza	Ncfsl
navedenog	naveden	Agpmsgy
prigovora	prigovor	Ncmsg
tužitelja	tužitelj	Ncmsg
,	,	Z
a	a	Cc
prilikom	prilikom	Sg
odlučivanja	odlučivanje	Ncnsg
o	o	Sl
navedenom	naveden	Agpmsly
prigovoru	prigovor	Ncmsl
uzet	uzeti	Vmn
će	htjeti	Var3s
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
navode	navoditi	Vmr3p
zainteresirane	zainteresiran	Agpfpny
osobe	osoba	Ncfpn
iznesene	iznijeti	Appfpny
u	u	Sl
podnesku	podnesak	Ncmsl
dostavljenom	dostaviti	Agpmsly
ovom	ovaj	Pd-msl
Sudu	sud	Ncmsl
dana	dan	Ncmsg
14.	14.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo
,	,	Z
kao	kao	Cs
i	i	Qo
navode	navod	Ncmpa
tužitelja	tužitelj	Ncmsg
izrečene	izreći	Appmpay
na	na	Sl
ročištu	ročište	Ncnsl
održanom	održan	Agpnsly
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
22.	22.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo
i	i	Cc
u	u	Sl
podnesku	podnesak	Ncmsl
zaprimljenim	zaprimiti	Appnply
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
30.	30.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
,	,	Z
obzirom	obzir	Ncmsi
da	da	Cs
spisu	spis	Ncmsl
predmeta	predmet	Ncmsg
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmpg
za	za	Sa
rješavanjem	rješavanje	Ncnsi
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
od	od	Sg
15.	15.	Mdo
srpnja	srpanj	Ncmsg
2013.	2013.	Mdo
prileže	prileći	Ncfsg
isti	isti	Agpmpny
oni	onaj	Pd-mpn
Uvjeti	uvjet	Ncmpn
korištenja	korištenje	Ncnsg
promotivne	promotivan	Agpfsgy
Zimske	zimski	Agpfsgy
opcije	opcija	Ncfsg
za	za	Sa
Tele2	telei	Agpmpay
korisnike	korisnik	Ncmpa
bonova	bon	Ncmpg
koje	koji	Pi-mpa
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
dostavio	dostaviti	Vmp-sm
uz	uz	Sa
podnesak	podnesak	Ncmsan
Sudu	sud	Ncmsd
od	od	Sg
30.	30.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
,	,	Z
a	a	Cc
nisu	biti	Var3p
istog	isti	Agpmsgy
sadržaja	sadržaj	Ncmsg
kao	kao	Cs
i	i	Qo
oni	onaj	Pd-mpn
dostavljeni	dostaviti	Appmpny
ovome	ovaj	Pd-msd
Sudu	sud	Ncmsd
uz	uz	Sa
podnesak	podnesak	Ncmsan
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
od	od	Sg
14.	14.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo
,	,	Z
pa	pa	Cc
će	htjeti	Var3s
utvrdit	utvrditi	Vmn
koji	koji	Pi-msan
od	od	Sg
navedena	naveden	Agpmsgn
dva	dva	Mlc
Uvjeta	uvjet	Ncmsg
korištenja	korištenje	Ncnsg
promotivne	promotivan	Agpfsgy
Zimske	zimski	Agpfsgy
opcije	opcija	Ncfsg
za	za	Sa
Tele2	te	Agcmpay
korisnike	korisnik	Ncmpa
bonova	bon	Ncmpg
su	biti	Var3p
bili	biti	Vap-pm
važeći	važeći	Agpmpny
u	u	Sa
vrijeme	vrijeme	Ncnsa
dok	dok	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
imao	imati	Vmp-sm
aktiviranu	aktivirati	Appfsay
Tarifu	tarifa	Ncfsa
,	,	Z
kada	kada	Cs
je	biti	Var3s
došlo	doći	Vmp-sn
do	do	Sg
izmjena	izmjena	Ncfpg
Uvjeta	uvjet	Ncmpg
korištenja	korištenje	Ncnsg
promotivne	promotivan	Agpfsgy
Zimske	zimski	Agpfsgy
opcije	opcija	Ncfsg
za	za	Sa
Tele2	telei	Agpmpay
korisnike	korisnik	Ncmpa
bonova	bon	Ncmpg
(	(	Z
ukoliko	ukoliko	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
do	do	Sg
izmjena	izmjena	Ncfpg
došlo	doći	Vmp-sn
)	)	Z
,	,	Z
te	te	Cc
nastavno	nastavno	Rgp
tome	taj	Pd-nsd
utvrditi	utvrditi	Vmn
će	htjeti	Var3s
je	biti	Var3s
li	li	Qq
tužitelj	tužitelj	Ncmsn
pravovremeno	pravovremeno	Rgp
bio	biti	Vap-sm
obaviješten	obavijestiti	Appmsnn
o	o	Sl
izmjenama	izmjena	Ncfpl
,	,	Z
te	te	Cc
ukoliko	ukoliko	Cs
nije	biti	Var3s
,	,	Z
jesu	biti	Var3p
li	li	Qq
takvim	takav	Pd-nsi
ponašanjem	ponašanje	Ncnsi
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
povrijeđene	povrijeđen	Agpfsgy
odredbe	odredba	Ncfsg
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
je	biti	Var3s
li	li	Qq
prigovor	prigovor	Ncmsn
tužitelja	tužitelj	Ncmsg
u	u	Sl
tom	taj	Pd-msl
dijelu	dio	Ncmsl
osnovan	osnovati	Appmsnn
.	.	Z

U	u	Sl
konačnici	konačnica	Ncfsl
,	,	Z
ukazuje	ukazivati	Vmr3s
se	sebe	Px--sa
tuženiku	tuženik	Ncmsl
da	da	Cs
se	sebe	Px--sa
u	u	Sl
osporavanoj	osporavati	Agpfsly
Odluci	odluka	Ncfsl
pogrešno	pogrešan	Agpnsny
poziva	pozivati	Vmr3s
na	na	Sa
odredbe-čl	odredbe-čl	Ncnsa
.	.	Z
14	14	Mdc
Uvjete	uvjet	Ncmpa
korištenja	korištenje	Ncnsg
»	»	Z
čiste	čist	Agpfsgy
«	«	Z
Smart	Smart	Npmsn

