omogućilo	omogućiti	Vmp-sn
te	te	Cc
organizacijske	organizacijski	Agpfsgy
kulture	kultura	Ncfsg
unutar	unutar	Sg
funkcionalno	funkcionalno	Rgp
integriranih	integrirati	Agpfpgy
bolnica	bolnica	Ncfpg
,	,	Z
a	a	Cc
i	i	Qo
šire	široko	Rgc
,	,	Z
u	u	Sl
budućnosti	budućnost	Ncfsl
se	sebe	Px--sa
mogu	moći	Vmr3p
provesti	provesti	Vmn
i	i	Qo
čvršći	čvrst	Agcmpny
oblici	oblik	Ncmpn
udruživanja	udruživanje	Ncnsg
,	,	Z
poput	poput	Sg
stvaranja	stvaranje	Ncnsg
grupacija	grupacija	Ncfpg
ili	ili	Cc
spajanja	spajanje	Ncnsg
bolnica	bolnica	Ncfpg
,	,	Z
no	no	Cc
samo	samo	Rgp
ako	ako	Cs
se	sebe	Px--sa
s	sa	Si
dovoljnom	dovoljan	Agpfsiy
pouzdanošću	pouzdanost	Ncfsi
utvrdi	utvrditi	Vmr3s
da	da	Cs
će	htjeti	Var3s
takvo	takav	Pd-nsn
čvršće	čvrst	Agcnsay
udruživanje	udruživanje	Ncnsa
biti	biti	Van
primjereno	primjeren	Agpnsny
i	i	Cc
donijeti	donijeti	Vmn
korist	korist	Ncfsa
svim	sav	Agpmpdy
dionicima	dionik	Ncmpd
i	i	Cc
široj	širok	Agcfsly
zajednici	zajednica	Ncfsl
.	.	Z

Taj	taj	Pd-msn
drugi	drugi	Mlomsan
korak	korak	Ncmsan
zasigurno	zasigurno	Rgp
bi	biti	Vaa3s
donio	donijeti	Vmp-sm
više	mnogo	Rgc
ušteda	ušteda	Ncfpg
zdravstvenom	zdravstven	Agpmsdy
sustavu	sustav	Ncmsd
zbog	zbog	Sg
bolje	dobar	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
i	i	Cc
smanjenja	smanjenje	Ncnsg
troškova	trošak	Ncmpg
općih	opći	Agpfpgy
službi	služba	Ncfpg
spojenih	spojiti	Agpfpgy
bolnica	bolnica	Ncfpg
u	u	Sl
usporedbi	usporedba	Ncfsl
s	sa	Si
funkcionalno	funkcionalno	Rgp
integriranim	integrirati	Appnsiy
,	,	Z
koje	koji	Pi-fpn
i	i	Qo
dalje	daleko	Rgc
predstavljaju	predstavljati	Vmr3p
dva	dva	Mlc
pravna	pravni	Agpmsgn
entiteta	entitet	Ncmsg
.	.	Z

No	no	Cc
,	,	Z
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
iskustva	iskustvo	Ncnsg
spajanje	spajanje	Ncnsn
bolnica	bolnica	Ncfpg
iz	iz	Sg
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
postoji	postojati	Vmr3s
veliki	velik	Agpmsny
otpor	otpor	Ncmsn
takvom	takav	Pd-nsl
spajanju	spajanje	Ncnsl
na	na	Sl
lokalnoj	lokalan	Agpfsly
razini	razina	Ncfsl
.	.	Z

Jedan	jedan	Mlcmsn
od	od	Sg
značajnih	značajan	Agpmpgy
uzroka	uzrok	Ncmpg
toga	toga	Ncfpg
otpora	otpor	Ncmsg
leži	ležati	Vmr3s
,	,	Z
između	između	Sg
ostaloga	ostali	Ncmsg
,	,	Z
u	u	Sl
izostanku	izostanak	Ncmsl
kvalitetnog	kvalitetan	Agpmsgy
komunikacijskog	komunikacijski	Agpmsgy
procesa	proces	Ncmsg
s	sa	Si
edukacijom	edukacija	Ncfsi
ključnih	ključan	Agpmpgy
dionika	dionik	Ncmpg
u	u	Sl
cilju	cilj	Ncmsl
prihvaćanja	prihvaćanje	Ncnsg
i	i	Cc
provođenja	provođenje	Ncnsg
tog	taj	Pd-nsg
spajanja	spajanje	Ncnsg
.	.	Z

Važnost	važnost	Ncfsn
komunikacijskog	komunikacijski	Agpmsgy
procesa	proces	Ncmsg
potencirana	potencirati	Appfsny
je	biti	Var3s
u	u	Sl
poglavlju	poglavlje	Ncnsl
8.1	8.1	Mdc
gdje	gdje	Cs
se	sebe	Px--sa
navode	navoditi	Vmr3p
preduvjeti	preduvjet	Ncmpn
za	za	Sa
uspješnu	uspješan	Agpfsay
provedbu	provedba	Ncfsa
Nacionalnog	nacionalan	Agpmsgy
plana	plan	Ncmsg
.	.	Z

Spajanje	spajanje	Ncnsn
bolnica	bolnica	Ncfpg
provedeno	provesti	Appnsny
u	u	Sl
siječnju	siječanj	Ncmsl
2014.	2014.	Mdo
predmet	predmet	Ncmsn
je	biti	Var3s
analize	analiza	Ncfsg
,	,	Z
a	a	Cc
učinkovitost	učinkovitost	Ncfsn
(	(	Z
ili	ili	Cc
suprotno	suprotno	Rgp
)	)	Z
istoga	isti	Agpnsgy
spajanja	spajanje	Ncnsg
procijenit	procijeniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
nakon	nakon	Sg
jednogodišnjeg	jednogodišnji	Agpmsgy
perioda	period	Ncmsg
,	,	Z
dakle	dakle	Cc
početkom	početkom	Sg
2015.	2015.	Mdo
godine	godina	Ncfsg
.	.	Z

Tamo	tamo	Rgp
gdje	gdje	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
bolnice	bolnica	Ncfpn
se	sebe	Px--sa
analiziraju	analizirati	Vmr3p
i	i	Qo
na	na	Sl
razini	razina	Ncfsl
kategorija	kategorija	Ncfpg
,	,	Z
na	na	Sa
način	način	Ncmsan
:	:	Z

1.	1.	Mdo
Nacionalne	nacionalan	Agpfsgy
bolnice	bolnica	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
prva	prvi	Mlofsn
kategorija	kategorija	Ncfsn
)	)	Z
:	:	Z
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Zagreb	Zagreb	Npmsn
,	,	Z
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
»	»	Z
Sestre	sestra	Ncfpn
milosrdnice	milosrdnica	Ncfsg
«	«	Z
,	,	Z
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Osijek	Osijek	Npmsn
,	,	Z
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Rijeka	Rijeka	Npfsn
,	,	Z
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Split	Split	Npmsn
,	,	Z
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
Dubrava	dubrava	Ncfsn
i	i	Cc
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Merkur	Merkur	Npmsn
«	«	Z
.	.	Z

Budući	budući	Cs
da	da	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
bolnicama	bolnica	Ncfpl
na	na	Sl
tercijarnoj	tercijaran	Agpfsly
razini	razina	Ncfsl
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
,	,	Z
u	u	Sa
prvu	prvi	Mlofsa
kategoriju	kategorija	Ncfsa
bolnica	bolnica	Ncfpg
uvrštene	uvrstiti	Appfpny
su	biti	Var3p
i	i	Qo
kliničke	klinički	Agpfpny
ustanove	ustanova	Ncfpn
koje	koji	Pi-fpn
nisu	biti	Var3p
kategorizirane	kategorizirati	Appfpny
:	:	Z
Klinika	klinika	Ncfsn
za	za	Sa
infektivne	infektivan	Agpfpay
bolesti	bolest	Ncfpa
»	»	Z
Dr.	Dr.	Y
Fran	Fran	Npmsn
Mihaljević	Mihaljević	Npmsn
«	«	Z
,	,	Z
Klinika	klinika	Ncfsn
za	za	Sa
dječje	dječji	Agpfpay
bolesti	bolest	Ncfpa
Zagreb	Zagreb	Npmsn
te	te	Cc
Klinika	klinika	Ncfsn
za	za	Sa
ortopediju	ortopedija	Ncfsa
Lovran	Lovran	Npmsn
.	.	Z

Prva	prvi	Mlofsn
kategorija	kategorija	Ncfsn
analitički	analitički	Agpmsny
se	sebe	Px--sa
,	,	Z
gdje	gdje	Cs
je	biti	Var3s
to	taj	Pd-nsn
prikladno	prikladan	Agpnsny
,	,	Z
promatra	promatrati	Vmr3s
u	u	Sa
dva	dva	Mlc
dijela	dio	Ncmsg
1	1	Mdc
)	)	Z
klinički	klinički	Agpmpny
bolnički	bolnički	Agpmpny
centri	centar	Ncmpn
i	i	Cc
(	(	Z
2	2	Mdc
)	)	Z
ostali	ostali	Agpmpny
.	.	Z

2.	2.	Mdo
Županijske	županijski	Agpfsgy
bolnice	bolnica	Ncfsg
regionalnog	regionalan	Agpnsgy
značenja	značenje	Ncnsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
druga	drugi	Mlofsn
kategorija	kategorija	Ncfsn
)	)	Z
:	:	Z
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Sveti	svet	Agpmsny
Duh	duh	Ncmsn
«	«	Z
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Dr.	Dr.	Y
Josip	Josip	Npmsn
Benčević	Benčević	Npmsn
«	«	Z
Slavonski	slavonski	Agpmsny
Brod	brod	Ncmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Zadar	Zadar	Npmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Dubrovnik	Dubrovnik	Npmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Pula	Pula	Npfsn
i	i	Cc
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Varaždin	Varaždin	Npmsn
.	.	Z

3.	3.	Mdo
Županijske	županijski	Agpfsgy
bolnice	bolnica	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
treća	treći	Mlofsn
kategorija	kategorija	Ncfsn
)	)	Z
:	:	Z
Županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Čakovec	Čakovec	Npmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Bjelovar	Bjelovar	Npmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Karlovac	Karlovac	Npmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Dr.	Dr.	Y
Tomislav	Tomislav	Npmsn
Bardek	Bardek	Npmsn
«	«	Z
Koprivnica	Koprivnica	Npfsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Zabok	Zabok	Npmsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Dr.	Dr.	Y
Ivo	Ivo	Npmsn
Pedišić	Pedišić	Npmsn
«	«	Z
Sisak	Sisak	Npmsn
,	,	Z
Opća	opći	Agpfsny
županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Požega	Požega	Npfsn
,	,	Z
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Virovitica	Virovitica	Npfsn
,	,	Z
Opća	opći	Agpfsny
županijska	županijski	Agpfsny

