suvlasničkim	suvlasnički	Agpmsiy
drugovi	drug	Ncmpn
,	,	Z
te	te	Cc
da	da	Cs
udio	udjel	Ncmsn
u	u	Sl
bračnoj	bračni	Agpfsly
stečevini	stečevina	Ncfsl
podnositeljice	podnositeljica	Ncfsg
iznosi	iznositi	Vmr3s
najmanje	malo	Rgs
403.000,00	403.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
koji	koji	Pi-msn
ona	on	Pp3fsn
potražuje	potraživati	Vmr3s
od	od	Sg
ugovaratelja	ugovaratelj	Ncmsg
Damira	Damir	Npmsg
Dobroslavića	Dobroslavić	Npmsg
;	;	Z

–	–	Z
da	da	Cs
je	biti	Var3s
Pronto	pronto	Agpmsny
servis	servis	Ncmsn
d.o.o.	d.o.o.	Y
radi	radi	Sg
povrata	povrat	Ncmpg
dijela	dio	Ncmsg
duga	dug	Ncmsg
Damiru	Damir	Npmsd
Dobroslaviću	Dobroslavić	Npmsd
,	,	Z
te	te	Cc
radi	radi	Sg
isplate	isplata	Ncfsg
udjela	udjel	Ncmsg
u	u	Sl
bračnoj	bračni	Agpfsly
stečevini	stečevina	Ncfsl
podnositeljici	podnositeljica	Ncfsl
od	od	Sg
strane	strana	Ncfsg
supruga	suprug	Ncmsg
Damira	Damir	Npmsg
Dobroslavića	Dobroslavić	Npmsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
403.000,00	403.000,00	Mdc
kuna	kuna	Ncfpg
(	(	Z
kako	kako	Cs
su	biti	Var3p
ugovorne	ugovoran	Agpfpny
strane	strana	Ncfpn
suglasno	suglasno	Rgp
utvrdile	utvrditi	Vmp-pf
)	)	Z
,	,	Z
prenio	prenijeti	Vmp-sm
u	u	Sa
vlasništvo	vlasništvo	Ncnsa
stan	stan	Ncmsan
u	u	Sl
Dubrovniku	Dubrovnik	Npmsl
,	,	Z
Srednji	srednji	Agpmsny
Kono	Kono	Npmsn
9	9	Mdc
,	,	Z
površine	površina	Ncfsg
17	17	Mdc
m2	m	Ncmpg
,	,	Z
na	na	Sa
podnositeljicu	podnositeljica	Ncfsa
;	;	Z

–	–	Z
da	da	Cs
poslovnom	poslovan	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
Pronto	pronto	Agpmsny
servis	servis	Ncmsn
d.o.o.	d.o.o.	Y
nije	biti	Var3s
dokazana	dokazati	Appfsny
vjerodostojnost	vjerodostojnost	Ncfsn
pozajmice	pozajmica	Ncfsg
društvu	društvo	Ncnsd
od	od	Sg
strane	strana	Ncfsg
Damira	Damir	Npmsg
Dobroslavića	Dobroslavić	Npmsg
u	u	Sl
ukupnom	ukupan	Agpmsly
iznosu	iznos	Ncmsl
od	od	Sg
650.000,00	650.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
budući	budući	Cs
da	da	Cs
se	sebe	Px--sa
u	u	Sl
poslovnoj	poslovan	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
društva	društvo	Ncnsg
ne	ne	Qz
nalaze	nalaziti	Vmr3p
dva	dva	Mlc
ugovora	ugovor	Ncmsg
o	o	Sl
kratkoročnim	kratkoročan	Agpfply
pozajmicama	pozajmica	Ncfpl
od	od	Sg
6.	6.	Mdo
studenoga	studeni	Ncmsg
2007.	2007.	Mdo
;	;	Z

–	–	Qr
da	da	Cs
nema	nemati	Vmr3s
nikakve	nikakav	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
koje	koji	Pi-fsg
bi	biti	Vaa3s
se	sebe	Px--sa
utvrdilo	utvrditi	Vmp-sn
da	da	Cs
podnositeljica	podnositeljica	Ncfsn
od	od	Sg
Damira	Damir	Npmsg
Dobroslavića	Dobroslavić	Npmsg
potražuje	potraživati	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
403.000,00	403.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
26.	26.	Mdo
d	a	Ncfsg
Općeg	opći	Agpmsgy
poreznog	porezni	Agpmsgy
zakona	zakon	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
147/08.	147/08.	Mdo
,	,	Z
18/11.	18/11.	Mds
i	i	Cc
78/12.	78/12.	Mds
;	;	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
OPZ	opz	Ncmsn
:	:	Z
147/08	147/08	Mdc
-	-	Z
78/12	78/12	Mdc
)	)	Z
,	,	Z
utvrđena	utvrditi	Appfsny
je	biti	Var3s
podnositeljičina	podnositeljičin	Aspfsny
odgovornost	odgovornost	Ncfsn
za	za	Sa
utvrđeni	utvrditi	Agpmsayn
porezni	porezni	Agpmsayn
dug	dug	Ncmsan
društva	društvo	Ncnsg
.	.	Z

Drugostupanjskim	drugostupanjski	Agpnsiy
rješenjem	rješenje	Ncnsi
odbijena	odbiti	Appfsny
je	biti	Var3s
podnositeljičina	podnositeljičin	Aspfsny
žalba	žalba	Ncfsn
te	te	Cc
je	biti	Var3s
potvrđeno	potvrditi	Appnsny
prvostupanjsko	prvostupanjski	Agpnsny
rješenje	rješenje	Ncnsn
.	.	Z

7.	7.	Mdo
Upravni	upravan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
Splitu	Split	Npmsl
je	biti	Var3s
osporenom	osporiti	Agpfsiy
presudom	presuda	Ncfsi
odbio	odbiti	Vmp-sm
tužbu	tužba	Ncfsa
podnositeljice	podnositeljica	Ncfsg
navodeći	navoditi	Rr
za	za	Sa
to	taj	Pd-nsa
sljedeće	sljedeći	Agpmpay
razloge	razlog	Ncmpa
:	:	Z

»	»	Z
Predmet	predmet	Ncmsn
ovog	ovaj	Pd-msg
upravnog	upravan	Agpmsgy
spora	spor	Ncmsg
je	biti	Var3s
utvrđivanje	utvrđivanje	Ncnsn
porezne	porezni	Agpfsgy
obveze	obveza	Ncfsg
tužiteljici	tužiteljica	Ncfsl
kao	kao	Cs
poreznom	porezni	Agpmsly
jamcu	jamac	Ncmsl
sukladno	sukladno	Rgp
članku	članak	Ncmsl
26.	26.	Mdo
d		Ncmsg
Općeg	opći	Agpmsgy
poreznog	porezni	Agpmsgy
zakona	zakon	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
147/08	147/08	Mdc
,	,	Z
18/11	18/11	Mdc
i	i	Cc
78/12	78/12	Mdc
;	;	Z
dalje	daleko	Rgc
OPZ-a	OPZ	Npmsg
)	)	Z
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
ispitivanje	ispitivanje	Ncnsn
jesu	biti	Var3p
li	li	Qq
zakonita	zakonit	Agpnpny
rješenja	rješenje	Ncnpn
tuženika	tuženik	Ncmsg
kojima	koji	Pi-npl
je	biti	Var3s
tužiteljici	tužiteljica	Ncfsl
kao	kao	Cs
poreznom	porezni	Agpmsly
jamcu	jamac	Ncmsl
utvrđena	utvrditi	Appfsny
porezna	porezni	Agpfsny
obveza	obveza	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
403.000.00	403.000.00	Mds
kuna	kuna	Ncfpg
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
razmatranja	razmatranje	Ncnpg
svih	sav	Agpnpgy
činjeničnih	činjeničan	Agpnpgy
i	i	Cc
pravnih	pravni	Agpnpgy
pitanja	pitanje	Ncnpg
sud	sud	Ncmsn
je	biti	Var3s
ocijenio	ocijeniti	Vmp-sm
da	da	Cs
tužbeni	tužbeni	Agpmsny
zahtjev	zahtjev	Ncmsn
nije	biti	Var3s
osnovan	osnovati	Appmsnn
.	.	Z

Člankom	članak	Ncmsi
26.	26.	Mdo
a	a	Cc
stavak	stavak	Ncmsn
2.	2.	Mdo
OPZ-a	OPZ	Npmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
radnjama	radnja	Ncfpi
kojima	koji	Pi-fpd
se	sebe	Px--sa
oštećuje	oštećivati	Vmr3s
porezno	porezni	Agpnsny
tijelo	tijelo	Ncnsn
kao	kao	Cs
vjerovnik	vjerovnik	Ncmsn
u	u	Sl
porezno-dužničkom	porezno-dužnički	Agpmsly
odnosu	odnos	Ncmsl
se	sebe	Px--sa
osobito	osobito	Rgp
smatraju	smatrati	Vmr3p
:	:	Z
preusmjeravanje	preusmjeravanje	Ncnsa
novčanih	novčan	Agpmpgy
tokova	tok	Ncmpg
na	na	Sa
druge	drugi	Agpfpay
pravne	pravni	Agpfpay
ili	ili	Cc
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
radi	radi	Sg
izbjegavanja	izbjegavanje	Ncnsg
plaćanja	plaćanje	Ncnsg
poreznih	porezni	Agpfpgy
obveza	obveza	Ncfpg
,	,	Z
korištenje	korištenje	Ncnsn
društva	društvo	Ncnsg
radi	radi	Sg
postizanja	postizanje	Ncnsg
ciljeva	cilj	Ncmpg
koje	koji	Pi-mpa
ne	ne	Qz
bi	biti	Vaa3s
sam	biti	Var1s
mogao	moći	Vmp-sm
postići	postići	Vmn
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
su	biti	Var3p
zabranjeni	zabraniti	Appmpny
,	,	Z
umanjenje	umanjenje	Ncnsa
ili	ili	Cc
otuđenje	otuđenje	Ncnsn
imovine	imovina	Ncfsg
društva	društvo	Ncnsg
ako	ako	Cs
je	biti	Var3s
isto	isti	Agpnsny
za	za	Sa
posljedicu	posljedica	Ncfsa
imalo	imati	Vmp-sn
nemogućnost	nemogućnost	Ncfsa
plaćanja	plaćanje	Ncnsg
obveza	obveza	Ncfpg
iz	iz	Sg
porezno-dužničkog	porezno-dužnički	Agpmsgy
odnosa	odnos	Ncmsg
.	.	Z

Člankom	članak	Ncmsi
26.	26.	Mdo
a	a	Cc
stavak	stavak	Ncmsn
4.	4.	Mdo
OPZ-a	opzti	Appnsny
je	biti	Var3s
propisano	propisati	Appnsny
da	da	Cs
za	za	Sa
podmirenje	podmirenje	Ncnsa
obveza	obveza	Ncfpg
društva	društvo	Ncnsg
,	,	Z
ali	ali	Cc
najviše	mnogo	Rgs
do	do	Sg
ostvarene	ostvariti	Agpfsgy
koristi	korist	Ncfsg
,	,	Z
supsidijarno	supsidijarno	Rgp
odgovaraju	odgovarati	Vmr3p
i	i	Cc
povezane	povezan	Agpfpny
osobe	osoba	Ncfpn
u	u	Sa
čiju	čiji	Pi-fsa
korist	korist	Ncfsa
je	biti	Var3s
poduzeto	poduzet	Agpnsny
raspolaganje	raspolaganje	Ncnsn
na	na	Sa
štetu	šteta	Ncfsa
društva	društvo	Ncnsg
,	,	Z
što	što	Pi3n-n
za	za	Sa
posljedicu	posljedica	Ncfsa
ima	imati	Vmr3s
neispunjenje	neispunjenje	Ncnsa
obveze	obveza	Ncfsg
iz	iz	Sg
porezno-dužničkog	porezno-dužnički	Agpmsgy
odnosa	odnos	Ncmsg
.	.	Z

(...)	(...)	Ncfsn

Iz	iz	Sg
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
26.	26.	Mdo
d		Ncmsg
OPZ-a	OPZ	Npmsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
osobe	osoba	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
26.	26.	Mdo
a	a	Cc
,	,	Z
26.	26.	Mdo
b	b	Npmsn
i	i	Cc
26.	26.	Mdo
c	C	Ncmsg
,	,	Z
te	te	Cc
osobe	osoba	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
40.	40.	Mdo
a	a	Cc
,	,	Z
40.	40.	Mdo
b	b	Ncfsg
i	i	Cc
41.	41.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
čija	čiji	Pi-fsn
odgovornost	odgovornost	Ncfsn
je	biti	Var3s
utvrđena	utvrditi	Appfsny
rješenjem	rješenje	Ncnsi
iz	iz	Sg
članka	članak	Ncmsg
158.	158.	Mdo
f	f	Sa
stavak	stavak	Ncmsan
6.	6.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
za	za	Sa
nemogućnost	nemogućnost	Ncfsa
plaćanja	plaćanje	Ncnsg
obveze	obveza	Ncfsg
iz	iz	Sg
porezno-dužničkog	porezno-dužnički	Agpmsgy
odnosa	odnos	Ncmsg
odgovaraju	odgovarati	Vmr3p
kao	kao	Cs
porezni	porezni	Agpmpny
jamci	jamac	Ncmpn
.	.	Z

Nadalje	nadalje	Rgp
iz	iz	Sg
spisa	spis	Ncmsg
upravnog	upravan	Agpnsgy
tijela	tijelo	Ncnsg
nespornim	nesporan	Agpmsiy
proizlazi	proizlaziti	Vmr3s
:	:	Z
da	da	Cs
je	biti	Var3s
porezno	porezni	Agpnsny
tijelo	tijelo	Ncnsn
nad	nad	Si
trgovačkim	trgovački	Agpnsiy
društvom	društvo	Ncnsi
Pronto	pronto	Agpmsny
servis	servis	Ncmsn
d.o.o.	d.o.o.	Y
neuspješno	neuspješno	Rgp
provelo	provesti	Vmp-sn
ovršni	ovršni	Agpmsayn
postupak	postupak	Ncmsan
radi	radi	Sg
naplate	naplata	Ncfsg
poreza	porez	Ncmsg
na	na	Sa
dodanu	dodati	Ncmsl
vrijednost	vrijednost	Ncfsn
;	;	Z
da	da	Cs
je	biti	Var3s
Damir	Damir	Npmsn
Dobroslavić	Dobroslavić	Npmsn
osnivač	osnivač	Ncmsn
i	i	Cc
direktor	direktor	Ncmsn
tvrtke	tvrtka	Ncfsg
Pronto	Pronto	Npmsn
servis	servis	Ncmsn
d.o.o.	d.o.o.	Y
,	,	Z
u	u	Sl
tom	taj	Pd-nsl
svojstvu	svojstvo	Ncnsl
,	,	Z
označeni	označiti	Appmsayn
stan	stan	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
predstavljao	predstavljati	Vmp-sm
imovinu	imovina	Ncfsa
društva	društvo	Ncnsg
prenio	prenijeti	Vmp-sm
u	u	Sa
vlasništvo	vlasništvo	Ncnsa
Dinke	Dinka	Npfsg
Lovrić	Lovrić	Npmsn
Dobroslavić	Dobroslavić	Npmsn
,	,	Z
svoje	svoj	Px-fsg
supruge	supruga	Ncfsg
,	,	Z
iako	iako	Cs
je	biti	Var3s
morao	morati	Vmp-sm
znati	znati	Vmn
da	da	Cs
će	htjeti	Var3s
ista	isti	Agpfsny
za	za	Sa
posljedicu	posljedica	Ncfsa
imati	imati	Vmn
nemogućnost	nemogućnost	Ncfsa
naplate	naplata	Ncfsg
obveza	obveza	Ncfpg
iz	iz	Sg
porezno-dužničkog	porezno-dužnički	Agpmsgy
odnosa	odnos	Ncmsg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
protivno	protivan	Agpnsny
članku	članak	Ncmsl
26.	26.	Mdo
b	b	Agpmsny
stavak	stavak	Ncmsn
4.	4.	Mdo
OPZ-a	OPZ	Npmsg
.	.	Z

Prema	prema	Sl
članku	članak	Ncmsl
158.	158.	Mdo
a	a	Cc
stavak	stavak	Ncmsn
1.	1.	Mdo

