istima	isti	Agpmpdy
funkciji	funkcija	Ncfsl
gradonačelnika	gradonačelnik	Ncmsg
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
koju	koji	Pi-fsa
funkciju	funkcija	Ncfsa
obavlja	obavljati	Vmr3s
već	već	Rgp
15	15	Mdc
godina	godina	Ncfpg
,	,	Z
a	a	Cc
upravo	upravo	Rgp
u	u	Sl
tom	taj	Pd-nsl
svojstvu	svojstvo	Ncnsl
je	biti	Var3s
počinio	počiniti	Vmp-sm
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
koja	koji	Pi-npa
mu	on	Pp3msd
se	sebe	Px--sa
stavljaju	stavljati	Vmr3p
na	na	Sa
teret	teret	Ncmsan
rješenjem	rješenje	Ncnsi
o	o	Sl
istrazi	istraga	Ncfsl
od	od	Sg
20.	20.	Mdo
listopada	listopad	Ncmsg
2014.	2014.	Mdo
i	i	Cc
to	taj	Pd-nsa
zlouporabom	zlouporaba	Ncfsi
svojih	svoj	Px-fpg
službenih	služben	Agpfpgy
dužnosti	dužnost	Ncfpg
te	te	Cc
s	sa	Si
tim	taj	Pd-nsi
u	u	Sl
svezi	sveza	Ncfsl
zlouporabom	zlouporaba	Ncfsi
autoriteta	autoritet	Ncmsg
svojeg	svoj	Px-msg
društvenog	društven	Agpmsgy
položaja	položaj	Ncmsg
i	i	Cc
utjecaja	utjecaj	Ncmsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
činio	činiti	Vmp-sm
u	u	Sl
duljem	dug	Ncfsl
vremenskom	vremenski	Agpmsly
periodu	period	Ncmsl
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
iskazao	iskazati	Vmp-sm
visok	visok	Agpmsann
stupanj	stupanj	Ncmsan
kriminalne	kriminalan	Agpfsgy
volje	volja	Ncfsg
,	,	Z
te	te	Cc
oštetio	oštetiti	Vmp-sm
kako	kako	Cs
proračun	proračun	Ncmsan
RH	R	Npmsg
,	,	Z
tako	tako	Rgp
i	i	Qo
proračun	proračun	Ncmsan
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
i	i	Cc
Zagrebačkog	zagrebački	Agpmsgy
holdinga	holding	Ncmsg
d.o.o.	d.o.o.	Y
,	,	Z
za	za	Sa
značajne	značajan	Agpmpay
milijunske	milijunski	Agpmpay
iznose	iznos	Ncmpa
.	.	Z

Pri	pri	Sl
tome	taj	Pd-nsl
je	biti	Var3s
za	za	Sa
istaknuti	istaknuti	Vmn
da	da	Cs
je	biti	Var3s
I	i	Qo
okr	okr	Agpnsny
.	.	Z

Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
kao	kao	Cs
gradonačelnik	gradonačelnik	Ncmsn
trebao	trebati	Vmp-sm
brinuti	brinuti	Vmn
o	o	Sl
interesima	interes	Ncmpl
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
a	a	Cc
postupao	postupati	Vmp-sm
je	biti	Var3s
upravo	upravo	Rgp
suprotno	suprotan	Agpnsny
,	,	Z
protivno	protivno	Rgp
tim	taj	Pd-mpl
interesima	interes	Ncmpl
.	.	Z

Činjenica	činjenica	Ncfsn
da	da	Cs
je	biti	Var3s
usprkos	usprkos	Sl
određenoj	određen	Agpfsly
mjeri	mjera	Ncfsl
jamstva	jamstvo	Ncnsg
i	i	Cc
mjerama	mjera	Ncfpi
opreza	oprez	Ncmsg
I	i	Cc
okr	okr	Ncfpg
.	.	Z

Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
osnovano	osnovati	Appnsny
sumnjiv	sumnjiv	Agpmsnn
da	da	Cs
je	biti	Var3s
počinio	počiniti	Vmp-sm
tri	tri	Mlc
nova	nov	Agpnpay
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
za	za	Sa
koja	koji	Pi-npn
je	biti	Var3s
propisana	propisati	Appfsny
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
je	biti	Var3s
počinio	počiniti	Vmp-sm
neovisno	neovisno	Rgp
o	o	Sl
funkciji	funkcija	Ncfsl
koju	koji	Ncmsl
obnaša	obnašati	Vmr3s
,	,	Z
govori	govoriti	Vmr3s
u	u	Sa
prilog	prilog	Ncmsan
zaključku	zaključak	Ncmsl
da	da	Cs
čak	čak	Qo
i	i	Qo
u	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg
obnašanja	obnašanje	Ncnsg
funkcije	funkcija	Ncfsg
gradonačelnika	gradonačelnik	Ncmsg
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
obzirom	obzir	Ncmsi
na	na	Sa
brojnost	brojnost	Ncfsa
svih	sav	Agpnpgy
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
koja	koji	Pi-npn
mu	on	Pp3msd
se	sebe	Px--sa
stavljaju	stavljati	Vmr3p
na	na	Sa
teret	teret	Ncmsan
te	te	Cc
spremnost	spremnost	Ncfsa
na	na	Sa
daljnje	daljnji	Agpnsay
činjenje	činjenje	Ncnsa
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
i	i	Cc
izraženu	izraziti	Agpfsay
upornost	upornost	Ncfsa
,	,	Z
postoji	postojati	Vmr3s
realna	realan	Agpfsny
opasnost	opasnost	Ncfsn
da	da	Cs
bi	biti	Vaa3s
boravkom	boravak	Ncmsi
na	na	Sl
slobodi	sloboda	Ncfsl
počinio	počiniti	Vmp-sm
teže	teško	Rgc
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
za	za	Sa
koje	koji	Pi-nsa
je	biti	Var3s
prema	prema	Sl
zakonu	zakon	Ncmsl
moguće	moguć	Agpnsny
izreći	izreći	Vmn
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
ili	ili	Cc
težu	težak	Agcfsay
kaznu	kazna	Ncfsa
.	.	Z

Navedeno	navesti	Appnsny
je	biti	Var3s
i	i	Cc
u	u	Sl
korelaciji	korelacija	Ncfsl
s	sa	Si
već	već	Rgp
ranije	rano	Rgc
obrazloženim	obrazložiti	Agpnsiy
postupanjem	postupanje	Ncnsi
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
svjedokinju	svjedokinja	Ncfsa
Vidu	vid	Ncmsl
Demarin	Demarin	Npfsg
te	te	Cc
krivotvorenjem	krivotvorenje	Ncnsi
dokaza	dokaz	Ncmsg
,	,	Z
čime	što	Pi3n-i
je	biti	Var3s
jasno	jasno	Rgp
izrazio	izraziti	Vmp-sm
odnos	odnos	Ncmsan
prema	prema	Sl
postupku	postupak	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
protiv	protiv	Sg
njega	on	Pp3msg
vodi	voditi	Vmr3s
te	te	Cc
spremnost	spremnost	Ncfsn
na	na	Sa
daljnja	daljnji	Agpnpay
postupanja	postupanje	Ncnpa
suprotna	suprotan	Agpfsny
zakonski	zakonski	Rgp
obvezama	obveza	Ncfpi
.	.	Z

Dakle	dakle	Cc
,	,	Z
radnje	radnja	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
I	i	Qo
okr	okr	Agpnsny
.	.	Z

Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
poduzimao	poduzimati	Vmp-sm
nakon	nakon	Cs
što	što	Cs
mu	on	Pp3msd
je	biti	Var3s
istražni	istražni	Agpmsny
zatvor	zatvor	Ncmsn
zamijenjen	zamijeniti	Appmsnn
jamstvom	jamstvo	Ncnsi
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
rješenja	rješenje	Ncnsg
o	o	Sl
provođenju	provođenje	Ncnsl
i	i	Cc
proširenju	proširenje	Ncnsl
istrage	istraga	Ncfsg
od	od	Sg
09.	09.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
,	,	Z
govore	govoriti	Vmr3p
u	u	Sa
prilog	prilog	Ncmsan
zaključku	zaključak	Ncmsl
da	da	Cs
jamstvo	jamstvo	Ncnsn
kao	kao	Cs
blaža	blag	Agcfsny
mjera	mjera	Ncfsn
kojom	koji	Pi-fsi
se	sebe	Px--sa
treba	trebati	Vmr3s
postići	postići	Vmn
ista	isti	Agpfsny
svrha	svrha	Ncfsn
kao	kao	Cs
i	i	Qo
kod	kod	Sg
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
,	,	Z
u	u	Sl
ovom	ovaj	Pd-msl
slučaju	slučaj	Ncmsl
,	,	Z
usprkos	usprkos	Sd
činjenici	činjenica	Ncfsd
da	da	Cs
je	biti	Var3s
iznos	iznos	Ncmsn
jamčevine	jamčevina	Ncfsg
15	15	Mdc
milijuna	milijun	Ncmpg
kuna	kuna	Ncfpg
,	,	Z
nije	biti	Var3s
bio	biti	Vap-sm
dovoljna	dovoljan	Agpfsny
garancija	garancija	Ncfsn
da	da	Cs
I	i	Qo
okr	okr	Ncmsan
.	.	Z

Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
neće	htjeti	Var3s
počiniti	počiniti	Vmn
novo	nov	Agpnsay
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
odnosno	odnosno	Rgp
utjecati	utjecati	Vmn
na	na	Sa
svjedoke	svjedok	Ncmpa
.	.	Z

Kako	kako	Cs
je	biti	Var3s
svojim	svoj	Agpnsiy
postupanjem	postupanje	Ncnsi
I	i	Cc
okrivljeni	okrivljen	Agpmsny
Milan	Milan	Npmsn
Bandić	Bandić	Npmsn
prekršio	prekršiti	Vmp-sm
osobno	osoban	Agpnsay
obećanje	obećanje	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
izrekao	izreći	Vmp-sm
kao	kao	Cs
uvjet	uvjet	Ncmsn
jamstvu	jamstvo	Ncnsl
da	da	Cs
neće	htjeti	Var3s
ometati	ometati	Vmn
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
utjecajem	utjecaj	Ncmsi
na	na	Sa
svjedoke	svjedok	Ncmpa
i	i	Cc
da	da	Cs
neće	htjeti	Var3s
ponoviti	ponoviti	Vmn
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
sud	sud	Ncmsn
je	biti	Var3s
postupio	postupiti	Vmp-sm
prema	prema	Sl
odredbama	odredba	Ncfpl
članka	članak	Ncmsg
104.	104.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
ZKP	zk	Ncmsg
te	te	Cc
je	biti	Var3s
odredio	odrediti	Vmp-sm
naplatu	naplata	Ncfsa
iznosa	iznos	Ncmpg
jamstva	jamstvo	Ncnsg
od	od	Sg
15.000.000,00	15.000.000,00	Mdc
kn	KN	Ncmpg
u	u	Sa
korist	korist	Ncfsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
RH	RH	Npfsg
a	a	Cc
protiv	protiv	Sg
I	i	Qo
okrivljenika	okrivljenik	Ncmpg
odredio	odrediti	Vmp-sm
istražni	istražni	Agpmsayn
zatvor	zatvor	Ncmsan
iz	iz	Sg
istih	isti	Agpfpgy
onih	onaj	Pd-mpg
zakonskih	zakonski	Agpmpgy
razloga	razlog	Ncmpg
zbog	zbog	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
istražni	istražni	Agpmsny
zatvor	zatvor	Ncmsn
egzistirao	egzistirati	Vmp-sm
u	u	Sl
času	čas	Ncmsl
zamjene	zamjena	Ncfsg
blažim	blag	Agpfpdy
mjerama	mjera	Ncfpd
jamstva	jamstvo	Ncnsg
i	i	Cc
mjerama	mjera	Ncfpi
opreza	oprez	Ncmsg
,	,	Z
a	a	Cc
pri	pri	Sl
tome	taj	Pd-nsl
su	biti	Var3p
mjere	mjera	Ncfpn
opreza	oprez	Ncmsg
ukinute	ukinuti	Appfpny
.	.	Z
«	«	Z

16.	16.	Mdo

Osporenim	osporiti	Agpnsiy
rješenjem	rješenje	Ncnsi
vijeća	vijeće	Ncnsg
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
od	od	Sg
18.	18.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
odbijene	odbiti	Appfpny
su	biti	Var3p
žalbe	žalba	Ncfpn
podnositelja	podnositelj	Ncmpg
i	i	Cc
potvrđeno	potvrditi	Appnsny
je	biti	Var3s
rješenje	rješenje	Ncnsn
suca	sudac	Ncmsg
istrage	istraga	Ncfsg
tog	taj	Pd-msg
suda	sud	Ncmsg
od	od	Sg
10.	10.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

Mjerodavni	mjerodavan	Agpmpny
dijelovi	dio	Ncmpn
obrazloženja	obrazloženje	Ncnsg
osporenog	osporiti	Appnsgy

