propisanim	propisati	Appmsiy
boravišta	boravište	Ncnsg
,	,	Z
ili	ili	Cc
prema	prema	Sl
mjestu	mjesto	Ncnsl
zadnjeg	zadnji	Agpnsgy
zajedničkog	zajednički	Agpnsgy
prebivališta	prebivalište	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
boravišta	boravište	Ncnsg
bračnih	bračni	Agpfpgy
ili	ili	Cc
izvanbračnih	izvanbračni	Agpmpgy
drugova	drug	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
ne	ne	Qz
provodi	provoditi	Vmr3s
se	sebe	Px--sa
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
ovrhe	ovrha	Ncfsg
i	i	Cc
osiguranja	osiguranje	Ncnsg
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Zakonu	zakon	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
sudjeluju	sudjelovati	Vmr3p
članovi	član	Ncmpn
obitelji	obitelj	Ncfsg
osobno	osobno	Rgp
i	i	Cc
bez	bez	Sg
punomoćnika	punomoćnik	Ncmpg
.	.	Z

Vrste	vrsta	Ncfpn
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg

Članak	članak	Ncmsn
322.	322.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
prema	prema	Sl
odredbama	odredba	Ncfpl
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
:	:	Z

1.	1.	Mdo
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
radi	radi	Sg
razvoda	razvod	Ncmsg
braka	brak	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
postoji	postojati	Vmr3s
zajedničko	zajednički	Agpnsny
maloljetno	maloljetan	Agpnsny
dijete	dijete	Ncnsn
i	i	Cc

2.	2.	Mdo
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
ostalih	ostali	Agpmpgy
sudskih	sudski	Agpmpgy
postupaka	postupak	Ncmpg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sa
obvezno	obvezan	Agpnsay
savjetovanje	savjetovanje	Ncnsa
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
radi	radi	Sg
uređenja	uređenje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
u	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg
životne	životan	Agpfsgy
zajednice	zajednica	Ncfsg
njegovih	njegov	Ps3mpg
roditelja	roditelj	Ncmpg
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
odredbe	odredba	Ncfsg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
radi	radi	Sg
razvoda	razvod	Ncmsg
braka	brak	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
postoji	postojati	Vmr3s
zajedničko	zajednički	Agpnsny
maloljetno	maloljetan	Agpnsny
dijete	dijete	Ncnsn
.	.	Z

Pokretanje	pokretanje	Ncnsn
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg

Članak	članak	Ncmsn
323.	323.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
pokreće	pokretati	Vmr3s
se	sebe	Px--sa
na	na	Sa
zahtjev	zahtjev	Ncmsan
stranke	stranka	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
centru	centar	Ncmsd
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
ili	ili	Cc
usmeno	usmeno	Rgp
na	na	Sa
zapisnik	zapisnik	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
je	biti	Var3s
dužan	dužan	Agpmsnn
nakon	nakon	Sg
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
provođenje	provođenje	Ncnsa
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
zakazati	zakazati	Vmn
sastanak	sastanak	Ncmsan
i	i	Cc
pozvati	pozvati	Vmn
stranke	stranka	Ncfpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
,	,	Z
ako	ako	Cs
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
procijeni	procijeniti	Vmr3s
da	da	Cs
u	u	Sl
okolnostima	okolnost	Ncfpl
konkretnoga	konkretan	Agpmsgy
slučaja	slučaj	Ncmsg
zajednički	zajednički	Agpmsny
sastanak	sastanak	Ncmsn
ne	ne	Qz
bi	biti	Vaa3s
bio	biti	Vap-sm
svrhovit	svrhovit	Agpmsnn
ili	ili	Cc
ako	ako	Cs
to	taj	Pd-nsa
jedna	jedan	Mlcfsn
ili	ili	Cc
obje	oba	Mlsf-n
stranke	stranka	Ncfsg
iz	iz	Sg
opravdanih	opravdati	Agpmpgy
razloga	razlog	Ncmpg
zahtijevaju	zahtijevati	Vmr3p
,	,	Z
zakazat	zakazati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Cc
provesti	provesti	Vmn
odvojeni	odvojiti	Appmpny
razgovori	razgovor	Ncmpn
sa	sa	Si
strankama	stranka	Ncfpi
.	.	Z

Izvješće	izvješće	Ncnsn
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa

Članak	članak	Ncmsn
324.	324.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Po	po	Sl
okončanju	okončanje	Ncnsl
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
dužan	dužan	Agpmsnn
je	biti	Var3s
sastaviti	sastaviti	Vmn
izvješće	izvješće	Ncnsa
u	u	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
navodi	navoditi	Vmr3s
:	:	Z

1.	1.	Mdo
tko	tko	Pi3m-n
je	biti	Var3s
sudjelovao	sudjelovati	Vmp-sm
u	u	Sl
postupku	postupak	Ncmsl

2.	2.	Mdo
spremnost	spremnost	Ncfsn
svake	svaki	Pi-fsg
stranke	stranka	Ncfsg
na	na	Sa
sporazumno	sporazuman	Agpnsay
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg

3.	3.	Mdo
spremnost	spremnost	Ncfsn
svake	svaki	Pi-fsg
stranke	stranka	Ncfsg
na	na	Sa
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
obiteljskoj	obiteljski	Agpfsly
medijaciji	medijacija	Ncfsl

4.	4.	Mdo
tko	tko	Pi3m-n
namjerava	namjeravati	Vmr3s
pokrenuti	pokrenuti	Vmn
sudski	sudski	Agpmsayn
postupak	postupak	Ncmsan

5.	5.	Mdo
ako	ako	Cs
se	sebe	Px--sa
provodi	provoditi	Vmr3s
obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
radi	radi	Sg
razvoda	razvod	Ncmsg
braka	brak	Ncmsg
,	,	Z
jesu	biti	Var3p
li	li	Qq
bračni	bračni	Agpmpny
drugovi	drug	Ncmpn
upoznati	upoznati	Vmn
s	sa	Si
pravnim	pravni	Agpfpiy
posljedicama	posljedica	Ncfpi
nepostizanja	nepostizanje	Ncnsg
sporazuma	sporazum	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
plana	plan	Ncmsg
o	o	Sl
zajedničkoj	zajednički	Agpfsly
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
sukladno	sukladno	Rgp
članku	članak	Ncmsd
327.	327.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc

6.	6.	Mdo
tvrdnje	tvrdnja	Ncfsg
o	o	Sl
obiteljskom	obiteljski	Agpnsly
nasilju	nasilje	Ncnsl
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
navode	navoditi	Vmr3p
,	,	Z
te	te	Cc
ocjena	ocjena	Ncfsn
o	o	Sl
mogućnosti	mogućnost	Ncfsl
ravnopravnog	ravnopravan	Agpnsgy
sudjelovanja	sudjelovanje	Ncnsg
stranaka	stranka	Ncfpg
u	u	Sl
postupku	postupak	Ncmsl
obiteljske	obiteljski	Agpfsgy
medijacije	medijacija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
strankama	stranka	Ncfpi
prema	prema	Sl
pravilima	pravilo	Ncnpl
o	o	Sl
osobnoj	osoban	Agpfsly
dostavi	dostava	Ncfsl
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
šezdeset	šezdeset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
provođenje	provođenje	Ncnsa
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
radi	radi	Sg
razvoda	razvod	Ncmsg
braka	brak	Ncmsg
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
trideset	trideset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
provođenje	provođenje	Ncnsa
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
prije	prije	Sg
pokretanja	pokretanje	Ncnsg
ostalih	ostali	Agpmpgy
sudskih	sudski	Agpmpgy
postupaka	postupak	Ncmpg
o	o	Sl
ostvarivanju	ostvarivanje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Zakonu	zakon	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
vrijedi	vrijediti	Vmr3s
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
kad	kad	Cs
je	biti	Var3s
okončano	okončati	Appnsny
obvezno	obvezan	Agpnsny
savjetovanje	savjetovanje	Ncnsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
pravilnikom	pravilnik	Ncmsi
će	htjeti	Var3s
propisati	propisati	Vmn
obvezni	obvezan	Agpmsayn
sadržaj	sadržaj	Ncmsan
izvješća	izvješće	Ncnsg
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
,	,	Z
način	način	Ncmsn
provođenja	provođenje	Ncnsg
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Cc
dužnosti	dužnost	Ncfsg
članova	član	Ncmpg
stručnog	stručan	Agpmsgy
tima	tim	Ncmsg
u	u	Sl
provođenju	provođenje	Ncnsl
obveznog	obvezan	Agpnsgy
savjetovanja	savjetovanje	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
propisat	propisati	Vmn
će	htjeti	Var3s
pravilnikom	pravilnik	Ncmsi
način	način	Ncmsan
vođenja	vođenje	Ncnsg
očevidnika	očevidnik	Ncmpg
i	i	Cc
dokumentacije	dokumentacija	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
poslovima	posao	Ncmpi
centra	centar	Ncmsg
za	za	Sa

