Arapski	arapski	Agpmpny
Služba	služba	Ncfsn
za	za	Sa
Aziju	Azija	Npfsa
i	i	Cc
Oceaniju	Oceanija	Npfsa

Članak	članak	Ncmsn
33.	33.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Aziju	Azija	Npfsa
i	i	Cc
Oceaniju	Oceanija	Npfsa
prati	pratiti	Vmr3s
,	,	Z
proučava	proučavati	Vmr3s
i	i	Cc
stručno	stručno	Rgp
obrađuje	obrađivati	Vmr3s
politička	politički	Agpnpay
zbivanja	zbivanje	Ncnpa
i	i	Cc
druge	drugi	Mlompa
relevantne	relevantan	Agpmpay
procese	proces	Ncmpa
važne	važan	Agpfpny
za	za	Sa
unaprjeđivanje	unaprjeđivanje	Ncnsa
bilateralnih	bilateralan	Agpmpgy
odnosa	odnos	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
sa	sa	Si
zemljama	zemlja	Ncfpi
Azije	Azija	Npfsg
i	i	Cc
Oceanije	Oceanija	Npfsg
(	(	Z
Kina	Kina	Npfsn
,	,	Z
Japan	Japan	Npmsn
,	,	Z
Mongolija	Mongolija	Npfsn
,	,	Z
Demokratska	demokratski	Agpfsny
Narodna	narodni	Agpfsny
Republika	republika	Ncfsn
Koreja	Koreja	Npfsn
,	,	Z
Republika	republika	Ncfsn
Koreja	Koreja	Npfsn
,	,	Z
Indonezija	Indonezija	Npfsn
,	,	Z
Malezija	Malezija	Npfsn
,	,	Z
Filipini	Filipina	Npfsl
,	,	Z
Bruneji	Bruneja	Npfsl
Darussalam	Darussalam	Npmsn
,	,	Z
Singapur	Singapur	Npmsn
,	,	Z
Tajland	Tajland	Npmsn
,	,	Z
Laos	Laos	Npmsn
,	,	Z
Vijetnam	Vijetnam	Npmsn
,	,	Z
Kambodža	Kambodž	Npmsg
,	,	Z
Mjanmar	Mjanmar	Npmsn
,	,	Z
Istočni	istočni	Agpmsny
Timor	timor	Ncmsn
,	,	Z
Iran	Iran	Npmsn
,	,	Z
Pakistan	Pakistan	Npmsn
,	,	Z
Afganistan	Afganistan	Npmsn
,	,	Z
Indija	Indija	Npfsn
,	,	Z
Nepal	Nepal	Npmsn
,	,	Z
Butan	butan	Ncmsn
,	,	Z
Šri	Šri	Npfsn
Lanka	Lanka	Npfsn
,	,	Z
Bangladeš	Bangladeš	Npfsn
,	,	Z
Maldivi	Maldiva	Npfsl
,	,	Z
Australija	Australija	Npfsn
,	,	Z
Fidži	Fidži	Npfsn
,	,	Z
Kiribati	Kiribata	Npfsl
,	,	Z
Maršalovo	maršalov	Aspnsay
Otočje	otočje	Ncnsa
,	,	Z
Mikronezija	Mikronezija	Npfsn
,	,	Z
Nauru	Naur	Npmsl
,	,	Z
Novi	nov	Agpmsny
Zeland	Zeland	Npmsn
,	,	Z
Palau	Palau	Npmsn
,	,	Z
Papua	Papua	Npfsn
Nova	Nova	Npfsn
Gvineja	Gvineja	Npfsn
,	,	Z
Salomonovo	salomonov	Agpnsny
Otočje	otočje	Ncnsn
,	,	Z
Samoa	Samo	Npmsg
,	,	Z
Tonga	Toi	Npmsg
,	,	Z
Tuvalu	Tuval	Npmsl
i	i	Cc
Vanuatu	Vanuat	Npmsl
)	)	Z
;	;	Z
prati	pratiti	Vmr3s
ukupnu	ukupan	Agpfsay
politiku	politika	Ncfsa
pojedinih	pojedini	Agpfpgy
država	država	Ncfpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Službe	služba	Ncfsg
prema	prema	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc

