primjenjiv	primjenjiv	Agpmsnn
povlastice	povlastica	Ncfsg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
ili	ili	Cc
povlastice	povlastica	Ncfsg
za	za	Sa
uzgoj	uzgoj	Ncmsan
riba	riba	Ncfpg
i	i	Cc
drugih	drugi	Mlompg
morskih	morski	Agpmpgy
organizama	organizam	Ncmpg
,	,	Z

–	i	Agpfsay
važeću	važeći	Agpfsay
ispravu	isprava	Ncfsa
o	o	Sl
plovilu	plovilo	Ncnsl
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
traži	tražiti	Vmr3s
izdavanje	izdavanje	Ncnsn
povlastice	povlastica	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
upisano	upisati	Appnsny
u	u	Sa
registar	registar	Ncmsan
ribarske	ribarski	Agpfsgy
flote	flota	Ncfsg
RH	RH	Npfsg
i	i	Cc
kojem	koji	Pi-msd
je	biti	Var3s
dodijeljen	dodijeliti	Appmsnn
CFR	CFR	Npmsn
broj	broj	Ncmsn
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
plovila	plovilo	Ncnsg
ili	ili	Cc
ugovor	ugovor	Ncmsan
o	o	Sl
najmu	najam	Ncmsl
plovila	plovilo	Ncnsg
ukoliko	ukoliko	Cs
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
nije	biti	Var3s
vlasnik	vlasnik	Ncmsn
.	.	Z

Postupak	postupak	Ncmsn
izdavanja	izdavanje	Ncnsg
povlastice	povlastica	Ncfsg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
zaprimljenih	zaprimiti	Agpmpgy
zahtjeva	zahtjev	Ncmpg
donijeti	donijeti	Vmn
rang-listu	rang-lista	Ncfsa
sudionika	sudionik	Ncmpg
prema	prema	Sl
broju	broj	Ncmsl
utvrđenih	utvrditi	Agpmpgy
bodova	bod	Ncmpg
,	,	Z
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
podnositeljima	podnositelj	Ncmpd
zahtjeva	zahtjev	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
na	na	Sl
rang-listi	rang-lista	Ncfsl
izdati	izdati	Vmn
se	sebe	Agpnsay
rješenje	rješenje	Ncnsa
o	o	Sl
izdavanju	izdavanje	Ncnsl
povlastice	povlastica	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uz	uz	Sa
rješenje	rješenje	Ncnsa
o	o	Sl
izdavanju	izdavanje	Ncnsl
povlastice	povlastica	Ncfsg
,	,	Z
ovlašteniku	ovlaštenik	Ncmsd
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
i	i	Cc
obrazac	obrazac	Ncmsn
povlastice	povlastica	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Povlastice	povlastica	Ncfpn
će	htjeti	Var3p
se	sebe	Px--sa
izdavati	izdavati	Vmn
prema	prema	Sl
redoslijedu	redoslijed	Ncmsl
s	sa	Sg
rang-liste	rang-lista	Ncfsg
i	i	Cc
to	to	Qo
prvo	prvo	Rgp
za	za	Sa
sudionike	sudionik	Ncmpa
u	u	Sl
malom	mali	Agpmsly
obalnom	obalni	Agpmsly
ribolovu	ribolov	Ncmsl
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
,	,	Z
a	a	Cc
nakon	nakon	Sg
toga	taj	Pd-nsg
ostalima	ostali	Agpmpdy
.	.	Z

Revizija	revizija	Ncfsn
rang-liste	rang-lista	Ncfsg
sudionika	sudionik	Ncmpg
u	u	Sl
malom	mali	Agpmsly
obalnom	obalni	Agpmsly
ribolovu	ribolov	Ncmsl

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Radi	radi	Sg
ažuriranja	ažuriranje	Ncnsg
rang-liste	rang-lista	Ncfsg
sudionika	sudionik	Ncmpg
u	u	Sl
malom	mali	Agpmsly
obalnom	obalni	Agpmsly
ribolovu	ribolov	Ncmsl
i	i	Cc
njihova	njihov	Ps3msg
broja	broj	Ncmsg
u	u	Sl
sljedećoj	sljedeći	Agpfsly
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
svi	sav	Agpmpny
zainteresirani	zainteresiran	Agpmpny
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
izdanih	izdan	Agpfpgy
temeljem	temelj	Ncmsi
odobrenja	odobrenje	Ncnsg
za	za	Sa
mali	mali	Agpmsayn
ribolov	ribolov	Ncmsan
dužni	dužan	Agpmpny
su	biti	Var3p
obnoviti	obnoviti	Vmn
zahtjev	zahtjev	Ncmsan
uz	uz	Sa
dostavu	dostava	Ncfsa
dokaza	dokaz	Ncmpg
o	o	Sl
prebivalištu	prebivalište	Ncnsl
i	i	Cc
potvrde	potvrda	Ncfpa
o	o	Sl
prihodima	prihod	Ncmpl
za	za	Sa
prethodnu	prethodan	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
nadležnoj	nadležan	Agpfsly
ispostavi	ispostava	Ncfsl
ministarstva	ministarstvo	Ncnsg
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
1.	1.	Mdo
do	do	Sg
31.	31.	Mdo
listopada	listopad	Ncmsg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
za	za	Sa
slijedeću	slijedeću	Pd-fsa
godinu	godina	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nepodnošenje	nepodnošenje	Ncnsn
zahtjeva	zahtjev	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
trajnim	trajan	Agpnsiy
odustajanjem	odustajanje	Ncnsi
od	od	Sg
prava	pravo	Ncnsg
obavljanja	obavljanje	Ncnsg
malog	mali	Agpmsgy
obalnog	obalni	Agpmsgy
ribolova	ribolov	Ncmsg
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Trajno	trajan	Agpnsny
pravo	prav	Agpnsny
za	za	Sa
izdavanje	izdavanje	Ncnsa
godišnje	godišnji	Agpfsgy
dozvole	dozvola	Ncfsg
za	za	Sa
rekreacijski	rekreacijski	Agpmsayn
ribolov	ribolov	Ncmsan
i	i	Cc
za	za	Sa
ribolov	ribolov	Ncmsan
pridnenim	dan	Agsmpiy
parangalima	parangal	Ncmpi
,	,	Z
bez	bez	Sg
naknade	naknada	Ncfsg
,	,	Z
podnošenjem	podnošenje	Ncnsi
zahtjeva	zahtjev	Ncmpg
mogu	moći	Vmr3p
ostvariti	ostvariti	Vmn
:	:	Z

–	–	Agpmpny
nositelji	nositelj	Ncmpn
važećih	važeći	Agpnpgy
odobrenja	odobrenje	Ncnpg
za	za	Sa
mali	mali	Agpmsayn
ribolov	ribolov	Ncmsan
koji	koji	Pi-msn
trajno	trajno	Rgp
odustanu	odustati	Vmr3p
od	od	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
povlastice	povlastica	Ncfsg
,	,	Z

–	–	Agpmpny
nositelji	nositelj	Ncmpn
važećih	važeći	Agpnpgy
odobrenja	odobrenje	Ncnpg
za	za	Sa
mali	mali	Agpmsayn
ribolov	ribolov	Ncmsan
koji	koji	Pi-msn
ne	ne	Qz
udovoljavaju	udovoljavati	Vmr3p
uvjetima	uvjet	Ncmpi
za	za	Sa
izdavanje	izdavanje	Ncnsa
povlastice	povlastica	Ncfsg
i	i	Cc

–	–	Agpmpny
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
koji	koji	Pi-mpn
u	u	Sl
određenoj	određen	Agpfsly
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
ne	ne	Qz
udovolje	udovoljiti	Vmr3p
uvjetima	uvjet	Ncmpi
za	za	Sa
uvrštenje	uvrštenje	Ncnsa
na	na	Sa
rang	rang	Ncmsan
listu	lista	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odobrenje	odobrenje	Ncnsn
za	za	Sa
mali	mali	Agpmsayn
ribolov	ribolov	Ncmsan
prestaje	prestajati	Vmr3s
važiti	važiti	Vmn
:	:	Z

–	–	Z
ukoliko	ukoliko	Cs
nije	biti	Var3s
podnesen	podnijeti	Appmsnn
zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
povlastice	povlastica	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
godišnje	godišnji	Agpfsgy
dozvole	dozvola	Ncfsg
za	za	Sa
rekreacijski	rekreacijski	Agpmsayn
ribolov	ribolov	Ncmsan
i	i	Cc
ribolov	ribolov	Ncmsan
pridnenim	pridnen	Agpmpiy
parangalima	parangal	Ncmpi
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

–		Agpnsiy
izdavanjem	izdavanje	Ncnsi
povlastice	povlastica	Ncfsg
i	i	Cc

–		Agpnsiy
izdavanjem	izdavanje	Ncnsi
godišnje	godišnji	Agpfsgy
dozvole	dozvola	Ncfsg
za	za	Sa

