imovinom	imovina	Ncfsi
prijedloga	prijedlog	Ncmsg

Članak	članak	Ncmsn
481.	481.	Mdo

Predlagatelj	predlagatelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
podnijeti	podnijeti	Vmn
izvješće	izvješće	Ncnsa
o	o	Sl
obveznom	obvezan	Agpnsly
savjetovanju	savjetovanje	Ncnsl
iz	iz	Sg
članka	članak	Ncmsg
324.	324.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
uz	uz	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
:	:	Z

1.	1.	Mdo
medicinskim	medicinski	Agpmpiy
postupcima	postupak	Ncmpi
povezanim	povezan	Agpmpiy
s	sa	Si
rizicima	rizik	Ncmpi
teških	težak	Agpfpgy
posljedica	posljedica	Ncfpg
za	za	Sa
zdravlje	zdravlje	Ncnsa
djeteta	dijete	Ncnsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
88.	88.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
obrazovanju	obrazovanje	Ncnsl
djeteta	dijete	Ncnsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
94.	94.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
neslaganju	neslaganje	Ncnsl
roditelja	roditelj	Ncmpg
o	o	Sl
odlukama	odluka	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
bitna	bitan	Agpnpay
osobna	osoban	Agpnpay
prava	pravo	Ncnpa
djeteta	dijete	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
100.	100.	Mdo
stavku	stavak	Ncmsl
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
neslaganju	neslaganje	Ncnsl
roditelja	roditelj	Ncmpg
o	o	Sl
odlukama	odluka	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
bitne	bitan	Agpfpny
za	za	Sa
dijete	dijete	Ncnsa
sukladno	sukladan	Agpnsay
članku	članak	Ncmsl
108.	108.	Mdo
stavku	stavak	Ncmsl

