precrtanih	precrtati	Appmpgy
te	te	Cc
broj	broj	Ncmsn
stranice	stranica	Ncfsg
s	sa	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
nastavlja	nastavljati	Vmr3s
upis	upis	Ncmsn
,	,	Z
a	a	Cc
na	na	Sl
kraju	kraj	Ncmsl
ispunjene	ispunjen	Agpfsgy
stranice	stranica	Ncfsg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
naznaka	naznaka	Ncfsn
prijenosa	prijenos	Ncmsg
uz	uz	Sa
broj	broj	Ncmsan
stranice	stranica	Ncfsg
,	,	Z
redni	redni	Agpmsny
broj	broj	Ncmsn
knjige	knjiga	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nastavlja	nastavljati	Vmr3s
upis	upis	Ncmsn
i	i	Cc
datum	datum	Ncmsan
prijenosa	prijenos	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
upisivanja	upisivanje	Ncnsg
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
,	,	Z
s	sa	Sg
dvije	dva	Mlcf-n
crvene	crven	Agpfsgy
kose	kosa	Ncfsg
crte	crta	Ncfpn
precrtavaju	precrtavati	Vmr3p
se	sebe	Px--sa
sve	sav	Agpfpny
stranice	stranica	Ncfpn
u	u	Sa
koje	koji	Pi-nsa
su	biti	Var3p
upisani	upisati	Appmpny
podaci	podatak	Ncmpn
o	o	Sl
udruzi	udruga	Ncfsl
.	.	Z

3.	3.	Mdo
UPIS	upis	Ncmsn
UDRUGE	udruga	Ncfsg

Zahtjev	zahtjev	Ncmsn
za	za	Sa
upis	upis	Ncmsan

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Udruga	udruga	Ncfsn
se	sebe	Px--sa
upisuje	upisivati	Vmr3s
u	u	Sa
registar	registar	Ncmsan
na	na	Sa
zahtjev	zahtjev	Ncmsan
utemeljitelja	utemeljitelj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
upis	upis	Ncmsan
udruge	udruga	Ncfsg
u	u	Sa
registar	registar	Ncmsan
s	sa	Si
prilozima	prilog	Ncmpi
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
zahtjev	zahtjev	Ncmsn
)	)	Z
,	,	Z
podnosi	podnositi	Vmr3s
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
osoba	osoba	Ncfsn
ovlaštena	ovlastiti	Appfsny
za	za	Sa
zastupanje	zastupanje	Ncnsa
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
u	u	Sa
dva	dva	Mlc
istovjetna	istovjetan	Agpmsgn
primjerka	primjerak	Ncmsg
na	na	Sl
obrascu	obrazac	Ncmsl
broj	broj	Ncmsn
4.	4.	Mdo

(	(	Z
4	4	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
se	sebe	Px--sa
popunjava	popunjavati	Vmr3s
uredno	uredan	Agpnsny
i	i	Cc
čitko	čitak	Agpnsny
,	,	Z
a	a	Cc
upisani	upisati	Agpmpny
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
istovjetni	istovjetan	Agpmpny
odredbama	odredba	Ncfpd
statuta	statut	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
odlukama	odluka	Ncfpl
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Zahtjevu	zahtjev	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prilažu	prilagati	Vmr3p
se	sebe	Px--sa
:	:	Z

1	1	Mdc
)	)	Z
odluka	odluka	Ncfsn
o	o	Sl
utemeljenju	utemeljenje	Ncnsl
,	,	Z

2	2	Mdc
)	)	Z
zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
i	i	Cc
odlukama	odluka	Ncfpl
utemeljiteljske	utemeljiteljski	Agpfsgy
skupštine	skupština	Ncfsg
,	,	Z

3	3	Mdc
)	)	Z
statut	statut	Ncmsan
,	,	Z

4	4	Mdc
)	)	Z
popis	popis	Ncmsan
utemeljitelja	utemeljitelj	Ncmpg
,	,	Z

5	5	Mdc
)	)	Z
odluka	odluka	Ncfsn
o	o	Sl
imenovanju	imenovanje	Ncnsl
osoba	osoba	Ncfpg
ovlaštenih	ovlašten	Agpfpgy
za	za	Sa
zastupanje	zastupanje	Ncnsa
,	,	Z

6	6	Mdc
)	)	Z
popis	popis	Ncmsan
članova	član	Ncmpg
izvršnog	izvršan	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Prilozi	prilog	Ncmpn
uz	uz	Sa
zahtjev	zahtjev	Ncmsan
podnose	podnositi	Vmr3p
se	sebe	Px--sa
u	u	Sl
izvorniku	izvornik	Ncmsl
ili	ili	Cc
ovjerenom	ovjeriti	Agpmsly
prijepisu	prijepis	Ncmsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Popis	popis	Ncmsn
utemeljitelja	utemeljitelj	Ncmpg
i	i	Cc
popis	popis	Ncmsan
članova	član	Ncmpg
izvršnog	izvršan	Agpnsgy
tijela	tijelo	Ncnsg
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
datum	datum	Ncmsn
rođenja	rođenje	Ncnsg
,	,	Z
OIB	OIB	Npmsn
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
strance	stranac	Ncmpa
broj	broj	Ncmsan
putovnice	putovnica	Ncfsg
i	i	Cc
ime	ime	Ncnsn
države	država	Ncfsg
koja	koji	Pi-fsn
ju	on	Pp3fsa
je	biti	Var3s
izdala	izdati	Vmp-sf
,	,	Z
prebivalište	prebivalište	Ncnsa
,	,	Z
odnosno	odnosni	Agpnsay
boravište	boravište	Ncnsa
i	i	Cc
vlastoručni	vlastoručan	Agpmsny
potpis	potpis	Ncmsn
navedenih	naveden	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
a	a	Cc
za	za	Sa
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
naziv	naziv	Ncmsn
,	,	Z
sjedište	sjedište	Ncnsa
i	i	Cc
OIB	OIB	Npmsn
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Popis	popis	Ncmsn
utemeljitelja	utemeljitelj	Ncmpg
prilaže	prilagati	Vmr3s
se	sebe	Px--sa
na	na	Sl
obrascu	obrazac	Ncmsl
broj	broj	Ncmsn
5.	5.	Mdo

(	(	Z
9	9	Mdc
)	)	Z
O	o	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
upis	upis	Ncmsan
udruge	udruga	Ncfsg
u	u	Sa
registar	registar	Ncmsan
,	,	Z
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
koje	koji	Pi-nsn
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z
datum	datum	Ncmsn
upisa	upis	Ncmsg
,	,	Z
registarski	registarski	Agpmsny
broj	broj	Ncmsn
pod	pod	Si
kojim	koji	Pi-msi
se	sebe	Px--sa
udruga	udruga	Ncfsn
upisuje	upisivati	Vmr3s
,	,	Z
naziv	naziv	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
skraćeni	skratiti	Appmsny
naziv	naziv	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
sjedište	sjedište	Ncnsn
,	,	Z
podatak	podatak	Ncmsn
djeluje	djelovati	Vmr3s
li	li	Qq
udruga	udruga	Ncfsn
u	u	Sl
jednoj	jedan	Mlcfsl
ili	ili	Cc
više	mnogo	Rgc
županija	županija	Ncfpg
ili	ili	Cc
na	na	Sl
teritoriju	teritorij	Ncmsl
cijele	cijel	Agpfsgy
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
osoba	osoba	Ncfpg
ovlaštenih	ovlašten	Agpmpgy
za	za	Sa
zastupanje	zastupanje	Ncnsa
.	.	Z

4.	4.	Mdo
PRIJAVA	prijava	Ncfsn
PROMJENE	promjena	Ncfsg
PODATAKA	podatak	Ncmpg
I	i	Cc
PRESTANKA	prestanak	Ncmsg
DJELOVANJA	djelovanje	Ncnsg

Prijava	prijava	Ncfsn
promjene	promjena	Ncfsg
podataka	podatak	Ncmpg

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
registar	registar	Ncmsan
se	sebe	Px--sa
mora	morati	Vmr3s
prijaviti	prijaviti	Vmn
svaka	svaki	Pi-fsn
promjena	promjena	Ncfsn
naziva	naziv	Ncmsg
udruge	udruga	Ncfsg
,	,	Z
skraćenog	skratiti	Appmsgy
naziva	naziv	Ncmsg
udruge	udruga	Ncfsg
,	,	Z
sjedišta	sjedište	Ncnsg
,	,	Z
podatka	podatak	Ncmsg
djeluje	djelovati	Vmr3s
li	li	Qq
udruga	udruga	Ncfsn
u	u	Sl
jednoj	jedan	Mlcfsl
ili	ili	Cc
više	mnogo	Rgc
županija	županija	Ncfpg
ili	ili	Cc
na	na	Sl
teritoriju	teritorij	Ncmsl
cijele	cijel	Agpfsgy
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
naziva	naziv	Ncmsg
tijela	tijelo	Ncnsg
,	,	Z
osoba	osoba	Ncfsn
ovlaštenih	ovlašten	Agpmpgy
za	za	Sa
zastupanje	zastupanje	Ncnsa
te	te	Cc
ostale	ostali	Agpfpay
promjene	promjena	Ncfpa
statuta	statut	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Promjenu	promjena	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dužna	dužan	Agpfsny
je	biti	Var3s
prijaviti	prijaviti	Vmn
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
osoba	osoba	Ncfsn
ovlaštena	ovlastiti	Appfsny
za	za	Sa
zastupanje	zastupanje	Ncnsa
udruge	udruga	Ncfsg
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
trideset	trideset	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
nastanka	nastanak	Ncmsg
promjene	promjena	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prijava	prijava	Ncfsn
promjene	promjena	Ncfsg
podataka	podatak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
u	u	Sa
dva	dva	Mlc
istovjetna	istovjetan	Agpmsgn
primjerka	primjerak	Ncmsg
na	na	Sl
obrascu	obrazac	Ncmsl
broj	broj	Ncmsn
6.	6.	Mdo

(	(	Z
4	4	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
se	sebe	Px--sa
popunjava	popunjavati	Vmr3s
uredno	uredan	Agpnsny
i	i	Cc
čitko	čitak	Agpnsny
,	,	Z
a	a	Cc
upisani	upisati	Agpmpny
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
istovjetni	istovjetan	Agpmpny
odredbama	odredba	Ncfpd
statuta	statut	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
odlukama	odluka	Ncfpl
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Prijavi	prijaviti	Vmm2s
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prilažu	prilagati	Vmr3p
se	sebe	Px--sa
:	:	Z

1	1	Mdc
)	)	Z
zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
udruge	udruga	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
o	o	Sl
promjeni	promjena	Ncfsl
podataka	podatak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z

2	2	Mdc
)	)	Z
odluka	odluka	Ncfsn
o	o	Sl
promjeni	promjena	Ncfsl
podataka	podatak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Prilozi	prilog	Ncmpn
uz	uz	Sa
prijavu	prijava	Ncfsa
podnose	podnositi	Vmr3p
se	sebe	Px--sa
u	u	Sl
izvorniku	izvornik	Ncmsl
ili	ili	Cc
ovjerenom	ovjeriti	Agpmsly
prijepisu	prijepis	Ncmsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
O	o	Sl
upisu	upis	Ncmsl
u	u	Sa
registar	registar	Ncmsan
promjene	promjena	Ncfsg
podataka	podatak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
donosi	donositi	Vmr3s
rješenje	rješenje	Ncnsa
koje	koji	Pi-nsn
obvezno	obvezno	Rgp
sadrži	sadržati	Vmr3s
:	:	Z
datum	datum	Ncmsn
upisa	upis	Ncmsg
udruge	udruga	Ncfsg
,	,	Z
registarski	registarski	Agpmsny
broj	broj	Ncmsn
udruge	udruga	Ncfsg
,	,	Z
naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsa
udruge	udruga	Ncfsg
,	,	Z
datum	datum	Ncmsn
upisa	upis	Ncmsg
promjene	promjena	Ncfsg
te	te	Cc
podatak	podatak	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
mijenja	mijenjati	Vmr3s
i	i	Cc
novi	nov	Agpmsny
podatak	podatak	Ncmsn
.	.	Z

Prijava	prijava	Ncfsn
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
registar	registar	Ncmsan
se	sebe	Px--sa
mora	morati	Vmr3s
prijaviti	prijaviti	Vmn
prestanak	prestanak	Ncmsan
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
udruge	udruga	Ncfsg
odlukom	odluka	Ncfsi
statutom	statut	Ncmsi
ovlaštenog	ovlašten	Agpnsgy
tijela	tijelo	Ncnsg
udruge	udruga	Ncfsg
,	,	Z
prijavu	prijava	Ncfsa
za	za	Sa
upis	upis	Ncmsan
prestanka	prestanak	Ncmsg
djelovanja	djelovanje	Ncnsg
dužna	dužan	Agpfsny
je	biti	Var3s
podnijeti	podnijeti	Vmn
nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
osoba	osoba	Ncfpg

