navedene	navesti	Appfpny
i	i	Cc
/	/	Z
ili	ili	Cc
slična	sličan	Agpnpay
ispitivanja	ispitivanje	Ncnpa
koja	koji	Pi-npn
primjenjuju	primjenjivati	Vmr3p
druge	drugi	Mlofsg
tehničke	tehnički	Agpfpay
specifikacije	specifikacija	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
provjerila	provjeriti	Vmp-sf
sukladnost	sukladnost	Ncfsn
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
mjerodavnim	mjerodavan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
određuje	određivati	Vmr3s
broj	broj	Ncmsan
komada	komad	Ncmsg
opreme	oprema	Ncfsg
za	za	Sa
uzorke	uzorak	Ncmpa
te	te	Cc
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
provodi	provoditi	Vmr3s
,	,	Z
ili	ili	Cc
je	biti	Var3s
već	već	Rgp
provedeno	provesti	Appnsny
,	,	Z
potpuno	potpuno	Rgp
ili	ili	Cc
djelomično	djelomičan	Agpnsny
završno	završan	Agpnsny
ocjenjivanje	ocjenjivanje	Ncnsn
uzoraka	uzorak	Ncmpg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
.	.	Z

Ako	ako	Cs
uzorak	uzorak	Ncmsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
prihvatljivom	prihvatljiv	Agpfsiy
razinom	razina	Ncfsi
kvalitete	kvaliteta	Ncfsg
,	,	Z
tijelo	tijelo	Ncnsn
poduzima	poduzimati	Vmr3s
odgovarajuće	odgovarajući	Agpfpay
mjere	mjera	Ncfpa
.	.	Z

Svrha	svrha	Ncfsn
postupka	postupak	Ncmsg
prihvaćanja	prihvaćanje	Ncnsg
uzorkovanjem	uzorkovanje	Ncnsi
koji	koji	Pi-msn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
jest	jesti	Vmn
utvrditi	utvrditi	Vmn
odvija	odvijati	Vmr3s
li	li	Cs
se	sebe	Px--sa
postupak	postupak	Ncmsn
proizvodnje	proizvodnja	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
u	u	Sl
prihvatljivim	prihvatljiv	Agpfply
granicama	granica	Ncfpl
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
njezina	njezin	Ps3fsn
sukladnost	sukladnost	Ncfsn
.	.	Z

Ako	ako	Cs
ispitivanja	ispitivanje	Ncnsg
provodi	provoditi	Vmr3s
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
,	,	Z
proizvođač	proizvođač	Ncmsn
pod	pod	Si
odgovornošću	odgovornost	Ncfsi
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
proizvodnje	proizvodnja	Ncfsg
stavlja	stavljati	Vmr3s
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

3.	3.	Mdo
Završno	završan	Agpnsay
ocjenjivanje	ocjenjivanje	Ncnsa
i	i	Cc
provjere	provjera	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
izabrao	izabrati	Vmp-sm
proizvođač	proizvođač	Ncmsn
provodi	provoditi	Vmr3s
ili	ili	Cc
daje	davati	Vmr3s
provesti	provesti	Vmn
provjere	provjera	Ncfpa
u	u	Sl
nasumično	nasumično	Rgp
odabranim	odabrati	Agpmply
vremenskim	vremenski	Agpmply
razmacima	razmak	Ncmpi
koje	koji	Pi-mpa
odredi	odrediti	Vmr3s
to	taj	Pd-nsa
tijelo	tijelo	Ncnsa
,	,	Z
radi	radi	Sg
provjere	provjera	Ncfsg
kvalitete	kvaliteta	Ncfsg
završnog	završan	Agpnsgy
ocjenjivanja	ocjenjivanje	Ncnsg
i	i	Cc
unutarnjih	unutarnji	Agpfpgy
provjera	provjera	Ncfpg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
između	između	Sg
ostalog	ostali	Agpnsgy
njezinu	njezin	Ps3fsa
tehnološku	tehnološki	Agpfsay
složenost	složenost	Ncfsa
i	i	Cc
količinu	količina	Ncfsa
proizvodnje	proizvodnja	Ncfsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
proizvođač	proizvođač	Ncmsn
uistinu	uistinu	Rgp
provodi	provoditi	Vmr3s
završnu	završan	Agpfsay
ocjenu	ocjena	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkom	točka	Ncfsi
3.2.	3.2.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Prije	prije	Sg
stavljanja	stavljanje	Ncnsg
na	na	Sa
tržište	tržište	Ncnsa
pregledava	pregledavati	Vmr3s
se	sebe	Px--sa
odgovarajući	odgovarajući	Agpmsny
uzorak	uzorak	Ncmsn
gotove	gotov	Agpfsgy
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
koju	koji	Pi-fsa
to	taj	Pd-nsa
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
uzima	uzimati	Vmr3s
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
te	te	Cc
se	sebe	Px--sa
provode	provoditi	Vmr3p
odgovarajuća	odgovarajući	Agpnpay
ispitivanja	ispitivanje	Ncnpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
relevantnim	relevantan	Agpmpiy
dijelovima	dio	Ncmpi
usklađenih	uskladiti	Agpfpgy
norma	norma	Ncfpg
i	i	Cc
/	/	Z
ili	ili	Cc
slična	sličan	Agpnpay
ispitivanja	ispitivanje	Ncnpa
koja	koji	Pi-npn
primjenjuju	primjenjivati	Vmr3p
druge	drugi	Mlofsg
tehničke	tehnički	Agpfpay
specifikacije	specifikacija	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
provjerila	provjeriti	Vmp-sf
sukladnost	sukladnost	Ncfsn
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
s	sa	Si
mjerodavnim	mjerodavan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
određuje	određivati	Vmr3s
broj	broj	Ncmsan
komada	komad	Ncmsg
opreme	oprema	Ncfsg
za	za	Sa
uzorke	uzorak	Ncmpa
te	te	Cc
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
provodi	provoditi	Vmr3s
,	,	Z
ili	ili	Cc
je	biti	Var3s
već	već	Rgp
provedeno	provesti	Appnsny
,	,	Z
potpuno	potpuno	Rgp
ili	ili	Cc
djelomično	djelomičan	Agpnsny
završno	završan	Agpnsny
ocjenjivanje	ocjenjivanje	Ncnsn
uzoraka	uzorak	Ncmpg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
.	.	Z

Ako	ako	Cs
uzorak	uzorak	Ncmsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
prihvatljivom	prihvatljiv	Agpfsiy
razinom	razina	Ncfsi
kvalitete	kvaliteta	Ncfsg
,	,	Z
tijelo	tijelo	Ncnsn
poduzima	poduzimati	Vmr3s
odgovarajuće	odgovarajući	Agpfpay
mjere	mjera	Ncfpa
.	.	Z

Svrha	svrha	Ncfsn
postupka	postupak	Ncmsg
prihvaćanja	prihvaćanje	Ncnsg
uzorkovanjem	uzorkovanje	Ncnsi
koji	koji	Pi-msn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
jest	jesti	Vmn
utvrditi	utvrditi	Vmn
odvija	odvijati	Vmr3s
li	li	Cs
se	sebe	Px--sa
postupak	postupak	Ncmsn
proizvodnje	proizvodnja	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
u	u	Sl
prihvatljivim	prihvatljiv	Agpfply
granicama	granica	Ncfpl
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
njezina	njezin	Ps3fsn
sukladnost	sukladnost	Ncfsn
.	.	Z

Ako	ako	Cs
ispitivanja	ispitivanje	Ncnsg
provodi	provoditi	Vmr3s
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
,	,	Z
proizvođač	proizvođač	Ncmsn
pod	pod	Si
nadležnosti	nadležnost	Ncfpa
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
proizvodnje	proizvodnja	Ncfsg
stavlja	stavljati	Vmr3s
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

4.	4.	Mdo
Oznaka	oznaka	Ncfsn
CE	CE	Npmsn
i	i	Cc
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl

4.1	4.1	Agpmsny
Proizvođač	proizvođač	Ncmsn
stavlja	stavljati	Vmr3s
oznaku	oznaka	Ncfsa
CE	CE	Npfsg
na	na	Sa
svaku	svaki	Pi-fsa
pojedinu	pojedini	Agpfsay
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
ili	ili	Cc

