najkraćem	kratak	Agsmsly
ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
mora	morati	Vmr3s
uzeti	uzeti	Vmn
uzorke	uzorak	Ncmpa
krvi	krv	Ncfsg
životinje	životinja	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
pobacila	pobaciti	Vmp-sf
radi	radi	Sg
serološke	serološki	Agpfsgy
pretrage	pretraga	Ncfsg
(	(	Z
metodom	metoda	Ncfsi
ELISA	elisa	Ncfsn
)	)	Z
i	i	Cc
uzorak	uzorak	Ncmsan
brisa	bris	Ncmsg
rodnice	rodnica	Ncfsg
ili	ili	Cc
organa	organ	Ncmpg
fetusa	fetus	Ncmpg
ili	ili	Cc
posteljice	posteljica	Ncfsg
u	u	Sa
svrhu	svrha	Ncfsa
dokaza	dokaz	Ncmpg
uzročnika	uzročnik	Ncmpg
molekularnom	molekularan	Agpfsiy
metodom	metoda	Ncfsi
(	(	Z
PCR	PCR	Npmsn
ili	ili	Cc
real-time	real-time	Agpmsny
PCR	PCR	Npmsn
)	)	Z
.	.	Z

Potvrda	potvrda	Ncfsn
bolesti	bolest	Ncfpg
u	u	Sl
stadu	stado	Ncnsl

Specifični	specifičan	Agpmsny
nalaz	nalaz	Ncmsn
bakterije	bakterija	Ncfsg
Chlamydophila	Chlamydophil	Npmsg
abortus	abortus	Ncmsan
molekularnom	molekularan	Agpfsiy
pretragom	pretraga	Ncfsi
smatra	smatrati	Vmr3s
se	sebe	Px--sa
potvrdom	potvrda	Ncfsi
infekcije	infekcija	Ncfsg
u	u	Sl
uzgoju	uzgoj	Ncmsl
.	.	Z

Mjere	mjera	Ncfpn
kontrole	kontrola	Ncfsg
i	i	Cc
suzbijanja	suzbijanje	Ncnsg
bolesti	bolest	Ncfsg

Enzootski	enzootski	Agpmsny
pobačaj	pobačaj	Ncmsn
ovaca	ovca	Ncfpg
uzrokuje	uzrokovati	Vmr3s
bakterija	bakterija	Ncfsn
Chlamydophila	Chlamydophil	Npmsg
(	(	Z
C.	C.	Y
)	)	Z
abortus	abortus	Ncmsan
.	.	Z

Za	za	Sa
bolest	bolest	Ncfsa
je	biti	Var3s
karakterističan	karakterističan	Agpmsnn
pobačaj	pobačaj	Ncmsn
u	u	Sl
kasnoj	kasan	Agpfsly
fazi	faza	Ncfsl
graviditeta	graviditet	Ncmsg
,	,	Z
nakon	nakon	Sg
90	90	Mdc
dana	dan	Ncmpg
gestacije	gestacija	Ncfsg
,	,	Z
mogući	moguć	Agpmpny
su	biti	Var3p
i	i	Cc
protrahirani	protrahiran	Agpmpny
pobačaji	pobačaj	Ncmpn
s	sa	Si
posljedičnim	posljedičan	Agpnsiy
uginućem	uginuće	Ncnsi
avitalne	avitalan	Agpfsgy
janjadi	janje	Ncfsg
.	.	Z

Bolest	bolest	Ncfsn
se	sebe	Px--sa
u	u	Sa
čisti	čist	Agpmsayn
uzgoj	uzgoj	Ncmsan
unosi	unositi	Vmr3s
uvođenjem	uvođenje	Ncnsi
kliconoša	kliconoša	Ncmsn
što	što	Pi3n-n
rezultira	rezultirati	Vmr3s
u	u	Sl
prvoj	prvi	Mlofsl
godini	godina	Ncfsl
manjim	mali	Agcmsiy
brojem	broj	Ncmsi
pobačaja	pobačaj	Ncmsg
a	a	Cc
sljedeće	sljedeći	Agpfsgy
sezone	sezona	Ncfsg
slijedi	slijediti	Vmr3s
tzv.	tzv.	Y
»	»	Z
oluja	oluja	Ncfsn
pobačaja	pobačaj	Ncmsg
«	«	Z
koja	koji	Pi-fsn
može	moći	Vmr3s
zahvatiti	zahvatiti	Vmn
oko	oko	Rgp
30	30	Mdc
%	%	Z
ovaca	ovca	Ncfpg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
u	u	Sl
lohijama	lohija	Ncmpl
izlučuje	izlučivati	Vmr3s
veliki	velik	Agpmsayn
broj	broj	Ncmsan
uzročnika	uzročnik	Ncmpg
.	.	Z

Najznačajniji	značajan	Agsmsny
izvor	izvor	Ncmsn
zaraze	zaraza	Ncfsg
za	za	Sa
stado	stado	Ncnsa
je	biti	Var3s
kontakt	kontakt	Ncmsn
s	sa	Si
pobačenim	pobaciti	Agpmsiy
materijalom	materijal	Ncmsi
(	(	Z
posteljica	posteljica	Ncfsn
i	i	Cc
lohije	lohija	Ncfsg
)	)	Z
.	.	Z

Nakon	nakon	Sg
pobačaja	pobačaj	Ncmsg
,	,	Z
u	u	Sl
sljedećim	sljedeći	Agpfply
sezonama	sezona	Ncfpl
ovce	ovca	Ncfpn
mogu	moći	Vmr3p
normalno	normalno	Rgp
koncipirati	koncipirati	Vmn
,	,	Z
a	a	Cc
uzročnik	uzročnik	Ncmsn
više	mnogo	Rgc
nije	biti	Var3s
prisutan	prisutan	Agpmsnn
u	u	Sl
sadržaju	sadržaj	Ncmsl
maternice	maternica	Ncfsg
.	.	Z

Kronično	kronično	Rgp
inficirane	inficirati	Agpfpay
ovce	ovca	Ncfpa
(	(	Z
kliconoše	kliconoša	Ncmsg
)	)	Z
uzročnika	uzročnik	Ncmpg
izlučuju	izlučivati	Vmr3p
i	i	Cc
vaginalnim	vaginalan	Agpmsiy
ekskretima	ekskret	Ncmpd
tijekom	tijekom	Sg
estrusa	estrus	Ncmsg
.	.	Z

Kontrolu	kontrola	Ncfsa
bolesti	bolest	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
odvajanjem	odvajanje	Ncnsi
i	i	Cc
terapijom	terapija	Ncfsi
inficiranih	inficirati	Agpfpgy
ovaca	ovca	Ncfpg
i	i	Cc
janjadi	janje	Ncnsg
oksitetraciklinima	oksitetraciklinimo	Ncnsg
produženog	produžiti	Agpnsgy
djelovanja	djelovanje	Ncnsg
(	(	Z
20	20	Mdc
mg	mg	Y
/	/	Z
kg	kg	Y
;	;	Z
kroz	kroz	Sa
2	2	Mdc
tjedna	tjedan	Ncmsg
)	)	Z
,	,	Z
adekvatnom	adekvatan	Agpfsiy
higijenom	higijena	Ncfsi
prostora	prostor	Ncmsg
za	za	Sa
janjenje	janjenje	Ncnsa
i	i	Cc
pobačenog	pobaciti	Agpmsgy
materijala	materijal	Ncmsg
.	.	Z

U	u	Sl
cilju	cilj	Ncmsl
sprečavanja	sprečavanje	Ncnsg
pobačaja	pobačaj	Ncmsg
u	u	Sl
stadu	stado	Ncnsl
,	,	Z
preporuča	preporučati	Vmr3s
se	sebe	Px--sa
oksitetracikline	oksitetracikline	Xf
produženog	produžiti	Agpnsgy
djelovanja	djelovanje	Ncnsg
dati	dati	Vmn
što	što	Qo
prije	prije	Rgp
nakon	nakon	Sg
95.	95.	Mdo
dana	dan	Ncmsg
bređosti	bređost	Ncfsg
i	i	Cc
ponoviti	ponoviti	Vmn
aplikaciju	aplikacija	Ncfsa
2	2	Mdc
tjedna	tjedan	Ncmsg
nakon	nakon	Sg
prvog	prvi	Agpnsgy
davanja	davanje	Ncnsg
.	.	Z

Dugoročno	dugoročno	Rgp
(	(	Z
ovisi	ovisiti	Vmr3s
o	o	Sl
epizootiološkoj	epizootiološki	Agpfsly
situaciji	situacija	Ncfsl
,	,	Z
raširenosti	raširenost	Ncfsl
bolesti	bolest	Ncfsg
itd.	itd.	Y
)	)	Z
kontrolu	kontrola	Ncfsa
bolesti	bolest	Ncfsg
trebalo	trebati	Vmp-sn
bi	biti	Vaa3s
provoditi	provoditi	Vmn
kombinacijom	kombinacija	Ncfsi
cijepljenja	cijepljenje	Ncnsg
,	,	Z
zoohigijenskih	zoohigijenski	Agpfpgy
i	i	Cc
stočarskih	stočarski	Agpfpgy
mjera	mjera	Ncfpg
(	(	Z
servis	servis	Ncmsn
stada	stado	Ncnsg
jedinkama	jedinka	Ncfpi
iz	iz	Sg
slobodnih	slobodan	Agpmpgy
uzgoja	uzgoj	Ncmpg
)	)	Z
.	.	Z

Terapija	terapija	Ncfsn
tetraciklinima	tetraciklin	Ncmpi
kao	kao	Cs
i	i	Qo
cijepljenje	cijepljenje	Ncnsa
značajno	značajno	Rgp
smanjuju	smanjivati	Vmr3p
broj	broj	Ncmsan
pobačaja	pobačaj	Ncmpg
,	,	Z
ali	ali	Cc
u	u	Sl
potpunosti	potpunost	Ncfsl
ne	ne	Qz
rješavaju	rješavati	Vmr3p
problem	problem	Ncmsan
širenja	širenje	Ncnsg
uzročnika	uzročnik	Ncmsg
prilikom	prilikom	Sg
janjenja	janjenje	Ncnsg
(	(	Z
sporadičnih	sporadičan	Agpmpgy
pobačaja	pobačaj	Ncmpg
)	)	Z
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
trenutno	trenutan	Agpnsay
stanje	stanje	Ncnsa
po	po	Sl
pitanju	pitanje	Ncnsl
navedene	naveden	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
veterinarski	veterinarski	Agpmsny
inspektor	inspektor	Ncmsn
ne	ne	Qz
određuje	određivati	Vmr3s
mjere	mjera	Ncfpa
kontrole	kontrola	Ncfsg
ili	ili	Cc
iskorjenjivanja	iskorjenjivanje	Ncnsg
bolesti	bolest	Ncfsg
već	već	Cc
je	biti	Var3s
obveza	obveza	Ncfsn
ovlaštenog	ovlašten	Agpmsgy
veterinara	veterinar	Ncmsg
da	da	Cs
upozna	upoznati	Vmr3s
posjednika	posjednik	Ncmsay
o	o	Sl
mogućnostima	mogućnost	Ncfpl
kontrole	kontrola	Ncfsg
i	i	Cc
preventive	preventiva	Ncfsg
s	sa	Si
ciljem	cilj	Ncmsi
uzgoja	uzgoj	Ncmsg
zdravog	zdrav	Agpnsgy
stada	stado	Ncnsg
s	sa	Si
punim	pun	Agpmsiy
proizvodnim	proizvodni	Agpmsiy
kapacitetom	kapacitet	Ncmsi
.	.	Z

Napomena	napomena	Ncfsn
:	:	Z
Bolest	bolest	Ncfsn
je	biti	Var3s
zoonoza	zoonoze	Ncfpg

Preventiva	preventiva	Ncfsn

Uz	uz	Sa
cijepljenje	cijepljenje	Ncnsa
važno	važan	Agpnsny
je	biti	Var3s
držanje	držanje	Ncnsn
i	i	Cc
hranjenje	hranjenje	Ncnsa
životinja	životinja	Ncfpg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
živih	živ	Agpmpgy
vakcina	vakcin	Ncmpg
,	,	Z
u	u	Sl
žena	žena	Ncfsn
je	biti	Var3s
potreban	potreban	Agpmsnn
oprez	oprez	Ncmsn
u	u	Sl
rukovanju	rukovanje	Ncnsl
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
trudnoću	trudnoća	Ncfsa
.	.	Z

Liječenje	liječenje	Ncnsn

VMP	vmi	Agpnsny
za	za	Sa
intramuskularnu	intramuskularan	Agpfsay
primjenu	primjena	Ncfsa
koji	koji	Pi-mpn
sadrže	sadržati	Vmr3p
oksitetraciklin	oksitetraciklin	Ncmsan
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
uputom	uputa	Ncfsi
proizvođača	proizvođač	Ncmsg
.	.	Z

14.	14.	Mdo

LEPTOSPIROZA	leptospiroza	Ncfsn
KOPITARA	kopitar	Ncmpg
I	i	Cc
INFEKCIOZNA	infekciozni	Agpfsny
ANEMIJA	anemija	Ncfsn
KOPITARA	kopitar	Ncmpg
(	(	Z
IAK	IAK	Npmsn
)	)	Z

Ovlašteni	ovlašten	Agpmsny
veterinar	veterinar	Ncmsn
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
uzorkovanje	uzorkovanje	Ncnsa
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
osigurati	osigurati	Vmn
sljedivost	sljedivost	Ncfsa
svakog	svaki	Pi-msg
individualnog	individualan	Agpmsgy
uzorka	uzorak	Ncmsg
krvi	krv	Ncfsg
kopitara	kopitar	Ncmpg
na	na	Sa
način	način	Ncmsan
propisan	propisan	Agpmsann
Procedurom	procedura	Ncfsi
br.	br.	Y
20	20	Mdc
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/679	01/679	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0568	10/0568	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
od	od	Sg
21.	21.	Mdo
veljače	veljača	Ncfsg
2014.	2014.	Mdo
godine	godina	Ncfsg
.	.	Z
)	)	Z
.	.	Z

Vezano	vezano	Rgp
na	na	Sa
provedbu	provedba	Ncfsa
Dijela	dio	Ncmsg
III	III	Mrc
,	,	Z
točke	točka	Ncfpn
4.	4.	Mdo
,	,	Z
stavka	stavka	Ncfsn
4.	4.	Mdo
podtočke	podtočka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
i	i	Cc
točke	točka	Ncfsg
5.	5.	Mdo
,	,	Z
stavka	stavak	Ncmsg
5.	5.	Mdo
,	,	Z
podtočke	podtočka	Ncfpa
(	(	Z
a	a	Cc
)	)	Z
Naredbe	naredba	Ncfpn
,	,	Z
informacija	informacija	Ncfpg
o	o	Sl
izvornim	izvoran	Agpfply
hrvatskim	hrvatski	Agpfply
pasminama	pasmina	Ncfpl
kopitara	kopitar	Ncmpg
(	(	Z
konja	konj	Ncmpg
i	i	Cc
magaraca	magarac	Ncmpg
)	)	Z

