učinkovitog	učinkovit	Agpmsgy
cijenu	cijena	Ncfsa
prema	prema	Sl
uvjetima	uvjet	Ncmpl
oglasa	oglas	Ncmpg
o	o	Sl
robi	roba	Ncfsl
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
provodi	provoditi	Vmr3s
e-dražba	e-dražba	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
E-dražba	e-dražba	Ncfsn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
prema	prema	Sl
pravilima	pravilo	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
objavljuju	objavljivati	Vmr3p
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Carinske	carinski	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Carinska	carinski	Agpfsny
uprava	uprava	Ncfsn
može	moći	Vmr3s
ovlastiti	ovlastiti	Vmn
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
registrirana	registrirati	Appfsny
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
zastupanja	zastupanje	Ncnsg
u	u	Sl
prodaji	prodaja	Ncfsl
pokretnina	pokretnina	Ncfpg
da	da	Cs
u	u	Sa
ime	ime	Ncnsa
i	i	Cc
za	za	Sa
račun	račun	Ncmsan
Carinske	carinski	Agpfsgy
uprave	uprava	Ncfsg
provede	provesti	Vmr3s
e-dražbu	e-dražba	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pravila	pravilo	Ncnpn
te	te	Cc
uvjeti	uvjet	Ncmpn
i	i	Cc
način	način	Ncmsan
e-dražbe	e-dražba	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrđuju	utvrđivati	Vmr3p
se	sebe	Px--sa
ugovorom	ugovor	Ncmsi
između	između	Sg
Carinske	carinski	Agpfsgy
uprave	uprava	Ncfsg
i	i	Cc
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
registrirana	registrirati	Appfsny
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
zastupanja	zastupanje	Ncnsg
u	u	Sl
prodaji	prodaja	Ncfsl
pokretnina	pokretnina	Ncfpg
.	.	Z

ODJELJAK	odjeljak	Ncmsn
4.	4.	Mdo
JAVNI	javan	Agpmsny
POZIV	poziv	Ncmsn
ZA	za	Sa
PRIKUPLJANJE	prikupljanje	Ncnsa
PISANIH	pisan	Agpfpgy
PONUDA	ponuda	Ncfpg

Jedinstveno	jedinstven	Agpnsny
pravilo	pravilo	Ncnsn
izbora	izbor	Ncmpg

Članak	članak	Ncmsn
26.	26.	Mdo

Javnim	javan	Agpmsiy
pozivom	poziv	Ncmsi
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
ovoga	ovaj	Pd-msg
Odjeljka	odjeljak	Ncmsg
:	:	Z
prikupljanje	prikupljanje	Ncnsn
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
)	)	Z
roba	roba	Ncfsn
se	sebe	Px--sa
prodaje	prodaja	Ncfsg
ponuditelju	ponuditelj	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
putem	put	Sg
davanja	davanje	Ncnsg
pisane	pisan	Agpfsgy
ponude	ponuda	Ncfsg
ponudio	ponuditi	Vmp-sm
najvišu	visok	Ncfsa
cijenu	cijena	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
uvjetima	uvjet	Ncmpi
sadržanim	sadržan	Agpmpiy
u	u	Sl
oglasu	oglas	Ncmsl
s	sa	Si
javnim	javan	Agpmsiy
pozivom	poziv	Ncmsi
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
.	.	Z

Oglas	oglas	Ncmsn
s	sa	Si
javnim	javan	Agpmsiy
pozivom	poziv	Ncmsi
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Oglas	oglas	Ncmsn
s	sa	Si
javnim	javan	Agpmsiy
pozivom	poziv	Ncmsi
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
ovog	ovaj	Pd-msg
Odjeljka	odjeljak	Ncmsg
:	:	Z
oglas	oglas	Ncmsn
)	)	Z
se	sebe	Px--sa
objavljuje	objavljivati	Vmr3s
,	,	Z
najkasnije	kasno	Rgs
osam	osam	Mlc
dana	dan	Ncmpg
prije	prije	Sg
dana	dan	Ncmsg
određenog	odrediti	Appmsgy
za	za	Sa
javno	javan	Agpnsay
otvaranje	otvaranje	Ncnsa
ponuda	ponuda	Ncfpg
,	,	Z
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Carinske	carinski	Agpfsgy
uprave	uprava	Ncfsg
te	te	Cc
po	po	Sl
procjeni	procjena	Ncfsl
i	i	Cc
u	u	Sl
dnevnom	dnevni	Agpmsly
tisku	tisak	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Oglas	oglas	Ncmsn
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsayn
broj	broj	Ncmsan
i	i	Cc
godina	godina	Ncfpg
pod	pod	Si
kojim	koji	Pi-msi
se	sebe	Px--sa
oglašeno	oglasiti	Appnsny
prikupljanje	prikupljanje	Ncnsn
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
vodi	voditi	Vmr3s
u	u	Sl
područnom	područni	Agpmsly
carinskom	carinski	Agpmsly
uredu	ured	Ncmsl

2.	2.	Mdo
predmet	predmet	Ncmsn
prikupljanja	prikupljanje	Ncnsg
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
(	(	Z
naziv	naziv	Ncmsn
,	,	Z
vrsta	vrsta	Ncfsn
,	,	Z
količina	količina	Ncfsn
,	,	Z
tehnički	tehnički	Agpmsny
i	i	Cc
drugi	drugi	Mlompn
osnovni	osnovan	Agpmpny
podaci	podatak	Ncmpn
o	o	Sl
robi	roba	Ncfsl
te	te	Cc
opće	opći	Agpnsay
stanje	stanje	Ncnsa
robe	roba	Ncfsg
)	)	Z

3.	3.	Mdo
iznos	iznos	Ncmsn
početne	početan	Agpfsgy
prodajne	prodajni	Agpfsgy
cijene	cijena	Ncfsg
robe	roba	Ncfsg
,	,	Z
s	sa	Si
naznakom	naznaka	Ncfsi
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
iznosu	iznos	Ncmsl
bez	bez	Sg
davanja	davanje	Ncnsg
koja	koji	Pi-npn
se	sebe	Px--sa
plaćaju	plaćati	Vmr3p
pri	pri	Sl
uvozu	uvoz	Ncmsl
robe	roba	Ncfsg

4.	4.	Mdo
mogućnosti	mogućnost	Ncfpg
sadržane	sadržati	Appfpny
u	u	Sl
članku	članak	Ncmsl
12.	12.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
te	te	Cc
vrste	vrsta	Ncfsg
davanja	davanje	Ncnsg
koja	koji	Pi-fsn
se	sebe	Px--sa
plaćaju	plaćati	Vmr3p
pri	pri	Sl
puštanju	puštanje	Ncnsl
robe	roba	Ncfsg
u	u	Sa
slobodan	slobodan	Agpmsann
promet	promet	Ncmsan
(	(	Z
ako	ako	Cs
su	biti	Var3p
ispunjeni	ispuniti	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
uvoz	uvoz	Ncmsan
robe	roba	Ncfsg
)	)	Z

5.	5.	Mdo
određenje	određenje	Ncnsn
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
mogu	moći	Vmr3p
predati	predati	Vmn
ponudu	ponuda	Ncfsa
sukladno	sukladno	Rgp
člancima	članak	Ncmpd
13.	13.	Mdo
i	i	Cc
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

6.	6.	Mdo
visinu	visina	Ncfsa
i	i	Cc
način	način	Ncmsan
polaganja	polaganje	Ncnsg
jamčevine	jamčevina	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
18.	18.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
stavku	stavak	Ncmsl
2.	2.	Mdo
točki	točka	Ncfpg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

7.	7.	Mdo
mjesto	mjesto	Ncnsa
i	i	Cc
vrijeme	vrijeme	Ncnsn
predviđeno	predvidjeti	Agpnsny
za	za	Sa
razgledavanje	razgledavanje	Ncnsa
robe	roba	Ncfsg

8.	8.	Mdo
adresu	adresa	Ncfsa
za	za	Sa
davanje	davanje	Ncnsa
ponude	ponuda	Ncfsg

9.	9.	Mdo
uputu	uputa	Ncfsa
o	o	Sl
načinu	način	Ncmsl
podnošenja	podnošenje	Ncnsg
ponude	ponuda	Ncfsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
28.	28.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

10.	10.	Mdo
rok	rok	Ncmsn
za	za	Sa
davanje	davanje	Ncnsa
ponude	ponuda	Ncfsg
(	(	Z
datum	datum	Ncmsan
i	i	Cc
sat	sat	Ncmsan
do	do	Sg
kojeg	koji	Pi-nsg
ponuda	ponuda	Ncfsn
mora	morati	Vmr3s
pristići	pristići	Vmn
u	u	Sa
područni	područni	Agpmsayn
carinski	carinski	Agpmsayn
ured	ured	Ncmsan
)	)	Z
,	,	Z
uz	uz	Sa
upozorenje	upozorenje	Ncnsa
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
29.	29.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

11.	11.	Mdo
mjesto	mjesto	Ncnsa
,	,	Z
datum	datum	Ncmsn
i	i	Cc
sat	sat	Ncmsan
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
ponuda	ponuda	Ncfpg

12.	12.	Mdo
navod	navod	Ncmsn
o	o	Sl
mogućnosti	mogućnost	Ncfsl
prisustvovanja	prisustvovanje	Ncnsg
ponuditelja	ponuditelj	Ncmpg
kod	kod	Sg
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
ponuda	ponuda	Ncfpg
,	,	Z
koja	koji	Pi-fsn
prisutnost	prisutnost	Ncfsn
je	biti	Var3s
uvjet	uvjet	Ncmsan
prava	pravo	Ncnsg
izjavljivanja	izjavljivanje	Ncnsg
prigovora	prigovor	Ncmsg
na	na	Sa
tijek	tijek	Ncmsan
javnog	javan	Agpnsgy
otvaranja	otvaranje	Ncnsg
ponuda	ponuda	Ncfpg

13.	13.	Mdo
kriterij	kriterij	Ncmsn
za	za	Sa
odabir	odabir	Ncmsan
najpovoljnije	povoljan	Agsfsgy
ponude	ponuda	Ncfsg

14.	14.	Mdo
način	način	Ncmsan
obavještavanja	obavještavanje	Ncnsg
ponuditelja	ponuditelj	Ncmpg
o	o	Sl
provedbi	provedba	Ncfsl
prikupljanja	prikupljanje	Ncnsg
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
i	i	Cc
odabiru	odabirati	Vmr3p
najpovoljnije	povoljan	Agsfpny
ponude	ponuda	Ncfpn

15.	15.	Mdo
rok	rok	Ncmsn
i	i	Cc
način	način	Ncmsan
plaćanja	plaćanje	Ncnsg
te	te	Cc
uvjeti	uvjet	Ncmpn
preuzimanja	preuzimanje	Ncnsg
robe	roba	Ncfsg

16.	16.	Mdo
druge	drugi	Mlompa
podatke	podatak	Ncmpa
bitne	bitan	Agpfpny
za	za	Sa
uspješnu	uspješan	Agpfsay
provedbu	provedba	Ncfsa
prikupljanja	prikupljanje	Ncnsg
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
(	(	Z
prodaja	prodaja	Ncfsn
robe	roba	Ncfsg
po	po	Sl
modelu	model	Ncmsl
»	»	Z
viđeno-kupljeno	viđeno-kupljen	Agpnsny
«	«	Z
što	što	Pi3n-a
isključuje	isključivati	Vmr3s
sve	sav	Agpmpay
naknadne	naknadan	Agpmpay
prigovore	prigovor	Ncmpa
kupca	kupac	Ncmsg
po	po	Sl
pitanju	pitanje	Ncnsl
kvalitete	kvaliteta	Ncfsg
i	i	Cc
eventualnih	eventualan	Agpmpgy
nedostataka	nedostatak	Ncmpg
robe	roba	Ncfsg
,	,	Z
navod	navod	Ncmsn
da	da	Cs
se	sebe	Px--sa
roba	roba	Ncfsn
prodaje	prodavati	Vmr3s
bez	bez	Sg
garancije	garancija	Ncfsg
,	,	Z
obveza	obveza	Ncfsn
kupca	kupac	Ncmsg
da	da	Cs
ishodi	ishoditi	Vmr3s
potrebne	potreban	Agpfpay
dozvole	dozvola	Ncfpa
i	i	Cc
druge	drugi	Mlofpn
isprave	isprava	Ncfsg
i	i	Cc
sl.	sl.	Y
)	)	Z

17.	17.	Mdo
uputu	uputa	Ncfsa
o	o	Sl
tome	taj	Pd-nsl
gdje	gdje	Cs
se	sebe	Px--sa
mogu	moći	Vmr3p
dobiti	dobiti	Vmn
ostale	ostali	Agpfpay
informacije	informacija	Ncfpa
o	o	Sl
prikupljanju	prikupljanje	Ncnsl
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
.	.	Z

Pisana	pisati	Appfsny
ponuda	ponuda	Ncfsn

Članak	članak	Ncmsn
28.	28.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pisana	pisan	Agpfsny
ponuda	ponuda	Ncfsn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
u	u	Sl
izvorniku	izvornik	Ncmsl
,	,	Z
u	u	Sl
omotnici	omotnica	Ncfsl
zatvorenoj	zatvoren	Agpfsly
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
drugoj	drugi	Agpfsdy
osobi	osoba	Ncfsd
onemogućuje	onemogućivati	Vmr3s
uvid	uvid	Ncmsan
u	u	Sa
njezin	njezin	Agpmsayn
sadržaj	sadržaj	Ncmsan
i	i	Cc
s	sa	Si
naznakom	naznaka	Ncfsi
»	»	Z
PONUDA	ponuda	Ncfsn
–	–	Z
NE	ne	Qz
OTVARATI	otvarati	Vmn
,	,	Z
za	za	Sa
Javni	javan	Agpmsayn
poziv	poziv	Ncmsan
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
pisanih	pisan	Agpfpgy
ponuda	ponuda	Ncfpg
broj	broj	Ncmsn
:	:	Z
____	____	I
/	/	Z
____	____	Z
«	«	Z
,	,	Z
na	na	Sa
adresu	adresa	Ncfsa
označenu	označiti	Appfsay
u	u	Sl
oglasu	oglas	Ncmsl
,	,	Z
najkasnije	kasno	Rgs
do	do	Sg
trenutka	trenutak	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
oglasu	oglas	Ncmsl
određen	odrediti	Appmsnn
za	za	Sa
davanje	davanje	Ncnsa
ponude	ponuda	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ponuda	ponuda	Ncfsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

1.	1.	Mdo
podatke	podatak	Ncmpa
o	o	Sl
ponuditelju	ponuditelj	Ncmsl
(	(	Z
naziv	naziv	Ncmsn
odnosno	odnosni	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
,	,	Z
adresa	adresa	Ncfsn
,	,	Z
OIB	OIB	Npmsn
,	,	Z

