Hrvatske	Hrvatska	Npfsg
pogodnom	pogodan	Agpmsly
za	za	Sa
učitavanje	učitavanje	Ncnsa
u	u	Sa
modul	modul	Ncmsan
ePlanovi	eplanova	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Grafički	grafički	Agpmsny
dio	dio	Ncmsn
Plana	plan	Ncmsg
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
izrađuju	izrađivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
omogućava	omogućavati	Vmr3s
međusobno	međusoban	Agpnsay
preklapanje	preklapanje	Ncnsa
slojeva	sloj	Ncmpg
Plana	plan	Ncmsg
i	i	Cc
preklapanje	preklapanje	Ncnsa
slojeva	sloj	Ncmpg
drugih	drugi	Mlompg
prostornih	prostoran	Agpmpgy
planova	plan	Ncmpg
izrađenih	izraditi	Appmpgy
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
.	.	Z

Odluka	odluka	Ncfsn
o	o	Sl
donošenju	donošenje	Ncnsl
Plana	plan	Ncmsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
za	za	Sa
provedbu	provedba	Ncfsa
Plana	plan	Ncmsg
izrađuju	izrađivati	Vmr3p
se	sebe	Px--sa
u	u	Sl
modulu	modul	Ncmsl
ePlanovi	ePlanova	Npfsl
preuzimanjem	preuzimanje	Ncnsi
teksta	tekst	Ncmsg
i	i	Cc
podataka	podatak	Ncmpg
unesenih	unijeti	Appmpgy
u	u	Sa
atributne	atributni	Agpfpay
tablice	tablica	Ncfpa
prikazane	prikazati	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
–	–	Z
»	»	Z
Atributna	atributni	Agpfsny
tablica	tablica	Ncfsn
i	i	Cc
model	model	Ncmsn
podataka	podatak	Ncmpg
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tekstualnim	tekstualan	Agpmpdy
zapisima	zapis	Ncmpd
istovjetnih	istovjetan	Agpmpgy
uvjeta	uvjet	Ncmpg
provedbe	provedba	Ncfsg
zahvata	zahvat	Ncmpg
u	u	Sl
prostoru	prostor	Ncmsl
u	u	Sl
atributnim	atributni	Agpfply
tablicama	tablica	Ncfpl
pridružuje	pridruživati	Vmr3s
se	sebe	Px--sa
istovjetna	istovjetan	Agpfsny
oznaka	oznaka	Ncfsn
u	u	Sl
odgovarajućem	odgovarajući	Agpnsly
polju	polje	Ncnsl
atributnih	atributni	Agpfpgy
tablica	tablica	Ncfpg
.	.	Z

Obrazac	obrazac	Ncmsn
za	za	Sa
ovjeru	ovjera	Ncfsa
Plana	plan	Ncmsg

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
za	za	Sa
provedbu	provedba	Ncfsa
Plana	plan	Ncmsg
,	,	Z
svaki	svaki	Pi-msan
kartografski	kartografski	Agpmsayn
prikaz	prikaz	Ncmsan
Plana	Plan	Npmsg
i	i	Cc
obrazloženje	obrazloženje	Ncnsa
Plana	plan	Ncmsg
za	za	Sa
javnu	javan	Agpfsay
raspravu	rasprava	Ncfsa
sadrže	sadržati	Vmr3p
obrazac	obrazac	Ncmsan
za	za	Sa
ovjeru	ovjera	Ncfsa
Plana	plan	Ncmsg
(	(	Z
sastavnicu	sastavnica	Ncfsa
)	)	Z
prikazan	prikazati	Appmsnn
u	u	Sl
Prilogu	Prilog	Npmsl
IV	IV	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
–	–	Z
»	»	Z
Obrazac	obrazac	Ncmsn
za	za	Sa
ovjeru	ovjera	Ncfsa
Plana	plan	Ncmsg
(	(	Z
sastavnica	sastavnica	Ncfsn
)	)	Z
«	«	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obrazac	obrazac	Ncmsan
za	za	Sa
ovjeru	ovjera	Ncfsa
Plana	plan	Ncmsg
(	(	Z
sastavnica	sastavnica	Ncfsn
)	)	Z
stavlja	stavljati	Vmr3s
se	sebe	Px--sa
na	na	Sa
prvu	prvi	Mlofsa
stranu	strana	Ncfsa
odredbi	odredba	Ncfsl
za	za	Sa
provedbu	provedba	Ncfsa
Plana	plan	Ncmsg
,	,	Z
u	u	Sa
donji	donji	Agpmsayn
desni	desni	Agpmsayn
kut	kut	Ncmsan
svakog	svaki	Pi-msg
kartografskog	kartografski	Agpmsgy
prikaza	prikaz	Ncmsg
Plana	plan	Ncmsg
i	i	Cc
na	na	Sa
prvu	prvi	Mlofsa
stranu	strana	Ncfsa
obrazloženja	obrazloženje	Ncnsg
Plana	plan	Ncmsg
za	za	Sa
javnu	javan	Agpfsay
raspravu	rasprava	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Obrazac	obrazac	Ncmsan
za	za	Sa
ovjeru	ovjera	Ncfsa
Plana	plan	Ncmsg
(	(	Z
sastavnica	sastavnica	Ncfsn
)	)	Z
popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
prijenosom	prijenos	Ncmsi
metapodataka	metapodatak	Ncmpg
unesenih	unijeti	Appmpgy
u	u	Sl
modulu	modul	Ncmsl
ePlanovi	ePlanova	Npfsl
.	.	Z

Tumač	tumač	Ncmsn
planskog	planski	Agpnsgy
znakovlja	znakovlje	Ncnsg

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Svaki	svaki	Pi-msn
kartografski	kartografski	Agpmsny
prikaz	prikaz	Ncmsn
Plana	plan	Ncmsg
sadrži	sadržati	Vmr3s
iznad	iznad	Sg
obrasca	obrazac	Ncmsg
za	za	Sa
ovjeru	ovjera	Ncfsa
Plana	plan	Ncmsg
(	(	Z
sastavnice	sastavnica	Ncfpn
)	)	Z
tumač	tumač	Ncmsn
planskog	planski	Agpnsgy
znakovlja	znakovlje	Ncnsg
,	,	Z
grafičko	grafički	Agpnsny
mjerilo	mjerilo	Ncnsn
i	i	Cc
oznaku	oznaka	Ncfsa
orijentacije	orijentacija	Ncfsg
prema	prema	Sl
stranama	strana	Ncfpl
svijeta	svijet	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tumač	tumač	Ncmsn
planskog	planski	Agpnsgy
znakovlja	znakovlje	Ncnsg
u	u	Sl
kartografskom	kartografski	Agpmsly
prikazu	prikaz	Ncmsl
Plana	plan	Ncmsg
stvara	stvarati	Vmr3s
se	sebe	Px--sa
putem	put	Sg
modula	modul	Ncmsg
ePlanovi	ePlanova	Npfsd
i	i	Cc
prikazuje	prikazivati	Vmr3s
sve	sav	Agpfpay
teme	tema	Ncfpa
korištene	koristiti	Appfpay
pri	pri	Sl
izradi	izrada	Ncfsl
kartografskog	kartografski	Agpmsgy
prikaza	prikaz	Ncmsg
.	.	Z

Označavanje	označavanje	Ncnsn
kartografskih	kartografski	Agpmpgy
prikaza	prikaz	Ncmpg
Plana	plan	Ncmsg

Članak	članak	Ncmsn
22.	22.	Mdo

Kartografski	kartografski	Agpmpny
prikazi	prikaz	Ncmpn
Plana	Plan	Npmsg
označavaju	označavati	Vmr3p
se	sebe	Px--sa
na	na	Sa
način	način	Ncmsan
opisan	opisati	Appmsnn
u	u	Sl
Prilogu	Prilog	Npmsl
V.	V.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
–	–	Z
»	»	Z
Način	način	Ncmsn
označavanja	označavanje	Ncnsg
kartografskih	kartografski	Agpmpgy
prikaza	prikaz	Ncmpg
Plana	plan	Ncmsg
«	«	Z
.	.	Z

Analogni	analogan	Agpmsny
oblik	oblik	Ncmsn
Plana	plan	Ncmsg

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Analogni	analogan	Agpmsny
oblik	oblik	Ncmsn
Plana	plan	Ncmsg
(	(	Z
ispis	ispis	Ncmsn
elektroničkog	elektronički	Agpmsgy
oblika	oblik	Ncmsg
)	)	Z
mora	morati	Vmr3s
biti	biti	Van
sukladan	sukladan	Agpmsnn
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
Plana	plan	Ncmsg
,	,	Z
ako	ako	Cs
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
nije	biti	Var3s
propisano	propisati	Appnsny
drukčije	drugačije	Rgp
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tekstualni	tekstualan	Agpmsny
dio	dio	Ncmsn
Plana	plan	Ncmsg
ispisuje	ispisivati	Vmr3s
se	sebe	Px--sa
na	na	Sl
stranicama	stranica	Ncfpl
formata	format	Ncmsg
A4	A4	X
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Analogni	analogan	Agpmsny
oblik	oblik	Ncmsn
(	(	Z
ispis	ispis	Ncmsn
)	)	Z
kartografskih	kartografski	Agpmpgy
prikaza	prikaz	Ncmpg
Plana	plan	Ncmsg
stvara	stvarati	Vmr3s
se	sebe	Px--sa
iz	iz	Sg
modula	modul	Ncmsg
ePlanovi	eplanov	Ncfsg
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

−	i	Agpfsny
Karta	karta	Ncfsn
1.1.	1.1.	Mds

Namjena	namjena	Ncfsn
prostora	prostor	Ncmsg
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
KN-1-1	KN-1-1	Mdm
,	,	Z
IS-1-1	IS-1-1	Mdm
i	i	Cc
IS-1-2	is-1-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
1.2.	1.2.	Mds

Građevinska	građevinski	Agpnpny
područja	područje	Ncnpn
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
KN-1-1	KN-1-1	Mdm
i	i	Cc
KN-1-2	kn-1-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
1.3.	1.3.	Mds

Pravila	pravilo	Ncnpg
provedbe	provedba	Ncfsg
i	i	Cc
područja	područje	Ncnsg
obveze	obveza	Ncfsg
donošenja	donošenje	Ncnsg
prostornih	prostoran	Agpmpgy
planova	plan	Ncmpg
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
KN-1-1	KN-1-1	Mdm
,	,	Z
KN-1-3	KN-1-3	Mdm
i	i	Cc
KN-1-4	kn-1-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
2.1.	2.1.	Mds

Prometni	prometan	Agpmsny
sustav	sustav	Ncmsn
ispisom	ispis	Ncmsi
slojeva	sloj	Ncmpg
OB-1-1	OB-1-1	Mdm
,	,	Z
IS-1-1	IS-1-1	Mdm
,	,	Z
IS-1-2	IS-1-2	Mdm
,	,	Z
IS-1-3	IS-1-3	Mdm
,	,	Z
IS-1-4	IS-1-4	Mdm
i	i	Cc
IS-1-5	is-1-a	Ncfpn

−	i	Agpfsny
Karta	karta	Ncfsn
2.2.	2.2.	Mds

