te	te	Cc
OBVEZE	obveza	Ncfsg
POSLODAVACA	poslodavac	Ncmpg

Procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
i	i	Cc
određivanje	određivanje	Ncnsa
izloženosti	izloženost	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
je	biti	Var3s
obvezan	obvezati	Appmsnn
Hrvatskom	hrvatski	Agpmsdy
zavodu	zavod	Ncmsd
za	za	Sa
zaštitu	zaštita	Ncfsa
zdravlja	zdravlje	Ncnsg
i	i	Cc
sigurnost	sigurnost	Ncfsa
na	na	Sl
radu	rad	Ncmsl
dostaviti	dostaviti	Vmn
podatke	podatak	Ncmpa
o	o	Sl
svim	sav	Agpmply
radnicima	radnik	Ncmpl
za	za	Sa
čija	čiji	Pi-npa
je	biti	Var3s
mjesta	mjesto	Ncnpg
rada	rad	Ncmsg
procijenjen	procijeniti	Appmsnn
velik	velik	Agpmsnn
rizik	rizik	Ncmsn
izloženosti	izloženost	Ncfsg
elektromagnetskim	elektromagnetski	Agpnply
poljima	polje	Ncnpl
.	.	Z

Neovisno	neovisan	Agpnsny
od	od	Sg
odredaba	odredba	Ncfpg
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
o	o	Sl
uvođenju	uvođenje	Ncnsl
mjera	mjera	Ncfpg
za	za	Sa
poticanje	poticanje	Ncnsa
poboljšanja	poboljšanje	Ncnsg
sigurnosti	sigurnost	Ncfsg
i	i	Cc
zdravlja	zdravlje	Ncnsg
radnika	radnik	Ncmpg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sa
zahtjev	zahtjev	Ncmsan
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpl
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
obrade	obrada	Ncfsg
osobnih	osoban	Agpmpgy
podataka	podatak	Ncmpg
zaposlenika	zaposlenik	Ncmpg
tijekom	tijekom	Sg
takve	takav	Pd-fsg
procjene	procjena	Ncfsg
,	,	Z
svako	svaki	Pi-nsa
objavljivanje	objavljivanje	Ncnsa
osobnih	osoban	Agpmpgy
podataka	podatak	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
sukladno	sukladan	Agpnsny
odredbama	odredba	Ncfpi
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
tajnost	tajnost	Ncfsn
podataka	podatak	Ncmpg
.	.	Z

Osim	osim	Cs
ako	ako	Cs
ne	ne	Qz
prevlada	prevladati	Vmr3s
interes	interes	Ncmsan
javnosti	javnost	Ncfsg
za	za	Sa
objavu	objava	Ncfsa
,	,	Z
javnopravna	javnopravni	Agpnpny
tijela	tijelo	Ncnpn
koja	koji	Pi-npn
su	biti	Var3p
nadležna	nadležan	Agpfsny
za	za	Sa
poslove	posao	Ncmpa
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
koja	koji	Pi-fsn
imaju	imati	Vmr3p
presliku	preslika	Ncfsa
procjene	procjena	Ncfsg
,	,	Z
mogu	moći	Vmr3p
odbiti	odbiti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
pristup	pristup	Ncmsan
procjeni	procjena	Ncfsl
ili	ili	Cc
za	za	Sa
objavom	objava	Agpfpay
procjene	procjena	Ncfpa
,	,	Z
kada	kada	Cs
bi	biti	Vaa3s
objavljivanje	objavljivanje	Ncnsn
narušilo	narušiti	Vmp-sn
zaštitu	zaštita	Ncfsa
poslovnih	poslovan	Agpmpgy
interesa	interes	Ncmpg
poslodavca	poslodavac	Ncmsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
intelektualno	intelektualan	Agpnsay
vlasništvo	vlasništvo	Ncnsa
.	.	Z

Poslodavci	poslodavac	Ncmpn
mogu	moći	Vmr3p
odbiti	odbiti	Vmn
otkrivanje	otkrivanje	Ncnsa
ili	ili	Cc
objavljivanje	objavljivanje	Ncnsn
procjene	procjena	Ncfsg
pod	pod	Si
istim	isti	Agpmpiy
uvjetima	uvjet	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
svrhu	svrha	Ncfsa
sve	sav	Agpfpay
obuhvatnije	obuhvatan	Agcfpny
procjene	procjena	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
poslodavac	poslodavac	Ncmsn
utvrđuje	utvrđivati	Vmr3s
i	i	Cc
procjenjuje	procjenjivati	Vmr3s
elektromagnetska	elektromagnetski	Agpnpay
polja	polje	Ncnpa
na	na	Sl
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
odgovarajuće	odgovarajući	Agpfsgy
praktične	praktičan	Agpfsgy
smjernice	smjernica	Ncfsg
navedene	naveden	Agpfsgy
u	u	Sl
neobvezujućem	neobvezujući	Agpmsly

