IV	IV	Mrc
razminiranja	razminiranje	Ncnsg
,	,	Z
kontrole	kontrola	Ncfsg
kvalitete	kvaliteta	Ncfsg
,	,	Z
završne	završan	Agpfpay
kontrole	kontrola	Ncfpa
kvalitete	kvaliteta	Ncfsg
i	i	Cc
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
,	,	Z
postoji	postojati	Vmr3s
smanjenje	smanjenje	Ncnsa
radne	radni	Agpfsgy
sposobnosti	sposobnost	Ncfsg
uz	uz	Sa
preostalu	preostao	Agpfsay
radnu	radni	Agpfsay
sposobnost	sposobnost	Ncfsa
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
profesionalnu	profesionalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
to	taj	Pd-nsa
je	biti	Var3s
li	li	Qq
im	oni	Pp3-pd
nakon	nakon	Sg
profesionalne	profesionalan	Agpfsgy
rehabilitacije	rehabilitacija	Ncfsg
osigurano	osigurati	Agpnsny
zaposlenje	zaposlenje	Ncnsn
.	.	Z

Članak	članak	Ncmsn
118.	118.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osobe	osoba	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
koje	koji	Pi-fpn
su	biti	Var3p
stekle	steći	Vmp-pf
pravo	pravo	Ncnsa
na	na	Sa
profesionalnu	profesionalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
zbog	zbog	Sg
ozljede	ozljeda	Ncfsg
na	na	Sl
radu	rad	Ncmsl
ili	ili	Cc
profesionalne	profesionalan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
imaju	imati	Vmr3p
od	od	Sg
dana	dan	Ncmpg
nastanka	nastanak	Ncmsg
smanjenja	smanjenje	Ncnsg
radne	radni	Agpfsgy
sposobnosti	sposobnost	Ncfsg
uz	uz	Sa
preostalu	preostao	Agpfsay
radnu	radni	Agpfsay
sposobnost	sposobnost	Ncfsa
do	do	Sg
dana	dan	Ncmpg
stjecanja	stjecanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
profesionalnu	profesionalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
kao	kao	Cs
i	i	Qo
tijekom	tijekom	Sg
profesionalne	profesionalan	Agpfsgy
rehabilitacije	rehabilitacija	Ncfsg
i	i	Cc
od	od	Sg
dana	dan	Ncmpg
završetka	završetak	Ncmsg
profesionalne	profesionalan	Agpfsgy
rehabilitacije	rehabilitacija	Ncfsg
do	do	Sg
dana	dan	Ncmpg
zaposlenja	zaposlenje	Ncnsg
na	na	Sl
odgovarajućem	odgovarajući	Agpmsly
poslu	posao	Ncmsl
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
plaće	plaća	Ncfsg
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
mirovinskom	mirovinski	Agpnsly
osiguranju	osiguranje	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Naknada	naknada	Ncfsn
plaće	plaća	Ncfsg
zbog	zbog	Sg
profesionalne	profesionalan	Agpfsgy
rehabilitacije	rehabilitacija	Ncfsg
pripada	pripadati	Vmr3s
osobama	osoba	Ncfpd
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
najduže	dugo	Rgs
dvadeset	dvadeset	Mlc
i	i	Cc
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmsg
završetka	završetak	Ncmsg
profesionalne	profesionalan	Agpfsgy
rehabilitacije	rehabilitacija	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
se	sebe	Px--sa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
završetka	završetak	Ncmsg
profesionalne	profesionalan	Agpfsgy
rehabilitacije	rehabilitacija	Ncfsg
prijavi	prijaviti	Vmr3s
nadležnoj	nadležan	Agpfsly
službi	služba	Ncfsl
za	za	Sa
zapošljavanje	zapošljavanje	Ncnsa
i	i	Cc
da	da	Cs
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
propisima	propis	Ncmpi
o	o	Sl
zapošljavanju	zapošljavanje	Ncnsl
prijavljuje	prijavljivati	Vmr3s
toj	taj	Pd-fsd
službi	služba	Ncfpg
.	.	Z

Članak	članak	Ncmsn
119.	119.	Mdo

Tijela	tijelo	Ncnpn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
i	i	Cc
druga	drugi	Mlofsn
državna	državni	Ncfsn
tijela	tijelo	Ncnsg
,	,	Z
tijela	tijelo	Ncnsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
javne	javan	Agpfsgy
službe	služba	Ncfsg
,	,	Z
izvanproračunski	izvanproračunski	Agpmpny
fondovi	fond	Ncmpn
,	,	Z
pravne	pravni	Agpfpny
osobe	osoba	Ncfpn
te	te	Cc
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
pretežnom	pretežan	Agpnsly
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
obvezni	obvezan	Agpmpny
su	biti	Var3p
primiti	primiti	Vmn
na	na	Sa
profesionalnu	profesionalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
osobe	osoba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
rješenja	rješenje	Ncnsg
o	o	Sl
priznavanju	priznavanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
profesionalnu	profesionalan	Agpfsay
rehabilitaciju	rehabilitacija	Ncfsa
.	.	Z

Članak	članak	Ncmsn
120.	120.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Članovi	član	Ncmpn
obitelji	obitelj	Ncfsg
smrtno	smrtno	Rgp
stradalih	stradali	Agpfpgy
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
čija	čiji	Pi-fsn
je	biti	Var3s
smrt	smrt	Ncfsn
nastala	nastati	Vmp-sf
zbog	zbog	Sg
ozljede	ozljeda	Ncfsg
na	na	Sl
radu	rad	Ncmsl
za	za	Sa
vrijeme	vrijeme	Ncnsa
obavljanja	obavljanje	Ncnsg
poslova	posao	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
:	:	Z

–	i	Agpfsay
obiteljsku	obiteljski	Agpfsay
invalidninu	invalidnina	Ncfsa

–	–	Z
prednost	prednost	Ncfsn
pri	pri	Sl
dobivanju	dobivanje	Ncnsl
stipendija	stipendija	Ncfpg

–	–	Sa
prednost	prednost	Ncfsa
pri	pri	Sl
smještaju	smještaj	Ncmsl
u	u	Sa
učeničke	učenički	Agpfpay
,	,	Z
odnosno	odnosno	Rgp
studentske	studentski	Agpmpay
domove	dom	Ncmpa

–	i	Agpmpay
besplatne	besplatan	Agpmpay
udžbenike	udžbenik	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
obitelji	obitelj	Ncfsg
stradalih	stradali	Agpfpgy
osoba	osoba	Ncfpg
I.	I.	Mro
i	i	Cc
II	ii	Mrc
.	.	Z
skupine	skupina	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
110.	110.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
pod	pod	Si
uvjetima	uvjet	Ncmpi
propisanim	propisati	Appmply
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
,	,	Z
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
:	:	Z

–	–	Z
prednost	prednost	Ncfsn
pri	pri	Sl
dobivanju	dobivanje	Ncnsl
stipendija	stipendija	Ncfpg

–	–	Sa
prednost	prednost	Ncfsa
pri	pri	Sl
smještaju	smještaj	Ncmsl
u	u	Sa
učeničke	učenički	Agpfpay
,	,	Z
odnosno	odnosno	Rgp
studentske	studentski	Agpmpay
domove	dom	Ncmpa

–	i	Agpmpay
besplatne	besplatan	Agpmpay
udžbenike	udžbenik	Ncmpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Osobe	osoba	Ncfpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
obiteljsku	obiteljski	Agpfsay
mirovinu	mirovina	Ncfsa
koju	koji	Pi-fsa
ostvaruju	ostvarivati	Vmr3p
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
kojima	koji	Pi-mpi
su	biti	Var3p
uređena	urediti	Appnpny
prava	pravo	Ncnpn
hrvatskih	hrvatski	Agpmpgy
branitelja	branitelj	Ncmpg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
članova	član	Ncmpg
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
.	.	Z

Članak	članak	Ncmsn
121.	121.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Obiteljska	obiteljski	Agpfsny
invalidnina	invalidnina	Ncfsn
je	biti	Var3s
osnovno	osnovan	Agpnsny
pravo	prav	Agpnsny
po	po	Sl
osnovi	osnova	Ncfsl
gubitka	gubitak	Ncmsg
člana	član	Ncmsg
obitelji	obitelj	Ncfsg
i	i	Cc
na	na	Sl
temelju	temelj	Ncmsl
toga	taj	Pd-nsg
prava	pravo	Ncnsg
ostvaruju	ostvarivati	Vmr3p
se	sebe	Px--sa
prava	pravo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
120.	120.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
obitelji	obitelj	Ncfsg
smrtno	smrtno	Rgp
stradalih	stradali	Agpfpgy
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
obiteljsku	obiteljski	Agpfsay
invalidninu	invalidnina	Ncfsa
sukladno	sukladno	Rgp
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
prava	pravo	Ncnpn
hrvatskih	hrvatski	Agpmpgy
branitelja	branitelj	Ncmpg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
članova	član	Ncmpg
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
.	.	Z

Članak	članak	Ncmsn
122.	122.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Djeca	dijete	Ncnpn
smrtno	smrtno	Rgp
stradalih	stradali	Agpfpgy
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
prednost	prednost	Ncfsa
pri	pri	Sl
dobivanju	dobivanje	Ncnsl
stipendija	stipendija	Ncfpg
tijekom	tijekom	Sg
redovitog	redovit	Agpnsgy
studiranja	studiranje	Ncnsg
na	na	Sl
visokim	visok	Agpnply
učilištima	učilište	Ncnpl
te	te	Cc
imaju	imati	Vmr3p
prednost	prednost	Ncfsa
pri	pri	Sl
smještaju	smještaj	Ncmsl
u	u	Sa
učeničke	učenički	Agpfpay
,	,	Z
odnosno	odnosno	Rgp
studentske	studentski	Agpmpay
domove	dom	Ncmpa
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
im	oni	Pp3-pd
redoviti	redovit	Agpmpny
prihodi	prihod	Ncmpn
po	po	Sl
članu	član	Ncmsl
kućanstva	kućanstvo	Ncnsg
ne	ne	Qz
prelaze	prelaziti	Vmr3p
60	60	Mdc
%	%	Z
od	od	Sg
utvrđene	utvrditi	Appfsgy
proračunske	proračunski	Agpfsgy
osnovice	osnovica	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Djeca	dijete	Ncnpn
smrtno	smrtno	Rgp
stradalih	stradali	Agpfpgy
osoba	osoba	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
107.	107.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
besplatne	besplatan	Agpmpay
obvezatne	obvezatan	Agpmpay
udžbenike	udžbenik	Ncmpa
za	za	Sa
potrebe	potreba	Ncfpa
redovitog	redovit	Agpmsgy
ili	ili	Cc
izvanrednog	izvanredan	Agpnsgy
školovanja	školovanje	Ncnsg
u	u	Sl
osnovnim	osnovan	Agpfply
i	i	Cc
srednjim	srednji	Agpfply
školama	škola	Ncfpl
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
ako	ako	Cs
to	taj	Pd-nsa
pravo	pravo	Ncnsa
ne	ne	Qz
mogu	moći	Vmr3p
ostvariti	ostvariti	Vmn
po	po	Sl
drugim	drugi	Agpmply
propisima	propis	Ncmpl
i	i	Cc
ako	ako	Cs
im	oni	Pp3-pd
redoviti	redovit	Agpmpny
prihodi	prihod	Ncmpn
mjesečno	mjesečno	Rgp
po	po	Sl
članu	član	Ncmsl
kućanstva	kućanstvo	Ncnsg
ne	ne	Qz
prelaze	prelaziti	Vmr3p
prosjek	prosjek	Ncmsan
netoplaće	netoplaće	Ncnsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznos	iznos	Ncmsn
sredstava	sredstvo	Ncnpg
potrebnih	potreban	Agpfpgy
za	za	Sa
kupnju	kupnja	Ncfsa
udžbenika	udžbenik	Ncmpg

