posljednjih	posljednji	Agpfpgy
sudionik	sudionik	Ncmsn
na	na	Sl
pozivu	poziv	Ncmsl
koji	koji	Pi-msn
raspolaže	raspolagati	Vmr3s
specijaliziranim	specijaliziran	Agpnsiy
vozilom	vozilo	Ncnsi
za	za	Sa
prijevoz	prijevoz	Ncmsan
ribe	riba	Ncfsg
dobiva	dobivati	Vmr3s
maksimalnih	maksimalan	Agpmpgy
6	6	Mdc
bodova	bod	Ncmpg
,	,	Z
ukoliko	ukoliko	Cs
raspolaže	raspolagati	Vmr3s
samo	samo	Rgp
potrebnom	potreban	Agpfsiy
mehanizacijom	mehanizacija	Ncfsi
za	za	Sa
korištenje	korištenje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
ribnjaka	ribnjak	Ncmpg
(	(	Z
bager	bager	Ncmsn
,	,	Z
buldožer	buldožer	Ncmsn
,	,	Z
traktor	traktor	Ncmsn
)	)	Z
dobiva	dobivati	Vmr3s
3	3	Mdc
boda	bod	Ncmsg
,	,	Z
dok	dok	Cs
sudionik	sudionik	Ncmsn
na	na	Sl
pozivu	poziv	Ncmsl
koji	koji	Pi-msn
ne	ne	Qz
raspolaže	raspolagati	Vmr3s
potrebnom	potreban	Agpfsiy
mehanizacijom	mehanizacija	Ncfsi
,	,	Z
niti	niti	Cc
specijaliziranim	specijaliziran	Agpnsiy
vozilom	vozilo	Ncnsi
za	za	Sa
prijevoz	prijevoz	Ncmsan
ribe	riba	Ncfsg
dobiva	dobivati	Vmr3s
0	0	Mdc
bodova	bod	Ncmpg
.	.	Z

8.	8.	Mdo
Sastavnica	sastavnica	Ncfsn
–	–	Z
Ekološka	ekološki	Agpfsny
proizvodnja	proizvodnja	Ncfsn

Vrednuje	vrednovati	Vmr3s
se	sebe	Px--sa
proizvodnja	proizvodnja	Ncfsn
u	u	Sl
sustavu	sustav	Ncmsl
ekološke	ekološki	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
.	.	Z

Bodovanje	bodovanje	Ncnsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
sustavu	sustav	Ncmsl
ekološke	ekološki	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
ili	ili	Cc
je	biti	Var3s
u	u	Sl
prijelaznom	prijelazan	Agpnsly
razdoblju	razdoblje	Ncnsl
dobiva	dobivati	Vmr3s
1	1	Mdc
bod	bod	Ncmsan
,	,	Z
a	a	Cc
ukoliko	ukoliko	Cs
proizvodnja	proizvodnja	Ncfsn
nije	biti	Var3s
u	u	Sl
sustavu	sustav	Ncmsl
ekološke	ekološki	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
ili	ili	Cc
prijelaznom	prijelazan	Agpnsly
razdoblju	razdoblje	Ncnsl
dobiva	dobivati	Vmr3s
se	sebe	Px--sa
0	0	Mdc
bodova	bod	Ncmpg
.	.	Z

Podatke	podatak	Ncmpa
o	o	Sl
navedenom	naveden	Agpnsly
Agencija	agencija	Ncfsn
za	za	Sa
poljoprivredno	poljoprivredni	Agpnsay
zemljište	zemljište	Ncnsa
pribavit	pribaviti	Vmn
će	htjeti	Var3s
od	od	Sg
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
i	i	Cc
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
ribarstvu	ribarstvo	Ncnsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
.	.	Z

Na	na	Sl
dobivenim	dobiven	Agpfply
površinama	površina	Ncfpl
poljoprivrednog	poljoprivredni	Agpnsgy
zemljišta	zemljište	Ncnsg
na	na	Sl
predmetnom	predmetni	Agpmsly
javnom	javan	Agpmsly
pozivu	poziv	Ncmsl
proizvodnja	proizvodnja	Ncfsn
također	također	Rgp
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
sustavu	sustav	Ncmsl
ekološke	ekološki	Agpfsgy
,	,	Z
što	što	Pi3n-n
će	htjeti	Var3s
se	sebe	Px--sa
kontrolirati	kontrolirati	Vmn
u	u	Sl
sklopu	sklop	Ncmsl
kontrole	kontrola	Ncfsg
provođenja	provođenje	Ncnsg
Gospodarskog	gospodarski	Agpmsgy
programa	program	Ncmsg
sudionika	sudionik	Ncmpg
.	.	Z

9.	9.	Mdo
Sastavnica	sastavnica	Ncfsn
–	–	Z
Stručna	stručan	Agpfsny
sprema	sprema	Ncfsn
sudionika	sudionik	Ncmpg
na	na	Sl
pozivu	poziv	Ncmsl
/	/	Z
vlasnika	vlasnik	Ncmsg
/	/	Z
zaposlenika	zaposlenik	Ncmpg
(	(	Z
ribarstvo	ribarstvo	Ncnsn
,	,	Z
agronomija	agronomija	Ncfsn
/	/	Z
poljoprivreda	poljoprivreda	Ncfsn
,	,	Z
veterinarstvo	veterinarstvo	Ncnsn
,	,	Z
biologija	biologija	Ncfsn
,	,	Z
biotehnologija	biotehnologija	Ncfsn
)	)	Z

Vrednuje	vrednovati	Vmr3s
se	sebe	Px--sa
stupanj	stupanj	Ncmsn
stručne	stručan	Agpfsgy
spreme	sprema	Ncfsg
odgovarajuće	odgovarajući	Agpfsgy
struke	struka	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
dodatno	dodatan	Agpnsny
stručno	stručan	Agpnsny
osposobljavanje	osposobljavanje	Ncnsn
sudionika	sudionik	Ncmpg
na	na	Sl
pozivu	poziv	Ncmsl
/	/	Z
vlasnika	vlasnik	Ncmsg
/	/	Z
zaposlenika	zaposlenik	Ncmpg
.	.	Z

Osoba	osoba	Ncfsn
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
ostvaruju	ostvarivati	Vmr3p
bodovi	bod	Ncmpn
po	po	Sl
ovoj	ovaj	Pd-fsl
sastavnici	sastavnica	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
član	član	Ncmsn
OPG-a	OPG	Npmsg
,	,	Z
odnosno	odnosno	Rgp
vlasnik	vlasnik	Ncmsn
ili	ili	Cc
zaposlen	zaposliti	Appmsnn
u	u	Sl
obrtu	obrt	Ncmsl
ili	ili	Cc
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
najmanje	malo	Rgs
godinu	godina	Ncfsa
dana	dan	Ncmpg
do	do	Sg
prijave	prijava	Ncfsg
na	na	Sa
javni	javan	Agpmsayn
poziv	poziv	Ncmsan
.	.	Z

Kriteriji	kriterij	Ncmpn
se	sebe	Px--sa
dokazuju	dokazivati	Vmr3p
preslikom	preslika	Ncfsi
diplome	diploma	Ncfsg
/	/	Z
svjedodžbe	svjedodžba	Ncfsg
/	/	Z
uvjerenja	uvjerenje	Ncnsg
o	o	Sl
stručnoj	stručan	Agpfsly
spremni	spreman	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
osposobljavanju	osposobljavanje	Ncnsd
sudionika	sudionik	Ncmpg
poziva	poziv	Ncmsg
/	/	Z
vlasnika	vlasnik	Ncmsg
/	/	Z
zaposlenika	zaposlenik	Ncmpg
i	i	Cc
potvrdom	potvrda	Ncfsi
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
mirovinsko	mirovinski	Agpnsay
osiguranje	osiguranje	Ncnsa
.	.	Z

Bodovanje	bodovanje	Ncnsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
za	za	Sa
stupanj	stupanj	Ncmsan
VSS	VSS	Npmsn
,	,	Z
odnosno	odnosno	Rgp
magistar	magistar	Ncmsn
(	(	Z
mag	mag	Ncmsn
)	)	Z
ili	ili	Cc
VŠS	VŠS	Npmsn
,	,	Z
odnosno	odnosno	Rgp
sveučilišni	sveučilišni	Agpmsny
prvostupnik	prvostupnik	Ncmsn
(	(	Z
univ	univ	Ncmsn
.	.	Z
bacc.	bacc.	Y
)	)	Z
struke	struka	Ncfsg
ribarstvo	ribarstvo	Ncnsn
,	,	Z
poljoprivreda	poljoprivreda	Ncfsn
/	/	Z
agronomija	agronomija	Ncfsn
,	,	Z
veterinarstvo	veterinarstvo	Ncnsn
,	,	Z
biologija	biologija	Ncfsn
ili	ili	Cc
biotehnologija	biotehnologija	Ncfsn
dobiva	dobivati	Vmr3s
maksimalna	maksimalan	Agpfsny
3	3	Mdc
boda	bod	Ncmsg
,	,	Z
za	za	Sa
stupanj	stupanj	Ncmsan
SSS	ssi	Agpfsgy
struke	struka	Ncfsg
ribarstvo	ribarstvo	Ncnsn
,	,	Z
poljoprivreda	poljoprivreda	Ncfsn
/	/	Z
agronomija	agronomija	Ncfsn
,	,	Z
veterinarstvo	veterinarstvo	Ncnsn
,	,	Z
biologija	biologija	Ncfsn
ili	ili	Cc
biotehnologija	biotehnologija	Ncfsn
dobiva	dobivati	Vmr3s
se	sebe	Px--sa
2	2	Mdc
boda	bod	Ncmsg
,	,	Z
dok	dok	Cs
se	sebe	Px--sa
u	u	Sl
slučaju	slučaj	Ncmsl
ne	ne	Qz
udovoljavanja	udovoljavanje	Ncnsg
tražene	tražen	Agpfsgy
struke	struka	Ncfsg
odgovarajućeg	odgovarajući	Agpmsgy
stupnja	stupanj	Ncmsg
,	,	Z
ali	ali	Cc
uz	uz	Sa
dodatno	dodatan	Agpnsay
stručno	stručan	Agpnsay
osposobljavanje	osposobljavanje	Ncnsa
iz	iz	Sg
područja	područje	Ncnsg
ribarstva	ribarstvo	Ncnsg
,	,	Z
poljoprivrede	poljoprivreda	Ncfsg
/	/	Z
agronomije	agronomija	Ncfsg
,	,	Z
veterinarstva	veterinarstvo	Ncnsg
,	,	Z
biologije	biologija	Ncfsg
,	,	Z
ili	ili	Cc
biotehnologije	biotehnologija	Ncfsg
,	,	Z
dobiva	dobivati	Vmr3s
1	1	Mdc
bod	bod	Ncmsan
.	.	Z

10.	10.	Mdo

Sastavnica	sastavnica	Ncfsn
–	–	Z
Broj	broj	Ncmsn
zaposlenih	zaposliti	Appmpgy
u	u	Sa
zadnje	zadnji	Agpfpay
3	3	Mdc
godine	godina	Ncfsg

Vrednuje	vrednovati	Vmr3s
se	sebe	Px--sa
kretanje	kretanje	Ncnsn
ukupnog	ukupan	Agpmsgy
broja	broj	Ncmsg
zaposlenih	zaposlen	Agpmpgy
radnika	radnik	Ncmpg
na	na	Sl
ribnjaku	ribnjak	Ncmsl
u	u	Sa
zadnje	zadnji	Agpfpay
3	3	Mdc
godine	godina	Ncfsg
sukladno	sukladno	Rgp
podacima	podatak	Ncmpi
dostavljenim	dostaviti	Agpmsiy
putem	put	Sg
očevidnika	očevidnik	Ncmsg
o	o	Sl
uzgoju	uzgoj	Ncmsl
(	(	Z
Popis	popis	Ncmsn
o	o	Sl
akvakulturi	akvakultura	Ncfsl
)	)	Z
.	.	Z

Bodovanje	bodovanje	Ncnsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
za	za	Sa
povećanje	povećanje	Ncnsa
broja	broj	Ncmsg
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
promatranom	promatrati	Agpnsly
razdoblju	razdoblje	Ncnsl
dobiva	dobivati	Vmr3s
2	2	Mdc
boda	bod	Ncmsg
,	,	Z
za	za	Sa
održanje	održanje	Ncnsa
stalnog	stalan	Agpmsgy
broja	broj	Ncmsg
radnika	radnik	Ncmpg
se	sebe	Px--sa
dobiva	dobivati	Vmr3s
1	1	Mdc
boda	bod	Ncmsg
,	,	Z
dok	dok	Cs
se	sebe	Px--sa
za	za	Sa
smanjenje	smanjenje	Ncnsa
broja	broj	Ncmsg
radnika	radnik	Ncmpg
dobiva	dobivati	Vmr3s
0	0	Mdc
bodova	bod	Ncmpg
.	.	Z

Podatke	podatak	Ncmpa
o	o	Sl
navedenom	naveden	Agpnsly
Agencija	agencija	Ncfsn
za	za	Sa
poljoprivredno	poljoprivredni	Agpnsay
zemljište	zemljište	Ncnsa
pribavit	pribaviti	Vmn
će	htjeti	Var3s
od	od	Sg
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
.	.	Z

11.	11.	Mdo

Sastavnica	sastavnica	Ncfsn
–	–	Z
Novozaposleni	novozaposlen	Agpmpny

Vrednuje	vrednovati	Vmr3s
se	sebe	Px--sa
broj	broj	Ncmsn
novozaposlenih	novozaposlen	Agpmpgy
radnika	radnik	Ncmpg
.	.	Z

Bodovanje	bodovanje	Ncnsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
za	za	Sa
više	mnogo	Rgc
od	od	Sg
3	3	Mdc
novozaposlena	novozaposlen	Ncmpg
radnika	radnik	Ncmpg

