nepoljoprivrednih	nepoljoprivredni	Agpfpgy
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
(	(	Z
www.apprrr.hr	www.apprrr.hr	X
)	)	Z
.	.	Z

Postupak	postupak	Ncmsn
obrade	obrada	Ncfsg

Članak	članak	Ncmsn
27.	27.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
Izvještaj	izvještaj	Ncmsan
o	o	Sl
napretku	napredak	Ncmsl
svakih	svaki	Agpmpgy
6	6	Mdc
mjeseci	mjesec	Ncmpg
,	,	Z
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmpg
izdavanja	izdavanje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
korisnici	korisnik	Ncmpn
su	biti	Var3p
obvezni	obvezan	Agpmpny
učitati	učitati	Vmn
u	u	Sa
AGRONET	AGRONET	Npmsan
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
Natječajem	natječaj	Ncmsi
.	.	Z

Dokumentacija	dokumentacija	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
obvezno	obvezno	Rgp
dostaviti	dostaviti	Vmn
i	i	Cc
u	u	Sl
izvorniku	izvornik	Ncmsl
,	,	Z
propisuje	propisivati	Vmr3s
se	sebe	Px--sa
Natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
podnošenja	podnošenje	Ncnsg
elektronskog	elektronski	Agpmsgy
zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
AGRONET-u	AGRONET	Npmsl
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
Natječajem	Natječaji	Npmsl
osobno	osobno	Rgp
ili	ili	Cc
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
dostaviti	dostaviti	Vmn
ovjerenu	ovjeriti	Agpfsay
Potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
propisanom	propisati	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
u	u	Sl
izvorniku	izvornik	Ncmsl
u	u	Sl
papirnatom	papirnat	Agpmsly
obliku	oblik	Ncmsl
na	na	Sa
adresu	adresa	Ncfsa
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
podrazumijeva	podrazumijevati	Vmr3s
potvrdu	potvrda	Ncfsa
o	o	Sl
podnošenju	podnošenje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
te	te	Cc
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
propisanu	propisati	Appfsay
Natječajem	natječaj	Ncmsi
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
vrijeme	vrijeme	Ncnsn
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
smatra	smatrati	Vmr3s
datum	datum	Ncmsan
i	i	Cc
sat	sat	Ncmsn
slanja	slanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
slanja	slanje	Ncnsg
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
datum	datum	Ncmsan
i	i	Cc
sat	sat	Ncmsan
zaprimanja	zaprimanje	Ncnsg
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
ukoliko	ukoliko	Cs
se	sebe	Px--sa
dostavlja	dostavljati	Vmr3s
osobno	osobno	Rgp
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Korisniku	korisnik	Ncmsd
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
isplatiti	isplatiti	Vmn
potpora	potpora	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
višem	visok	Agcmsly
od	od	Sg
iznosa	iznos	Ncmsg
navedenoga	naveden	Agpmsgy
u	u	Sl
odluci	odluka	Ncfsl
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
korisnik	korisnik	Ncmsn
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
isplatu	isplata	Ncfsa
navede	navesti	Vmr3s
iznos	iznos	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
viši	visok	Agcmsny
od	od	Sg
prihvatljivog	prihvatljiv	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
Agencija	agencija	Ncfpg
za	za	Sa
plaćanja	plaćanje	Ncnpa
može	moći	Vmr3s
umanjiti	umanjiti	Vmn
iznos	iznos	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Za	za	Sa
nepotpun	nepotpun	Agpmsann
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
Agencija	agencija	Ncfpg
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
izdati	izdati	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
od	od	Sg
korisnika	korisnik	Ncmpg
tražiti	tražiti	Vmn
dostavljanje	dostavljanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
koja	koji	Pi-fsn
nedostaje	nedostajati	Vmr3s
.	.	Z

Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
traženu	tražen	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
preporučenom	preporučiti	Agpfsiy
pošiljkom	pošiljka	Ncfsi
ili	ili	Cc
osobno	osobno	Rgp
u	u	Sa
Agenciju	agencija	Ncfsa
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
pet	pet	Mlc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsan
.	.	Z

Ukoliko	ukoliko	Cs
tražena	tražiti	Appfsny
dokumentacija	dokumentacija	Ncfsn
ne	ne	Qz
bude	biti	Var3s
poslana	poslati	Appfsny
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
odustao	odustati	Vmp-sm
potpore	potpora	Ncfpa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Vremenom	vrijeme	Ncnsi
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
smatra	smatrati	Vmr3s
se	sebe	Px--sa
datum	datum	Ncmsn
kada	kada	Cs
korisnik	korisnik	Ncmsn
zaprimi	zaprimiti	Vmr3s
preporučenu	preporučiti	Agpfsay
pošiljku	pošiljka	Ncfsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
preuzeo	preuzeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
/	/	Z
obrazloženje	obrazloženje	Ncnsa
/	/	Z
ispravak	ispravak	Ncmsn
prilikom	prilikom	Sg
prve	prvi	Mlofsg
dostave	dostava	Ncfsg
,	,	Z
dostava	dostava	Ncfsn
preporučene	preporučiti	Agpfsgy
pošiljke	pošiljka	Ncfsg
biti	biti	Van
će	htjeti	Var3s
ponovljena	ponoviti	Appfsny
još	još	Rgp
jednom	jednom	Rgp
.	.	Z

Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
preuzme	preuzeti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
niti	niti	Cc
nakon	nakon	Sg
ponovljene	ponoviti	Agpfsgy
dostave	dostava	Ncfsg
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
dopunu	dopuna	Ncfsa
će	htjeti	Var3s
se	sebe	Px--sa
objaviti	objaviti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
u	u	Sl
sjedištu	sjedište	Ncnsl
Agencije	agencija	Ncfsg
za	za	Sg
plaćanja	plaćanje	Ncnsg
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
dostava	dostava	Ncfsn
smatrati	smatrati	Vmn
obavljenom	obaviti	Ncfsi
istekom	istek	Sg
osmoga	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
stavljanja	stavljanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dopunu	dopuna	Ncfsa
na	na	Sa
oglasnu	oglasni	Agpfsay
ploču	ploča	Ncfsa
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
dostavi	dostaviti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
izdat	izdati	Vmn
će	htjeti	Var3s
mu	on	Pp3msd
se	sebe	Px--sa
izjava	izjava	Ncfsn
o	o	Sl
poništenju	poništenje	Ncnsl
obveze	obveza	Ncfsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
dostavi	dostaviti	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
nakon	nakon	Sg
propisanog	propisati	Agpmsgy
roka	rok	Ncmsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg

Članak	članak	Ncmsn
28.	28.	Mdo

Nakon	nakon	Sg
provjere	provjera	Ncfsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
s	sa	Si
pripadajućom	pripadajući	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
korisniku	korisnik	Ncmsd
izdati	izdati	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
,	,	Z

–	–	Sg
ispunjavanja	ispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	Natječaj	Npmsi
.	.	Z

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

–	–	Sg
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
,	,	Z

–	–	Z
nepravovremeno	nepravovremeno	Rgp
podnesenih	podnesen	Agpmpgy
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
,	,	Z

–	–	Z

