njihove	njihov	Ps3fsg
ocjeni	ocjena	Ncfsl
.	.	Z

3.4.	3.4.	Mdo

Proizvođač	proizvođač	Ncmsn
se	sebe	Px--sa
obvezuje	obvezivati	Vmr3s
da	da	Cs
će	htjeti	Var3s
ispuniti	ispuniti	Vmn
obaveze	obaveza	Ncfpa
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
odobrenog	odobren	Agpmsgy
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
te	te	Cc
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
pobrinuti	pobrinuti	Vmn
da	da	Cs
ostane	ostati	Vmr3s
odgovarajući	odgovarajući	Agpmsny
i	i	Cc
učinkovit	učinkovit	Agpmsnn
.	.	Z

3.5.	3.5.	Mdo

Proizvođač	proizvođač	Ncmsn
izvješćuje	izvješćivati	Vmr3s
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
je	biti	Var3s
odobrilo	odobriti	Vmp-sn
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
o	o	Sl
svakoj	svaki	Pi-fsl
planiranoj	planiran	Agpfsly
izmjeni	izmjena	Ncfsl
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
ocjenjuje	ocjenjivati	Vmr3s
sve	sav	Agpfpay
predložene	predložen	Agpfpay
izmjene	izmjena	Ncfpa
i	i	Cc
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
tome	taj	Pd-nsl
hoće	htjeti	Vmr3s
li	li	Cs
izmijenjeni	izmijeniti	Agpmsayn
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
i	i	Cc
dalje	daleko	Rgc
udovoljavati	udovoljavati	Vmn
zahtjevima	zahtjev	Ncmpd
navedenim	navesti	Appmply
u	u	Sl
točki	točka	Ncfsl
3.2.	3.2.	Mds
ili	ili	Cc
je	biti	Var3s
potrebno	potreban	Agpnsny
ponovno	ponovan	Agpnsny
ocjenjivanje	ocjenjivanje	Ncnsn
.	.	Z

O	o	Sl
svojoj	svoj	Px-fsl
odluci	odluka	Ncfsl
obavješćuje	obavješćivati	Vmr3s
proizvođača	proizvođač	Ncmsg
.	.	Z

Obavijest	obavijest	Ncfsn
sadrži	sadržati	Vmr3s
zaključke	zaključak	Ncmpa
pregleda	pregled	Ncmpg
i	i	Cc
obrazloženu	obrazložiti	Agpfsay
odluku	odluka	Ncfsa
o	o	Sl
ocjeni	ocjena	Ncfsl
.	.	Z

4.	4.	Mdo
Nadzor	nadzor	Ncmsn
pod	pod	Si
odgovornošću	odgovornost	Ncfsi
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg

4.1.	4.1.	Mdo

Nadzorom	nadzor	Ncmsi
se	sebe	Px--sa
nastoji	nastojati	Vmr3s
osigurati	osigurati	Vmn
da	da	Cs
proizvođač	proizvođač	Ncmsn
propisno	propisno	Rgp
ispunjava	ispunjavati	Vmr3s
obveze	obveza	Ncfpa
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
odobrenog	odobren	Agpmsgy
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
.	.	Z

4.2.	4.2.	Mdo

Proizvođač	proizvođač	Ncmsn
u	u	Sa
svrhu	svrha	Ncfsa
ocjene	ocjena	Ncfsg
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
omogućuje	omogućivati	Vmr3s
pristup	pristup	Ncmsan
prostorima	prostor	Ncmpd
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
,	,	Z
provjeru	provjera	Ncfsa
,	,	Z
ispitivanje	ispitivanje	Ncnsa
i	i	Cc
skladištenje	skladištenje	Ncnsa
te	te	Cc
pritom	pritom	Rgp
pruža	pružati	Vmr3s
sve	sav	Agpfpay
potrebne	potreban	Agpfpay
informacije	informacija	Ncfpa
,	,	Z
a	a	Cc
posebno	posebno	Rgp
:	:	Z

a	a	Cc
)	)	Z
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
sustavu	sustav	Ncmsl
kvalitete	kvaliteta	Ncfsg
;	;	Z

b	b	I
)	)	Z
zapise	zapis	Ncmpa
o	o	Sl
kvaliteti	kvaliteta	Ncfsl
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
izvješća	izvješće	Ncnpa
o	o	Sl
provjeri	provjera	Ncfsl
,	,	Z
podaci	podatak	Ncmpn
o	o	Sl
ispitivanju	ispitivanje	Ncnsl
i	i	Cc
umjeravanju	umjeravanje	Ncnsl
,	,	Z
izvješća	izvješće	Ncnsg
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
uključenih	uključen	Agpmpgy
zaposlenika	zaposlenik	Ncmpg
itd.	itd.	Y

4.3.	4.3.	Mdo

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
provodi	provoditi	Vmr3s
povremene	povremen	Agpfpay
ocjene	ocjena	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
osiguralo	osigurati	Vmp-sn
da	da	Cs
proizvođač	proizvođač	Ncmsn
održava	održavati	Vmr3s
i	i	Cc
primjenjuje	primjenjivati	Vmr3s
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg
te	te	Cc
proizvođaču	proizvođač	Ncmsl
podnosi	podnositi	Vmr3s
izvješće	izvješće	Ncnsa
o	o	Sl
ocjeni	ocjena	Ncfsl
.	.	Z

4.4.	4.4.	Mdo

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
nenajavljeno	nenajavljeno	Rgp
posjetiti	posjetiti	Vmn
proizvođača	proizvođač	Ncmsay
.	.	Z

Tijekom	tijekom	Sg
takvih	takav	Pd-mpg
posjeta	posjet	Ncmpg
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
izvršiti	izvršiti	Vmn
ili	ili	Cc
dati	dati	Vmn
izvršiti	izvršiti	Vmn
ispitivanja	ispitivanje	Ncnsg
proizvoda	proizvod	Ncmpg
kako	kako	Cs
bi	biti	Vaa3s
provjerilo	provjeriti	Vmp-sn
pravilno	pravilan	Agpnsay
djelovanje	djelovanje	Ncnsa
sustava	sustav	Ncmsg
kvalitete	kvaliteta	Ncfsg
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
proizvođaču	proizvođač	Ncmsd
dostavlja	dostavljati	Vmr3s
izvješće	izvješće	Ncnsa
o	o	Sl
posjetu	posjet	Ncmsl
,	,	Z
a	a	Cc
ako	ako	Cs
su	biti	Var3p
provedena	provesti	Appnpny
ispitivanja	ispitivanje	Ncnpn
i	i	Cc
izvješće	izvješće	Ncnsn
o	o	Sl
ispitivanjima	ispitivanje	Ncnpl
.	.	Z

5.	5.	Mdo
Oznaka	oznaka	Ncfsn
CE	CE	Npmsn
,	,	Z
EU	E	Npmsd
izjava	izjava	Ncfsn
o	o	Sl
sukladnosti	sukladnost	Ncfsl
i	i	Cc
potvrda	potvrda	Ncfpg
o	o	Sl
sukladnosti	sukladnost	Ncfsl

5.1.	5.1.	Mdo

Proizvođač	proizvođač	Ncmsn
postavlja	postavljati	Vmr3s
oznaku	oznaka	Ncfsa
CE	C	Npmsg
te	te	Cc
,	,	Z
na	na	Sa
odgovornost	odgovornost	Ncfsa
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
iz	iz	Sg
točke	točka	Ncfsg
3.1.	3.1.	Mds
,	,	Z
njezin	njezin	Ps3msn
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
na	na	Sa
svaki	svaki	Pi-msan
pojedinačni	pojedinačan	Agpmsayn
proizvod	proizvod	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
komponenta	komponenta	Ncfsn
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tipom	tip	Ncmsi
opisanim	opisati	Appmsiy
u	u	Sl
certifikatu	certifikat	Ncmsl
o	o	Sl
EU	E	Npmsl
ispitivanju	ispitivanje	Ncnsl
tipa	tip	Ncmsg
i	i	Cc
koji	koji	Pi-msn
zadovoljava	zadovoljavati	Vmr3s
primjenjive	primjenjiv	Agpmpay
zahtjeve	zahtjev	Ncmpa
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
.	.	Z

5.2.	5.2.	Mdo

Proizvođač	proizvođač	Ncmsn
sastavlja	sastavljati	Vmr3s
pisanu	pisan	Agpfsay
EU	E	Npmsd
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
za	za	Sa
svaki	svaki	Pi-msan
model	model	Ncmsan
proizvoda	proizvod	Ncmpg
koji	koji	Pi-msn
nije	biti	Var3s
komponenta	komponenta	Ncfsn
i	i	Cc
stavlja	stavljati	Vmr3s
je	on	Pp3fsa
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
tijekom	tijekom	Sg
deset	deset	Mlc
godina	godina	Ncfpg
od	od	Sg
stavljanja	stavljanje	Ncnsg
proizvoda	proizvod	Ncmpg
koji	koji	Pi-mpn
nije	biti	Var3s
komponenta	komponenta	Ncfsn
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

U	u	Sl
EU	E	Npmsl
izjavi	izjava	Ncfsl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
navodi	navoditi	Vmr3s
se	sebe	Px--sa
takav	takav	Pd-msn
model	model	Ncmsn
proizvoda	proizvod	Ncmpg
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
ta	taj	Pd-fsn
izjava	izjava	Ncfsn
sastavljena	sastaviti	Appfsny
.	.	Z

Uz	uz	Sa
svaki	svaki	Pi-msan
proizvod	proizvod	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
komponenta	komponenta	Ncfsn
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
primjerak	primjerak	Ncmsn
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
.	.	Z

5.3.	5.3.	Mdo

Proizvođač	proizvođač	Ncmsn
sastavlja	sastavljati	Vmr3s
pisanu	pisan	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
za	za	Sa
svaki	svaki	Pi-msan
uzorak	uzorak	Ncmsan
komponente	komponenta	Ncfsg
i	i	Cc
čuva	čuvati	Vmr3s
je	on	Pp3fsa
,	,	Z
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
,	,	Z
najmanje	malo	Rgs
deset	deset	Mlc
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
komponenta	komponenta	Ncfsn
stavljena	staviti	Appfsny
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

U	u	Sl
potvrdi	potvrda	Ncfsl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
navodi	navoditi	Vmr3s
se	sebe	Px--sa
model	model	Ncmsn
komponente	komponenta	Ncfsg
za	za	Sa
koji	koji	Pi-msan
je	biti	Var3s
ta	taj	Pd-fsn
potvrda	potvrda	Ncfsn
sastavljena	sastaviti	Appfsny
.	.	Z

Uz	uz	Sa
svaku	svaki	Pi-fsa
komponentu	komponenta	Ncfsa
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
primjerak	primjerak	Ncmsn
potvrde	potvrda	Ncfsg
o	o	Sl
sukladnosti	sukladnost	Ncfsl
.	.	Z

6.	6.	Mdo

