kupcima	kupac	Ncmpd
1.	1.	Mdo
Prilog	prilog	Ncmsn
I.	I.	Mro
»	»	Z
Kriteriji	kriterij	Ncmpn
odabira	odabir	Ncmsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
unutar	unutar	Sg
podmjere	podmjera	Ncfsg
3.1.	3.1.	Mds
«	«	Z

2.	2.	Mdo
Prilog	prilog	Ncmsn
II	ii	Mro
.	.	Z

»	»	Z
Kriteriji	kriterij	Ncmpn
odabira	odabir	Ncmsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
unutar	unutar	Sg
podmjere	podmjera	Ncfsg
3.2.	3.2.	Mds
«	«	Z

3.	3.	Mdo
Prilog	prilog	Ncmsn
III	III	Mrc
.	.	Z

»	»	Z
Obvezni	obvezan	Agpmsny
sadržaj	sadržaj	Ncmsn
Plana	plan	Ncmsg
informiranja	informiranje	Ncnsg
i	i	Cc
promoviranja	promoviranje	Ncnsg
za	za	Sa
podmjeru	podmjera	Ncfsa
3.2.	3.2.	Mds
«	«	Z

4.	4.	Mdo
Prilog	prilog	Ncmsn
IV	IV	Mrc
.	.	Z

»	i	Agpnsny
Označavanje	označavanje	Ncnsn
ulaganja	ulaganje	Ncnsg
sufinanciranih	sufinancirati	Agpmpgy
iz	iz	Sg
proračuna	proračun	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
«	«	Z

5.	5.	Mdo
Prilog	prilog	Ncmsn
V.	V.	Mro
»	»	Z
Kriteriji	kriterij	Ncmpn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
Plana	plan	Ncmsg
informiranja	informiranje	Ncnsg
i	i	Cc
promoviranja	promoviranje	Ncnsg
«	«	Z
.	.	Z

II	ii	Mrc
.	.	Z

VRSTA	vrsta	Ncfsn
POTPORE	potpora	Ncfsg
,	,	Z
PRIHVATLJIVI	prihvatljiv	Agpmpny
KORISNICI	korisnik	Ncmpn
,	,	Z
UVJETI	uvjet	Ncmpn
PRIHVATLJIVOSTI	prihvatljivost	Ncfsg
,	,	Z
PRIHVATLJIVI	prihvatljiv	Agpmpny
TROŠKOVI	trošak	Ncmpn
,	,	Z
OPĆI	opći	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
PODMJERE	podmjer	Ncmpa

PODMJERA	PODMJERA	Npfsn
3.1.	3.1.	Mds

POTPORE	potpora	Ncfpn
ZA	za	Sa
NOVO	nov	Agpnsay
SUDJELOVANJE	sudjelovanje	Ncnsa
U	u	Sl
SUSTAVIMA	sustav	Ncmpl
KVALITETE	kvaliteta	Ncfsg

Vrsta	vrsta	Ncfsn
potpore	potpora	Ncfsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
okviru	okvir	Ncmsl
Podmjere	Podmjera	Npfsg
3.1.	3.1.	Mdo
javna	javan	Agpfsny
potpora	potpora	Ncfsn
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
za	za	Sa
tip	tip	Ncmsan
operacije	operacija	Ncfsg
Potpora	potpora	Ncfsn
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
poljoprivrednika	poljoprivrednik	Ncmpg
u	u	Sl
sustavima	sustav	Ncmpl
kvalitete	kvaliteta	Ncfsg
za	za	Sa
poljoprivredne	poljoprivredni	Agpmpay
i	i	Cc
prehrambene	prehramben	Agpmpay
proizvode	proizvod	Ncmpa
i	i	Cc
u	u	Sl
sustavu	sustav	Ncmsl
ekološke	ekološki	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
tip	tip	Ncmsn
operacije	operacija	Ncfsg
3.1.1.	3.1.1.	Mds
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Javna	javan	Agpfsny
potpora	potpora	Ncfsn
unutar	unutar	Sg
ovog	ovaj	Pd-msg
tipa	tip	Ncmsg
operacije	operacija	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
dodijeliti	dodijeliti	Vmn
korisniku	korisnik	Ncmsd
samo	samo	Rgp
jednom	jednom	Rgp
u	u	Sl
cijelom	cijel	Agpnsly
programskom	programski	Agpnsly
razdoblju	razdoblje	Ncnsl
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo

(	(	Z
3	3	Mdc
)	)	Z
Javna	javan	Agpfsny
potpora	potpora	Ncfsn
odobrava	odobravati	Vmr3s
se	sebe	Px--sa
na	na	Sa
period	period	Ncmsan
do	do	Sg
pet	pet	Mlc
godina	godina	Ncfpg
u	u	Sl
maksimalnom	maksimalan	Agpmsly
iznosu	iznos	Ncmsl
do	do	Sg
15.000	15.000	Mdc
eura	euro	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
maksimalno	maksimalno	Rgp
do	do	Sg
3.000	3.000	Mdc
eura	euro	Ncmpg
godišnje	godišnji	Agpfsgy
protuvrijednosti	protuvrijednost	Ncfsg
u	u	Sl
kunama	kuna	Ncfpl
prema	prema	Sl
tečaju	tečaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
14	14	Mdc
,	,	Z
stavka	stavka	Ncfsn
6	6	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
čija	čiji	Pi-fsn
se	sebe	Px--sa
razina	razina	Ncfsn
određuje	određivati	Vmr3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
razinom	razina	Ncfsi
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
iz	iz	Sg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sredstva	sredstvo	Ncnsg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
proračuna	proračun	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
od	od	Sg
čega	što	Pi3n-g
Europska	europski	Agpfsny
unija	unija	Ncfsn
sudjeluje	sudjelovati	Vmr3s
s	sa	Si
85	85	Mdc
%	%	Z
udjela	udjel	Ncmsg
,	,	Z
a	a	Cc
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
s	sa	Si
15	15	Mdc
%	%	Z
udjela	udjel	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Isplata	isplata	Ncfsn
godišnje	godišnji	Agpfsgy
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
je	biti	Var3s
jednokratna	jednokratan	Agpfsny
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Intenzitet	intenzitet	Ncmsn
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
iznosi	iznositi	Vmr3s
100	100	Mdc
%	%	Z
ukupno	ukupno	Rgp
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
podstavka	podstavak	Ncmsg
b	b	X
)	)	Z
kada	kada	Cs
iznosi	iznositi	Vmr3s
25	25	Mdc
%	%	Z
od	od	Sg
troškova	trošak	Ncmpg
tiskanja	tiskanje	Ncnsg
etikete	etiketa	Ncfsg
ili	ili	Cc
deklaracije	deklaracija	Ncfsg
u	u	Sl
okviru	okvir	Ncmsl
koje	koji	Pi-nsn
je	biti	Var3s
i	i	Qo
znak	znak	Ncmsan
kvalitete	kvaliteta	Ncfsg
ili	ili	Cc
ekološki	ekološki	Agpmsny
znak	znak	Ncmsn
ili	ili	Cc
oznaka	oznaka	Ncfsn
da	da	Cs
je	biti	Var3s
proizvod	proizvod	Ncmsn
u	u	Sl
prelaznom	prelazan	Agpmsly
periodu	period	Ncmsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
temeljem	temelj	Ncmsi
Odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
svake	svaki	Pi-fsg
godine	godina	Ncfsg
dostavlja	dostavljati	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
sredstava	sredstvo	Ncnpg
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
ožujka	ožujak	Ncmsg
sljedeće	sljedeći	Agpfsgy
godine	godina	Ncfsg
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
korisnici	korisnik	Ncmpn

Članak	članak	Ncmsn
6.	6.	Mdo

Prihvatljivi	prihvatljiv	Agpmpny
korisnici	korisnik	Ncmpn
su	biti	Var3p
aktivni	aktivan	Agpmpny
poljoprivrednici	poljoprivrednik	Ncmpn
definirani	definirati	Appmpny
člankom	članak	Ncmsi
28.	28.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
i	i	Cc
uključeni	uključiti	Appmpny
u	u	Sa
EU	EU	Npmsan
ili	ili	Cc
nacionalni	nacionalan	Agpmsny
sustav	sustav	Ncmsn
kvalitete	kvaliteta	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
,	,	Z
podstavka	podstavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
u	u	Sa
sustav	sustav	Ncmsan
ekološke	ekološki	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
za	za	Sa
korisnike	korisnik	Ncmpa
u	u	Sl
sustavima	sustav	Ncmpl
kvalitete	kvaliteta	Ncfsg
za	za	Sa
poljoprivredne	poljoprivredni	Agpmpay
i	i	Cc
prehrambene	prehramben	Agpmpay
proizvode	proizvod	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
troškovi	trošak	Ncmpn
ulaska	ulazak	Ncmsg
u	u	Sa
sustav	sustav	Ncmsan
kvalitete	kvaliteta	Ncfsg

b	b	Npmsn
)	)	Z
godišnji	godišnji	Agpmpny
troškovi	trošak	Ncmpn
sudjelovanja	sudjelovanje	Ncnsg
u	u	Sl
sustavu	sustav	Ncmsl
kvalitete	kvaliteta	Ncfsg

c	C	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
stručne	stručan	Agpfsgy
kontrole	kontrola	Ncfsg
i	i	Cc
certifikacije	certifikacija	Ncfpa
ovlaštenog	ovlašten	Agpnsgy
kontrolnog	kontrolan	Agpnsgy
tijela	tijelo	Ncnsg
i	i	Cc

d	d	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
tiskanja	tiskanje	Ncnsg
znaka	znak	Ncmsg
kvalitete	kvaliteta	Ncfsg
u	u	Sa
svrhu	svrha	Ncfsa
označavanja	označavanje	Ncnsg
proizvoda	proizvod	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
za	za	Sa
korisnike	korisnik	Ncmpa
u	u	Sl
sustavu	sustav	Ncmsl
ekološke	ekološki	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
su	biti	Var3p
troškovi	trošak	Ncmpn
tiskanja	tiskanje	Ncnsg
ekološkog	ekološki	Agpmsgy
znaka	znak	Ncmsg
ili	ili	Cc
oznake	oznaka	Ncfsg
da	da	Cs
je	biti	Var3s
proizvod	proizvod	Ncmsn
u	u	Sl
prelaznom	prelazan	Agpmsly
periodu	period	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Znak	znak	Ncmsn
kvalitete	kvaliteta	Ncfsg
,	,	Z
ekološki	ekološki	Agpmsny
znak	znak	Ncmsn
i	i	Cc
oznaka	oznaka	Ncfsn
da	da	Cs
je	biti	Var3s
proizvod	proizvod	Ncmsn
u	u	Sl
prelaznom	prelazan	Agpmsly
periodu	period	Ncmsl
može	moći	Vmr3s
se	sebe	Px--sa
tiskati	tiskati	Vmn
:	:	Z

a	a	Cc
)	)	Z
samostalno	samostalno	Rgp
i	i	Cc

b	b	Npmsn
)	)	Z
u	u	Sl
okviru	okvir	Ncmsl
etikete	etiketa	Ncfsg
ili	ili	Cc
deklaracije	deklaracija	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
tiskanja	tiskanje	Ncnsg
na	na	Sl
računu	račun	Ncmsl
moraju	morati	Vmr3p
biti	biti	Van
izdvojeni	izdvojiti	Appmpny
od	od	Sg
troškova	trošak	Ncmpg
ambalaže	ambalaža	Ncfsg
koji	koji	Pi-mpn
nisu	biti	Var3p
prihvatljivi	prihvatljiv	Agpmpny
.	.	Z

Uvjeti	uvjet	Ncmpn
prihvatljivosti	prihvatljivost	Ncfsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
prvu	prvi	Agpfsay
potvrdu	potvrda	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
proizvoda	proizvod	Ncmpg
sa	sa	Si
specifikacijom	specifikacija	Ncfsi
o	o	Sl
provedenoj	provesti	Agpfsly
kontroli	kontrola	Ncfsl
u	u	Sl
godini	godina	Ncfsl
prije	prije	Sg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
,	,	Z
ili	ili	Cc
potpisan	potpisati	Appmsnn
Ugovor	ugovor	Ncmsn
/	/	Z
Sporazum	sporazum	Ncmsn
o	o	Sl
poslovnoj	poslovan	Agpfsly
suradnji	suradnja	Ncfsl
s	sa	Si
jednim	jedan	Mlcmsi
od	od	Sg
ovlaštenih	ovlašten	Agpnpgy
kontrolnih	kontrolan	Agpnpgy
tijela	tijelo	Ncnpg
za	za	Sa
potvrđivanje	potvrđivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
sa	sa	Si

