nadziranom	nadzirati	Agpnsly
državnog	državni	Agpmsgy
službenika	službenik	Ncmsg
u	u	Sl
Odjelu	odjel	Ncmsl
za	za	Sa
upravni	upravan	Agpmsayn
nadzor	nadzor	Ncmsan
izdaje	izdavati	Vmr3s
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iskaznica	iskaznica	Ncfsn
se	sebe	Px--sa
izrađuje	izrađivati	Vmr3s
sublimacijskim	sublimacijski	Agpmsiy
ispisom	ispis	Ncmsi
na	na	Sl
računalnom	računalni	Agpmsly
sustavu	sustav	Ncmsl
za	za	Sa
izradu	izrada	Ncfsa
službenih	služben	Agpfpgy
iskaznica	iskaznica	Ncfpg
TIM	tim	Ncmsn
–	–	Z
ID1	ID1	Y
,	,	Z
kao	kao	Cs
plastična	plastičan	Agpfsny
kartica	kartica	Ncfsn
pravokutnog	pravokutan	Agpmsgy
oblika	oblik	Ncmsg
,	,	Z
svijetlo	svijetlo	Rgp
zelene	zelen	Agpfsgy
boje	boja	Ncfsg
,	,	Z
izmjere	izmjera	Ncfsg
85,6	85,6	Mdc
×	×	Z
54	54	Mdc
mm	mm	Y
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Iskaznica	iskaznica	Ncfsn
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

a	a	Cc
)	)	Z
na	na	Sl
prednjoj	prednji	Agpfsly
strani	strana	Ncfsl
:	:	Z

1.	1.	Mdo
utisnuti	utisnuti	Vmn
grb	grb	Ncmsan
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z

2.	2.	Mdo
natpis	natpis	Ncmsn
»	»	Z
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
«	«	Z
,	,	Z

3.	3.	Mdo
natpis	natpis	Ncmsn
»	»	Z
Ministarstvo	ministarstvo	Ncnsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
«	«	Z
,	,	Z

4.	4.	Mdo
naziv	naziv	Ncmsn
Upravni	upravan	Agpmsny
nadzor	nadzor	Ncmsn

5.	5.	Mdo
mjesto	mjesto	Ncnsa
za	za	Sa
fotografiju	fotografija	Ncfsa
veličine	veličina	Ncfsg
28	28	Mdc
×	×	Z
32	32	Mdc
mm	mm	Y
preko	preko	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
u	u	Sl
donjem	donji	Agpmsly
lijevom	lijevi	Agpmsly
kutu	kut	Ncmsl
otiskuje	otiskivati	Vmr3s
pečat	pečat	Ncmsan
Ministarstva	ministarstvo	Ncnsg
,	,	Z

6.	6.	Mdo
osobno	osoban	Agpnsay
ime	ime	Ncnsa
nositelja	nositelj	Ncmsg
iskaznice	iskaznica	Ncfsg
,	,	Z

7.	7.	Mdo
serijski	serijski	Agpmsny
broj	broj	Ncmsn
iskaznice	iskaznica	Ncfsg
;	;	Z

b	b	Npmsn
)	)	Z
na	na	Sl
poleđini	poleđina	Ncfsl
:	:	Z

8.	8.	Mdo
tekst	tekst	Ncmsn
ovlasti	ovlast	Ncfsg
nositelja	nositelj	Ncmsg
iskaznice	iskaznica	Ncfsg
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

9.	9.	Mdo
»	»	Z
Nositelj	nositelj	Ncmsn
ove	ovaj	Pd-fsg
iskaznice	iskaznica	Ncfsg
ima	imati	Vmr3s
ovlasti	ovlast	Ncfsg
utvrđene	utvrditi	Appfsgy
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
241.	241.	Mdo
,	,	Z
246.	246.	Mdo
i	i	Cc
247.	247.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
socijalnoj	socijalan	Agpfsly
skrbi	skrb	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
157/13	157/13	Mds
i	i	Cc
152/14	152/14	Mdc
)	)	Z
«	«	Z
.	.	Z

10.	10.	Mdo
evidencijski	evidencijski	Agpmsny
broj	broj	Ncmsn
iskaznice	iskaznica	Ncfsg

11.	11.	Mdo
nadnevak	nadnevak	Ncmsn
izdavanja	izdavanje	Ncnsg
iskaznice	iskaznica	Ncfsg
,	,	Z

12.	12.	Mdo
mjesto	mjesto	Ncnsa
pečata	pečat	Ncmsg
i	i	Cc
potpis	potpis	Ncmsan
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
.	.	Z

Očevidnik	očevidnik	Ncmsn

Članak	članak	Ncmsn
16.	16.	Mdo

O	o	Sl
provedenom	provesti	Agpmsly
nadzoru	nadzor	Ncmsl
i	i	Cc
poduzetim	poduzet	Agpfply
mjerama	mjera	Ncfpl
državni	državni	Agpmpny
službenici	službenik	Ncmpn
obvezni	obvezan	Agpmpny
su	biti	Var3p
voditi	voditi	Vmn
očevidnik	očevidnik	Ncmsn
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

–	i	Agpfsny
KLASA	klasa	Ncfsn
i	i	Cc
URBROJ	urbroj	Ncmsn
predmeta	predmet	Ncmsg
upravnog	upravan	Agpmsgy
nadzora	nadzor	Ncmsg

–	–	Agpmsny
naziv	naziv	Ncmsn
i	i	Cc
adresa	adresa	Ncfsn
ustanove	ustanova	Ncfsg
odnosno	odnosno	Rgp
tijela	tijelo	Ncnsg
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z

–	–	Sa
datum	datum	Ncmsan
provođenja	provođenje	Ncnsg
upravnog	upravan	Agpmsgy
nadzora	nadzor	Ncmsg

–	–	Agpmsny
povod	povod	Ncmsn
za	za	Sa
provođenje	provođenje	Ncnsa
nadzora	nadzor	Ncmsg

–	i	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
provedenom	provesti	Agpmsly
upravnom	upravan	Agpmsly
nadzoru	nadzor	Ncmsl

–	i	Agpnsay
očitovanje	očitovanje	Ncnsa
o	o	Sl
provedbi	provedba	Ncfsl
naloženih	naložiti	Agpfpgy
mjera	mjera	Ncfpg

–	–	Pd-fsg
napomene	napomena	Ncfsg
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Obrazac	obrazac	Ncmsn
službene	služben	Agpfsgy
iskaznice	iskaznica	Ncfsg
sastavni	sastavan	Agpmsny
je	biti	Var3s
dio	dio	Ncmsn
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
04/12	04/12	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
519	519	Mdc
-	-	Z
03	03	Mdc
-	-	Z
1	1	Mdc
-	-	Z
1/1	1/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
5.	5.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo

Potpredsjednica	potpredsjednica	Ncfsn
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
i	i	Cc
ministrica	ministrica	Ncfsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
Milanka	Milanka	Npfsn
Opačić	Opačić	Npfsn
,	,	Z
v.	v.	Y
r.	r.	Y

