odgovarajući	odgovarajući	Agpmsny
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Ako	ako	Cs
uvoznik	uvoznik	Ncmsn
smatra	smatrati	Vmr3s
ili	ili	Cc
ima	imati	Vmr3s
razloga	razlog	Ncmpg
vjerovati	vjerovati	Vmn
da	da	Cs
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklop	sklop	Ncmsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
osnovnim	osnovan	Agpmpiy
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
,	,	Z
ne	ne	Qz
stavlja	stavljati	Vmr3s
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
ili	ili	Cc
sklop	sklop	Ncmsan
na	na	Sa
tržište	tržište	Ncnsa
sve	sav	Agpnsay
dok	dok	Cs
se	sebe	Px--sa
ne	ne	Qz
provede	provesti	Vmr3s
njihovo	njihov	Agpnsay
usklađivanje	usklađivanje	Ncnsa
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
ako	ako	Cs
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklop	sklop	Ncmsn
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
,	,	Z
uvoznik	uvoznik	Ncmsn
o	o	Sl
tome	taj	Pd-nsl
mora	morati	Vmr3s
obavijestiti	obavijestiti	Vmn
proizvođača	proizvođač	Ncmsg
i	i	Cc
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uvoznici	uvoznik	Ncmpn
na	na	Sl
tlačnoj	tlačni	Agpfsly
opremi	oprema	Ncfsl
ili	ili	Cc
sklopu	sklop	Ncmsl
ili	ili	Cc
,	,	Z
kad	kad	Rgp
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
,	,	Z
na	na	Sl
njegovu	njegov	Ps3nsl
pakiranju	pakiranje	Ncnsl
ili	ili	Cc
u	u	Sl
dokumentu	dokument	Ncmsl
priloženom	priložen	Agpmsly
tlačnoj	tlačni	Agpfsly
opremi	oprema	Ncfsl
ili	ili	Cc
sklopu	sklop	Ncmsl
,	,	Z
dužni	dužan	Agpmpny
su	biti	Var3p
navesti	navesti	Vmn
svoje	svoj	Px-nsa
ime	ime	Ncnsa
,	,	Z
registrirano	registriran	Agpnsny
trgovačko	trgovački	Agpnsny
ime	ime	Ncnsn
ili	ili	Cc
registrirani	registriran	Agpmsayn
trgovački	trgovački	Agpmsayn
znak	znak	Ncmsan
i	i	Cc
poštansku	poštanski	Agpfsay
adresu	adresa	Ncfsa
na	na	Sl
kojoj	koji	Pi-fsl
su	biti	Var3p
dostupni	dostupan	Agpmpny
.	.	Z

Kontaktni	kontaktan	Agpmpny
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
ili	ili	Cc
jeziku	jezik	Ncmsl
koji	koji	Pi-msn
bez	bez	Sg
teškoća	teškoća	Ncfpg
razumiju	razumjeti	Vmr3p
potrošači	potrošač	Ncmpn
,	,	Z
ostali	ostali	Agpmpny
korisnici	korisnik	Ncmpn
i	i	Cc
nadležno	nadležan	Agpnsny
inspekcijsko	inspekcijski	Agpnsny
tijelo	tijelo	Ncnsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uvoznici	uvoznik	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
su	biti	Var3p
uz	uz	Sa
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
ili	ili	Cc
sklopove	sklop	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
priložene	priložen	Agpfsgy
upute	uputa	Ncfsg
i	i	Cc
podaci	podatak	Ncmpn
o	o	Sl
sigurnosti	sigurnost	Ncfsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkama	točka	Ncfpi
3.3.	3.	Agpfpiy
i	i	Cc
3.4.	3.4.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

Uvoznici	uvoznik	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
su	biti	Var3p
tlačnoj	tlačni	Agpfsly
opremi	oprema	Ncfsl
ili	ili	Cc
sklopovima	sklop	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
priložene	priložen	Agpfsgy
upute	uputa	Ncfsg
i	i	Cc
podaci	podatak	Ncmpn
o	o	Sl
sigurnosti	sigurnost	Ncfsl
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Uvoznici	uvoznik	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
,	,	Z
dok	dok	Cs
su	biti	Var3p
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklopovi	sklop	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
pod	pod	Si
njihovom	njihov	Ps3fsi
odgovornošću	odgovornost	Ncfsi
,	,	Z
uvjeti	uvjet	Ncmpn
skladištenja	skladištenje	Ncnsg
ili	ili	Cc
prijevoza	prijevoz	Ncmsg
ne	ne	Qz
ugroze	ugroziti	Vmr3p
njihovu	njihov	Ps3fsa
sukladnost	sukladnost	Ncfsa
sa	sa	Si
osnovnim	osnovan	Agpmpiy
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
Dodatka	dodatak	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Kad	kad	Cs
to	taj	Pd-nsa
smatraju	smatrati	Vmr3p
prikladnim	prikladan	Agpmsiy
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
rizike	rizik	Ncmpa
koje	koji	Pi-mpa
predstavljaju	predstavljati	Vmr3p
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklopovi	sklop	Ncmpn
,	,	Z
a	a	Cc
kako	kako	Cs
bi	biti	Vaa3p
zaštitili	zaštititi	Vmp-pm
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsn
potrošača	potrošač	Ncmpg
i	i	Cc
ostalih	ostali	Agpmpgy
korisnika	korisnik	Ncmpg
,	,	Z
uvoznici	uvoznik	Ncmpn
ispituju	ispitivati	Vmr3p
uzorke	uzorak	Ncmpa
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
i	i	Cc
sklopova	sklop	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
stavljeni	staviti	Appmpny
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
,	,	Z
istražuju	istraživati	Vmr3p
i	i	Cc
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
vode	voditi	Vmr3p
registar	registar	Ncmsan
pritužbi	pritužba	Ncfpg
,	,	Z
nesukladne	nesukladan	Agpfsgy
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
ili	ili	Cc
sklopova	sklop	Ncmpg
i	i	Cc
njihovih	njihov	Ps3mpg
povrata	povrat	Ncmpg
te	te	Cc
o	o	Sl
svakom	svaki	Pi-msl
takvom	takav	Pd-nsl
praćenju	praćenje	Ncnsl
obavješćuju	obavješćivati	Vmr3p
distributere	distributer	Ncmpa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Uvoznici	uvoznik	Ncmpn
koji	koji	Pi-mpn
smatraju	smatrati	Vmr3p
ili	ili	Cc
imaju	imati	Vmr3p
razloga	razlog	Ncmpg
vjerovati	vjerovati	Vmn
da	da	Cs
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklopovi	sklop	Ncmpn
koje	koji	Pi-mpa
su	biti	Var3p
stavili	staviti	Vmp-pm
na	na	Sa
tržište	tržište	Ncnsa
nisu	biti	Var3p
sukladni	sukladan	Agpmpny
s	sa	Si
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
moraju	morati	Vmr3p
odmah	odmah	Rgp
poduzeti	poduzeti	Vmn
potrebne	potreban	Agpfpay
radnje	radnja	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
tu	taj	Pd-fsa
tlačnu	tlačni	Agpfsay
opremu	oprema	Ncfsa
ili	ili	Cc
sklop	sklop	Ncmsan
po	po	Sl
potrebi	potreba	Ncfsl
uskladili	uskladiti	Vmp-pm
,	,	Z
povukli	povući	Vmp-pm
s	sa	Sg
tržišta	tržište	Ncnsg
ili	ili	Cc
izvršili	izvršiti	Vmp-pm
povrat	povrat	Ncmsan
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
ako	ako	Cs
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklop	sklop	Ncmsn
predstavlja	predstavljati	Vmr3s
rizik	rizik	Ncmsan
,	,	Z
uvoznici	uvoznik	Ncmpn
o	o	Sl
tome	taj	Pd-nsl
moraju	morati	Vmr3p
odmah	odmah	Rgp
obavijestiti	obavijestiti	Vmn
nadležno	nadležan	Agpnsay
inspekcijsko	inspekcijski	Agpnsay
tijelo	tijelo	Ncnsa
navodeći	navoditi	Rr
pojedinosti	pojedinost	Ncfpa
,	,	Z
posebno	posebno	Rgp
o	o	Sl
nesukladnosti	nesukladnost	Ncfsl
i	i	Cc
o	o	Sl
svim	sav	Agpnply
poduzetim	poduzet	Agpfply
popravnim	popravni	Agpfply
mjerama	mjera	Ncfpl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Uvoznici	uvoznik	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
deset	deset	Mlc
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
su	biti	Var3p
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklop	sklop	Ncmsan
stavljeni	staviti	Appmpny
na	na	Sa
tržište	tržište	Ncnsa
osigurati	osigurati	Vmn
primjerak	primjerak	Ncmsan
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
nadležnim	nadležan	Agpnply
inspekcijskim	inspekcijski	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
osigurati	osigurati	Vmn
da	da	Cs
tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
bude	biti	Var3s
raspoloživa	raspoloživ	Agpfsny
tim	taj	Pd-nsi
tijelima	tijelo	Vmr3s
na	na	Sa
njihov	njihov	Ps3msan
zahtjev	zahtjev	Ncmsan
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Na	na	Sl
temelju	temelj	Ncmsl
obrazloženog	obrazložiti	Agpmsgy
zahtjeva	zahtjev	Ncmsg
nadležnog	nadležan	Agpnsgy
inspekcijskog	inspekcijski	Agpnsgy
tijela	tijelo	Ncnsg
uvoznici	uvoznik	Ncmpn
tom	taj	Pd-nsl
tijelu	tijelo	Ncnsl
moraju	morati	Vmr3p
dostaviti	dostaviti	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
dokumente	dokument	Ncmpa
potrebne	potreban	Agpfpny
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
ili	ili	Cc
sklopa	sklop	Ncmsg
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
ili	ili	Cc
jeziku	jezik	Ncmsd
koje	koji	Pi-nsn
to	taj	Pd-nsn
tijelo	tijelo	Ncnsn
bez	bez	Sg
teškoća	teškoća	Ncfpg
razumije	razumjeti	Vmr3s
.	.	Z

Ti	taj	Pd-mpn
se	sebe	Px--sa
podaci	podatak	Ncmpn
i	i	Cc
dokumentacija	dokumentacija	Ncfsn
mogu	moći	Vmr3p
dostaviti	dostaviti	Vmn
u	u	Sl
papirnatom	papirnat	Agpmsly
ili	ili	Cc
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
.	.	Z

Na	na	Sa
zahtjev	zahtjev	Ncmsan
nadležnog	nadležan	Agpnsgy
inspekcijskog	inspekcijski	Agpnsgy
tijela	tijelo	Ncnsg
uvoznici	uvoznik	Ncmpn
su	biti	Var3p
s	sa	Si
njim	on	Pp3msi
dužni	dužan	Agpmpny
surađivati	surađivati	Vmn
u	u	Sl
svakoj	svaki	Pi-fsl
radnji	radnja	Ncfsl
poduzetoj	poduzet	Agpfsly
radi	rada	Ncfsl
uklanjanja	uklanjanje	Ncnsg
rizika	rizik	Ncmpg
koje	koji	Pi-mpa
predstavljaju	predstavljati	Vmr3p
tlačna	tlačni	Agpfsny
oprema	oprema	Ncfsn
ili	ili	Cc
sklop	sklop	Ncfpg
koje	koji	Pi-fpa
su	biti	Var3p
stavili	staviti	Vmp-pm
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

Obveze	obveza	Ncfpn
distributera	distributer	Ncmpg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
stavljanja	stavljanje	Ncnsg
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
ili	ili	Cc
sklopova	sklop	Ncmpg
na	na	Sa
raspolaganje	raspolaganje	Ncnsa

