OVLAŠĆIVANJA	ovlašćivanje	Ncnsg
odvojene	odvojiti	Agpfsgy
radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	–	Z
s	sa	Si
tekućom	tekući	Agpfsiy
vodom	voda	Ncfsi
,	,	Z
radnim	radni	Agpfpiy
površinama	površina	Ncfpi
i	i	Cc
digestorom	digestor	Ncmsi
,	,	Z

–	i	Agpnsny
za	za	Sa
smještaj	smještaj	Ncmsan
analitičkih	analitički	Agpmpgy
instrumenata	instrument	Ncmpg
,	,	Z

–	i	Agpnsny
za	za	Sa
pranje	pranje	Ncnsa
i	i	Cc
sušenje	sušenje	Ncnsa
laboratorijskog	laboratorijski	Agpnsgy
posuđa	posuđe	Ncnsg
i	i	Cc

–	i	Agpnsny
za	za	Sa
obradu	obrada	Ncfsa
rezultata	rezultat	Ncmpg
i	i	Cc
pripremu	priprema	Ncfsa
izvješća	izvješće	Ncnsg
.	.	Z

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
kemijskih	kemijski	Agpmpgy
pokazatelja	pokazatelj	Ncmpg
u	u	Sl
vodi	voda	Ncfsl
mora	morati	Vmr3s
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
zakupu	zakup	Ncmsl
odvojene	odvojiti	Appfpny
radne	radni	Agpfpny
prostorije	prostorija	Ncfpn
navedene	navesti	Appfpny
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
i	i	Cc
dodatne	dodatan	Agpfsgy
radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	i	Agpnsny
za	za	Sa
pripremu	priprema	Ncfsa
uzoraka	uzorak	Ncmpg
i	i	Cc

–	–	Sa
instrumentalna	instrumentalan	Agpnpay
analitička	analitički	Agpnpay
ispitivanja	ispitivanje	Ncnpa
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
ispitivanjima	ispitivanje	Ncnpl
koja	koji	Pi-fsn
obavlja	obavljati	Vmr3s
.	.	Z

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
bioloških	biološki	Agpmpgy
pokazatelja	pokazatelj	Ncmpg
u	u	Sl
vodi	voda	Ncfsl
mora	morati	Vmr3s
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
zakupu	zakup	Ncmsl
odvojene	odvojiti	Agpfsgy
radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	i	Agpnsny
za	za	Sa
pripremu	priprema	Ncfsa
uzoraka	uzorak	Ncmpg
,	,	Z
biološka	biološki	Agpnpny
ispitivanja	ispitivanje	Ncnpn
i	i	Cc
mikroskopiranje	mikroskopiranje	Ncnsa
,	,	Z

–	i	Agpnsny
za	za	Sa
pranje	pranje	Ncnsa
i	i	Cc
sušenje	sušenje	Ncnsa
laboratorijskog	laboratorijski	Agpnsgy
posuđa	posuđe	Ncnsg
i	i	Cc

–	i	Agpnsny
za	za	Sa
obradu	obrada	Ncfsa
rezultata	rezultat	Ncmpg
i	i	Cc
pripremu	priprema	Ncfsa
izvješća	izvješće	Ncnsg
.	.	Z

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
mikrobioloških	mikrobiološki	Agpmpgy
pokazatelja	pokazatelj	Ncmpg
u	u	Sl
vodi	voda	Ncfsl
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
,	,	Z
zakupu	zakup	Ncmsl
ili	ili	Cc
najmu	najam	Ncmsl
odvojene	odvojiti	Agpfsgy
radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	i	Agpnsny
za	za	Sa
nacjepljivanje	nacjepljivanje	Ncnsa
i	i	Cc
očitavanje	očitavanje	Ncnsa
rezultata	rezultat	Ncmpg
,	,	Z

–	i	Agpnsny
za	za	Sa
pranje	pranje	Ncnsa
i	i	Cc
sterilizaciju	sterilizacija	Ncfsa
pribora	pribor	Ncmpg
,	,	Z
opreme	oprema	Ncfsg
i	i	Cc
laboratorijskog	laboratorijski	Agpnsgy
posuđa	posuđe	Ncnsg
i	i	Cc

–	i	Agpnsny
za	za	Sa
obradu	obrada	Ncfsa
rezultata	rezultat	Ncmpg
i	i	Cc
pripremu	priprema	Ncfsa
izvješća	izvješće	Ncnsg
.	.	Z

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
ekotoksikoloških	ekotoksikološki	Agpmpgy
pokazatelja	pokazatelj	Ncmpg
u	u	Sl
vodi	voda	Ncfsl
,	,	Z
uz	uz	Sa
prostorije	prostorija	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
i	i	Cc
4.	4.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
zakupu	zakup	Ncmsl
radne	radni	Agpfsgy
prostorije	prostorija	Ncfsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	–	Z
s	sa	Si
mogućnošću	mogućnost	Ncfsi
podešavanja	podešavanje	Ncnsg
i	i	Cc
održavanja	održavanje	Ncnsg
stalne	stalan	Agpfsgy
temperature	temperatura	Ncfsg
za	za	Sa
određivanje	određivanje	Ncnsa
biološke	biološki	Agpfsgy
razgradnje	razgradnja	Ncfsg
i	i	Cc

–	i	Agpnsny
za	za	Sa
određivanje	određivanje	Ncnsa
toksičnosti	toksičnost	Ncfsg
na	na	Sa
indikatorske	indikatorski	Agpmpay
organizme	organizam	Ncmpa
.	.	Z

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
voda	voda	Ncfpg
za	za	Sa
dvije	dva	Mlcf-a
ili	ili	Cc
više	mnogo	Rgc
skupina	skupina	Ncfpg
pokazatelja	pokazatelj	Ncmpg
ili	ili	Cc
za	za	Sa
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
pokazatelja	pokazatelj	Ncmpg
iz	iz	Sg
različitih	različit	Agpfpgy
skupina	skupina	Ncfpg
pokazatelja	pokazatelj	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
može	moći	Vmr3s
umjesto	umjesto	Sg
prostorija	prostorija	Ncfpg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
zakupu	zakup	Ncmsl
zajedničku	zajednički	Agpfsay
prostoriju	prostorija	Ncfsa
za	za	Sa
pranje	pranje	Ncnsa
i	i	Cc
sušenje	sušenje	Ncnsa
laboratorijskog	laboratorijski	Agpnsgy
posuđa	posuđe	Ncnsg
i	i	Cc
zajedničku	zajednički	Agpfsay
prostoriju	prostorija	Ncfsa
za	za	Sa
obradu	obrada	Ncfsa
rezultata	rezultat	Ncmpg
i	i	Cc
pripremu	priprema	Ncfsa
izvješća	izvješće	Ncnsg
.	.	Z

2.	2.	Mdo
Oprema	oprema	Ncfsn
i	i	Cc
pribor	pribor	Ncmsan

Stranka	stranka	Ncfsn
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
uzimanja	uzimanje	Ncnsg
uzoraka	uzorak	Ncmpg
i	i	Cc
ispitivanja	ispitivanje	Ncnsg
fizikalno-kemijskih	fizikalno-kemijski	Agpfpgy
i	i	Cc
kemijskih	kemijski	Agpmpgy
pokazatelja	pokazatelj	Ncmpg
u	u	Sl
vodi	voda	Ncfsl
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
pokazatelju	pokazatelj	Ncmsl
za	za	Sa
čije	čiji	Pi-nsa
se	sebe	Agpnsay
ispitivanje	ispitivanje	Ncnsa
ovlašćuje	ovlašćivati	Vmr3s
,	,	Z
mora	morati	Vmr3s
imati	imati	Vmn
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
leasingu	leasing	Ncmsl
sljedeću	sljedeći	Agpfsay
opremu	oprema	Ncfsa
i	i	Cc
pribor	pribor	Ncmsan
:	:	Z

–	i	Agpfsay
analitičku	analitički	Agpfsay
vagu	vaga	Ncfsa
s	sa	Si
ispitnim	ispitan	Agpmsiy
podjeljkom	podjeljak	Ncmsi
ljestvice	ljestvica	Ncfsg
od	od	Sg
0,0001	0,0001	Mdc
g	g	Y
,	,	Z

–	i	Agpfsay
tehničku	tehnički	Agpfsay
vagu	vaga	Ncfsa
,	,	Z

–	–	Mlomsn
sušionik	sušionik	Ncmsn
s	sa	Si
podešavanjem	podešavanje	Ncnsi
temperature	temperatura	Ncfsg
do	do	Sg
250	250	Mdc
°	°	Z
C	C	X
,	,	Z

–	–	Pd-fsa
električnu	električan	Agpfsay
peć	peć	Ncfsa
za	za	Sa
žarenje	žarenje	Ncnsa
s	sa	Si
podešavanjem	podešavanje	Ncnsi
temperature	temperatura	Ncfsg
do	do	Sg
600	600	Mdc
°	°	Z
C	C	X
,	,	Z

–	–	Z
termostat	termostat	Ncmsan
na	na	Sa
20	20	Mdc
°	°	Z
C	C	X
,	,	Z

–	–	Pd-fsa
vodenu	voden	Agpfsay
kupelj	kupelj	Ncfsa
za	za	Sa
uparavanje	uparavanje	Ncnsa
,	,	Z

–	–	Z
UV	UV	Npmsn
/	/	Z
VIS	VIS	Npmsn
spektrofotometar	spektrofotometar	Ncmsn
ili	ili	Cc
fotometar	fotometar	Qq
ili	ili	Cc
automatski	automatski	Agpmsny
analizator	analizator	Ncmsn
ili	ili	Cc
ionski	ionski	Agpmsny
kromatograf	kromatograf	Ncmsn
,	,	Z

–	–	Agpmsayn
hladnjak	hladnjak	Ncmsan
,	,	Z

–	–	Agpmsny
konduktometar	konduktometar	Ncmsn
,	,	Z

–	–	Sa
pH	PH	Agpmsayn
metar	metar	Ncmsan
,	,	Z

–	–	Agpmsny
eksikator	eksikator	Ncmsn
,	,	Z

–	ti	Rr
digestor	digestor	Ncmsan
,	,	Z

–	–	Sa
vakuum	vakuum	Ncmsan
sisaljku	sisaljka	Ncfsa
i	i	Cc
pribor	pribor	Ncmsan
za	za	Sa
filtraciju	filtracija	Ncfsa
,	,	Z

–	–	Z
uređaj	uređaj	Ncmsan
za	za	Sa
pripravu	priprava	Ncfsa
čiste	čist	Agpfsgy
laboratorijske	laboratorijski	Agpfsgy
vode	voda	Ncfsg
,	,	Z

–	i	Agpmpay
termometre	termometar	Ncmpa
,	,	Z

–	i	Agpnsay
laboratorijsko	laboratorijski	Agpnsay
posuđe	posuđe	Ncnsa
i	i	Cc
pribor	pribor	Ncmsn
,	,	Z
kemikalije	kemikalija	Ncfpn
,	,	Z

–	i	Agpfsay
opremu	oprema	Ncfsa
za	za	Sa
uzimanje	uzimanje	Ncnsa
uzoraka	uzorak	Ncmpg
vode	voda	Ncfsg
,	,	Z

–	–	Agpmsny
atomski	atomski	Agpmsny
apsorpcijski	apsorpcijski	Agpmsny
spektrometar	spektrometar	Ncmsn
s	sa	Si
plamenom	plamen	Ncmsi
,	,	Z
elektrotermičkom	elektrotermički	Agpmsly
i	i	Cc
hidridnom	hidridan	Agpfsiy
tehnikom	tehnika	Ncfsi
,	,	Z
i	i	Cc
/	/	Z
ili	ili	Cc
maseni	masen	Agpmsny
spektrometar	spektrometar	Ncmsn
s	sa	Si
induktivno	induktivno	Rgp
spregnutom	spregnuti	Agpfsiy
plazmom	plazma	Ncfsi
ili	ili	Cc
optički	optički	Agpmsayn
emisijski	emisijski	Agpmsayn
spektrometar	spektrometar	Ncmsan
s	sa	Si
induktivno	induktivno	Rgp
spregnutom	spregnuti	Agpfsiy
plazmom	plazma	Ncfsi

