članice	članica	Ncfpn
savjetnika	savjetnik	Ncmsg
ili	ili	Cc
posrednika	posrednik	Ncmpg
,	,	Z
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
imateljem	imatelj	Ncmsi
računa	račun	Ncmsg
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
nego	nego	Cc
se	sebe	Px--sa
imateljem	imatelj	Ncmsi
računa	račun	Ncmsg
smatra	smatrati	Vmr3s
ta	taj	Pd-fsn
druga	drugi	Mlofsn
osoba	osoba	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
,	,	Z
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
je	biti	Var3s
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
pristupa	pristup	Ncmsg
novčanoj	novčan	Agpfsly
vrijednosti	vrijednost	Ncfsl
ili	ili	Cc
pravo	pravo	Ncnsa
na	na	Sa
promjenu	promjena	Ncfsa
korisnika	korisnik	Ncmpg
ugovora	ugovor	Ncmsg
.	.	Z

Ako	ako	Cs
nitko	nitko	Pi3m-n
ne	ne	Qz
može	moći	Vmr3s
pristupiti	pristupiti	Vmn
novčanoj	novčan	Agpfsly
vrijednosti	vrijednost	Ncfsl
ili	ili	Cc
ne	ne	Qz
može	moći	Vmr3s
promijeniti	promijeniti	Vmn
korisnika	korisnik	Ncmsay
,	,	Z
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
je	biti	Var3s
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
navedena	navesti	Appfsny
u	u	Sl
ugovoru	ugovor	Ncmsl
kao	kao	Cs
vlasnik	vlasnik	Ncmsn
,	,	Z
kao	kao	Cs
i	i	Qo
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
na	na	Sa
koju	koji	Pi-fsa
je	biti	Var3s
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
uvjeta	uvjet	Ncmsg
ugovora	ugovor	Ncmsg
,	,	Z
preneseno	prenesen	Agpnsay
pravo	pravo	Ncnsa
na	na	Sa
primitak	primitak	Ncmsan
isplate	isplata	Ncfsg
.	.	Z

Po	po	Sl
dospijeću	dospijeće	Ncnsl
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
,	,	Z
svaka	svaki	Pi-fsn
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
primitak	primitak	Ncmsan
isplate	isplata	Ncfsg
po	po	Sl
ugovoru	ugovor	Ncmsl
smatra	smatrati	Vmr3s
se	sebe	Px--sa
imateljem	imatelj	Ncmsi
računa	račun	Ncmsg
.	.	Z

8.2.	8.2.	Mdo

Postupci	postupak	Ncmpn
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
pranja	pranje	Ncnsg
novca	novac	Ncmsg
i	i	Cc
financiranja	financiranje	Ncnsg
terorizma	terorizam	Ncmsg

Članak	članak	Ncmsn
85.	85.	Mdo

Postupci	postupak	Ncmpn
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
pranja	pranje	Ncnsg
novca	novac	Ncmsg
i	i	Cc
financiranja	financiranje	Ncnsg
terorizma	terorizam	Ncmsg
podrazumijevaju	podrazumijevati	Vmr3p
postupke	postupak	Ncmpa
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
stranke	stranka	Ncfsg
koje	koji	Pi-fpa
provodi	provoditi	Vmr3s
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
uvjetima	uvjet	Ncmpi
o	o	Sl
sprječavanju	sprječavanje	Ncnsl
pranja	pranje	Ncnsg
novca	novac	Ncmsg
ili	ili	Cc
sličnim	sličan	Agpmply
uvjetima	uvjet	Ncmpl
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
takvu	takav	Pd-fsa
izvještajnu	izvještajni	Agpfsay
financijsku	financijski	Agpfsay
instituciju	institucija	Ncfsa
.	.	Z

8.3.	8.3.	Mdo

Subjekt	subjekt	Ncmsn

Članak	članak	Ncmsn
86.	86.	Mdo

Subjekt	subjekt	Ncmsn
podrazumijeva	podrazumijevati	Vmr3s
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
ili	ili	Cc
pravni	pravni	Agpmsayn
aranžman	aranžman	Ncmsan
kao	kao	Cs
što	što	Cs
je	biti	Var3s
trgovačko	trgovački	Agpnsny
društvo	društvo	Ncnsn
,	,	Z
partnerstvo	partnerstvo	Ncnsn
,	,	Z
trust	trust	Ncmsn
ili	ili	Cc
zaklada	zaklada	Ncfsn
.	.	Z

8.4.	8.4.	Mdo

Povezani	povezan	Agpmsny
subjekt	subjekt	Ncmsn

Članak	članak	Ncmsn
87.	87.	Mdo

Subjekt	subjekt	Ncmsn
je	biti	Var3s
povezani	povezan	Agpmsny
subjekt	subjekt	Ncmsn
drugog	drugi	Mlomsg
subjekta	subjekt	Ncmsg
ako	ako	Cs
:	:	Z

1.	1.	Mdo
jedan	jedan	Mlcmsn
od	od	Sg
tih	taj	Pd-mpg
subjekata	subjekt	Ncmpg
nadzire	nadzirati	Vmr3s
drugi	drugi	Mlomsan
subjekt	subjekt	Ncmsan
,	,	Z

2.	2.	Mdo
oba	oba	Ncfsn
subjekta	subjekt	Ncmsg
su	biti	Var3p
pod	pod	Si
zajedničkim	zajednički	Agpmsiy
nadzorom	nadzor	Ncmsi
ili	ili	Cc

3.	3.	Mdo
oba	oba	Ncfsn
subjekta	subjekt	Ncmsg
su	biti	Var3p
investicijski	investicijski	Agpmpny
subjekti	subjekt	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
52.	52.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
pod	pod	Si
zajedničkom	zajednički	Agpfsiy
upravom	uprava	Ncfsi
,	,	Z
a	a	Cc
takva	takav	Pd-fsn
uprava	uprava	Ncfsn
ispunjava	ispunjavati	Vmr3s
obveze	obveza	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
dubinskom	dubinski	Agpfsiy
analizom	analiza	Ncfsi
takvih	takav	Pd-mpg
investicijskih	investicijski	Agpmpgy
subjekata	subjekt	Ncmpg
.	.	Z

U	u	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
,	,	Z
kontrola	kontrola	Ncfsn
uključuje	uključivati	Vmr3s
izravno	izravno	Rgp
ili	ili	Cc
neizravno	neizravan	Agpnsay
vlasništvo	vlasništvo	Ncnsa
od	od	Sg
50	50	Mdc
%	%	Z
glasačkih	glasački	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
vrijednosti	vrijednost	Ncfsg
u	u	Sl
subjektu	subjekt	Ncmsl
.	.	Z

8.5.	8.5.	Mdo

Porezni	porezni	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn

Članak	članak	Ncmsn
88.	88.	Mdo

Porezni	porezni	Agpmsny
identifikacijski	identifikacijski	Agpmsny
broj	broj	Ncmsn
podrazumijeva	podrazumijevati	Vmr3s
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
poreznog	porezni	Agpmsgy
obveznika	obveznik	Ncmsg
ili	ili	Cc
njegov	njegov	Ps3msn
funkcionalni	funkcionalan	Agpmsny
ekvivalent	ekvivalent	Ncmsn
u	u	Sl
nedostatku	nedostatak	Ncmsl
poreznog	porezni	Agpmsgy
identifikacijskog	identifikacijski	Agpmsgy
broja	broj	Ncmsg
.	.	Z

8.6.	8.6.	Mdo

Dokumentirani	dokumentiran	Agpmsny
dokaz	dokaz	Ncmsn

Članak	članak	Ncmsn
89.	89.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Dokumentirani	dokumentiran	Agpmsny
dokaz	dokaz	Ncmsn
uključuje	uključivati	Vmr3s
sljedeće	sljedeći	Agpmpay
dokumente	dokument	Ncmpa
:	:	Z

1.	1.	Mdo
potvrda	potvrda	Ncfsn
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
koju	koji	Pi-fsa
je	biti	Var3s
izdalo	izdati	Vmp-sn
ovlašteno	ovlastiti	Appnsny
državno	državni	Agpnsny
tijelo	tijelo	Ncnsn
(	(	Z
osobito	osobito	Rgp
,	,	Z
vlada	vlada	Ncfsn
,	,	Z
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
ili	ili	Cc
lokalne	lokalan	Agpfsgy
uprave	uprava	Ncfsg
)	)	Z
države	država	Ncfpn
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Mlofpn
jurisdikcije	jurisdikcija	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
primatelj	primatelj	Ncmsn
uplate	uplata	Ncfsg
tvrdi	tvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
rezident	rezident	Ncmsn
te	taj	Pd-fsg
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Mlofpn
jurisdikcije	jurisdikcija	Ncfpn
,	,	Z

2.	2.	Mdo
za	za	Sa
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
,	,	Z
svaka	svaki	Pi-fsn
valjana	valjan	Agpfsny
identifikacijska	identifikacijski	Agpfsny
isprava	isprava	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
izdalo	izdati	Vmp-sn
ovlašteno	ovlastiti	Appnsny
državno	državni	Agpnsny
tijelo	tijelo	Ncnsn
(	(	Z
osobito	osobito	Rgp
,	,	Z
vlada	vlada	Ncfsn
,	,	Z
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
lokalne	lokalan	Agpfsgy
uprave	uprava	Ncfsg
)	)	Z
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
ime	ime	Ncnsa
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
i	i	Cc
koja	koji	Pi-fsn
se	sebe	Px--sa
uobičajeno	uobičajiti	Appnsny
koristi	koristiti	Vmr3s
u	u	Sa
svrhu	svrha	Ncfsa
utvrđivanja	utvrđivanje	Ncnsg
identiteta	identitet	Ncmsg
,	,	Z

3.	3.	Mdo
za	za	Sa
subjekte	subjekt	Ncmpa
,	,	Z
svaka	svaki	Pi-fsn
službena	služben	Agpfsny
isprava	isprava	Ncfsn
koju	koji	Pi-fsa
je	biti	Var3s
izdalo	izdati	Vmp-sn
ovlašteno	ovlastiti	Appnsny
državno	državni	Agpnsny
tijelo	tijelo	Ncnsn
koja	koji	Pi-fsn
sadrži	sadržati	Vmr3s
naziv	naziv	Ncmsan
subjekta	subjekt	Ncmsg
,	,	Z
adresu	adresa	Ncfsa
njegova	njegov	Ps3nsg
sjedišta	sjedište	Ncnsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
za	za	Sa
koju	koji	Pi-fsa
tvrdi	tvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
njoj	on	Pp3fsl
rezident	rezidan	Agpfsly
ili	ili	Cc
državi	država	Ncfsl
članci	članak	Ncmpn
ili	ili	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
subjekt	subjekt	Ncmsn
osnovan	osnovati	Appmsnn
i	i	Cc
organiziran	organiziran	Agpmsnn
,	,	Z

4.	4.	Mdo
svaki	svaki	Pi-msn
revidirani	revidirati	Agpmsny
financijski	financijski	Agpmsny
izvještaj	izvještaj	Ncmsn
,	,	Z
potvrda	potvrda	Ncfsn
treće	treći	Mlofsg
strane	strana	Ncfsg
o	o	Sl
kreditnoj	kreditan	Agpfsly
sposobnosti	sposobnost	Ncfsl
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
pokretanje	pokretanje	Ncnsa
stečaja	stečaj	Ncmsg
ili	ili	Cc
izvješće	izvješće	Ncnsn
regulatora	regulator	Ncmpg
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
postojeći	postojeći	Agpmsayn
račun	račun	Ncmsan
subjekta	subjekt	Ncmsg
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
mogu	moći	Vmr3p
upotrebljavati	upotrebljavati	Vmn
kao	kao	Cs
dokumentirani	dokumentiran	Agpmsny
dokaz	dokaz	Ncmsn
svaku	svaki	Pi-fsa
klasifikaciju	klasifikacija	Ncfsa
iz	iz	Sg
evidencija	evidencija	Ncfpg
izvještajne	izvještajni	Agpfsgy
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
imateljem	imatelj	Ncmsi
računa	računati	Vmr3s
određenu	određen	Agpfsay
na	na	Sl
temelju	temelj	Ncmsl
standardiziranog	standardiziran	Agpmsgy
sustava	sustav	Ncmsg
označivanja	označivanje	Ncnsg
industrija	industrija	Ncfpg
,	,	Z
koju	koji	Pi-fsa
je	biti	Var3s
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
zabilježila	zabilježiti	Vmp-sf
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
svojim	svoj	Px-fpi
uobičajenim	uobičajen	Agpmsiy
i	i	Cc

