ovlašteni	ovlašten	Agpmsny
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
i	i	Cc
druge	drugi	Mlofpn
države	država	Ncfpn
članice	članica	Ncfsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
o	o	Sl
tijelima	tijelo	Ncnpl
koja	koji	Pi-fsn
je	biti	Var3s
ovlastilo	ovlastiti	Vmp-sn
za	za	Sa
provedbu	provedba	Ncfsa
postupaka	postupak	Ncmpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
je	biti	Var3s
ujedno	ujedno	Rgp
i	i	Cc
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
i	i	Cc
odgovorno	odgovoran	Agpnsny
je	biti	Var3s
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
i	i	Cc
provedbu	provedba	Ncfsa
postupaka	postupak	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
i	i	Cc
prijavljivanje	prijavljivanje	Ncnsa
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
te	te	Cc
za	za	Sa
praćenje	praćenje	Ncnsa
rada	rad	Ncmsg
prijavljenih	prijaviti	Agpnpgy
tijela	tijelo	Ncnpg
,	,	Z
uključujući	uključivati	Rr
sukladnost	sukladnost	Ncfsa
s	sa	Si
člankom	članak	Ncmsi
27.	27.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
može	moći	Vmr3s
prenijeti	prenijeti	Vmn
poslove	posao	Ncmpa
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
hrvatskom	hrvatski	Agpfsiy
nacionalnom	nacionalan	Agpnsly
akreditacijskom	akreditacijski	Agpnsly
tijelu	tijelo	Ncnsl
u	u	Sl
smislu	smisao	Ncmsl
Uredbe	uredba	Ncfsg
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
765/2008.	765/2008.	Mds

Zahtjevi	zahtjev	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
mora	morati	Vmr3s
raspolagati	raspolagati	Vmn
s	sa	Si
dostatnim	dostatan	Agpmsiy
brojem	broj	Ncmsi
stručno	stručno	Rgp
osposobljenih	osposobiti	Appmpgy
djelatnika	djelatnik	Ncmpg
za	za	Sa
ispravnu	ispravan	Agpfsay
provedbu	provedba	Ncfsa
svojih	svoj	Px-mpg
poslova	posao	Ncmpg
te	te	Cc
mora	morati	Vmr3s
pri	pri	Sl
postupku	postupak	Ncmsl
prijavljivanja	prijavljivanje	Ncnsg
primjenjivati	primjenjivati	Vmn
načela	načelo	Ncnpa
objektivnosti	objektivnost	Ncfsg
i	i	Cc
nepristranosti	nepristranost	Ncfsg
te	te	Cc
štititi	štititi	Vmn
tajnost	tajnost	Ncfsa
prikupljenih	prikupiti	Appmpgy
podataka	podatak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
uspostavljeno	uspostaviti	Appnsny
na	na	Sa
način	način	Ncmsan
da	da	Cs
nije	biti	Var3s
u	u	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
s	sa	Si
tijelima	tijelo	Ncnpi
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
organizirano	organiziran	Agpnsny
i	i	Cc
djelovati	djelovati	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
svaku	svaki	Agpfsay
odluku	odluka	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
prijavljivanje	prijavljivanje	Ncnsa
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
donose	donositi	Vmr3p
mjerodavne	mjerodavan	Agpfpny
osobe	osoba	Ncfpn
različite	različit	Agpfpny
od	od	Sg
onih	onaj	Pd-mpg
koje	koji	Pi-fpn
provode	provoditi	Vmr3p
ocjenjivanje	ocjenjivanje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
ne	ne	Qz
smije	smjeti	Vmr3s
nuditi	nuditi	Vmn
niti	niti	Cc
obavljati	obavljati	Vmn
poslove	posao	Ncmpa
koje	koji	Pi-mpa
obavljaju	obavljati	Vmr3p
tijela	tijelo	Ncnpa
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
kao	kao	Cs
ni	ni	Qo
usluge	usluga	Ncfpn
savjetovanja	savjetovanje	Ncnsg
na	na	Sl
tržišnoj	tržišni	Agpfsly
ili	ili	Cc
konkurentskoj	konkurentski	Agpfsly
osnovi	osnova	Ncfsl
.	.	Z

Obveze	obveza	Ncfpn
obavješćivanja	obavješćivanje	Ncnsg
za	za	Sa
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa

Članak	članak	Ncmsn
24.	24.	Mdo

Središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
obavještava	obavještavati	Vmr3s
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
o	o	Sl
svojim	svoj	Px-mpl
postupcima	postupak	Ncmpl
vezanim	vezan	Agpmsiy
uz	uz	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
i	i	Cc
prijavljivanje	prijavljivanje	Ncnsa
tijela	tijelo	Ncnsg
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
te	te	Cc
o	o	Sl
praćenju	praćenje	Ncnsl
rada	rad	Ncmsg
tih	taj	Pd-npg
tijela	tijelo	Ncnsg
kao	kao	Cs
i	i	Qo
o	o	Sl
svim	sav	Agpfply
promjenama	promjena	Ncfpl
koje	koji	Pi-fpn
se	sebe	Px--sa
na	na	Sa
njih	oni	Agpmpay
odnose	odnos	Ncmpa
te	te	Cc
o	o	Sl
tome	taj	Pd-nsl
obavještava	obavještavati	Vmr3s
središnje	središnji	Agpnsay
tijelo	tijelo	Ncnsa
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
.	.	Z

Zahtjevi	zahtjev	Ncmpn
koje	koji	Pi-fpn
moraju	morati	Vmr3p
ispunjavati	ispunjavati	Vmn
prijavljena	prijaviti	Agpnpay
tijela	tijelo	Ncnpa

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
samo	samo	Rgp
na	na	Sl
temelju	temelj	Ncmsl
rješenja	rješenje	Ncnsg
o	o	Sl
ovlaštenju	ovlaštenje	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
donijelo	donijeti	Vmp-sn
središnje	središnji	Agpnsny
tijelo	tijelo	Ncnsn
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadležno	nadležan	Agpnsny
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
,	,	Z
da	da	Cs
bi	biti	Vaa3s
moglo	moći	Vmp-sn
biti	biti	Van
prijavljeno	prijaviti	Appnsny
,	,	Z
mora	morati	Vmr3s
ispunjavati	ispunjavati	Vmn
uvjete	uvjet	Ncmpa
utvrđene	utvrditi	Appmpay
u	u	Sl
stavcima	stavak	Ncmpl
od	od	Sg
3.	3.	Mdo
do	do	Sg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
osnovano	osnovati	Appnsny
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
imati	imati	Vmn
pravnu	pravni	Agpfsay
osobnost	osobnost	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
ima	imati	Vmr3s
svojstvo	svojstvo	Ncnsa
treće	treći	Mlofsg
strane	strana	Ncfsg
neovisno	neovisno	Rgp
o	o	Sl
organizaciji	organizacija	Ncfsl
ili	ili	Cc
vagi	vaga	Ncfsl
koju	koji	Pi-fsa
ocjenjuje	ocjenjivati	Vmr3s
.	.	Z

Tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
pripada	pripadati	Vmr3s
poslovnoj	poslovan	Agpfsdy
udruzi	udruga	Ncfsd
ili	ili	Cc
interesnoj	interesni	Agpfsly
zajednici	zajednica	Ncfsl
koje	koji	Pi-fpn
predstavljaju	predstavljati	Vmr3p
ili	ili	Cc
zastupaju	zastupati	Vmr3p
poduzeća	poduzeće	Ncnsa
uključena	uključiti	Appfsny
u	u	Sa
oblikovanje	oblikovanje	Ncnsa
,	,	Z
proizvodnju	proizvodnja	Ncfsa
,	,	Z
isporuku	isporuka	Ncfsa
,	,	Z
sklapanje	sklapanje	Ncnsa
,	,	Z
uporabu	uporaba	Ncfsa
ili	ili	Cc
održavanje	održavanje	Ncnsa
vage	vaga	Ncfsg
koju	koji	Pi-fsa
ocjenjuje	ocjenjivati	Vmr3s
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
smatrati	smatrati	Vmn
tijelom	tijelo	Ncnsi
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
dokaže	dokazati	Vmr3s
svoju	svoj	Px-fsa
neovisnost	neovisnost	Ncfsa
te	te	Cc
da	da	Cs
ne	ne	Qz
postoji	postojati	Vmr3s
sukob	sukob	Ncmsn
interesa	interes	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
,	,	Z
njegovo	njegov	Ps3nsn
rukovodstvo	rukovodstvo	Ncnsn
i	i	Cc
djelatnici	djelatnik	Ncmpn
odgovorni	odgovoran	Agpmpny
za	za	Sa
provedbu	provedba	Ncfsa
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
biti	biti	Van
konstruktor	konstruktor	Ncmsn
,	,	Z
proizvođač	proizvođač	Ncmsn
,	,	Z
distributer	distributer	Ncmsn
,	,	Z
uvoznik	uvoznik	Ncmsn
,	,	Z
instalater	instalater	Ncmsn
,	,	Z
kupac	kupac	Ncmsn
,	,	Z
vlasnik	vlasnik	Ncmsn
,	,	Z
korisnik	korisnik	Ncmsn
ili	ili	Cc
održavatelj	održavatelj	Ncmsn
vaga	vaga	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
ocjenjuje	ocjenjivati	Vmr3s
,	,	Z
kao	kao	Cs
ni	ni	Qo
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
niti	niti	Cc
jedne	jedan	Agpfpny
od	od	Sg
tih	taj	Pd-fpg
strana	strana	Ncfpg
.	.	Z

To	taj	Pd-nsn
ne	ne	Qz
isključuje	isključivati	Vmr3s
uporabu	uporaba	Ncfsa

