stručnim	stručan	Agpmsiy
predškolsko	predškolski	Agpnsay
obrazovanje	obrazovanje	Ncnsa
,	,	Z
ako	ako	Cs
obavljaju	obavljati	Vmr3p
profesiju	profesija	Ncfsa
reguliranu	regulirati	Appfsay
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn
šalju	slati	Vmr3p
upozorenje	upozorenje	Ncnsa
s	sa	Si
informacijama	informacija	Ncfpi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
putem	put	Sg
IMI	ii	Agpmsgy
sustava	sustav	Ncmsg
najkasnije	kasno	Rgs
tri	tri	Mlc
dana	dan	Ncmsg
nakon	nakon	Sg
dana	dan	Ncmsg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
ograničenju	ograničenje	Ncnsl
ili	ili	Cc
potpunoj	potpun	Agpfsly
ili	ili	Cc
djelomičnoj	djelomičan	Agpfsly
zabrani	zabrana	Ncfsl
obavljanja	obavljanje	Ncnsg
profesionalne	profesionalan	Agpfsgy
djelatnosti	djelatnost	Ncfsg
dotičnog	dotičan	Agpmsgy
nositelja	nositelj	Ncmsg
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Upozorenje	upozorenje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ograničeno	ograničiti	Appnsny
je	biti	Var3s
na	na	Sa
:	:	Z

a	a	Cc
)	)	Z
identitet	identitet	Ncmsan
nositelja	nositelj	Ncmpg
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg

b	b	Npmsn
)	)	Z
dotičnu	dotičan	Agpfsay
profesiju	profesija	Ncfsa

c	C	Npmsn
)	)	Z
informacije	informacija	Ncfpa
o	o	Sl
nacionalnom	nacionalan	Agpnsly
tijelu	tijelo	Ncnsl
ili	ili	Cc
sudu	sud	Ncmsl
koji	koji	Pi-msn
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
ograničenju	ograničenje	Ncnsl
ili	ili	Cc
zabrani	zabrana	Ncfsl

d	d	Qr
)	)	Z
opseg	opseg	Ncmsan
ograničenja	ograničenje	Ncnsg
ili	ili	Cc
zabrane	zabrana	Ncfsg
i	i	Cc

e	e	I
)	)	Z
razdoblje	razdoblje	Ncnsa
tijekom	tijekom	Sg
kojeg	koji	Pi-nsg
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
ograničenje	ograničenje	Ncnsn
ili	ili	Cc
zabrana	zabrana	Ncfsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnpn
najkasnije	kasno	Rgs
tri	tri	Mlc
dana	dan	Ncmsg
od	od	Sg
donošenja	donošenje	Ncnsg
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
putem	put	Sg
IMI	IM	Npmsg
sustava	sustav	Ncmsg
obavještavaju	obavještavati	Vmr3p
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
o	o	Sl
identitetu	identitet	Ncmsl
nositelja	nositelj	Ncmpg
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
priznavanje	priznavanje	Ncnsa
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
i	i	Cc
za	za	Sa
kojeg	koji	Pi-msay
su	biti	Var3p
sudovi	sud	Ncmpn
utvrdili	utvrditi	Vmp-pm
da	da	Cs
se	sebe	Px--sa
koristio	koristiti	Vmp-sm
krivotvorenim	krivotvoriti	Agpmpiy
dokazima	dokaz	Ncmpi
o	o	Sl
stručnim	stručan	Agpfply
kvalifikacijama	kvalifikacija	Ncfpl
u	u	Sl
ovom	ovaj	Pd-msl
kontekstu	kontekst	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Nadležna	nadležan	Agpnpny
tijela	tijelo	Ncnsg
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
obavještavaju	obavještavati	Vmr3p
se	sebe	Px--sa
bez	bez	Sg
odgode	odgoda	Ncfsg
o	o	Sl
isteku	istek	Ncmsl
zabrane	zabrana	Ncfsg
ili	ili	Cc
ograničenja	ograničenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

U	u	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
šalje	slati	Vmr3s
informacije	informacija	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
stavkom	stavak	Ncmsi
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obavještava	obavještavati	Vmr3s
o	o	Sl
datumu	datum	Ncmsl

