Osposobljavanje	osposobljavanje	Ncnsn
Dužnosti	dužnost	Ncfsg
i	i	Cc
ovlasti	ovlast	Ncfsl
ključnog	ključan	Agpmsgy
korisnika	korisnik	Ncmsg
:	:	Z

1.	1.	Mdo
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
analizi	analiza	Ncfsl
poslovnih	poslovan	Agpmpgy
procesa	proces	Ncmpg
te	te	Cc
razvoju	razvoj	Ncmsl
internih	interni	Agpmpgy
edukacijskih	edukacijski	Agpmpgy
sadržaja	sadržaj	Ncmpg
,	,	Z

2.	2.	Mdo
prikuplja	prikupljati	Vmr3s
detaljna	detaljan	Agpnpay
znanja	znanje	Ncnpa
o	o	Sl
funkcionalnostima	funkcionalnost	Ncfpl
i	i	Cc
mogućnostima	mogućnost	Ncfpl
JCMS	JCMS	Npfsg
,	,	Z

3.	3.	Mdo
pomaže	pomagati	Vmr3s
u	u	Sl
razjašnjenju	razjašnjenje	Ncnsl
utjecaja	utjecaj	Ncmsg
JCMS	JCMS	Npmsn
na	na	Sa
promjene	promjena	Ncfpa
postupanja	postupanje	Ncnsg
i	i	Cc
surađuje	surađivati	Vmr3s
s	sa	Si
projektnim	projektni	Agpmsiy
timom	tim	Ncmsi
u	u	Sl
nadziranju	nadziranje	Ncnsl
utjecaja	utjecaj	Ncmsg
,	,	Z

4.	4.	Mdo
redovito	redovito	Rgp
educira	educirati	Vmr3s
korisnike	korisnik	Ncmpa
vezano	vezan	Agpnsny
za	za	Sa
korištenje	korištenje	Ncnsa
novih	nov	Agpfpgy
funkcionalnosti	funkcionalnost	Ncfpg
u	u	Sl
sustavu	sustav	Ncmsl
JCMS	JCM	Npmsl
,	,	Z

5.	5.	Mdo
pohađa	pohađati	Vmr3s
edukacije	edukacija	Ncfpa
za	za	Sa
edukatore	edukator	Ncmpa
,	,	Z

6.	6.	Mdo
aktivno	aktivno	Rgp
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
edukaciji	edukacija	Ncfsl
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
,	,	Z

7.	7.	Mdo
predstavlja	predstavljati	Vmr3s
prvu	prvi	Mlofsa
razinu	razina	Ncfsa
JCMS	jcmi	Agpfsgy
podrške	podrška	Ncfsg
u	u	Sl
svojoj	svoj	Px-fsl
okolini	okolina	Ncfsl
te	te	Cc
kontaktira	kontaktirati	Vmr3s
korisničku	korisnički	Agpfsay
službu	služba	Ncfsa
u	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
.	.	Z

Dužnosti	dužnost	Ncfpn
službenika	službenik	Ncmpg
sudskog	sudski	Agpmsgy
arhiva	arhiv	Ncmsg
kao	kao	Cs
korisnika	korisnik	Ncmpg
sustava	sustav	Ncmsg
JCMS	JCMS	Npmsn

Članak	članak	Ncmsn
17.	17.	Mdo

Službenik	službenik	Ncmsn
sudskog	sudski	Agpmsgy
arhiva	arhiv	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
pravovremeno	pravovremen	Agpnsny
i	i	Cc
ažurno	ažurno	Rgp
arhivirati	arhivirati	Vmn
spise	spis	Ncmpa
u	u	Sl
sustavu	sustav	Ncmsl
JCMS	JCM	Npmsl
,	,	Z
pratiti	pratiti	Vmn
rokove	rok	Ncmpa
čuvanja	čuvanje	Ncnsg
tih	taj	Pd-mpg
spisa	spis	Ncmpg
te	te	Cc
evidentirati	evidentirati	Vmn
svaku	svaki	Agpfsay
radnju	radnja	Ncfsa

