injekcijske	injekcijski	Agpfsgy
Papirne	papirni	Agpfpny
ili	ili	Cc
plastične	plastičan	Agpfpay
vrećice	vrećica	Ncfpa

Tanjuri	tanjur	Ncmpn
i	i	Cc
šalice	šalica	Ncfpn
za	za	Sa
jednokratnu	jednokratan	Agpfsay
uporabu	uporaba	Ncfsa

Prianjajuća	prianjajući	Agpfsny
folija	folija	Ncfsn
za	za	Sa
hranu	hrana	Ncfsa

Vrećice	vrećica	Ncfpn
za	za	Sa
sendviče	sendvič	Ncmpa

Aluminijska	aluminijski	Agpfsny
folija	folija	Ncfsn

Plastična	plastičan	Agpfsny
folija	folija	Ncfsn
za	za	Sa
čistu	čist	Agpfsay
odjeću	odjeća	Ncfsa
u	u	Sl
praonicama	praonica	Ncfpl

Predmeti	predmet	Ncmpn
koji	koji	Pi-mpn
nisu	biti	Var3p
ambalaža	ambalaža	Ncfsn

Miješalica	miješalica	Ncfsn

Jednokratni	jednokratan	Agpmsny
pribor	pribor	Ncmsn
za	za	Sa
jelo	jelo	Ncnsa

Papir	papir	Ncmsn
za	za	Sa
omatanje	omatanje	Ncnsa
(	(	Z
prodan	prodati	Appmsnn
odvojeno	odvojiti	Appnsny
)	)	Z

Papirne	papirni	Agpfpny
posude	posuda	Ncfpn
za	za	Sa
pečenje	pečenje	Ncnsa
(	(	Z
prodane	prodati	Appfpny
odvojeno	odvojiti	Appnsny
)	)	Z

Podlošci	podložak	Ncmpn
za	za	Sa
tortu	torta	Ncfsa
prodani	prodati	Appmpny
bez	bez	Sg
torte	torta	Ncfsg

III	III	Mrc
.	.	Z

Ilustrativni	ilustrativan	Agpmpny
primjeri	primjer	Ncmpn
za	za	Sa
određivanje	određivanje	Ncnsa
predmeta	predmet	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ambalaže	ambalaža	Ncfsg

Ambalaža	ambalaža	Ncfsn

Etikete	etiketa	Ncfpn
obješene	objesiti	Appfpny
izravno	izravno	Rgp
na	na	Sa
proizvod	proizvod	Ncmsan
ili	ili	Cc
na	na	Sa
njega	on	Pp3msa
pričvršćene	pričvršćen	Agpfpay

Dio	dio	Ncmsn
ambalaže	ambalaža	Ncfsg

Četka	četka	Ncfsn
maskare	maskara	Ncfsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
poklopca	poklopac	Ncmsg
posudice	posudica	Ncfsg

Naljepnice	naljepnica	Ncfpn
,	,	Z
pričvršćene	pričvrstiti	Appfpny
na	na	Sa
drugu	drugi	Mlofsa
ambalažu	ambalaža	Ncfsa

Spajalice	spajalica	Ncfpn

Plastične	plastičan	Agpfpny
košuljice	košuljica	Ncfpn

Mjerna	mjerni	Agpfsny
posudica	posudica	Ncfsn
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
poklopca	poklopac	Ncmsg
ambalaže	ambalaža	Ncfsg
za	za	Sa
deterdžente	deterdžent	Ncmpa

Mehanički	mehanički	Agpmsny
ručni	ručni	Agpmsny
mlin	mlin	Ncmsn
(	(	Z
ugrađen	ugraditi	Appmsnn
u	u	Sg
primatelja	primatelj	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
ponovno	ponovno	Rgp
puniti	puniti	Vmn
,	,	Z
napunjen	napuniti	Appmsnn
proizvodom	proizvod	Ncmsi
;	;	Z
npr.	npr.	Y
mlin	mlin	Ncmsn
za	za	Sa
papar	papar	Ncmsan
napunjen	napuniti	Appmsnn
paprom	papar	Ncmsi
)	)	Z

Predmeti	predmet	Ncmpn
koji	koji	Pi-mpn
nisu	biti	Var3p
ambalaža	ambalaža	Ncfsn

Oznake	oznaka	Ncfpn
za	za	Sa
određivanje	određivanje	Ncnsa
radio-frekvencije	radio-frekvencija	Ncfsg

PRILOG	prilog	Ncmsn
II	ii	Mro
.	.	Z
–	–	Z
PRILOG	prilog	Ncmsn
XVII	XVII	Mro
.	.	Z

