Ploče	ploča	Ncfpn
međunarodnih	međunarodni	Agpmpgy
zajmova	zajam	Ncmpg
i	i	Cc
strukturnih	strukturni	Agpfpgy
reformi	reforma	Ncfpg
1	1	Mdc
9.1.1.	9.1.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
međunarodnih	međunarodni	Agpmpgy
zajmova	zajam	Ncmpg
4	4	Mdc
9.1.2.	9.1.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
strukturnih	strukturni	Agpfpgy
reformi	reforma	Ncfpg
4	4	Mdc
9.2.	9.2.	Mds

Služba	služba	Ncfsn
za	za	Sa
fondove	fond	Ncmpa
Europske	europski	Agpfsgy
unije	unija	Ncfsg
1	1	Mdc
9.2.1.	9.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
programiranje	programiranje	Ncnsa
,	,	Z
koordinaciju	koordinacija	Ncfsa
i	i	Cc
vrednovanje	vrednovanje	Ncnsa
programa	program	Ncmpg
i	i	Cc
projekata	projekat	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
6	6	Mdc
9.2.2.	9.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
,	,	Z
odabir	odabir	Ncmsan
,	,	Z
provedbu	provedba	Ncfsa
i	i	Cc
praćenje	praćenje	Ncnsa
projekata	projekat	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
6	6	Mdc
9.3.	9.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
javnu	javan	Agpfsay
nabavu	nabava	Ncfsa
1	1	Mdc
9.3.1.	9.3.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
planiranje	planiranje	Ncnsa
i	i	Cc
pripremu	priprema	Ncfsa
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
4	4	Mdc
9.3.2.	9.3.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provedbu	provedba	Ncfsa
postupaka	postupak	Ncmpg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
4	4	Mdc
ukupno	ukupno	Rgp
32	32	Mdc
10.	10.	Mdo

SAMOSTALNI	samostalan	Agpmsny
SEKTOR	sektor	Ncmsn
ZA	za	Sa
EUROPSKE	europski	Agpmpay
POSLOVE	posao	Ncmpa
,	,	Z
MEĐUNARODNU	međunarodni	Agpfsay
SURADNJU	suradnja	Ncfsa
I	i	Cc
PROTOKOL	protokol	Ncmsan
1	1	Mdc
10.1.	10.1.	Mds

Služba	služba	Ncfsn
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
7	7	Mdc
10.2.	10.2.	Mds

Služba	služba	Ncfsn
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
i	i	Cc
protokol	protokol	Ncmsan
1	1	Mdc
10.2.1.	10.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
4	4	Mdc
10.2.2.	10.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
protokol	protokol	Ncmsan
4	4	Mdc
ukupno	ukupno	Rgp
17	17	Mdc
11.	11.	Mdo

SAMOSTALNA	samostalan	Agpfsny
SLUŽBA	služba	Ncfsn
ZA	za	Sa
INFORMATIČKE	informatički	Agpfpay
TEHNOLOGIJE	tehnologija	Ncfpa
7	7	Mdc
12.	12.	Mdo

SAMOSTALNA	samostalan	Agpfsny
SLUŽBA	služba	Ncfsn
ZA	za	Sa
UNUTARNJU	unutarnji	Agpfsay
REVIZIJU	revizija	Ncfsa
1	1	Mdc
12.1.	12.1.	Mds

Odjel	odjel	Ncmsn
za	za	Sa
reviziju	revizija	Ncfsa
poslovnih	poslovan	Agpmpgy
sustava	sustav	Ncmpg
i	i	Cc
europskih	europski	Agpmpgy
fondova	fond	Ncmpg
5	5	Mdc
12.2.	12.2a	Ncfsg

Odjel	odjel	Ncmsn
za	za	Sa
reviziju	revizija	Ncfsa
provođenja	provođenje	Ncnsg
službene	služben	Agpfsgy
kontrole	kontrola	Ncfsg
zdravstvene	zdravstven	Agpfsgy
ispravnosti	ispravnost	Ncfsg
,	,	Z
higijene	higijena	Ncfsg
i	i	Cc
sigurnosti	sigurnost	Ncfsg
hrane	hrana	Ncfsg
5	5	Mdc
ukupno	ukupno	Rgp
11	11	Mdc
13.	13.	Mdo

SAMOSTALNI	samostalan	Agpmsny
ODJEL	odjel	Ncmsn
ZA	za	Sa
ODNOSE	odnos	Ncmpa
S	sa	Si
JAVNOŠĆU	javnost	Ncfsi
5	5	Mdc
SVEUKUPNO	sveukupno	Rgp
602	602	Mdc

