rješenju	rješenje	Ncnsl
Vijeću	Vijeć	Npmsd
HAKOM-a	HAKOM-	Npmsd
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
o	o	Sl
radu	rad	Ncmsl
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
prethodnu	prethodan	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
na	na	Sl
prvoj	prvi	Mlofsl
sjednici	sjednica	Ncfsl
Vijeća	vijeće	Ncnsg
HAKOM-a	HAKOM	Npmsg
u	u	Sl
veljači	veljača	Ncfsl
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
donošenje	donošenje	Ncnsa
pravovaljanih	pravovaljan	Agpmpgy
prijedloga	prijedlog	Ncmpg
i	i	Cc
mišljenja	mišljenje	Ncnsg
potrebna	potreban	Agpfsny
je	biti	Var3s
većina	većina	Ncfsn
glasova	glas	Ncmpg
svih	sav	Agpmpgy
članova	član	Ncmpg
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
najmanje	malo	Rgs
četiri	četiri	Mlc
člana	član	Ncmsg
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
na	na	Sl
sjednici	sjednica	Ncfsl
sudjeluje	sudjelovati	Vmr3s
barem	barem	Rgp
jedan	jedan	Mlcmsn
član	član	Ncmsn
predstavnik	predstavnik	Ncmsn
udruga	udruga	Ncfsn
za	za	Sa
zaštitu	zaštita	Ncfsa
potrošača	potrošač	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prigovori	prigovor	Ncmpn
korisnika	korisnik	Ncmpg
usluga	usluga	Ncfpg
i	i	Cc
putnika	putnik	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
usvojeni	usvojiti	Appmpny
od	od	Sg
strane	strana	Ncfsg
operatora	operator	Ncmpg
,	,	Z
davatelja	davatelj	Ncmpg
poštanskih	poštanski	Agpfpgy
usluga	usluga	Ncfpg
ili	ili	Cc
željezničkih	željeznički	Agpmpgy
prijevoznika	prijevoznik	Ncmpg
prije	prije	Sg
sjednice	sjednica	Ncfsg
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Qo
zahtjevi	zahtjev	Ncmpn
za	za	Sa
rješavanje	rješavanje	Ncnsa
sporova	spor	Ncmpg
i	i	Cc
prigovori	prigovor	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
podneseni	podnijeti	Appmpny
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
propisanog	propisati	Appmsgy
zakonima	zakon	Ncmpi
te	te	Cc
predmeti	predmet	Ncmpn
odbačeni	odbaciti	Appmpny
iz	iz	Sg
drugih	drugi	Mlompg
postupovnih	postupovni	Agpmpgy
razloga	razlog	Ncmpg
,	,	Z
predstavljaju	predstavljati	Vmr3p
se	sebe	Px--sa
na	na	Sl
sjednicama	sjednica	Ncfpl
Povjerenstva	povjerenstvo	Ncnsg
samo	samo	Rgp
kao	kao	Cs
obavijest	obavijest	Ncfsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pitanja	pitanje	Ncnpn
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
način	način	Ncmsan
sazivanja	sazivanje	Ncnsg
te	te	Cc
rad	rad	Ncmsan
i	i	Cc
održavanje	održavanje	Ncnsa
sjednica	sjednica	Ncfpg
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
koja	koji	Pi-npn
nisu	biti	Var3p
uređena	urediti	Appnpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
pobliže	pobliže	Rgp
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
Poslovnikom	poslovnik	Ncmsi
o	o	Sl
radu	rad	Ncmsl
Povjerenstva	povjerenstvo	Ncnsg
,	,	Z
kojeg	koji	Pi-nsg
donosi	donositi	Vmr3s
Povjerenstvo	povjerenstvo	Ncnsn
.	.	Z

Završne	završan	Agpfpny
odredbe	odredba	Ncfpn

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
Pravilnika	pravilnik	Ncmsg
prestaje	prestajati	Vmr3s
vrijediti	vrijediti	Vmn
Pravilnik	pravilnik	Ncmsan
o	o	Sl
načinu	način	Ncmsl
rada	rad	Ncmsg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
prava	pravo	Ncnsg
korisnika	korisnik	Ncmpg
usluga	usluga	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
br.	br.	Y
24/11	24/11	Mdc
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
prava	pravo	Ncnsg
korisnika	korisnik	Ncmpg
imenovani	imenovati	Appmpny
odlukama	odluka	Ncfpi
Vijeća	vijeće	Ncnsg
HAKOM-a	HAKOM	Npmsg
od	od	Sg
11.	11.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo
nastavljaju	nastavljati	Vmr3p
s	sa	Si
radom	rad	Ncmsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
pravilnika	pravilnik	Ncmsg
do	do	Sg
isteka	istek	Ncmsg
razdoblja	razdoblje	Ncnsg
na	na	Sa
koje	koji	Pi-nsa
su	biti	Var3p
imenovani	imenovati	Appmpny
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Ovaj	ovaj	Pd-msn
pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/15	02/15	Mdc
-	-	Z
02/08	02/08	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
376	376	Mdc
-	-	Z
04	04	Mdc
-	-	Z
15	15	Mdc
-	-	Z
01	01	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
11.	11.	Mdo
svibnja	svibanj	Ncmsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Vijeća	vijeće	Ncnsg
dr.	dr.	Y
sc.	sc.	Y
Dražen	Dražen	Npmsn
Lučić	Lučić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

