nadležnim	nadležan	Agpmsiy
iznosa	iznos	Ncmsg
godišnje	godišnji	Agpfsgy
naknade	naknada	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
u	u	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
.	.	Z

Izjava	izjava	Ncfsn
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
dijela	dio	Ncmsg
državne	državni	Agpfsgy
kvote	kvota	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
ovjerena	ovjeriti	Appfsny
kod	kod	Sg
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
,	,	Z
a	a	Cc
podaci	podatak	Ncmpn
u	u	Sl
njoj	on	Pp3fsl
istiniti	istinit	Agpmpny
.	.	Z

Ukoliko	ukoliko	Cs
se	sebe	Px--sa
provjerom	provjera	Ncfsi
Izjave	izjava	Ncfsg
utvrdi	utvrditi	Vmr3s
neistinitost	neistinitost	Ncfsa
podataka	podatak	Ncmpg
navedenih	naveden	Agpmpgy
u	u	Sl
Izjavi	izjava	Ncfsl
,	,	Z
vlasnicima	vlasnik	Ncmpl
/	/	Z
ovlaštenicima	ovlaštenik	Ncmpi
povlastica	povlastica	Ncfpg
za	za	Sa
plovila	plovilo	Ncnpa
iz	iz	Sg
stavaka	stavak	Ncmpg
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
će	htjeti	Var3s
se	sebe	Px--sa
trajno	trajno	Rgp
oduzeti	oduzeti	Vmn
pravo	prav	Agpnsay
na	na	Sa
dodijeljenu	dodijeljen	Agpfsay
kvotu	kvota	Ncfsa
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
plovila	ploviti	Vmp-sf
iz	iz	Sg
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
uplate	uplatiti	Vmr3p
ukupni	ukupan	Agpmsayn
iznos	iznos	Ncmsan
u	u	Sl
roku	rok	Ncmsl
sukladno	sukladan	Agpnsny
stavku	stavak	Ncmsl
11.	11.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
trajno	trajno	Rgp
odbijaju	odbijati	Vmr3p
dodijeljenu	dodijeljen	Agpfsay
kvotu	kvota	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
za	za	Sa
2015.	2015.	Mdo
godinu	godina	Ncfsa
ravnomjerno	ravnomjerno	Rgp
rasporediti	rasporediti	Vmn
uz	uz	Sa
naknadu	naknada	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sa
plovila	plovilo	Ncnpa
koja	koji	Pi-npn
će	htjeti	Var3s
sudjelovati	sudjelovati	Vmn
u	u	Sl
ribolovnim	ribolovan	Agpfply
grupama	grupa	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
u	u	Sl
2015.	2015.	Mdo
godini	godina	Ncfsl
vodeći	vodeći	Agpmsny
računa	računati	Vmr3s
o	o	Sl
ograničenjima	ograničenje	Ncnpl
kvote	kvota	Ncfsg
po	po	Sl
grupi	grupa	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
17.	17.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
plovila	plovilo	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
dodatna	dodatan	Agpfsny
kvota	kvota	Ncfsn
o	o	Sl
istom	isti	Agpmsly
će	htjeti	Var3s
biti	biti	Van
obaviješteni	obavijestiti	Appmpny
Obaviješću	obavijest	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
dodatne	dodatan	Agpfsgy
kvote	kvota	Ncfsg
uz	uz	Sa
primjenu	primjena	Ncfsa
postupka	postupak	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
no	no	Cc
iznimno	iznimno	Rgp
od	od	Sg
roka	rok	Ncmsg
određenog	određen	Agpmsgy
tim	tim	Ncmsg
stavkom	stavak	Ncmsi
,	,	Z
rok	rok	Ncmsn
za	za	Sa
dostavu	dostava	Ncfsa
Izjave	izjava	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
kvote	kvota	Ncfsg
i	i	Cc
dokaza	dokaz	Ncmpg
o	o	Sl
izvršenoj	izvršen	Agpfsly
uplati	uplata	Ncfsl
iznosa	iznos	Ncmsg
naknade	naknada	Ncfsg
za	za	Sa
dodatnu	dodatan	Agpfsay
kvotu	kvota	Ncfsa
je	biti	Var3s
3	3	Mdc
(	(	Z
tri	tri	Mlc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Obavijesti	obavijest	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
dodatne	dodatan	Agpfsgy
kvote	kvota	Ncfsg
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
plovila	ploviti	Vmp-sf
iz	iz	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
uplate	uplatiti	Vmr3p
ukupni	ukupan	Agpmsayn
iznos	iznos	Ncmsan
u	u	Sl
roku	rok	Ncmsl
sukladno	sukladan	Agpnsny
stavku	stavak	Ncmsl
11.	11.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
trajno	trajno	Rgp
odbijaju	odbijati	Vmr3p
dodijeljenu	dodijeljen	Agpfsay
kvotu	kvota	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
za	za	Sa
2015.	2015.	Mdo
godinu	godina	Ncfsa
ravnomjerno	ravnomjerno	Rgp
rasporediti	rasporediti	Vmn
uz	uz	Sa
naknadu	naknada	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
na	na	Sa
ostala	ostali	Agpnpay
plovila	plovilo	Ncnpa
koja	koji	Pi-npa
koriste	koristiti	Vmr3p
udičarske	udičarski	Agpmpay
alate	alat	Ncmpa
i	i	Cc
koja	koji	Pi-fsn
imaju	imati	Vmr3p
dodijeljenu	dodijeljen	Agpfsay
trajnu	trajan	Agpfsay
individualnu	individualan	Agpfsay
kvotu	kvota	Ncfsa
.	.	Z

Vlasnici	vlasnik	Ncmpn
/	/	Z
ovlaštenici	ovlaštenik	Ncmpn
povlastica	povlastica	Ncfpg
plovila	plovilo	Ncnpg
kojima	koji	Pi-npi
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
dodatna	dodatan	Agpfsny
kvota	kvota	Ncfsn
o	o	Sl
istom	isti	Agpmsly
će	htjeti	Var3s
biti	biti	Van
obaviješteni	obavijestiti	Appmpny
Obaviješću	obavijest	Ncfsi
o	o	Sl
dodjeli	dodjela	Ncfsl
dodatne	dodatan	Agpfsgy
kvote	kvota	Ncfsg
uz	uz	Sa
primjenu	primjena	Ncfsa
postupka	postupak	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
11.	11.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
no	no	Cc
iznimno	iznimno	Rgp
od	od	Sg
roka	rok	Ncmsg
određenog	određen	Agpmsgy
tim	tim	Ncmsg
stavkom	stavak	Ncmsi
,	,	Z
rok	rok	Ncmsn
za	za	Sa
dostavu	dostava	Ncfsa
Izjave	izjava	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
kvote	kvota	Ncfsg
i	i	Cc
dokaza	dokaz	Ncmpg
o	o	Sl
izvršenoj	izvršen	Agpfsly
uplati	uplata	Ncfsl
iznosa	iznos	Ncmsg
naknade	naknada	Ncfsg
za	za	Sa
dodatnu	dodatan	Agpfsay
kvotu	kvota	Ncfsa
je	biti	Var3s
3	3	Mdc
(	(	Z
tri	tri	Mlc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
Obavijesti	obavijest	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
dodatne	dodatan	Agpfsgy
kvote	kvota	Ncfsg
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
se	sebe	Px--sa
kvota	kvota	Ncfsn
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
cijelosti	cijelost	Ncfsl
ne	ne	Qz
raspodijeli	raspodijeliti	Vmr3s
i	i	Cc
nakon	nakon	Sg
preraspodjele	preraspodjela	Ncfsg
kvote	kvota	Ncfsg
sukladno	sukladan	Agpnsny
stavcima	stavak	Ncmpd
12.	12.	Mdo
i	i	Cc
13.	13.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
neraspoređeni	neraspoređen	Agpmsny
dio	dio	Ncmsn
raspoređuje	raspoređivati	Vmr3s
se	sebe	Px--sa
u	u	Sa
rekreacijski	rekreacijski	Agpmsayn
ribolov	ribolov	Ncmsan
za	za	Sa
ulov	ulov	Ncmsan
trofejnih	trofejni	Agpmpgy
primjeraka	primjerak	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo

(	(	Z
15	15	Mdc
)	)	Z
Vlasnik	vlasnik	Ncmsn
/	/	Z
ovlaštenik	ovlaštenik	Ncmsn
povlastice	povlastica	Ncfsg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
dodijeljenu	dodijeljen	Agpfsay
Državnu	državni	Ncfsa
i	i	Cc
/	/	Z
ili	ili	Cc
Trajnu	trajan	Agpfsay
individualnu	individualan	Agpfsay
kvotu	kvota	Ncfsa
može	moći	Vmr3s
ustupiti	ustupiti	Vmn
drugom	drugi	Mlomsl
ovlašteniku	ovlaštenik	Ncmsl
povlastice	povlastica	Ncfsg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
za	za	Sa
tekuću	tekući	Agpfsay
godinu	godina	Ncfsa
ili	ili	Cc
za	za	Sa
višegodišnji	višegodišnji	Agpmsayn
period	period	Ncmsan
,	,	Z
vodeći	vodeći	Agpmsny
računa	računati	Vmr3s
o	o	Sl
odredbama	odredba	Ncfpl
članka	članak	Ncmsg
3.	3.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
uz	uz	Sa
prethodnu	prethodan	Agpfsay
dostavu	dostava	Ncfsa
Izjave	izjava	Ncfsg
o	o	Sl
ustupanju	ustupanje	Ncnsl
kvote	kvota	Ncfsg
(	(	Z
Prilogu	Prilogu	Npmsn
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
)	)	Z
Ministarstvu	ministarstvo	Ncnsl
.	.	Z

Moguće	moguć	Agpnsny
je	biti	Var3s
ustupanje	ustupanje	Ncnsn
dijela	dio	Ncmsg
dodijeljene	dodijeljen	Agpfsgy
Državne	državni	Agpfsgy
i	i	Cc
/	/	Z
ili	ili	Cc
Trajne	trajan	Agpfsgy
individualne	individualan	Agpfsgy
kvote	kvota	Ncfsg
ili	ili	Cc
ukupne	ukupan	Agpfsgy
dodijeljene	dodijeljen	Agpfsgy
Državne	državni	Agpfsgy
i	i	Cc
/	/	Z
ili	ili	Cc
Trajne	trajan	Agpfsgy
individualne	individualan	Agpfsgy
kvote	kvota	Ncfsg
,	,	Z
što	što	Pi3n-n
se	sebe	Px--sa
navodi	navoditi	Vmr3s
u	u	Sl
Izjavi	izjava	Ncfsl
(	(	Z
Priloga	prilog	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
)	)	Z
.	.	Z

(	(	Z
16	16	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
višegodišnjeg	višegodišnji	Agpmsgy
perioda	period	Ncmsg
ustupanja	ustupanje	Ncnsg
dodijeljene	dodijeljen	Agpfsgy
Državne	državni	Agpfsgy
i	i	Cc
/	/	Z
ili	ili	Cc
Trajne	trajan	Agpfsgy
individualne	individualan	Agpfsgy
kvote	kvota	Ncfsg
drugom	drugi	Mlomsl
vlasniku	vlasnik	Ncmsl
/	/	Z
ovlašteniku	ovlaštenik	Ncmsl
povlastice	povlastica	Ncfsg
za	za	Sa
gospodarski	gospodarski	Agpmsayn
ribolov	ribolov	Ncmsan
na	na	Sl
moru	more	Ncnsl
,	,	Z
vlasnik	vlasnik	Ncmsn
/	/	Z
ovlaštenik	ovlaštenik	Ncmsn
koji	koji	Pi-msn
ustupa	ustupati	Vmr3s
kvotu	kvota	Ncfsa
dužan	dužan	Agpmsnn
je	biti	Var3s
uz	uz	Sa
Izjavu	izjava	Ncfsa
o	o	Sl
ustupanju	ustupanje	Ncnsl
kvote	kvota	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
15.	15.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Ministarstvu	ministarstvo	Ncnsd
dostaviti	dostaviti	Vmn
i	i	Cc
ovjereni	ovjeriti	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
ustupanju	ustupanje	Ncnsl
kvote	kvota	Ncfsg
potpisan	potpisati	Appmsnn
od	od	Sg
vlasnika	vlasnik	Ncmsg
/	/	Z
ovlaštenika	ovlaštenik	Ncmsg
povlastice	povlastica	Ncfsg
koji	koji	Pi-msn
kvotu	kvota	Ncfsa
ustupa	ustupati	Vmr3s
i	i	Cc
onoga	onaj	Pd-nsg
kojemu	koji	Pi-msd
se	sebe	Px--sa

