5.2.2.1.	5.2.2.1.	Mdo
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
4	4	Mdc
6.2.1.2.	6.2.1.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
razvoj	razvoj	Ncmsan
i	i	Cc
usklađivanje	usklađivanje	Ncnsa
sustava	sustav	Ncmsg
4	4	Mdc
6.2.2.	6.2.2a	Ncfsg

Služba	služba	Ncfsn
za	za	Sa
praćenje	praćenje	Ncnsa
,	,	Z
analitiku	analitika	Ncfsa
i	i	Cc
izvješćivanje	izvješćivanje	Ncnsa
1	1	Mdc
6.2.2.1.	6.2.2.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
elektroničku	elektronički	Agpfsay
javnu	javan	Agpfsay
nabavu	nabava	Ncfsa
3	3	Mdc
6.2.2.2.	6.2.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
analitiku	analitika	Ncfsa
i	i	Cc
izvješćivanje	izvješćivanje	Ncnsa
3	3	Mdc
6.2.3.	6.2.3.	Mdo

Služba	služba	Ncfsn
za	za	Sa
izobrazbu	izobrazba	Ncfsa
8	8	Mdc
Uprava	uprava	Ncfpg
za	za	Sa
sustav	sustav	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
–	–	Z
ukupno	ukupno	Rgp
41	41	Mdc
6.	6.	Mdo
a	a	Cc
UPRAVA	uprava	Ncfsn
ZA	za	Sa
INSPEKCIJSKE	inspekcijski	Agpmpay
POSLOVE	posao	Ncmpa
U	u	Sl
GOSPODARSTVU	gospodarstvo	Ncnsl
3	3	Mdc
6.	6.	Mdo
a.	a.	Y
1.	1.	Mdo
Sektor	sektor	Ncmsan
tržišne	tržišni	Agpfsgy
inspekcije	inspekcija	Ncfsg
1	1	Mdc
–	–	Z
neposredno	neposredno	Rgp
u	u	Sl
Sektoru	sektor	Ncmsl
,	,	Z
izvan	izvan	Sg
sastava	sastav	Ncmsg
nižih	nizak	Agcfpgy
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
1	1	Mdc
6.	6.	Mdo
a.	a.	Y
1.1.	1.1.	Mds

Služba	služba	Ncfsn
zaštite	zaštita	Ncfsg
ekonomskih	ekonomski	Agpmpgy
interesa	interes	Ncmpg
potrošača	potrošač	Ncmpg
i	i	Cc
sigurnosti	sigurnost	Ncfsg
proizvoda	proizvod	Ncmpg
1	1	Mdc
6.	6.	Mdo
a.	a.	Y
1.1.1.	1.1.1.	Mds

Odjel	odjel	Ncmsn
zaštite	zaštita	Ncfsg
ekonomskih	ekonomski	Agpmpgy
interesa	interes	Ncmpg
potrošača	potrošač	Ncmpg
6	6	Mdc
6.	6.	Mdo
a.	a.	Y
1.1.2.	1.1.2.	Mds

Odjel	odjel	Ncmsn
sigurnosti	sigurnost	Ncfsg
proizvoda	proizvod	Ncmpg
6	6	Mdc
6.	6.	Mdo
a.	a.	Y
1.2.	1.2.	Mds

Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
1	1	Mdc
–	–	Z
neposredno	neposredno	Rgp
u	u	Sl
sjedištu	sjedište	Ncnsl
PJ	PJ	Npfsg
,	,	Z
izvan	izvan	Sg
Ispostava	Ispostav	Npmsg
9	9	Mdc
Ispostave	ispostava	Ncfsg
1.	1.	Mdo
–	–	Z
7.	7.	Mdo
1.	1.	Mdo
Ispostava	ispostava	Ncfsn
Crikvenica	Crikvenica	Npfsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
2.	2.	Mdo
Ispostava	ispostava	Ncfsn
Krk	Krk	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
1	1	Mdc
3.	3.	Mdo
Ispostava	ispostava	Ncfsn
Delnice	Delnica	Npfsg
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
1	1	Mdc
4.	4.	Mdo
Ispostava	ispostava	Ncfsn
Gospić	Gospić	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
5.	5.	Mdo
Ispostava	ispostava	Ncfsn
Poreč	Poreč	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
6.	6.	Mdo
Ispostava	ispostava	Ncfsn
Pula	Pula	Npfsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
7.	7.	Mdo
Ispostava	ispostava	Ncfsn
Pag	Pag	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
1	1	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Rijeci	Rijeka	Npfsl
–	–	Z
ukupno	ukupno	Rgp
23	23	Mdc
6.	6.	Mdo
a.	a.	Y
1.3.	1.3.	Mds

Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Splitu	Split	Npmsl
1	1	Mdc
–	–	Z
neposredno	neposredno	Rgp
u	u	Sl
sjedištu	sjedište	Ncnsl
PJ	PJ	Npfsg
,	,	Z
izvan	izvan	Sg
Ispostava	ispostava	Ncmsg
16	16	Mdc
Ispostave	ispostava	Ncfsg
1.	1.	Mdo
–	–	Z
5.	5.	Mdo
1.	1.	Mdo
Ispostava	ispostava	Ncfsn
Dubrovnik	Dubrovnik	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
2.	2.	Mdo
Ispostava	ispostava	Ncfsn
Metković	Metković	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
3.	3.	Mdo
Ispostava	ispostava	Ncfsn
Makarska	makarski	Agpfsny
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
4.	4.	Mdo
Ispostava	ispostava	Ncfsn
Šibenik	Šibenik	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
5.	5.	Mdo
Ispostava	ispostava	Ncfsn
Zadar	Zadar	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
4	4	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Splitu	Split	Npmsl
–	–	Z
ukupno	ukupno	Rgp
30	30	Mdc
6.	6.	Mdo
a.	a.	Y
1.4.	1.4.	Mds

Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Osijeku	osijek	Ncmsl
1	1	Mdc
–	–	Z
neposredno	neposredno	Rgp
u	u	Sl
sjedištu	sjedište	Ncnsl
PJ	PJ	Npfsg
,	,	Z
izvan	izvan	Sg
Ispostava	ispostava	Ncmsg
13	13	Mdc
Ispostave	ispostava	Ncfsg
1.	1.	Mdo
–	–	Z
7.	7.	Mdo
1.	1.	Mdo
Ispostava	ispostava	Ncfsn
Virovitica	Virovitica	Npfsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
2.	2.	Mdo
Ispostava	ispostava	Ncfsn
Nova	nov	Agpfsny
Gradiška	gradiška	Ncfsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
3.	3.	Mdo
Ispostava	ispostava	Ncfsn
Požega	Požega	Npfsn
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
4.	4.	Mdo
Ispostava	ispostava	Ncfsn
Našice	Našica	Npfpn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
5.	5.	Mdo
Ispostava	ispostava	Ncfsn
Županja	Županja	Npfsn
–	–	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
1	1	Mdc
6.	6.	Mdo
Ispostava	ispostava	Ncfsn
Vukovar	Vukovar	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
7.	7.	Mdo
Ispostava	Ispostava	Npfsn
Slavonski	slavonski	Agpmsny
Brod	brod	Ncmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Osijeku	osijek	Ncmsl
–	–	Z
ukupno	ukupno	Rgp
26	26	Mdc
6.	6.	Mdo
a.	a.	Y
1.5.	1.5.	Mds

Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Varaždinu	Varaždin	Npmsl
1	1	Mdc
–	–	Z
neposredno	neposredno	Rgp
u	u	Sl
sjedištu	sjedište	Ncnsl
PJ	PJ	Npfsg
,	,	Z
izvan	izvan	Sg
Ispostava	Ispostav	Npmsg
9	9	Mdc
Ispostave	ispostava	Ncfsg
1.	1.	Mdo
–	–	Z
4.	4.	Mdo
1.	1.	Mdo
Ispostava	ispostava	Ncfsn
Križevci	Križevca	Npfsl
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
2.	2.	Mdo
Ispostava	ispostava	Ncfsn
Zabok	Zabok	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
3.	3.	Mdo
Ispostava	ispostava	Ncfsn
Koprivnica	Koprivnica	Npfsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
4.	4.	Mdo
Ispostava	ispostava	Ncfsn
Čakovec	Čakovec	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Varaždinu	Varaždin	Npmsl
20	20	Mdc
6.	6.	Mdo
a.	a.	Y
1.6.	1.6.	Mds

Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
–	–	Z
Služba	služba	Ncfsn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
1	1	Mdc
–	–	Z
neposredno	neposredno	Rgp
u	u	Sl
sjedištu	sjedište	Ncnsl
PJ	PJ	Npfsg
,	,	Z
izvan	izvan	Sg
Ispostava	ispostava	Ncmsg
16	16	Mdc
Ispostave	ispostava	Ncfsg
1.	1.	Mdo
–	–	Z
5.	5.	Mdo
1.	1.	Mdo
Ispostava	ispostava	Ncfsn
Karlovac	Karlovac	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
2.	2.	Mdo
Ispostava	ispostava	Ncfsn
Novska	novski	Agpfsny
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
3.	3.	Mdo
Ispostava	ispostava	Ncfsn
Daruvar	Daruvar	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
4.	4.	Mdo
Ispostava	ispostava	Ncfsn
Sisak	Sisak	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
2	2	Mdc
5.	5.	Mdo
Ispostava	ispostava	Ncfsn
Bjelovar	Bjelovar	Npmsn
–	–	Z
samostalni	samostalan	Agpmpny
izvršitelji	izvršitelj	Ncmpn
3	3	Mdc
Područna	područni	Agpfsny

