stajalištu	stajalište	Ncnsl
13/13.	13/13.	Mds
)	)	Z
istaknuo	istaknuti	Vmp-sm
da	da	Cs
se	sebe	Px--sa
»	»	Z
pravičnost	pravičnost	Ncfsn
«	«	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
29.	29.	Mdo

Ustava	ustava	Ncfsn
,	,	Z
slično	sličan	Agpnsny
»	»	Z
pravičnosti	pravičnost	Ncfsg
«	«	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
6.	6.	Mdo
Konvencije	konvencija	Ncfsg
,	,	Z
ne	ne	Qz
smije	smjeti	Vmr3s
tumačiti	tumačiti	Vmn
kao	kao	Cs
»	»	Z
materijalna	materijalan	Agpfsny
«	«	Z
jer	jer	Cs
je	biti	Var3s
njezina	njezin	Ps3fsn
narav	narav	Ncfsn
isključivo	isključivo	Rgp
»	»	Z
postupovna	postupovni	Agpfsny
«	«	Z
ili	ili	Cc
»	»	Z
procesna	procesni	Agpfsny
«	«	Z
.	.	Z

Postupovna	postupovni	Agpfsny
ili	ili	Cc
procesna	procesni	Agpfsny
povreda	povreda	Ncfsn
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
29.	29.	Mdo

Ustava	ustava	Ncfsn
i	i	Cc
članka	članak	Ncmsg
6.	6.	Mdo
Konvencije	konvencija	Ncfsg
koju	koji	Pi-fsa
učine	učiniti	Vmr3p
sudovi	sud	Ncmpn
tijekom	tijekom	Sg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
ima	imati	Vmr3s
,	,	Z
dakle	dakle	Cc
,	,	Z
samostalnu	samostalan	Agpfsay
pravnu	pravni	Agpfsay
narav	narav	Ncfsa
i	i	Cc
ne	ne	Qz
ovisi	ovisiti	Vmr3s
o	o	Sl
utvrđenju	utvrđenje	Ncnsl
krivnje	krivnja	Ncfsg
ili	ili	Cc
nedužnosti	nedužnost	Ncfsg
pojedinca	pojedinac	Ncmsg
.	.	Z

To	taj	Pd-nsn
znači	značiti	Vmr3s
da	da	Cs
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
,	,	Z
slično	slično	Rgp
ESLJP-u	ESLJP	Npmsd
na	na	Sl
međunarodnoj	međunarodni	Agpfsly
razini	razina	Ncfsl
,	,	Z
nije	biti	Var3s
sud	sud	Ncmsn
trećeg	treći	Mlomsg
ili	ili	Cc
četvrtog	četvrti	Mlomsg
stupnja	stupanj	Ncmsg
i	i	Cc
ne	ne	Qz
odlučuje	odlučivati	Vmr3s
meritorno	meritorno	Rgp
o	o	Sl
sumnji	sumnja	Ncfsl
ili	ili	Cc
optužbi	optužba	Ncfsl
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
u	u	Sl
pojedinačnim	pojedinačan	Agpmply
slučajevima	slučaj	Ncmpl
.	.	Z

To	taj	Pd-nsn
je	biti	Var3s
zadaća	zadaća	Ncfsn
redovnih	redovan	Agpmpgy
kaznenih	kazneni	Agpmpgy
sudova	sud	Ncmpg
.	.	Z

U	u	Sl
predmetu	predmet	Ncmsl
Jalloh	Jalloh	Npfsg
protiv	protiv	Sg
Njemačke	Njemačka	Npfsg
(	(	Z
presuda	presuda	Ncfsn
Velikog	velik	Agpnsgy
vijeća	vijeće	Ncnsg
od	od	Sg
11.	11.	Mdo
srpnja	srpanj	Ncmsg
2006.	2006.	Mdo
,	,	Z
zahtjev	zahtjev	Ncmsn
broj	broj	Ncmsn
54810/00	54810/00	Mds
)	)	Z
ESLJP	ESLJP	Npmsn
je	biti	Var3s
izrijekom	izrijekom	Rgp
utvrdio	utvrditi	Vmp-sm
da	da	Cs
se	sebe	Px--sa
članak	članak	Ncmsn
6.	6.	Mdo
Konvencije	konvencija	Ncfsg
ne	ne	Qz
odnosi	odnositi	Vmr3s
na	na	Sa
utvrđivanje	utvrđivanje	Ncnsa
krivnje	krivnja	Ncfsg
ili	ili	Cc
nedužnosti	nedužnost	Ncfsg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
:	:	Z

»	»	Z
95.	95.	Mdo

Nije	biti	Var3s
...	...	Z
uloga	uloga	Ncfsn
Suda	sud	Ncmsg
da	da	Cs
utvrđuje	utvrđivati	Vmr3s
,	,	Z
u	u	Sl
načelu	načelo	Ncnsl
,	,	Z
je	biti	Var3s
li	li	Qq
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
kriv	kriv	Agpmsnn
ili	ili	Cc
nije	biti	Var3s
.	.	Z

Pitanje	pitanje	Ncnsn
na	na	Sa
koje	koji	Pi-nsa
se	sebe	Px--sa
mora	morati	Vmr3s
odgovoriti	odgovoriti	Vmn
jest	biti	Var3s
je	biti	Var3s
li	li	Qq
postupak	postupak	Ncmsn
kao	kao	Cs
cjelina	cjelina	Ncfsn
,	,	Z
uključujući	uključivati	Rr
način	način	Ncmsan
na	na	Sa
koji	koji	Pi-msan
su	biti	Var3p
pribavljeni	pribaviti	Appmpny
dokazi	dokaz	Ncmpn
,	,	Z
bio	biti	Vap-sm
pravičan	pravičan	Agpmsnn
.	.	Z

To	taj	Pd-nsn
uključuje	uključivati	Vmr3s
ispitivanje	ispitivanje	Ncnsa
‘	i	Agpfsgy
nezakonitosti	nezakonitost	Ncfsg
’	’	Z
(	(	Z
‘	‘	Z
unlawfulness	unlawfulness	Pp2-pa
’	’	Z
)	)	Z
o	o	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
riječ	riječ	Ncfsn
i	i	Cc
–	i	Agpfsny
kod	kod	Sg
nekog	neki	Pi-msg
drugog	drugi	Agpnsgy
konvencijskog	konvencijski	Agpnsgy
prava	pravo	Ncnsg
–	–	Z
prirodu	priroda	Ncfsa
utvrđene	utvrditi	Agpfsgy
povrede	povreda	Ncfsg
.	.	Z
«	«	Z

Sukladno	sukladno	Rgp
tome	taj	Pd-nsd
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
ovom	ovaj	Pd-msl
ustavnosudskom	ustavnosudski	Agpmsly
postupku	postupak	Ncmsl
ne	ne	Qz
ispituje	ispitivati	Vmr3s
i	i	Cc
ne	ne	Qz
odlučuje	odlučivati	Vmr3s
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
li	li	Qq
podnositelj	podnositelj	Ncmsn
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
kriv	kriv	Agpmsnn
ili	ili	Cc
ne	ne	Qz
za	za	Sa
djela	djelo	Ncnpa
za	za	Sa
koja	koji	Pi-npa
je	biti	Var3s
osuđen	osuditi	Appmsnn
.	.	Z

To	taj	Pd-nsn
je	biti	Var3s
zadaća	zadaća	Ncfsn
redovnih	redovan	Agpmpgy
kaznenih	kazneni	Agpmpgy
sudova	sud	Ncmpg
.	.	Z

1	1	Mdc
)	)	Z
Pravo	pravo	Ncnsn
na	na	Sa
obrazloženu	obrazložiti	Agpfsay
sudsku	sudski	Agpfsay
odluku	odluka	Ncfsa

41.	41.	Mdo

Mjerodavni	mjerodavan	Agpmsny
dio	dio	Ncmsn
članka	članak	Ncmsg
29.	29.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Ustava	ustava	Ncfsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
29.	29.	Mdo

Svatko	svatko	Pi3m-n
ima	imati	Vmr3s
pravo	pravo	Ncnsa
da	da	Cs
...	...	Z
sud	sud	Ncmsn
pravično	pravično	Rgp
...	...	Z
odluči	odlučiti	Vmr3s
o	o	Sl
...	...	Z
sumnji	sumnja	Ncfsl
ili	ili	Cc
optužbi	optužba	Ncfpg
zbog	zbog	Sg
kažnjivog	kažnjiv	Agpnsgy
djela	djelo	Ncnsg
.	.	Z

(...)	(...)	Ncfsn

Mjerodavni	mjerodavan	Agpmsny

