nadzor	nadzor	Ncmsn
nesinusnih	nesinusn	Agpnsgy
polja	polje	Ncnsg
,	,	Z
ocjena	ocjena	Ncfsn
izloženosti	izloženost	Ncfsg
provedena	provesti	Appfsny
sukladno	sukladno	Rgp
članku	članak	Ncmsl
5.	5.	Mdo
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
metodi	metoda	Ncfsl
ponderirane	ponderirati	Appfsgy
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
filtriranje	filtriranje	Ncnsn
u	u	Sl
vremenskoj	vremenski	Agpfsly
domeni	domena	Ncfsl
)	)	Z
,	,	Z
objašnjenoj	objasniti	Appfsly
u	u	Sl
praktičnim	praktičan	Agpfply
smjernicama	smjernica	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
,	,	Z
no	no	Cc
mogu	moći	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
i	i	Cc
drugi	drugi	Mlomsn
znanstveno	znanstveno	Rgp
dokazani	dokazati	Appmpny
i	i	Cc
provjereni	provjeriti	Appmpny
postupci	postupak	Ncmpn
ocjene	ocjena	Ncfsg
izloženosti	izloženost	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
dobiveni	dobiti	Appmpny
rezultati	rezultat	Ncmpn
približno	približno	Rgp
istovrijedni	istovrijedan	Agpmpny
i	i	Cc
usporedivi	usporediv	Agpmpny
.	.	Z

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
za	za	Sa
unutarnju	unutarnji	Agpfsay
jakost	jakost	Ncfsa
električnog	električan	Agpnsgy
polja	polje	Ncnsg
od	od	Sg
1	1	Mdc
Hz	Hz	Y
do	do	Sg
400	400	Mdc
Hz	Hz	Y

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
(	(	Z
tablica	tablica	Ncfsn
A3	A3	X
)	)	Z
povezane	povezati	Appfpny
su	biti	Var3p
s	sa	Si
učincima	učinak	Ncmpi
električnog	električan	Agpnsgy
polja	polje	Ncnsg
na	na	Sa
središnji	središnji	Agpmsayn
živčani	živčan	Agpmsayn
sustav	sustav	Ncmsan
u	u	Sl
glavi	glava	Ncfsl
,	,	Z
tj.	tj.	Y
fotopsije	fotopsija	Ncfsg
i	i	Cc
manje	malo	Rgc
kratkotrajne	kratkotrajan	Agpfpay
promjene	promjena	Ncfpa
nekih	neki	Agpfpgy
moždanih	moždan	Agpfpgy
funkcija	funkcija	Ncfpg

Tablica	tablica	Ncfsn
A3	A3	Xf
.	.	Z

Granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
za	za	Sa
unutarnju	unutarnji	Agpfsay
jakost	jakost	Ncfsa
električnog	električan	Agpnsgy
polja	polje	Ncnsg
od	od	Sg
1	1	Mdc
do	do	Sg
400	400	Mdc
Hz	Hz	Y

Raspon	raspon	Ncmsn
frekvencije	frekvencija	Ncfsg
Granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
1	1	Mdc
≤	≤	Z
f	f	X
<	<	Z
10	10	Mdc
Hz	Hz	Y
0,7	0,7	Mdc
/	/	Z
f	f	X
Vm-1	Vm-1	Xf
(	(	Z
vršna	vršni	Agpfsny
vrijednost	vrijednost	Ncfsn
)	)	Z
10	10	Mdc
≤	≤	Z
f	f	Cc
<	<	Z
25	25	Mdc
Hz	Hz	Y
0,07	0,07	Mdc
Vm-1	Vm-1	Y
(	(	Z
vršna	vršni	Agpfsny
vrijednost	vrijednost	Ncfsn
)	)	Z
25	25	Mdc
≤	≤	Z
f	f	X
≤	≤	Z
400	400	Mdc
Hz	Hz	Y
0,0028	0,0028	Mdc
f	f	Y
Vm-1	Vm-1	X
(	(	Z
vršna	vršni	Agpfsny
vrijednost	vrijednost	Ncfsn
)	)	Z

Napomena	napomena	Ncfsn
A3	A3	Xf
–	–	Z
1	1	Mdc
:	:	Z
f	f	Ncmsn
je	biti	Var3s
frekvencija	frekvencija	Ncfsn
izražena	izraziti	Appfsny
u	u	Sl
hercima	herk	Ncmpl
(	(	Z
Hz	Hz	Npmsn
)	)	Z
.	.	Z

Napomena	napomena	Ncfsn
A3	A3	Xf
–	–	Z
2	2	Mdc
Granične	graničan	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
prostorne	prostoran	Agpfsgy
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
u	u	Sl
glavi	glava	Ncfsl
izloženog	izložen	Agpmsgy
pojedinca	pojedinac	Ncmsg
.	.	Z

Napomena	napomena	Ncfsn
A3	A3	Xf
–	–	Z
3	3	Mdc
Granične	graničan	Agpfpny
su	biti	Var3p
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
u	u	Sl
vremenu	vrijeme	Ncnsl
koje	koji	Pi-nsa
su	biti	Var3p
jednake	jednak	Agpfpny
efektivnim	efektivan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
(	(	Z
RMS	RMS	Npmsn
)	)	Z
pomnoženima	pomnožiti	Ncmpl
s	sa	Sg
√	√	Z
2	2	Mdc
za	za	Sa
sinusna	sinusni	Agpnpay
polja	polje	Ncnpa
.	.	Z

Kod	kod	Sg
ne	ne	Ncfsg
sinusnih	sinusni	Agpnpgy
polja	polje	Ncnpg
ocjena	ocjena	Ncfpg
izloženosti	izloženost	Ncfsg
provedena	provesti	Appfsny
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
metodi	metoda	Ncfsl
ponderirane	ponderirati	Appfsgy
vršne	vršni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
filtriranje	filtriranje	Ncnsn
u	u	Sl
vremenskoj	vremenski	Agpfsly
domeni	domena	Ncfsl
)	)	Z
,	,	Z
objašnjenoj	objasniti	Appfsly
u	u	Sl
praktičnim	praktičan	Agpfply
smjernicama	smjernica	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
no	no	Cc
mogu	moći	Vmr3p
se	sebe	Px--sa
koristiti	koristiti	Vmn
i	i	Cc
drugi	drugi	Mlomsn
znanstveno	znanstveno	Rgp
dokazani	dokazati	Appmpny
i	i	Cc
provjereni	provjeriti	Appmpny
postupci	postupak	Ncmpn
ocjene	ocjena	Ncfsg
izloženosti	izloženost	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
dobiveni	dobiti	Appmpny
rezultati	rezultat	Ncmpn
približno	približno	Rgp
istovrijedni	istovrijedan	Agpmpny
i	i	Cc
usporedivi	usporediv	Agpmpny
.	.	Z

B.	B.	Y
VRIJEDNOSTI	vrijednost	Ncfsg
UPOZORENJA	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
)	)	Z

Sljedeće	sljedeći	Agpfsgy
se	sebe	Px--sa
fizikalne	fizikalan	Agpfsgy
veličine	veličina	Ncfsg
i	i	Cc
vrijednosti	vrijednost	Ncfsg
koriste	koristiti	Vmr3p
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
)	)	Z
,	,	Z
čije	čiji	Pi-fpn
se	sebe	Px--sa
magnitude	magnituda	Ncfpn
utvrđuju	utvrđivati	Vmr3p
s	sa	Si
ciljem	cilj	Ncmsi
pojednostavnjivanja	pojednostavnjivanje	Ncnsg
procesa	proces	Ncmsg
dokazivanja	dokazivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
s	sa	Si
odgovarajućim	odgovarajući	Agpfpiy
graničnim	graničan	Agpfpiy
vrijednostima	vrijednost	Ncfpi
izloženosti	izloženost	Ncfsg
ili	ili	Cc
poduzimanja	poduzimanje	Ncnsg
odgovarajućih	odgovarajući	Agpmpgy
zaštitnih	zaštitni	Agpmpgy
ili	ili	Cc
preventivnih	preventivan	Agpfpgy
mjera	mjera	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
članku	članak	Ncmsl
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

–	–	Ncmsn
Niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
(	(	Z
E	e	I
))	))	Z
i	i	Cc
visoke	visok	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
(	(	Z
E	e	I
))	))	Z
za	za	Sa
jakost	jakost	Ncfsa
električnih	električan	Agpnpgy
polja	polje	Ncnpg
(	(	Z
E	E	Npmsn
)	)	Z
periodički	periodički	Agpmsny
promjenljivih	promjenljiv	Agpfpgy
/	/	Z
izmjeničnih	izmjeničan	Agpnpgy
električnih	električan	Agpnpgy
polja	polje	Ncnpg
kako	kako	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
u	u	Sl
tablici	tablica	Ncfsl
B1		Agpmply
.	.	Z
,	,	Z

–	–	Ncmsn
Niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
(	(	Z
E	e	I
))	))	Z
i	i	Cc
visoke	visok	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
(	(	Z
E	e	I
))	))	Z
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy
toka	tok	Ncmsg
(	(	Z
B	B	Npmsn
)	)	Z
periodički	periodički	Agpmsny
promjenljivih	promjenljiv	Agpfpgy
/	/	Z
izmjeničnih	izmjeničan	Agpnpgy
električnih	električan	Agpnpgy
polja	polje	Ncnpg
kako	kako	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
u	u	Sl
tablici	tablica	Ncfsl
B2		Agpmply
.	.	Z

–	–	Sa
Vrijednost	vrijednost	Ncfsa
upozorenja	upozorenje	Ncnsg
(	(	Z
IC	IC	Npmsn
)	)	Z
za	za	Sa
dodirnu	dodirni	Agpfsay
struju	struja	Ncfsa
kako	kako	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
u	u	Sl
tablici	tablica	Ncfsl
B3		Agpmply
.	.	Z
,	,	Z

–	–	Sg
Vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
B0	B0	Xf
)	)	Z
za	za	Sa
gustoću	gustoća	Ncfsa
magnetskog	magnetski	Agpmsgy

