odustajanju	odustajanje	Ncnsd
Agencije	agencija	Ncfpn
za	za	Sa
reviziju	revizija	Ncfsa
sustava	sustav	Ncmsg
provedbe	provedba	Ncfsg
programa	program	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
revizori	revizor	Ncmpn
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
i	i	Cc
Europski	europski	Agpmsny
revizorski	revizorski	Agpmsny
sud	sud	Ncmsn
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
za	za	Sa
mjeru	mjera	Ncfsa
Investicija	investicija	Ncfsn
u	u	Sl
fazi	faza	Ncfsl
prije	prije	Sg
donošenja	donošenje	Ncnsg
Odluke	odluka	Ncfsg
o	o	Sl
odobrenju	odobrenje	Ncnsl
projekta	projekt	Ncmsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
na	na	Sl
uzorku	uzorak	Ncmsl
u	u	Sl
obuhvatu	obuhvat	Ncmsl
od	od	Sg
50	50	Mdc
do	do	Sg
75	75	Mdc
%	%	Z
Korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
fazi	faza	Ncfsl
nakon	nakon	Sg
realizacije	realizacija	Ncfsg
aktivnosti	aktivnost	Ncfsg
,	,	Z
a	a	Cc
prije	prije	Sg
konačne	konačan	Agpfsgy
isplate	isplata	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
na	na	Sa
100	100	Mdc
%	%	Z
Korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
isplate	isplata	Ncfsg
u	u	Sl
svakoj	svaki	Pi-fsl
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
provode	provoditi	Vmr3p
se	sebe	Px--sa
ex-post	ex-post	Ncfsn
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
,	,	Z
u	u	Sl
obuhvatu	obuhvat	Ncmsl
najmanje	malo	Rgs
1	1	Mdc
%	%	Z
od	od	Sg
ukupno	ukupno	Rgp
isplaćenog	isplatiti	Appmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
za	za	Sa
pojedinu	pojedini	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Članak	članak	Ncmsn
32.	32.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pri	pri	Sl
obavljanju	obavljanje	Ncnsl
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
kontrolori	kontrolor	Ncmpn
mogu	moći	Vmr3p
:	:	Z

a	a	Cc
)	)	Z
pregledati	pregledati	Vmn
poljoprivredno	poljoprivredni	Agpnsay
zemljište	zemljište	Ncnsa
,	,	Z
nasade	nasaditi	Vmr3p
,	,	Z
poslovne	poslovan	Agpmpay
i	i	Cc
proizvodne	proizvodni	Agpmpay
prostore	prostor	Ncmpa
,	,	Z
objekte	objekt	Ncmpa
,	,	Z
uređaje	uređaj	Ncmpa
,	,	Z
robu	roba	Ncfsa
te	te	Cc
poslovnu	poslovan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
Podnositelja	podnositelj	Ncmsg
/	/	Z
Korisnika	korisnik	Ncmpg
,	,	Z

b	b	Npmsn
)	)	Z
izvršiti	izvršiti	Vmn
uvid	uvid	Ncmsan
u	u	Sa
isprave	isprava	Ncfpa
Podnositelja	podnositelj	Ncmsg
/	/	Z
Korisnika	korisnik	Ncmpg
koje	koji	Pi-mpa
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
ostvarivanje	ostvarivanje	Ncnsa
tog	taj	Agpnsgy
prava	pravo	Ncnsg
,	,	Z

c	C	Npmsn
)	)	Z
provjeravati	provjeravati	Vmn
poslovne	poslovan	Agpfpay
knjige	knjiga	Ncfpa
i	i	Cc
dokumente	dokument	Ncmpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
računi	račun	Ncmpn
,	,	Z
određeni	određen	Agpmpny
popisi	popis	Ncmpn
,	,	Z
dokumenti	dokument	Ncmpn
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
uvjeta	uvjet	Ncmpg
,	,	Z
potvrde	potvrda	Ncfpa
o	o	Sl
plaćanju	plaćanje	Ncnsl
,	,	Z
garantni	garantan	Agpmpny
listovi	list	Ncmpn
,	,	Z
rješenja	rješenje	Ncnsg
,	,	Z
ugovori	ugovor	Ncmpn
,	,	Z
potvrde	potvrditi	Vmr3p
,	,	Z
podaci	podatak	Ncmpn
o	o	Sl
korištenom	koristiti	Agpmsly
materijalu	materijal	Ncmsl
,	,	Z
obavljenom	obaviti	Agpmsly
poslu	posao	Ncmsl
i	i	Cc
bankovna	bankovan	Agpnpny
izvješća	izvješće	Ncnpn
u	u	Sl
posjedu	posjed	Ncmsl
Korisnika	korisnik	Ncmpg
i	i	Cc
s	sa	Si
njim	on	Pp3msi
vezanih	vezan	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z

d	d	Npmsn
)	)	Z
provjeravati	provjeravati	Vmn
podatke	podatak	Ncmpa
u	u	Sl
računalima	računalo	Ncnpl
,	,	Z

e	e	I
)	)	Z
provjeravati	provjeravati	Vmn
opremu	oprema	Ncfsa
,	,	Z
proizvodnju	proizvodnja	Ncfsa
,	,	Z
pakiranje	pakiranje	Ncnsa
,	,	Z
otpremu	otprema	Ncfsa
i	i	Cc
skladištenje	skladištenje	Ncnsa
,	,	Z

f	f	Npmsv
)	)	Z
provjeravati	provjeravati	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
prirodu	priroda	Ncfsa
,	,	Z
kvantitetu	kvantiteta	Ncfsa
i	i	Cc
kvalitetu	kvaliteta	Ncfsa
roba	roba	Ncfpg
i	i	Cc
usluga	usluga	Ncfpg
,	,	Z

g	g	Npmsn
)	)	Z
provjeriti	provjeriti	Vmn
računovodstvene	računovodstveni	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
dokumente	dokument	Ncmpa
,	,	Z

h	h	Npmsn
)	)	Z
provjeravati	provjeravati	Vmn
financijske	financijski	Agpmpay
i	i	Cc
tehničke	tehnički	Agpmpay
podatke	podatak	Ncmpa
o	o	Sl
subvencioniranom	subvencionirati	Agpmsly
projektu	projekt	Ncmsl
,	,	Z

i	i	Cc
)	)	Z
izvještavati	izvještavati	Vmn
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
i	i	Cc
tražiti	tražiti	Vmn
provođenje	provođenje	Ncnsa
određenog	određen	Agpmsgy
postupka	postupak	Ncmsg
ako	ako	Cs
sama	sam	Agpfsny
nije	biti	Var3s
ovlaštena	ovlastiti	Appfsny
izravno	izravno	Rgp
postupiti	postupiti	Vmn
,	,	Z

j	j	Npmsn
)	)	Z
prikupljati	prikupljati	Vmn
podatke	podatak	Ncmpa
i	i	Cc
obavijesti	obavijest	Ncfsl
od	od	Sg
odgovornih	odgovoran	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
svjedoka	svjedok	Ncmpg
,	,	Z
vještaka	vještak	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
kad	kad	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
kontrole	kontrola	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravne	pravni	Agpfpny
i	i	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
,	,	Z
te	te	Cc
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
s	sa	Sg
njima	oni	Pp3-pi
povezane	povezati	Appfpny
u	u	Sl
vezi	veza	Ncfsl
predmetnog	predmetni	Agpnsgy
ulaganja	ulaganje	Ncnsg
,	,	Z
a	a	Cc
podliježu	podlijegati	Vmr3p
nadzoru	nadzor	Ncmsl
kontrolora	kontrolor	Ncmpg
,	,	Z
dužne	dužan	Agpfpny
su	biti	Var3p
omogućiti	omogućiti	Vmn
obavljanje	obavljanje	Ncnsa
nadzora	nadzor	Ncmsg
,	,	Z
pružiti	pružiti	Vmn
potrebne	potreban	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
obavijesti	obavijest	Ncfsl
te	te	Cc
osigurati	osigurati	Vmn
uvjete	uvjet	Ncmpa
za	za	Sa
nesmetani	nesmetan	Agpmsayn
rad	rad	Ncmsan
kontrolora	kontrolor	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Pravne	pravni	Agpfpny
i	i	Cc
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
dužne	dužan	Agpfpny
su	biti	Var3p
predočiti	predočiti	Vmn
sve	sav	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
osigurati	osigurati	Vmn
dokumente	dokument	Ncmpa
potrebne	potreban	Agpfpny
za	za	Sa
obavljanje	obavljanje	Ncnsa
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
je	biti	Var3s
nenajavljena	nenajavljen	Agpfsny
.	.	Z

Međutim	međutim	Rgp
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
svrha	svrha	Ncfsn
kontrole	kontrola	Ncfsg
nije	biti	Var3s
ugrožena	ugroziti	Appfsny
,	,	Z
moguće	moguć	Agpnsny
je	biti	Var3s
kontrolu	kontrola	Ncfsa
najaviti	najaviti	Vmn
četrdesetosam	četrdesetosaa	Ncfsa
sati	sat	Ncmpg
prije	prije	Sg
provedbe	provedba	Ncfsg
kontrole	kontrola	Ncfsg
pružajući	pružati	Rr
samo	samo	Rgp
nužne	nužan	Agpfpay
informacije	informacija	Ncfpa
.	.	Z

XI	xi	Mrc
.	.	Z

POVRAT	povrat	Ncmsn
SREDSTAVA	sredstvo	Ncnpg

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Sredstva	sredstvo	Ncnsg
namijenjena	namijeniti	Appfsny
provedbi	provedba	Ncfsl
mjere	mjera	Ncfsg
Investicija	investicija	Ncfsn
su	biti	Var3p
namjenska	namjenski	Agpfsny
i	i	Cc
bespovratna	bespovratan	Agpfsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
Korisnik	korisnik	Ncmsn
postupao	postupati	Vmp-sm
protivno	protivno	Rgp
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
pravilima	pravilo	Ncnpi
korištenja	korištenje	Ncnsg
sredstava	sredstvo	Ncnpg
za	za	Sa
mjeru	mjera	Ncfsa
Investicija	investicija	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
slučaju	slučaj	Ncmsl
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
od	od	Sg

